Code,Name,ROE,PER
041190,우리기술투자,26.51,4.92
015750,성우하이텍,13.63,3.41
215200,메가스터디교육,21.07,6.23
025980,아난티,17.47,4.44
095660,네오위즈,10.37,7.12
215000,골프존,20.41,6.63
290650,엘앤씨바이오,39.5,8.76
099320,쎄트렉아이,25.91,9.38
006730,서부T&D,17.98,3.01
101160,월덱스,25.3,7.89
023160,태광,10.92,7.78
013030,하이록코리아,12.13,7.42
043150,바텍,13.83,6.77
243070,휴온스,16.61,7.72
297890,HB솔루션,40.57,9.24
230360,에코마케팅,19.39,8.87
035890,서희건설,17.85,2.06
045100,한양이엔지,15.39,4.07
041830,인바디,15.83,9.38
083450,GST,16.97,8.92
018310,삼목에스폼,23.35,2.29
267980,매일유업,10.62,5.29
060250,NHN KCP,16.73,7.69
265520,AP시스템,20.3,5.04
126700,하이비젼시스템,21.08,5.12
050890,쏠리드,16.3,6.39
035600,KG이니시스,17.66,3.88
051370,인터플렉스,13.06,7.13
054950,제이브이엠,15.55,9.86
299900,위지윅스튜디오,25.3,8.07
211050,인카금융서비스,34.68,7.71
148150,세경하이테크,18.72,8.85
118990,모트렉스,16.88,9.41
078150,HB테크놀러지,30.65,4.36
108230,톱텍,16.56,2.91
950170,JTC,26.45,7.59
054450,텔레칩스,30.12,4.75
051500,CJ프레시웨이,18.24,4.51
052400,코나아이,18.18,8.22
236200,슈프리마,11.9,8.24
083310,엘오티베큠,22.87,4.69
190510,나무가,17.32,9.14
194700,노바렉스,11.56,8.8
377450,리파인,14.55,8.43
023760,한국캐피탈,12.39,2.54
067280,멀티캠퍼스,17.37,5.76
046440,KG모빌리언스,13.4,3.78
092730,네오팜,15.36,7.82
136540,윈스,11.73,7.67
123410,코리아에프티,19.34,5.71
214180,헥토이노베이션,14.63,7.29
036190,금화피에스시,12.03,4.71
023910,대한약품,12.01,5.57
091580,상신이디피,19.46,6.63
298540,더네이쳐홀딩스,16.06,3.79
079960,동양이엔피,15.53,2.78
009300,삼아제약,11.22,6.52
418470,밀리의서재,44.55,8.87
023600,삼보판지,10.17,2.92
452400,이닉스,14.36,9.07
950190,고스트스튜디오,16.81,6.54
203650,드림시큐리티,23.47,7.15
259630,엠플러스,30.64,6.47
285490,노바텍,21.01,5.02
445180,퓨릿,19.82,9.94
038110,에코플라스틱,23.5,2.99
264450,유비쿼스,16.81,5.0
033290,코웰패션,10.62,4.79
099440,스맥,18.37,5.93
060560,홈센타홀딩스,15.47,6.76
353810,이지바이오,27.57,7.88
092460,한라IMS,55.21,1.72
066620,국보디자인,15.52,4.23
100700,세운메디칼,11.59,8.51
382800,지앤비에스 에코,21.5,7.38
067900,와이엔텍,10.69,4.95
066700,테라젠이텍스,18.77,4.76
069510,에스텍,14.67,4.68
013310,아진산업,19.21,3.14
124560,태웅로직스,12.46,6.02
137950,제이씨케미칼,13.3,9.84
332570,와이팜,26.65,8.32
021080,에이티넘인베스트,11.67,5.62
215360,우리산업,19.49,6.71
066590,우수AMS,13.15,8.8
005990,매일홀딩스,13.77,2.25
058630,엠게임,21.13,6.37
071200,인피니트헬스케어,15.36,4.91
053700,삼보모터스,10.23,3.29
035610,솔본,26.51,2.96
011560,세보엠이씨,15.32,3.1
089850,유비벨록스,17.03,5.66
142210,유니트론텍,18.64,5.42
352090,스톰테크,16.64,8.53
036630,세종텔레콤,13.95,3.08
019590,엠벤처투자,30.12,1.38
042500,링네트,14.25,6.39
043260,성호전자,19.22,5.96
417790,트루엔,15.6,8.44
302430,이노메트리,13.03,9.62
111710,남화산업,10.14,6.79
234300,에스트래픽,20.97,7.08
065710,서호전기,17.04,6.26
086670,비엠티,14.82,7.15
059210,메타바이오메드,15.43,8.18
024880,케이피에프,10.23,4.83
054040,한국컴퓨터,16.12,4.92
038460,바이오스마트,17.18,4.32
012790,신일제약,10.57,6.14
263690,디알젬,12.02,9.41
014200,광림,11.72,6.41
009780,엠에스씨,13.03,5.07
241520,DSC인베스트먼트,14.82,6.55
122310,제노레이,13.62,8.66
036640,HRS,10.96,6.14
052790,액토즈소프트,15.0,2.39
216050,인크로스,11.47,9.66
208140,정다운,30.34,2.69
036670,KCI,10.75,5.42
339950,아이비김영,18.92,9.19
038680,에스넷,24.26,4.07
158430,아톤,12.38,6.7
048430,유라테크,13.69,4.41
115440,우리넷,10.03,4.45
007370,진양제약,15.15,6.56
024800,유성티엔에스,14.47,1.16
155650,와이엠씨,12.42,7.16
094970,제이엠티,19.94,3.76
130580,나이스디앤비,11.89,7.55
054930,유신,16.98,4.73
241790,티이엠씨씨엔에스,13.08,6.43
224110,에이텍모빌리티,11.12,8.75
082210,옵트론텍,27.87,7.49
212560,네오오토,11.65,5.84
090410,덕신이피씨,23.52,3.46
250000,보라티알,11.8,7.33
105760,포스뱅크,20.77,7.6
094840,슈프리마에이치큐,19.45,1.95
271830,팸텍,13.3,8.26
053270,구영테크,19.63,3.47
038010,제일테크노스,26.24,2.38
010240,흥국,13.77,5.07
039420,케이엘넷,14.53,7.11
092300,현우산업,10.78,4.51
019540,일지테크,29.93,1.82
100030,인지소프트,10.44,9.81
227950,엔투텍,10.34,6.47
122690,서진오토모티브,10.22,6.77
440290,HB인베스트먼트,16.55,4.83
067920,이글루,11.97,9.38
204020,그리티,11.72,5.73
088910,동우팜투테이블,12.8,2.99
263920,휴엠앤씨,29.14,8.62
263770,유에스티,15.82,5.81
098120,마이크로컨텍솔,14.22,6.98
263020,디케이앤디,10.76,6.56
003310,대주산업,13.94,4.86
019770,서연탑메탈,10.59,5.18
332370,아이디피,11.42,6.52
246690,TS인베스트먼트,13.55,6.65
111870,KH 미래물산,17.31,3.4
066360,체리부로,18.33,2.79
046310,백금T&A,24.22,3.75
025880,케이씨피드,10.51,5.59
078590,휴림에이텍,21.0,4.25
340440,세림B&G,12.24,9.83
131090,시큐브,13.36,6.87
267790,배럴,19.47,8.77
099410,동방선기,14.67,8.43
290270,휴네시온,17.44,4.88
052460,아이크래프트,12.86,4.14
020180,대신정보통신,20.86,5.35
297570,알로이스,13.61,7.75
362990,드림인사이트,19.56,8.29
006920,모헨즈,28.25,4.63
080470,성창오토텍,11.96,7.33
039310,세중,14.49,2.47
042940,상지건설,43.07,0.93
113810,디젠스,17.46,6.99
154040,다산솔루에타,55.28,0.96
208350,지란지교시큐리티,24.96,2.0
043590,웰킵스하이텍,23.99,4.18
053060,세동,29.75,2.24
335870,윙스풋,12.02,6.22
