Code,Name,ROE,PER
247540,에코프로비엠,-0.64,-173.51
196170,알테오젠,-2.27,619.59
028300,HLB,-32.55,-87.24
086520,에코프로,3.43,-32.49
348370,엔켐,-18.04,-11.12
145020,휴젤,12.09,31.46
000250,삼천당제약,-5.27,-368.93
141080,리가켐바이오,-40.08,-56.15
214150,클래시스,28.94,39.68
058470,리노공업,21.12,29.20
068760,셀트리온제약,5.80,180.30
277810,레인보우로보틱스,-0.93,-244.88
257720,실리콘투,32.86,32.66
263750,펄어비스,2.14,142.59
403870,HPSP,34.05,35.47
039030,이오테크닉스,6.73,66.17
357780,솔브레인,15.61,15.21
237690,에스티팜,5.42,84.12
214450,파마리서치,19.71,24.91
240810,원익IPS,-1.56,-62.50
035900,JYP Ent.,30.37,25.51
078600,대주전자재료,0.51,134.81
089030,테크윙,-4.15,-154.46
005290,동진쎄미켐,16.95,14.02
096530,씨젠,0.06,-496.21
035760,CJ ENM,-9.30,-6.34
178320,서진시스템,-4.35,757.89
065350,신성델타테크,6.75,162.08
039200,오스코텍,-21.93,-64.66
041510,에스엠,12.30,19.92
225570,넥슨게임즈,4.52,-170.52
298380,에이비엘바이오,-3.69,-37.49
086900,메디톡스,2.17,573.86
293490,카카오게임즈,-14.85,-6.16
036930,주성엔지니어링,6.81,36.25
067630,HLB생명과학,-2.57,9.91
140860,파크시스템스,18.68,54.31
137400,피엔티,20.01,15.79
950160,코오롱티슈진,-16.69,-68.19
232140,와이씨,4.49,127.05
281740,레이크머티리얼즈,24.64,62.07
067160,SOOP,28.02,15.25
064760,티씨케이,14.00,19.60
095340,ISC,3.56,63.30
417200,LS머트리얼즈,8.70,84.72
328130,루닛,-24.21,-24.82
310210,보로노이,-96.66,-31.36
195940,HK이노엔,3.99,21.56
031980,피에스케이홀딩스,13.70,21.96
036830,솔브레인홀딩스,7.63,12.55
018290,브이티,28.00,21.74
084370,유진테크,7.31,56.20
051980,중앙첨단소재,-114.49,-16.21
253450,스튜디오드래곤,4.40,34.17
121600,나노신소재,7.65,81.15
033100,제룡전기,57.64,13.13
112040,위메이드,-63.94,-4.75
087010,펩트론,-35.69,-67.27
352480,씨앤씨인터내셔널,20.48,28.81
204270,제이앤티씨,5.15,21.84
140410,메지온,-29.03,-111.71
287410,제이시스메디칼,28.44,39.63
085660,차바이오텍,-2.94,-41.36
214370,케어젠,18.02,26.19
078130,국일제지,-22.79,-13.79
047920,HLB제약,-22.32,-241.38
056190,에스에프에이,3.75,11.93
064550,바이오니아,-4.60,-80.42
042000,카페24,6.07,44.42
241710,코스메카코리아,14.12,32.36
067310,하나마이크론,-4.72,-23.41
319660,피에스케이,14.08,13.50
317330,덕산테코피아,-4.05,-63.32
222080,씨아이에스,14.44,11.86
119860,커넥트웨이브,0.29,461.54
048410,현대바이오,-28.02,-71.45
115450,HLB테라퓨틱스,-1.66,-813.33
166090,하나머티리얼즈,N/A,30.09
074600,원익QnC,9.74,20.65
098460,고영,7.18,45.53
213420,덕산네오룩스,10.64,19.70
183300,코미코,13.48,19.85
086450,동국제약,9.02,15.11
222800,심텍,-21.29,-6.91
383310,에코프로에이치엔,34.05,24.42
025320,시노펙스,12.21,41.87
053030,바이넥스,2.51,-59.27
440110,파두,-50.20,-11.28
393890,더블유씨피,5.54,20.12
009520,포스코엠텍,4.23,148.07
007390,네이처셀,-19.70,-80.37
199800,툴젠,-84.21,-15.97
036540,SFA반도체,-2.81,120.00
365340,성일하이텍,8.26,96.62
122870,와이지엔터테인먼트,14.00,17.79
069080,웹젠,9.65,9.79
399720,가온칩스,10.90,109.14
025900,동화기업,-10.93,-7.70
041190,우리기술투자,26.51,5.01
003380,하림지주,1.35,-15.22
036810,에프에스티,-5.61,-38.16
101490,에스앤에스텍,12.58,24.24
340570,티앤엘,23.29,23.03
131970,두산테스나,13.76,12.76
189300,인텔리안테크,2.44,"-1,678.79"
278280,천보,-13.06,-9.73
131290,티에스이,0.04,185.66
060370,LS마린솔루션,9.89,65.22
015750,성우하이텍,13.63,3.44
272290,이녹스첨단소재,8.34,14.18
237880,클리오,13.71,17.89
046890,서울반도체,-3.24,-26.59
418550,제이오,18.00,34.99
053800,안랩,13.34,18.10
215200,메가스터디교육,21.07,6.21
420770,기가비스,20.87,29.15
058970,엠로,-67.72,-18.89
335890,비올,44.89,21.34
348210,넥스틴,27.30,13.80
336570,원텍,49.68,18.57
144510,지씨셀,-0.03,-77.38
080220,제주반도체,11.21,28.51
091120,이엠텍,-4.67,-35.95
058610,에스피지,5.09,56.83
376300,디어유,16.86,19.72
338220,뷰노,-131.81,-31.35
194480,데브시스터즈,-31.75,-13.37
078340,컴투스,3.53,36.03
030520,한글과컴퓨터,4.64,32.90
251970,펌텍코리아,12.03,17.28
290690,소룩스,-12.67,-22.49
079370,제우스,3.43,32.61
099190,아이센스,1.30,-616.07
460930,현대힘스,5.87,39.27
014620,성광벤드,8.02,12.43
358570,지아이이노베이션,-66.32,-8.06
253590,네오셈,11.11,39.29
220100,퓨쳐켐,-10.02,-52.41
101360,에코앤드림,-11.35,"2,046.67"
200130,콜마비앤에이치,4.93,22.82
095660,네오위즈,10.37,7.19
397030,에이프릴바이오,-14.18,58.40
206640,바디텍메드,14.84,16.60
084850,아이티엠반도체,-17.19,-19.03
025980,아난티,17.47,4.37
323280,태성,-4.48,207.59
215600,신라젠,-29.90,-15.76
091700,파트론,6.10,15.97
314930,바이오다인,-2.27,-328.22
099320,쎄트렉아이,25.91,9.60
082920,비츠로셀,17.27,12.39
032190,다우데이타,5.49,6.42
372320,큐로셀,55.22,-12.78
215000,골프존,20.41,6.60
206650,유바이오로직스,-11.77,-31.31
256840,한국비엔씨,13.06,14.87
290650,엘앤씨바이오,39.50,8.74
114840,아이패밀리에스씨,N/A,15.01
101160,월덱스,25.30,8.11
179900,유티아이,-91.71,-15.32
039440,에스티아이,10.54,22.00
049070,인탑스,4.43,14.88
228760,지노믹트리,-7.56,-48.89
006730,서부T&D,17.98,3.01
023160,태광,10.92,7.94
372170,윤성에프앤씨,N/A,14.45
334970,프레스티지바이오로직스,-16.54,-12.31
082270,젬백스,-22.43,-7.29
032500,케이엠더블유,-31.45,-6.16
200670,휴메딕스,14.72,12.71
108860,셀바스AI,-2.74,-122.87
161580,필옵틱스,-6.15,-26.24
102710,이엔에프테크놀로지,-4.73,-23.42
068240,다원시스,1.83,26.19
033500,동성화인텍,18.11,13.15
034950,한국기업평가,18.64,17.70
059090,미코,-25.04,-12.47
439090,마녀공장,15.59,24.24
252990,샘씨엔에스,-1.23,161.46
171090,선익시스템,-12.29,-31.05
095610,테스,0.52,47.45
455900,엔젤로보틱스,166.35,-32.65
107640,한중엔시에스,-83.21,-18.87
104830,원익머트리얼즈,3.10,26.26
205470,휴마시스,-17.48,-8.09
160190,하이젠알앤엠,5.98,227.17
294090,이오플로우,-82.07,-6.09
043150,바텍,13.83,6.81
013030,하이록코리아,12.13,7.34
323990,박셀바이오,-19.24,-32.10
089010,켐트로닉스,-5.73,55.61
060280,큐렉소,-5.33,-36.20
029960,코엔텍,19.79,11.65
084650,랩지노믹스,-2.14,-20.12
095500,미래나노텍,-0.54,37.13
394280,오픈엣지테크놀로지,-56.25,-24.70
094170,동운아나텍,64.09,13.34
360070,탑머티리얼,13.95,26.04
243070,휴온스,16.61,7.70
297890,HB솔루션,40.57,9.48
138580,비즈니스온,23.42,22.73
950130,엑세스바이오,-0.53,-8.52
089980,상아프론테크,6.35,31.90
319400,현대무벡스,2.67,26.56
053610,프로텍,7.43,20.45
230360,에코마케팅,19.39,9.11
038500,삼표시멘트,4.86,8.26
122640,예스티,-36.27,-11.71
445090,에이직랜드,7.21,73.80
094360,칩스앤미디어,-47.49,-12.26
099430,바이오플러스,21.22,16.57
031330,에스에이엠티,8.92,7.96
093320,케이아이엔엑스,15.77,15.69
