Date,Open,High,Low,Close,Volume,Change
2000-04-27,5790,5800,5790,5800,4100,
2000-04-28,5810,5810,5800,5800,4900,0.0
2000-05-02,5800,5800,5600,5610,39300,-0.03275862068965518
2000-05-03,5889,5889,5700,5700,1800,0.016042780748663166
2000-05-04,5700,5750,5600,5700,17500,0.0
2000-05-08,5650,5650,5600,5600,29500,-0.01754385964912286
2000-05-09,5600,5650,5550,5550,25300,-0.008928571428571397
2000-05-10,5600,5649,5540,5540,3600,-0.0018018018018017834
2000-05-12,5750,5750,5530,5530,12400,-0.0018050541516245744
2000-05-15,5600,5640,5320,5320,12100,-0.03797468354430378
2000-05-16,5320,5499,5320,5350,25100,0.005639097744360999
2000-05-17,5350,5350,5000,5000,40300,-0.06542056074766356
2000-05-18,5000,5000,4735,4850,11000,-0.030000000000000027
2000-05-19,4800,5000,4685,5000,11600,0.030927835051546282
2000-05-22,4890,4890,4550,4550,3600,-0.08999999999999997
2000-05-23,4250,4410,4059,4195,4600,-0.07802197802197797
2000-05-24,4015,4240,3900,4010,15400,-0.04410011918951129
2000-05-25,4200,4340,4100,4225,17900,0.05361596009975056
2000-05-26,4220,4220,4070,4100,13400,-0.029585798816568087
2000-05-29,4180,4210,3980,4200,23200,0.024390243902439046
2000-05-30,4200,4820,4060,4620,34100,0.10000000000000009
2000-05-31,4650,4750,4450,4640,13900,0.0043290043290042934
2000-06-01,4520,4550,4500,4520,7000,-0.025862068965517238
2000-06-02,4450,4700,4450,4690,30700,0.03761061946902644
2000-06-05,4610,5090,4610,4710,14400,0.004264392324093924
2000-06-07,4895,4895,4620,4790,20800,0.01698513800424628
2000-06-08,4700,4870,4515,4515,23100,-0.05741127348643005
2000-06-09,4550,4600,4500,4500,5600,-0.0033222591362126463
2000-06-12,4500,4700,4500,4700,16400,0.04444444444444451
2000-06-13,4800,4885,4550,4550,9200,-0.03191489361702127
2000-06-14,4550,4550,4410,4540,8600,-0.00219780219780219
2000-06-15,4590,4590,4230,4400,11900,-0.03083700440528636
2000-06-16,4225,4360,4200,4260,13000,-0.03181818181818186
2000-06-19,4265,4360,4260,4360,4900,0.023474178403755763
2000-06-20,4200,4350,4200,4260,6100,-0.022935779816513735
2000-06-21,4260,4300,4260,4270,5500,0.0023474178403755097
2000-06-22,4250,4630,4200,4300,25100,0.007025761124121788
2000-06-23,4290,4450,4290,4440,3400,0.032558139534883734
2000-06-26,4370,4440,4285,4440,5800,0.0
2000-06-27,4540,4560,4350,4400,24000,-0.009009009009009028
2000-06-28,4420,4535,4390,4390,55600,-0.002272727272727315
2000-06-29,4490,4490,4320,4320,8400,-0.015945330296127547
2000-06-30,4250,4425,4250,4310,6200,-0.0023148148148147696
2000-07-03,4450,4450,4380,4450,8000,0.03248259860788871
2000-07-04,4400,4500,4400,4490,2010,0.008988764044943753
2000-07-05,4500,4500,4400,4430,7400,-0.013363028953229383
2000-07-06,4450,4600,4400,4505,17600,0.016930022573363512
2000-07-07,4550,5070,4500,4690,35900,0.04106548279689237
2000-07-10,4790,4880,4650,4850,14000,0.034115138592750505
2000-07-11,4800,4840,4600,4660,19100,-0.039175257731958735
2000-07-12,4350,4670,4350,4510,18800,-0.03218884120171672
2000-07-13,4510,4580,4455,4480,4200,-0.006651884700665134
2000-07-14,4480,4600,4400,4500,63500,0.0044642857142858094
2000-07-18,4520,4600,4460,4465,9600,-0.007777777777777772
2000-07-19,4210,4465,4210,4465,7700,0.0
2000-07-20,4310,4500,4300,4340,12700,-0.027995520716685318
2000-07-21,4300,4480,4300,4350,7600,0.0023041474654377225
2000-07-24,4470,4470,4250,4310,22900,-0.00919540229885063
2000-07-25,4300,4300,4150,4290,15300,-0.004640371229698403
2000-07-26,4300,4300,4230,4300,24500,0.002331002331002363
2000-07-27,4250,4300,4210,4300,12100,0.0
2000-07-28,4300,4945,4250,4300,51500,0.0
2000-07-31,4300,4300,4180,4285,1800,-0.0034883720930232176
2000-08-01,4120,4280,4120,4210,5100,-0.017502917152858788
2000-08-02,4275,4275,4170,4265,3900,0.013064133016627011
2000-08-03,4210,4280,4160,4200,12600,-0.015240328253223967
2000-08-04,4010,4200,4010,4200,13900,0.0
2000-08-07,4300,4300,4150,4200,9200,0.0
2000-08-08,4200,4290,4200,4265,31900,0.015476190476190421
2000-08-09,4200,4220,4160,4200,19300,-0.015240328253223967
2000-08-10,4200,4780,4145,4290,124100,0.021428571428571352
2000-08-11,4210,4290,4210,4225,27000,-0.015151515151515138
2000-08-14,4210,4300,4200,4250,42200,0.00591715976331364
2000-08-16,4210,4490,4210,4490,152700,0.05647058823529405
2000-08-17,4350,4460,4310,4345,57700,-0.03229398663697103
2000-08-18,4320,4640,4320,4570,137100,0.05178365937859608
2000-08-21,4640,4670,4500,4595,85100,0.00547045951859948
2000-08-22,4550,4570,4450,4540,36100,-0.01196953210010876
