Date,Open,High,Low,Close,Volume,Change
2000-04-27,1052,1052,1018,1027,22895,
2000-04-28,1077,1077,1027,1027,31305,0.0
2000-05-02,1025,1068,1025,1035,22092,0.00778967867575453
2000-05-03,1041,1058,990,1056,18348,0.020289855072463725
2000-05-04,1054,1140,1054,1094,38458,0.0359848484848484
2000-05-08,1109,1109,1075,1078,4323,-0.014625228519195566
2000-05-09,1119,1119,1094,1103,7128,0.023191094619666064
2000-05-10,1076,1110,1067,1094,3740,-0.008159564823209453
2000-05-12,1118,1130,1066,1069,83335,-0.022851919561243106
2000-05-15,1100,1100,1025,1069,87192,0.0
2000-05-16,1085,1101,1046,1052,11683,-0.015902712815715647
2000-05-17,1202,1202,938,940,119592,-0.10646387832699622
2000-05-18,938,999,879,889,101672,-0.05425531914893622
2000-05-19,878,1020,853,906,328196,0.01912260967379087
2000-05-22,905,951,896,920,129070,0.015452538631346657
2000-05-23,955,955,853,897,49940,-0.025000000000000022
2000-05-24,933,933,878,924,84950,0.030100334448160515
2000-05-25,926,1059,922,980,116463,0.06060606060606055
2000-05-26,982,982,905,933,119152,-0.04795918367346941
2000-05-29,870,960,870,933,120320,0.0
2000-05-30,929,1057,929,1009,149250,0.08145766345123251
2000-05-31,1025,1066,1007,1069,129970,0.05946481665014858
2000-06-01,1042,1136,1033,1103,358667,0.031805425631431294
2000-06-02,1143,1143,1040,1064,210625,-0.035358114233907556
2000-06-05,1076,1135,1076,1129,105428,0.06109022556390986
2000-06-07,1144,1166,1080,1155,211175,0.023029229406554386
2000-06-08,1114,1178,1110,1138,195265,-0.014718614718614687
2000-06-09,1153,1153,1092,1138,60297,0.0
2000-06-12,1099,1189,1099,1172,137526,0.02987697715289972
2000-06-13,1194,1194,1135,1155,88417,-0.014505119453924964
2000-06-14,1166,1166,1110,1138,117907,-0.014718614718614687
2000-06-15,1092,1174,1067,1129,48389,-0.00790861159929701
2000-06-16,1075,1212,1067,1078,106216,-0.04517271922054911
2000-06-19,1105,1113,1057,1064,39060,-0.012987012987012991
2000-06-20,1063,1101,1058,1103,18347,0.03665413533834583
2000-06-21,1107,1110,1076,1103,8647,0.0
2000-06-22,1100,1100,1066,1073,46884,-0.027198549410698103
2000-06-23,1076,1107,1058,1061,27565,-0.011183597390493905
2000-06-26,1110,1216,1110,1219,784131,0.14891611687087658
2000-06-27,1230,1340,1217,1257,743616,0.031173092698933536
2000-06-28,1231,1316,1195,1241,316945,-0.012728719172633296
2000-06-29,1213,1265,1171,1177,153919,-0.05157131345688959
2000-06-30,1178,1221,1157,1224,139555,0.03993203058623629
2000-07-03,1244,1402,1222,1404,936310,0.1470588235294117
2000-07-04,1406,1406,1281,1284,376534,-0.0854700854700855
2000-07-05,1286,1308,1226,1284,265115,0.0
2000-07-06,1281,1317,1252,1293,75197,0.007009345794392496
2000-07-07,1267,1316,1243,1261,270853,-0.024748646558391374
2000-07-10,1295,1303,1244,1284,168529,0.018239492466296525
2000-07-11,1246,1270,1223,1246,143972,-0.029595015576323935
2000-07-12,1243,1247,1212,1219,171174,-0.021669341894061
2000-07-13,1200,1248,1200,1241,47430,0.018047579983593076
2000-07-14,1243,1243,1203,1210,93260,-0.02497985495568089
2000-07-18,1178,1208,1153,1159,47668,-0.04214876033057846
2000-07-19,1134,1193,1109,1150,131121,-0.007765314926660882
2000-07-20,1148,1174,1118,1155,44500,0.004347826086956497
2000-07-21,1135,1324,1135,1326,1049625,0.148051948051948
2000-07-24,1238,1319,1126,1146,637532,-0.1357466063348416
2000-07-25,1143,1186,1126,1146,184705,0.0
2000-07-26,1153,1166,1110,1129,111507,-0.014834205933682343
2000-07-27,1111,1145,1090,1099,106782,-0.0265721877767936
2000-07-28,1085,1122,1080,1094,64876,-0.0045495905368516665
2000-07-31,1092,1097,1067,1094,22911,0.0
2000-08-01,1092,1144,1092,1129,29805,0.03199268738574035
2000-08-02,1135,1152,1109,1155,53961,0.023029229406554386
2000-08-03,1152,1152,1121,1146,27454,-0.007792207792207795
2000-08-04,1135,1157,1109,1133,94705,-0.011343804537521818
2000-08-07,1130,1130,1066,1069,72464,-0.056487202118270075
2000-08-08,1066,1130,1066,1073,103823,0.00374181478016844
2000-08-09,1089,1145,1067,1112,25353,0.0363466915191053
2000-08-10,1119,1135,1097,1138,44170,0.023381294964028854
2000-08-11,1119,1222,1102,1189,139914,0.0448154657293498
2000-08-14,1204,1204,1162,1189,50962,0.0
2000-08-16,1212,1239,1195,1224,98447,0.029436501261564274
2000-08-17,1199,1239,1178,1181,83874,-0.03513071895424835
2000-08-18,1180,1217,1166,1168,61325,-0.01100762066045724
2000-08-21,1163,1172,1145,1172,26406,0.003424657534246478
2000-08-22,1171,1196,1158,1168,10045,-0.0034129692832765013
2000-08-23,1170,1170,1135,1146,25818,-0.018835616438356184
2000-08-24,1135,1143,1118,1146,17990,0.0
2000-08-25,1171,1171,1119,1121,27800,-0.021815008726003504
2000-08-28,1126,1135,1126,1129,29805,0.007136485280999194
2000-08-29,1149,1171,1135,1138,23487,0.00797165633303809
2000-08-30,1144,1157,1126,1129,24545,-0.00790861159929701
2000-08-31,1127,1127,1093,1121,96952,-0.007085916740478315
2000-09-01,1111,1132,1102,1126,28018,0.004460303300624524
2000-09-04,1127,1204,1127,1159,200024,0.02930728241563063
2000-09-05,1161,1178,1144,1155,131517,-0.00345125107851596
2000-09-06,1136,1176,1136,1172,64381,0.014718614718614687
2000-09-07,1162,1257,1153,1198,215725,0.022184300341296925
2000-09-08,1152,1186,1152,1155,66458,-0.035893155258764575
2000-09-14,1194,1194,1143,1146,49535,-0.007792207792207795
2000-09-15,1144,1178,1126,1155,28265,0.007853403141361293
2000-09-18,1135,1135,1024,1094,151965,-0.05281385281385287
2000-09-19,1066,1091,1050,1082,77613,-0.010968921389396757
2000-09-20,1094,1136,1085,1112,56432,0.02772643253234741
2000-09-21,1110,1192,1072,1181,194618,0.06205035971223016
2000-09-22,1194,1230,1118,1163,656355,-0.015241320914479273
2000-09-25,1171,1221,1149,1168,376360,0.004299226139294898
2000-09-26,1179,1336,1179,1241,901538,0.0625
2000-09-27,1252,1263,1199,1219,202605,-0.01772763900080576
2000-09-28,1213,1230,1187,1189,138278,-0.024610336341263306
2000-09-29,1170,1255,1170,1201,227128,0.010092514718250678
2000-10-02,1204,1213,1188,1198,73271,-0.0024979184013321776
2000-10-04,1187,1257,1166,1257,389045,0.04924874791318867
2000-10-05,1281,1307,1243,1257,395823,0.0
2000-10-06,1240,1368,1240,1322,487700,0.05171042163882267
2000-10-09,1334,1354,1281,1284,213143,-0.02874432677760963
2000-10-10,1312,1316,1239,1241,178273,-0.033489096573208754
2000-10-11,1217,1281,1153,1198,355374,-0.03464947622884773
2000-10-12,1154,1209,1154,1172,120583,-0.02170283806343909
2000-10-13,1153,1183,1092,1138,318666,-0.029010238907849817
2000-10-16,1144,1204,1144,1189,177786,0.0448154657293498
2000-10-17,1171,1273,1166,1168,408833,-0.01766190075693863
2000-10-18,1194,1212,1139,1206,285309,0.03253424657534243
2000-10-19,1221,1280,1203,1219,397848,0.010779436152570376
2000-10-20,1252,1277,1217,1241,413910,0.018047579983593076
2000-10-23,1231,1261,1213,1241,281430,0.0
2000-10-24,1248,1264,1212,1215,233382,-0.020950846091861375
2000-10-25,1221,1230,1184,1215,207568,0.0
2000-10-26,1256,1357,1221,1228,1576327,0.010699588477366184
