Date,Open,High,Low,Close,Volume,Change
2014-12-15,1935,2221,1929,2221,2074,
2014-12-16,2549,2549,2549,2549,2252,0.14768122467357037
2014-12-17,2239,2239,2239,2239,449,-0.12161632012553947
2014-12-18,2239,2239,2239,2239,0,0.0
2014-12-19,2239,2239,2239,2239,0,0.0
2014-12-22,2548,2561,2548,2561,1351,0.1438142027690934
2014-12-23,2561,2561,2561,2561,0,0.0
2014-12-24,2185,2185,2185,2185,449,-0.1468176493557204
2014-12-26,2185,2185,2185,2185,0,0.0
2014-12-29,2185,2185,2185,2185,0,0.0
2014-12-30,2511,2511,2002,2002,10787,-0.08375286041189933
2015-01-02,1832,1832,1832,1832,899,-0.08491508491508493
2015-01-05,1942,1942,1942,1942,0,0.06004366812227069
2015-01-06,2233,2233,2233,2233,178,0.14984552008238938
2015-01-07,2567,2567,2567,2567,3425,0.14957456336766684
2015-01-08,2900,2950,2245,2950,9027,0.1492014024152708
2015-01-09,2512,2525,2512,2525,11679,-0.14406779661016944
2015-01-12,2525,2525,2525,2525,899,0.0
2015-01-13,2525,2525,2525,2525,0,0.0
2015-01-14,2524,2572,2185,2185,30841,-0.13465346534653466
2015-01-15,2124,2124,2124,2124,88,-0.027917620137299815
2015-01-16,1972,1972,1972,1972,539,-0.07156308851224102
2015-01-19,1991,1991,1991,1991,88,0.00963488843813387
2015-01-20,1881,1881,1881,1881,88,-0.05524861878453036
2015-01-21,2160,2160,2160,2160,53,0.14832535885167464
2015-01-22,2482,2482,2482,2482,465053,0.14907407407407414
2015-01-23,2853,2853,2853,2853,981,0.1494762288477034
2015-01-26,3277,3277,2797,2798,6844,-0.019277953031896278
2015-01-27,3216,3216,2797,2798,269,0.0
2015-01-28,3216,3216,2615,2792,2271,-0.0021443888491780028
2015-01-29,3210,3210,3210,3210,269,0.14971346704871058
2015-01-30,3690,3690,3690,3690,2885,0.14953271028037385
2015-02-02,4240,4240,3137,3137,5682,-0.1498644986449864
2015-02-03,3605,3605,2669,3605,1099,0.149187121453618
2015-02-04,4146,4146,4146,4146,2885,0.15006934812760053
2015-02-05,4144,4758,4144,4758,178,0.1476121562952244
2015-02-06,5469,5469,5469,5469,3246,0.14943253467843642
2015-02-09,5469,5469,5469,5469,0,0.0
2015-02-10,5469,5469,5469,5469,0,0.0
2015-02-11,5469,5469,5469,5469,0,0.0
2015-02-12,5469,5469,5469,5469,0,0.0
2015-02-13,5585,5585,5585,5585,899,0.02121045895044804
2015-02-16,4747,4747,4747,4747,269,-0.15004476275738587
2015-02-17,5457,5457,5457,5457,88,0.14956814830419218
2015-02-23,5455,6215,5455,6215,178,0.13890415979475912
2015-02-24,5292,6483,5292,6483,1893,0.043121480289621816
2015-02-25,5511,5511,5511,5512,899,-0.14977633811507018
2015-02-26,4686,4686,4686,4686,8,-0.1498548621190131
2015-02-27,4254,4254,4254,4254,811,-0.09218950064020481
2015-03-02,3988,3988,3988,3988,88,-0.06252938410907383
2015-03-03,3950,4581,3763,3763,12634,-0.05641925777331991
2015-03-04,3944,3944,3944,3945,8,0.04836566569226686
2015-03-05,4248,4429,3884,3884,288,-0.01546261089987322
2015-03-06,3884,3884,3884,3884,0,0.0
2015-03-09,3301,3812,3301,3812,16,-0.018537590113285263
2015-03-10,3810,4368,3665,3884,16578,0.018887722980063026
2015-03-11,3944,3944,3301,3945,485,0.015705458290422136
2015-03-12,4533,4533,3666,3666,9748,-0.070722433460076
2015-03-13,3671,3702,3664,3702,3345,0.009819967266775809
2015-03-16,4006,4006,3678,4006,34,0.08211777417612098
2015-03-17,4005,4491,3824,3824,34,-0.04543185222166746
2015-03-18,4004,4004,3665,3945,3535,0.03164225941422605
2015-03-19,4485,4485,3684,4249,207,0.07705956907477818
2015-03-20,4886,4886,4454,4492,5420,0.05718992704165693
2015-03-23,3883,3883,3824,3824,604074,-0.14870881567230632
2015-03-24,3677,3677,3677,3678,899,-0.03817991631799167
2015-03-25,3702,4225,3702,4225,927,0.1487221315932572
2015-03-26,3897,3897,3897,3897,26,-0.07763313609467459
2015-03-27,3763,4480,3763,4480,1532,0.1496022581472929
2015-03-30,4121,4121,4121,4121,0,-0.08013392857142854
2015-03-31,3836,4729,3836,4729,991,0.14753700558116956
2015-04-01,4023,4850,4023,4850,178,0.025586804821315257
2015-04-02,4248,5214,4248,5214,178,0.07505154639175249
2015-04-03,5887,5887,4849,5821,269,0.11641733793632536
2015-04-06,6591,6591,5226,5226,107,-0.10221611406974751
2015-04-07,4898,6004,4734,6004,9569,0.14887102946804442
2015-04-08,5105,5105,5105,5105,1171,-0.14973351099267151
2015-04-09,4867,5796,4867,5796,107,0.13535749265426045
2015-04-10,5062,5062,5062,5062,0,-0.12663906142167014
2015-04-13,5760,5760,5760,5761,88,0.13808771236665351
2015-04-14,4898,4898,4898,4898,6312,-0.14980038187814615
2015-04-15,5579,5579,5579,5579,43,0.13903634136382204
2015-04-16,6051,6051,4747,4747,5571,-0.14913066857859836
2015-04-17,4747,4747,4747,4747,0,0.0
2015-04-20,4747,4747,4747,4747,4508,0.0
2015-04-21,4661,4661,4661,4661,88,-0.01811670528755005
2015-04-22,4734,4734,4734,4734,899,0.01566187513409134
2015-04-23,4734,4734,4734,4734,0,0.0
2015-04-24,5157,5444,5157,5444,7395,0.1499788762146177
2015-04-27,4971,4971,4971,4971,0,-0.08688464364437909
2015-04-28,4971,4971,4971,4971,0,0.0
2015-04-29,5457,5462,5457,5457,9108,0.0977670488835245
2015-04-30,5232,5232,5232,5232,0,-0.041231445849367776
2015-05-04,4995,4995,4995,4995,899,-0.04529816513761464
2015-05-06,4995,5433,4995,5433,991,0.08768768768768775
2015-05-07,4995,4995,4995,4995,88,-0.08061844284925457
2015-05-08,4995,4995,4995,4995,899,0.0
2015-05-11,4855,5026,4855,5026,207,0.006206206206206266
2015-05-12,5450,5450,5450,5451,8,0.08456028651014713
2015-05-13,5456,5463,5456,5463,178,0.0022014309301046087
2015-05-14,5189,5189,4959,4959,450,-0.09225700164744643
2015-05-15,5456,5456,4977,4977,25785,0.003629764065335772
2015-05-18,5457,5457,5457,5457,8,0.09644364074743828
2015-05-19,5456,5566,5456,5566,981,0.019974344878138206
2015-05-20,6397,6397,5463,5463,910,-0.018505210204814992
2015-05-21,5948,5948,5948,5948,8,0.08877905912502282
2015-05-22,6064,6064,5828,5828,30898,-0.02017484868863484
2015-05-26,5828,5828,5828,5828,6266,0.0
2015-05-27,5828,5828,5828,5828,0,0.0
2015-05-28,5828,5828,5828,5828,43,0.0
2015-05-29,5828,5828,5828,5828,0,0.0
2015-06-01,5828,5828,5828,5828,0,0.0
2015-06-02,6699,6699,5948,5948,1983,0.020590253946465298
2015-06-03,5948,5948,5948,5948,13619,0.0
2015-06-04,5948,5948,5948,5948,0,0.0
2015-06-05,5948,5948,5948,5948,0,0.0
2015-06-08,5948,5948,5948,5948,0,0.0
2015-06-09,5961,5961,5961,5961,2777,0.0021856086079354853
2015-06-10,5959,5959,5948,5948,5348,-0.0021808421405804523
2015-06-11,5948,5948,5948,5948,0,0.0
2015-06-12,5948,5948,5948,5948,10822,0.0
2015-06-15,5948,5948,5948,5948,0,0.0
2015-06-16,5828,5828,5828,5828,0,-0.02017484868863484
2015-06-17,5705,5705,5463,5463,1080,-0.06262868908716546
2015-06-18,5463,5463,5463,5463,0,0.0
2015-06-19,6069,6069,6069,6070,3787,0.11111111111111116
2015-06-22,5462,6064,5462,6064,16,-0.000988467874794119
2015-06-23,6064,6064,6064,6064,8,0.0
2015-06-24,6192,6192,6192,6192,899,0.02110817941952514
2015-06-25,6069,6069,6069,6070,7214,-0.019702842377260943
2015-06-26,6069,6069,6057,6070,12627,0.0
2015-06-29,6070,6312,6070,6131,36166,0.010049423393739598
2015-06-30,6130,6313,6130,6313,5410,0.029685206328494473
2015-07-01,5437,6663,5437,6543,1080,0.03643275780136235
2015-07-02,6542,6542,6542,6543,899,0.0
2015-07-03,6555,7515,6555,7515,3255,0.14855570839064658
2015-07-06,7646,7646,7282,7587,4383,0.009580838323353325
2015-07-07,7284,7599,7162,7576,5951,-0.001449848424937339
2015-07-08,7406,7406,7406,7406,0,-0.02243928194297784
2015-07-09,7162,7162,7162,7162,449,-0.032946259789359944
2015-07-10,7101,7101,7042,7042,1802,-0.016755096341803943
2015-07-13,6932,6932,6797,6932,4679,-0.015620562340244226
2015-07-14,7564,7564,7564,7564,134,0.09117137911136752
2015-07-15,7564,7564,7564,7564,0,0.0
2015-07-16,7576,7576,7576,7576,134,0.0015864621893177944
2015-07-17,7574,7648,7040,7648,5555,0.009503695881731833
2015-07-20,7649,7771,7649,7771,7277,0.016082635983263538
2015-07-21,7891,8839,7891,8839,3930,0.1374340496718569
2015-07-22,8862,9458,8850,9458,14160,0.0700305464419051
2015-07-23,8049,10866,8049,10077,566,0.06544724043138084
2015-07-24,11581,11581,9711,11291,657,0.12047236280639084
2015-07-27,11277,11302,11277,11302,1902,0.0009742272606501068
2015-07-28,12019,12019,9713,11413,495,0.009821270571580332
2015-07-29,11898,11898,11898,11899,449,0.0425830193638832
2015-07-30,11777,11837,11655,11838,3065,-0.005126481216908951
2015-07-31,11837,11837,11837,11838,134,0.0
2015-08-03,11532,11532,11532,11533,0,-0.025764487244467005
2015-08-04,11837,11837,11837,11838,16,0.026445851036157153
2015-08-05,11824,11824,10683,11655,837,-0.01545869234668018
2015-08-06,10913,11144,10913,11145,1630,-0.04375804375804371
2015-08-07,10573,11144,10573,11145,549,0.0
2015-08-10,11255,11255,9785,11255,1360,0.009869896814715062
2015-08-11,11255,11255,11255,11255,88,0.0
2015-08-12,10683,11253,10683,11133,1938,-0.010839626832518934
2015-08-13,11108,11108,10149,10927,2091,-0.018503548010419424
2015-08-17,10563,10782,10563,10782,891,-0.013269881943808959
2015-08-18,10683,10683,10077,10077,2713,-0.06538675570395103
2015-08-19,10076,10076,9469,9822,856,-0.025305150342363802
2015-08-20,9700,9700,9700,9700,178,-0.012421095499898227
2015-08-21,9166,9749,8801,9749,1659,0.005051546391752648
2015-08-24,8521,9663,8521,9663,1802,-0.008821417581290403
2015-08-25,9336,9336,8742,8742,207,-0.09531201490220431
2015-08-26,8523,9106,8523,9106,946,0.04163806909174106
2015-08-27,9457,9457,9106,9106,97,0.0
