Date,Open,High,Low,Close,Volume,Change
2006-02-01,2157,2357,1858,1956,3519114,
2006-02-02,2018,2080,1855,1885,1709831,-0.036298568507157514
2006-02-03,1830,1842,1632,1632,1256057,-0.13421750663129972
2006-02-06,1583,1802,1583,1704,1230328,0.044117647058823595
2006-02-07,1709,1741,1588,1594,1157488,-0.06455399061032863
2006-02-08,1553,1706,1551,1589,1259980,-0.0031367628607277265
2006-02-09,1616,1626,1533,1539,629358,-0.03146633102580243
2006-02-10,1546,1571,1468,1504,525270,-0.02274204028589999
2006-02-13,1514,1531,1463,1469,545917,-0.023271276595744683
2006-02-14,1453,1521,1448,1476,586054,0.004765146358066685
2006-02-15,1512,1517,1401,1404,794862,-0.04878048780487809
2006-02-16,1406,1446,1371,1429,468132,0.017806267806267817
2006-02-17,1436,1466,1411,1424,484367,-0.0034989503149055468
2006-02-20,1412,1414,1351,1374,439387,-0.0351123595505618
2006-02-21,1366,1391,1353,1361,535343,-0.009461426491994218
2006-02-22,1361,1417,1359,1399,430423,0.02792064658339455
2006-02-23,1447,1512,1401,1404,1266606,0.0035739814152966343
2006-02-24,1397,1414,1349,1354,500120,-0.035612535612535634
2006-02-27,1356,1366,1336,1356,330857,0.001477104874446189
2006-02-28,1359,1404,1338,1346,801660,-0.007374631268436627
2006-03-02,1346,1421,1346,1406,1124933,0.04457652303120363
2006-03-03,1409,1421,1336,1351,502874,-0.039118065433854876
2006-03-06,1339,1359,1328,1336,377244,-0.011102886750555152
2006-03-07,1316,1336,1241,1248,444395,-0.06586826347305386
2006-03-08,1249,1274,1231,1236,306111,-0.009615384615384581
2006-03-09,1235,1275,1231,1244,304398,0.006472491909385036
2006-03-10,1236,1249,1232,1246,200999,0.001607717041800738
2006-03-13,1249,1278,1249,1253,338318,0.00561797752808979
2006-03-14,1266,1279,1228,1241,216575,-0.009577015163607316
2006-03-15,1261,1261,1231,1236,243036,-0.0040290088638195165
2006-03-16,1228,1241,1145,1158,610551,-0.06310679611650483
2006-03-17,1154,1161,1118,1123,278678,-0.030224525043177852
2006-03-20,1111,1131,1086,1116,347950,-0.006233303650934996
2006-03-21,1115,1173,1096,1129,323953,0.011648745519713177
2006-03-22,1130,1173,1102,1104,170145,-0.02214348981399472
2006-03-23,1111,1163,1104,1133,504666,0.026268115942029047
2006-03-24,1135,1203,1135,1164,880522,0.027360988526037078
2006-03-27,1166,1198,1118,1138,274386,-0.022336769759450203
2006-03-28,1132,1153,1085,1093,225914,-0.039543057996485054
2006-03-29,1065,1089,1047,1060,435847,-0.03019213174748403
2006-03-30,1068,1096,1047,1078,335072,0.016981132075471805
2006-03-31,1071,1154,1071,1141,287430,0.05844155844155852
2006-04-03,1155,1183,1128,1182,281717,0.0359333917616127
2006-04-04,1197,1242,1166,1226,507474,0.0372250423011844
2006-04-05,1227,1253,1217,1239,195237,0.010603588907014627
2006-04-06,1253,1334,1242,1291,477870,0.04196933010492332
2006-04-07,1261,1314,1261,1281,234648,-0.0077459333849728695
2006-04-10,1266,1266,1217,1256,169356,-0.01951600312256052
2006-04-11,1241,1306,1226,1306,235099,0.039808917197452276
2006-04-12,1288,1489,1288,1454,1618075,0.11332312404287892
2006-04-13,1486,1486,1403,1424,586519,-0.02063273727647863
2006-04-14,1426,1526,1411,1504,928561,0.05617977528089879
2006-04-17,1481,1579,1456,1494,490309,-0.0066489361702127825
2006-04-18,1504,1554,1478,1494,582538,0.0
2006-04-19,1506,1526,1438,1444,296471,-0.03346720214190091
2006-04-20,1443,1448,1413,1431,160882,-0.009002770083102463
2006-04-21,1434,1451,1398,1401,144346,-0.02096436058700213
2006-04-24,1403,1466,1360,1466,321363,0.04639543183440398
2006-04-25,1463,1466,1408,1441,151923,-0.017053206002728527
2006-04-26,1415,1441,1385,1441,263124,0.0
2006-04-27,1442,1444,1404,1404,89459,-0.025676613462872977
2006-04-28,1393,1421,1328,1401,226221,-0.002136752136752129
2006-05-02,1382,1402,1354,1354,152629,-0.03354746609564596
2006-05-03,1376,1376,1263,1278,178370,-0.056129985228951296
2006-05-04,1278,1311,1253,1253,78398,-0.019561815336463173
2006-05-08,1241,1284,1226,1236,128269,-0.013567438148443745
2006-05-09,1231,1237,1218,1233,68110,-0.0024271844660194164
2006-05-10,1231,1276,1221,1236,130598,0.0024330900243310083
2006-05-11,1238,1349,1216,1291,444956,0.0444983818770226
2006-05-12,1278,1324,1253,1286,214752,-0.0038729666924864903
2006-05-15,1283,1286,1240,1253,127541,-0.025660964230171057
2006-05-16,1231,1261,1180,1183,218046,-0.05586592178770955
2006-05-17,1183,1195,1165,1194,61090,0.009298393913778513
2006-05-18,1130,1178,1103,1178,78821,-0.01340033500837523
2006-05-19,1153,1182,1153,1178,61867,0.0
2006-05-22,1173,1181,1128,1128,49707,-0.04244482173174868
2006-05-23,1110,1169,1065,1114,270000,-0.012411347517730542
2006-05-24,1093,1141,1080,1128,68216,0.012567324955116588
2006-05-25,1129,1148,1103,1103,54855,-0.022163120567375905
2006-05-26,1110,1183,1103,1178,125693,0.06799637352674526
2006-05-29,1227,1249,1173,1181,106202,0.002546689303905003
2006-05-30,1183,1234,1128,1152,97742,-0.024555461473327655
2006-06-01,1141,1150,1053,1071,140399,-0.0703125
2006-06-02,1079,1116,1065,1078,48342,0.006535947712418277
2006-06-05,1077,1128,1077,1094,62523,0.014842300556586308
2006-06-07,1055,1138,1017,1051,52772,-0.039305301645338186
2006-06-08,1008,1052,1006,1040,9943,-0.010466222645099887
2006-06-09,1039,1075,1034,1060,41504,0.019230769230769162
2006-06-12,1043,1068,1023,1050,60039,-0.009433962264150941
2006-06-13,1027,1040,998,1001,107270,-0.046666666666666634
2006-06-14,989,1017,980,1002,87517,0.0009990009990010762
2006-06-15,1008,1039,999,1002,63788,0.0
2006-06-16,1030,1053,1015,1039,250351,0.036926147704590795
2006-06-19,1020,1041,990,990,53520,-0.04716073147256983
2006-06-20,970,987,938,940,184908,-0.0505050505050505
2006-06-21,940,952,923,940,30838,0.0
2006-06-22,976,976,946,946,57070,0.006382978723404209
2006-06-23,932,952,924,949,35687,0.003171247357293794
2006-06-26,977,987,907,976,109744,0.028451001053740876
2006-06-27,958,1002,921,942,440015,-0.0348360655737705
2006-06-28,925,939,898,932,169217,-0.010615711252653925
2006-06-29,929,986,927,986,278977,0.05793991416309008
2006-06-30,992,1033,977,1004,203659,0.018255578093306246
2006-07-03,1003,1050,979,1045,169430,0.04083665338645415
2006-07-04,1053,1053,1032,1049,120046,0.00382775119617218
2006-07-05,1027,1041,997,997,215177,-0.04957102001906577
2006-07-06,1002,1012,982,982,85195,-0.015045135406218657
2006-07-07,992,1022,992,1015,116788,0.033604887983706755
2006-07-10,1015,1061,1013,1061,156171,0.045320197044334876
2006-07-11,1054,1078,1037,1059,59789,-0.0018850141376060003
2006-07-12,1057,1058,1039,1052,36609,-0.006610009442870601
2006-07-13,1032,1073,1032,1070,88539,0.017110266159695797
2006-07-14,1051,1052,1007,1007,75727,-0.058878504672897236
2006-07-18,1007,1027,951,1002,24521,-0.0049652432969214955
2006-07-19,977,1020,977,1000,39045,-0.001996007984031989
2006-07-20,1007,1040,996,1030,45901,0.030000000000000027
2006-07-21,1014,1047,999,1026,64874,-0.003883495145631022
2006-07-24,1035,1035,1016,1029,40009,0.0029239766081872176
2006-07-25,1027,1039,1002,1002,260793,-0.026239067055393583
2006-07-26,1008,1019,985,1002,128924,0.0
2006-07-27,994,1013,994,1004,66272,0.001996007984031989
2006-07-28,1001,1052,1000,1042,233821,0.03784860557768921
2006-07-31,1074,1118,1047,1118,318027,0.07293666026871404
2006-08-01,1129,1216,1115,1198,673067,0.07155635062611809
2006-08-02,1198,1271,1168,1177,460668,-0.017529215358931594
2006-08-03,1177,1203,1052,1128,389340,-0.041631265930331396
2006-08-04,1115,1182,1109,1163,327080,0.031028368794326244
2006-08-07,1159,1213,1159,1203,233887,0.03439380911435941
2006-08-08,1206,1253,1205,1234,365783,0.02576891105569401
2006-08-09,1216,1278,1212,1249,510993,0.012155591572123203
2006-08-10,1266,1286,1240,1253,394191,0.0032025620496396456
2006-08-11,1256,1278,1203,1222,212377,-0.024740622505985632
2006-08-14,1249,1249,1184,1201,443819,-0.017184942716857665
2006-08-16,1213,1339,1213,1326,696663,0.1040799333888427
2006-08-17,1311,1344,1273,1301,317676,-0.018853695324283604
2006-08-18,1286,1332,1281,1329,370929,0.021521906225979937
2006-08-21,1329,1384,1296,1296,1011853,-0.02483069977426633
2006-08-22,1308,1308,1223,1223,913055,-0.05632716049382713
2006-08-23,1229,1273,1229,1253,325095,0.024529844644317178
