Date,Open,High,Low,Close,Volume,Change
2008-11-25,1309,1474,1113,1128,12822945,
2008-11-26,1189,1294,1168,1296,917863,0.14893617021276606
2008-11-27,1421,1476,1296,1434,5299419,0.1064814814814814
2008-11-28,1521,1550,1305,1394,2757748,-0.02789400278940024
2008-12-01,1413,1460,1231,1232,2354224,-0.11621233859397417
2008-12-02,1169,1217,1144,1145,926592,-0.07061688311688308
2008-12-03,1196,1239,1129,1151,656345,0.005240174672489051
2008-12-04,1167,1185,1001,1017,803146,-0.11642050390964376
2008-12-05,1004,1040,949,1022,449928,0.004916420845624492
2008-12-08,1053,1172,1034,1114,1022184,0.09001956947162437
2008-12-09,1143,1150,1045,1047,547259,-0.060143626570915654
2008-12-10,1061,1105,1027,1084,449846,0.0353390639923592
2008-12-11,1089,1246,1048,1247,2416168,0.15036900369003692
2008-12-12,1282,1310,1077,1160,1796259,-0.06976744186046513
2008-12-15,1190,1258,1182,1192,738186,0.02758620689655178
2008-12-16,1186,1186,1131,1142,410286,-0.04194630872483218
2008-12-17,1162,1173,1100,1117,467677,-0.02189141856392296
2008-12-18,1118,1140,1097,1102,201878,-0.013428827215756445
2008-12-19,1091,1095,1059,1068,242322,-0.030852994555353952
2008-12-22,1059,1113,1059,1094,180845,0.02434456928838946
2008-12-23,1093,1100,1011,1064,165121,-0.027422303473491727
2008-12-24,1059,1135,1059,1117,888992,0.04981203007518786
2008-12-26,1132,1132,1053,1062,237926,-0.049239033124440446
2008-12-29,1083,1087,907,1086,403235,0.02259887005649719
2008-12-30,1083,1085,1044,1052,140581,-0.03130755064456725
2009-01-02,1062,1082,1029,1068,104738,0.015209125475285079
2009-01-05,1090,1090,1042,1044,233533,-0.022471910112359605
2009-01-06,1042,1147,1042,1086,467982,0.04022988505747116
2009-01-07,1096,1248,1091,1215,1587842,0.1187845303867403
2009-01-08,1156,1218,1136,1211,349139,-0.003292181069958877
2009-01-09,1219,1237,1166,1187,178134,-0.019818331957060287
2009-01-12,1166,1181,1086,1087,242846,-0.08424599831508006
2009-01-13,1070,1121,1055,1109,168091,0.020239190432382648
2009-01-14,1103,1155,1103,1146,129956,0.03336339044183956
2009-01-15,1116,1116,1059,1061,179919,-0.07417102966841183
2009-01-16,1076,1201,1076,1174,197730,0.10650329877474074
2009-01-19,1181,1181,1133,1170,136737,-0.0034071550255536653
2009-01-20,1149,1158,1112,1160,85401,-0.008547008547008517
2009-01-21,1118,1156,1080,1089,108583,-0.06120689655172418
2009-01-22,1119,1132,1091,1093,88456,0.0036730945821854544
2009-01-23,1092,1114,1076,1093,85933,0.0
2009-01-28,1117,1132,1099,1123,81942,0.027447392497712775
2009-01-29,1105,1144,1105,1120,75197,-0.00267141585040076
2009-01-30,1093,1117,1093,1120,67940,0.0
2009-02-02,1116,1163,1103,1148,221877,0.02499999999999991
2009-02-03,1177,1200,1138,1179,188521,0.027003484320557547
2009-02-04,1196,1220,1163,1204,199189,0.02120441051738764
2009-02-05,1202,1334,1187,1229,415672,0.020764119601328845
2009-02-06,1298,1298,1208,1241,234611,0.009764035801464566
2009-02-09,1261,1273,1204,1238,113102,-0.00241740531829171
2009-02-10,1217,1250,1217,1238,60556,0.0
2009-02-11,1223,1234,1189,1218,55941,-0.016155088852988664
2009-02-12,1216,1236,1174,1196,123042,-0.01806239737274218
2009-02-13,1198,1245,1175,1245,149429,0.04096989966555187
2009-02-16,1272,1274,1201,1203,83595,-0.03373493975903619
2009-02-17,1229,1235,1182,1213,233504,0.00831255195344971
2009-02-18,1196,1225,1177,1217,112389,0.0032976092333059093
2009-02-19,1219,1275,1198,1215,132513,-0.0016433853738702098
2009-02-20,1214,1382,1214,1255,679616,0.03292181069958855
2009-02-23,1243,1314,1230,1316,250699,0.04860557768924312
2009-02-24,1274,1306,1244,1250,136655,-0.050151975683890626
2009-02-25,1262,1357,1258,1279,249009,0.02320000000000011
2009-02-26,1285,1310,1238,1252,101607,-0.02111024237685688
2009-02-27,1257,1345,1257,1323,198381,0.05670926517571884
2009-03-02,1331,1432,1306,1382,486782,0.04459561602418738
2009-03-03,1306,1379,1280,1363,181836,-0.01374819102749636
2009-03-04,1368,1453,1363,1385,483635,0.01614086573734408
2009-03-05,1407,1430,1317,1335,267992,-0.03610108303249093
2009-03-06,1283,1332,1274,1295,165370,-0.029962546816479363
2009-03-09,1337,1393,1330,1395,314725,0.07722007722007729
2009-03-10,1396,1521,1384,1456,263986,0.043727598566308146
2009-03-11,1495,1505,1408,1444,195699,-0.008241758241758212
2009-03-12,1446,1476,1416,1471,132690,0.018698060941828354
2009-03-13,1530,1689,1495,1588,548476,0.07953772943575799
2009-03-16,1677,1824,1618,1825,637011,0.14924433249370272
2009-03-17,1908,1949,1750,1836,1333471,0.0060273972602740145
2009-03-18,1874,1920,1803,1880,393331,0.023965141612200425
2009-03-19,1967,1985,1848,1868,393513,-0.006382978723404209
2009-03-20,1905,1930,1792,1831,673620,-0.019807280513918668
2009-03-23,1852,1858,1780,1825,289445,-0.003276897870016393
2009-03-24,1855,2005,1790,1961,482336,0.07452054794520557
2009-03-25,1961,2005,1898,1931,257123,-0.015298317185109656
2009-03-26,1981,1981,1866,1890,282782,-0.021232522009321575
2009-03-27,1897,1971,1829,1842,389758,-0.025396825396825418
2009-03-30,1851,1851,1682,1743,449488,-0.05374592833876224
2009-03-31,1731,1769,1722,1733,165074,-0.005737234652897327
2009-04-01,1767,1857,1749,1791,215429,0.033467974610501994
2009-04-02,1835,1845,1798,1828,365676,0.02065884980457855
2009-04-03,1864,1916,1789,1791,445521,-0.020240700218818408
2009-04-06,1831,1831,1756,1781,315003,-0.005583472920156374
2009-04-07,1778,1832,1753,1805,287436,0.013475575519371175
2009-04-08,1812,1894,1772,1846,419432,0.022714681440443307
