Date,Open,High,Low,Close,Volume,Change
2010-03-26,8224,9459,8224,9460,750536,
2010-03-29,10860,10860,10486,10861,786769,0.1480972515856236
2010-03-30,11028,11028,9794,10057,1636811,-0.0740263327502072
2010-03-31,10037,10636,8598,8973,846556,-0.1077856219548573
2010-04-01,9233,9420,8411,9104,851396,0.014599353616404853
2010-04-02,8878,9046,8168,8318,446399,-0.086335676625659
2010-04-05,8561,9551,8486,8973,1741170,0.0787448905987016
2010-04-06,8934,8934,8018,8169,626726,-0.08960213975259113
2010-04-07,8299,8317,6953,6954,1098578,-0.1487330150569225
2010-04-08,6822,7326,6484,7028,1057498,0.010641357492090942
2010-04-09,7214,7513,6878,7309,852231,0.03998292544109283
2010-04-12,7477,7515,7009,7067,283784,-0.03310986455055409
2010-04-13,7177,8112,7047,8113,1282238,0.1480118862317814
2010-04-14,8486,9139,8411,8562,1119739,0.05534327622334523
2010-04-15,8673,9028,8411,8824,692018,0.0306003270263957
2010-04-16,8990,9195,8448,8524,521581,-0.03399818676337263
2010-04-19,8392,8821,8093,8094,251560,-0.05044580009385269
2010-04-20,8261,8560,8018,8094,270229,0.0
2010-04-21,8205,8953,8186,8730,545381,0.07857672349888811
2010-04-22,8859,8953,8466,8524,253414,-0.023596792668957645
2010-04-23,8616,8821,8448,8786,288493,0.030736743312998582
2010-04-26,8897,9308,8765,8786,520386,0.0
2010-04-27,8710,8859,8336,8412,249423,-0.0425677213749146
2010-04-28,8132,8786,8094,8656,288477,0.02900618164526869
2010-04-29,8729,8767,8281,8282,180787,-0.04320702402957488
2010-04-30,8355,8560,8243,8244,218216,-0.0045882637044192265
2010-05-03,8149,8223,7476,7664,227884,-0.0703541969917516
2010-05-04,7757,7833,7271,7291,163652,-0.04866910229645094
2010-05-06,7027,7308,6915,7141,133684,-0.020573309559731134
2010-05-07,6841,7365,6729,7291,139372,0.021005461419969285
2010-05-10,7419,7644,7363,7533,79281,0.03319160608969973
2010-05-11,7624,7624,7158,7159,94869,-0.049648214522766465
2010-05-12,7233,7253,6973,6973,114252,-0.025981282301997477
2010-05-13,7083,7738,7046,7608,215802,0.09106553850566468
2010-05-14,7532,7738,7457,7664,129389,0.007360672975814886
2010-05-17,7514,7607,7121,7122,103948,-0.07072025052192066
2010-05-18,7289,7289,6784,6879,78226,-0.03411962931760737
2010-05-19,6803,7064,6728,6861,49881,-0.002616659398168353
2010-05-20,6841,7028,5831,6001,125080,-0.12534615945197491
2010-05-24,5906,6168,5682,5944,73318,-0.009498416930511566
2010-05-25,5868,5868,5064,5065,276992,-0.14788021534320328
2010-05-26,5270,5756,5139,5683,165403,0.12201382033563668
2010-05-27,5587,5961,5457,5607,102751,-0.013373218370578921
2010-05-28,5738,6204,5738,5739,275755,0.023542001070090857
2010-05-31,5738,5924,5738,5776,66625,0.006447116222338289
2010-06-01,5811,6110,5737,5832,116175,0.00969529085872578
2010-06-03,6017,6129,5868,5925,101638,0.015946502057613277
2010-06-04,5979,6279,5830,6206,161002,0.04742616033755276
2010-06-07,6054,6484,5905,6206,271982,0.0
2010-06-08,6260,6448,6018,6113,150573,-0.014985497905252942
2010-06-09,6130,6130,5775,5907,118166,-0.033698674955013885
2010-06-10,5868,6017,5755,5888,96876,-0.003216522769595387
2010-06-11,6017,6727,5943,6206,629222,0.05400815217391308
2010-06-14,6241,6353,6054,6206,127423,0.0
