Date,Open,High,Low,Close,Volume,Change
2000-04-27,454125,467992,454125,463400,38,
2000-04-28,430939,463400,430939,463400,28,0.0
2000-05-02,454125,505089,454125,505089,116,0.08996331463098839
2000-05-03,472674,491178,458762,491178,174,-0.027541680773091493
2000-05-04,454125,491178,454125,491178,25,0.0
2000-05-08,486541,486541,463355,486541,161,-0.0094405694066102
2000-05-09,495814,495814,472628,481903,138,-0.009532598486047372
2000-05-10,463400,463400,430939,463400,164,-0.03839569373919649
2000-05-12,463400,481903,463400,463400,12,0.0
2000-05-15,435577,463400,435577,463400,13,0.0
2000-05-16,454125,454125,403117,403117,77,-0.13008847647820454
2000-05-17,398479,440213,398479,412391,220,0.023005727865607284
2000-05-18,403116,440213,403116,412391,86,0.0
2000-05-19,412436,440214,412436,440214,8,0.06746752475199513
2000-05-22,440213,440213,379976,379976,17,-0.13683799243095407
2000-05-23,417028,417028,352153,352153,5,-0.0732230456660421
2000-05-24,324375,393887,324375,389250,25,0.10534341607199149
2000-05-25,389250,412391,389250,412391,78,0.05945022479126516
2000-05-26,412391,412391,379976,407754,13,-0.011244183311468925
2000-05-29,370702,393887,370702,370702,76,-0.09086851385884631
2000-05-30,426348,426348,324375,426348,469,0.15010979169251848
2000-05-31,463400,463400,384613,393888,315,-0.07613498831940102
2000-06-01,417028,417028,375339,398525,190,0.011772381996912884
2000-06-02,398524,398524,375338,384613,71,-0.03490872592685523
2000-06-05,384613,384613,379976,379976,666,-0.012056274748903473
2000-06-07,379975,393887,379975,384613,267,0.012203402320146495
2000-06-08,384613,384613,375338,379976,178,-0.012056274748903473
2000-06-09,370699,393888,366065,393888,205,0.03661283870560239
2000-06-12,389250,393887,375335,389250,69,-0.011774920789666132
2000-06-13,366064,426302,352198,370702,228,-0.047650610147719985
2000-06-14,370701,389250,370701,389250,237,0.05003479884111761
2000-06-15,370701,370701,352153,352153,81,-0.09530378933847139
2000-06-16,347561,366065,347561,366065,50,0.03950555582374715
2000-06-19,342879,342879,324375,333650,175,-0.08854984770464258
2000-06-20,324375,342924,310464,310464,97,-0.06949198261651435
2000-06-21,310463,342879,310463,342879,160,0.10440824056895481
2000-06-22,338239,338239,296552,338242,160,-0.013523721196107119
2000-06-23,347516,347516,319738,333650,30,-0.013576078665570757
2000-06-26,315101,329012,305826,310464,230,-0.06949198261651435
2000-06-27,310464,310464,305826,310464,75,0.0
2000-06-28,287277,324375,287277,324375,279,0.044807127396413016
2000-06-29,319738,324375,301189,319738,96,-0.014295183044315984
2000-06-30,319737,361472,310463,361472,135,0.13052561784961436
2000-07-03,333649,347516,333649,338242,213,-0.06426500531161472
