Date,Open,High,Low,Close,Volume,Change
2003-02-11,2671,2671,2671,2673,1081182,
2003-02-12,2990,2990,2832,2994,1632407,0.12008978675645343
2003-02-13,3349,3349,2635,2639,1830114,-0.11857047428189715
2003-02-14,2319,2455,2319,2323,2442222,-0.1197423266388784
2003-02-17,2348,2479,2105,2174,1503737,-0.06414119672836849
2003-02-18,2116,2270,1962,2162,1956907,-0.005519779208831621
2003-02-19,2242,2416,2139,2191,2490455,0.013413506012950993
2003-02-20,2110,2205,1957,1963,1353824,-0.1040620721131903
2003-02-21,1943,1986,1795,1803,883999,-0.08150789607743247
2003-02-24,1796,1897,1792,1798,923129,-0.002773155851358844
2003-02-25,1780,1827,1777,1808,445559,0.005561735261401468
2003-02-26,1817,1921,1810,1833,966886,0.01382743362831862
2003-02-27,1796,1873,1788,1841,623384,0.004364429896344779
2003-02-28,1871,1905,1825,1846,591062,0.0027159152634437245
2003-03-03,1857,1963,1857,1920,655236,0.04008667388949072
2003-03-04,1896,1927,1797,1838,495438,-0.04270833333333335
2003-03-05,1800,1800,1750,1798,357502,-0.021762785636561532
2003-03-06,1800,1862,1792,1798,677495,0.0
2003-03-07,1755,1826,1755,1798,850558,0.0
2003-03-10,1740,1812,1579,1585,1155973,-0.1184649610678532
2003-03-11,1395,1395,1392,1396,148733,-0.11924290220820188
2003-03-12,1226,1377,1226,1269,1032388,-0.09097421203438394
2003-03-13,1286,1318,1119,1129,729426,-0.11032308904649335
2003-03-14,1191,1256,1184,1256,806932,0.11248892825509293
2003-03-17,1212,1229,1102,1174,534320,-0.0652866242038217
2003-03-18,1229,1272,1193,1229,193211,0.046848381601362954
2003-03-19,1287,1295,1230,1274,141127,0.03661513425549234
2003-03-20,1307,1378,1275,1382,195770,0.08477237048665609
2003-03-21,1417,1417,1349,1389,121837,0.005065123010130179
2003-03-24,1395,1521,1342,1425,356608,0.02591792656587466
2003-03-25,1335,1435,1312,1360,134272,-0.04561403508771933
2003-03-26,1368,1495,1368,1443,130881,0.06102941176470589
2003-03-27,1425,1526,1425,1492,119270,0.033957033957033866
2003-03-28,1538,1618,1501,1560,243731,0.04557640750670244
