Date,Open,High,Low,Close,Volume,Change
2000-04-27,2587,2638,2505,2558,209097,
2000-04-28,2505,2769,2505,2683,302298,0.04886630179828
2000-05-02,2800,2800,2724,2744,283760,0.022735743570629907
2000-05-03,2724,2769,2677,2697,172344,-0.017128279883381947
2000-05-04,2675,2933,2675,2776,557099,0.02929180571004819
2000-05-08,2952,2952,2742,2761,261041,-0.005403458213256496
2000-05-09,2800,2829,2706,2764,241532,0.0010865628395508864
2000-05-10,2716,2790,2692,2772,234902,0.0028943560057888007
2000-05-12,2770,2862,2666,2761,474111,-0.003968253968253954
2000-05-15,2739,2934,2676,2908,1124780,0.05324157913799343
2000-05-16,3011,3086,2710,2744,1115162,-0.0563961485557084
2000-05-17,2768,2844,2590,2601,615212,-0.05211370262390669
2000-05-18,2557,2557,2255,2365,319710,-0.09073433294886579
2000-05-19,2314,2386,2223,2365,253974,0.0
2000-05-22,2361,2361,2125,2139,211021,-0.0955602536997886
2000-05-23,2135,2135,2002,2065,129057,-0.03459560542309492
2000-05-24,1959,2166,1959,2108,236192,0.020823244552058195
2000-05-25,2109,2381,2109,2365,424257,0.12191650853889935
2000-05-26,2312,2315,2109,2116,255730,-0.10528541226215649
2000-05-29,2073,2215,2044,2200,243224,0.03969754253308122
2000-05-30,2227,2331,2213,2274,191812,0.033636363636363686
2000-05-31,2342,2435,2337,2374,480018,0.043975373790677175
2000-06-01,2343,2556,2307,2501,460277,0.053496208930075895
2000-06-02,2588,2639,2437,2495,469068,-0.002399040383846418
2000-06-05,2525,2633,2525,2624,427540,0.051703406813627284
2000-06-07,2708,3011,2682,3014,879401,0.14862804878048785
2000-06-08,3010,3160,2709,2772,866432,-0.08029197080291972
2000-06-09,2771,2909,2716,2772,435803,0.0
2000-06-12,2919,3176,2919,3179,2148664,0.14682539682539675
2000-06-13,3127,3219,2812,2921,1111880,-0.08115759672853096
2000-06-14,3100,3100,2898,2976,687518,0.018829168093118742
2000-06-15,2865,2945,2708,2722,375271,-0.08534946236559138
2000-06-16,2559,2748,2559,2607,475074,-0.042248346803820724
2000-06-19,2587,2644,2537,2578,346746,-0.011123897199846522
2000-06-20,2633,2768,2592,2624,369928,0.01784328937160584
2000-06-21,2675,2704,2535,2624,428175,0.0
2000-06-22,2647,2737,2647,2697,455239,0.027820121951219523
2000-06-23,2652,2767,2629,2714,283091,0.006303299962921782
2000-06-26,2754,2980,2754,2890,648583,0.0648489314664702
2000-06-27,2828,2881,2781,2832,456198,-0.02006920415224911
2000-06-28,2871,2916,2845,2863,436298,0.01094632768361592
2000-06-29,2781,2865,2752,2772,240206,-0.0317848410757946
2000-06-30,2821,2821,2739,2767,143954,-0.0018037518037518074
2000-07-03,2859,2859,2724,2772,228131,0.0018070112034693775
2000-07-04,2814,2890,2755,2759,410061,-0.004689754689754744
2000-07-05,2771,2786,2603,2710,202061,-0.017760057992026068
2000-07-06,2740,2918,2708,2811,957444,0.03726937269372699
2000-07-07,2888,2891,2822,2856,535440,0.016008537886873064
2000-07-10,2843,2911,2821,2832,432882,-0.008403361344537785
2000-07-11,2932,2932,2768,2772,554413,-0.021186440677966156
2000-07-12,2812,3069,2798,2935,1126272,0.058802308802308856
2000-07-13,2913,2913,2805,2856,298552,-0.02691652470187389
2000-07-14,2788,2829,2709,2722,348007,-0.046918767507002856
2000-07-18,2751,2767,2676,2691,182097,-0.011388684790595183
2000-07-19,2675,2675,2524,2559,263126,-0.04905239687848384
2000-07-20,2556,2583,2466,2501,154932,-0.022665103556076538
2000-07-21,2528,2608,2514,2546,101965,0.017992802878848524
2000-07-24,2562,2572,2348,2355,180304,-0.07501963864886096
2000-07-25,2334,2430,2330,2413,125808,0.024628450106157107
2000-07-26,2379,2436,2346,2397,137084,-0.006630750103605476
2000-07-27,2402,2497,2348,2397,181097,0.0
2000-07-28,2390,2437,2304,2320,115823,-0.03212348769294948
2000-07-31,2316,2316,2256,2320,83089,0.0
2000-08-01,2315,2384,2315,2370,110883,0.02155172413793105
2000-08-02,2551,2551,2438,2442,236360,0.030379746835442978
2000-08-03,2498,2509,2418,2444,179841,0.0008190008190007703
2000-08-04,2411,2468,2379,2389,67102,-0.022504091653027802
2000-08-07,2378,2378,2285,2291,98381,-0.04102134784428635
2000-08-08,2286,2401,2278,2281,98413,-0.004364906154517678
2000-08-09,2286,2339,2286,2328,94032,0.020604997807978975
2000-08-10,2320,2360,2286,2357,101265,0.012457044673539475
2000-08-11,2361,2404,2340,2381,109620,0.010182435299109116
2000-08-14,2407,2477,2378,2442,141298,0.025619487610247793
2000-08-16,2431,2458,2389,2411,135627,-0.012694512694512716
2000-08-17,2350,2444,2350,2397,73136,-0.005806719203649946
2000-08-18,2422,2422,2351,2363,80234,-0.014184397163120588
2000-08-21,2315,2345,2315,2328,70283,-0.014811680067710498
2000-08-22,2323,2359,2318,2333,65145,0.0021477663230240474
2000-08-23,2317,2345,2300,2304,93831,-0.01243034719245606
2000-08-24,2300,2354,2273,2347,77182,0.01866319444444442
2000-08-25,2362,2375,2294,2320,48494,-0.011504047720494293
2000-08-28,2307,2327,2255,2291,106305,-0.012499999999999956
2000-08-29,2317,2330,2289,2298,57943,0.0030554343081623525
