Date,Open,High,Low,Close,Volume,Change
2007-07-31,2820,2885,2399,2405,7774003,
2007-08-01,2425,2524,2340,2365,2558996,-0.016632016632016633
2007-08-02,2477,2477,2262,2372,1045880,0.0029598308668075113
2007-08-03,2366,2399,2294,2313,1010322,-0.024873524451939244
2007-08-06,2268,2353,2262,2281,731166,-0.013834846519671373
2007-08-07,2307,2340,2215,2287,625563,0.002630425252082347
2007-08-08,2308,2320,2210,2216,869056,-0.031045037166593792
2007-08-09,2208,2214,2097,2155,1240300,-0.027527075812274315
2007-08-10,2097,2177,2031,2129,628111,-0.012064965197215782
2007-08-13,2130,2163,2097,2115,310446,-0.006575857209957681
2007-08-14,2117,2117,2006,2070,590250,-0.021276595744680882
2007-08-16,1965,2071,1835,1978,950604,-0.0444444444444444
2007-08-17,1963,2016,1865,1894,490594,-0.04246713852376138
2007-08-20,1926,1985,1900,1938,505789,0.023231256599788752
2007-08-21,1907,2031,1907,1998,381363,0.030959752321981338
2007-08-22,1980,2148,1980,2110,677403,0.056056056056056125
2007-08-23,2116,2148,2045,2077,394161,-0.01563981042654028
2007-08-24,2097,2124,2058,2124,554429,0.022628791526239755
2007-08-27,2143,2143,2064,2083,352656,-0.019303201506591372
2007-08-28,2057,2097,2017,2052,170984,-0.014882381180988946
2007-08-29,1981,2079,1981,2083,178465,0.015107212475633514
2007-08-30,2110,2110,1980,2103,229179,0.009601536245799291
2007-08-31,2064,2111,2050,2083,122482,-0.00951022349025199
2007-09-03,2071,2090,2045,2077,147000,-0.002880460873739832
2007-09-04,2070,2078,2045,2065,239129,-0.005777563793933571
2007-09-05,2057,2064,2024,2052,210599,-0.006295399515738542
2007-09-06,2024,2057,2017,2052,265069,0.0
2007-09-07,2071,2071,1998,2032,396261,-0.00974658869395717
2007-09-10,2012,2031,1972,2005,310150,-0.013287401574803126
2007-09-11,1998,2005,1959,1998,501606,-0.003491271820448838
2007-09-12,1985,2045,1964,1985,197237,-0.006506506506506526
2007-09-13,2050,2050,1972,2032,161769,0.023677581863979835
2007-09-14,2057,2083,2024,2057,310888,0.012303149606299302
2007-09-17,2090,2124,2071,2129,427307,0.03500243072435594
2007-09-18,2115,2195,2115,2149,473982,0.009394081728510972
2007-09-19,2176,2176,2097,2155,352975,0.0027919962773383933
2007-09-20,2148,2148,2045,2110,169765,-0.02088167053364265
2007-09-21,2097,2157,2070,2155,220829,0.021327014218009532
