Date,Open,High,Low,Close,Volume,Change
2015-10-22,21857,21857,21544,21761,109374,
2015-10-23,21865,21865,21656,21713,30398,-0.002205780984329775
2015-10-26,21857,21857,21704,21761,16159,0.0022106572099662714
2015-10-27,21865,21865,21760,21817,9993,0.00257341114838483
2015-10-28,21913,21913,21808,21865,6863,0.002200119173121795
2015-10-29,21961,21961,21752,21865,10909,0.0
2015-10-30,21961,21961,21808,21865,8121,0.0
2015-11-02,21961,21961,21752,21761,7080,-0.004756460096043913
2015-11-03,21761,21865,21713,21713,4869,-0.002205780984329775
2015-11-04,21705,21705,21592,21657,253,-0.0025791000782940943
2015-11-05,21544,21648,21384,21657,1899,0.0
2015-11-06,21232,21649,21232,21601,1771,-0.0025857690354158525
2015-11-09,21497,21553,21240,21345,859,-0.011851303180408279
2015-11-10,21713,21713,21184,21449,541,0.004872335441555409
2015-11-11,21441,21441,21280,21393,103,-0.0026108443284069693
2015-11-12,21288,21288,21079,21136,2502,-0.012013275370448273
2015-11-13,21079,21136,21079,21136,478,0.0
2015-11-16,21136,21240,21032,21032,1134,-0.0049205147615443146
2015-11-17,21023,21128,20919,21080,1711,0.0022822365918599985
2015-11-18,20975,21080,20975,21032,512,-0.002277039848197382
2015-11-19,21032,21032,20927,21032,219,0.0
2015-11-20,21080,21080,21032,21032,191,0.0
2015-11-23,20927,21032,20871,21032,7103,0.0
2015-11-24,21032,21032,20871,21032,2692,0.0
2015-11-25,20927,21032,20871,21032,8119,0.0
2015-11-26,21032,21032,20928,20928,1032,-0.004944845949029997
2015-11-27,20928,21032,20871,20928,971,0.0
2015-11-30,20927,21032,20927,21032,1413,0.00496941896024472
2015-12-01,20928,20976,20928,20928,39,-0.004944845949029997
2015-12-02,20928,20976,20928,20928,278,0.0
2015-12-03,20927,21032,20871,21032,11733,0.00496941896024472
2015-12-04,21024,21024,20967,20976,412,-0.0026626093571699982
2015-12-07,20871,20928,20871,20928,96,-0.0022883295194507935
2015-12-08,20920,20920,20863,20872,200,-0.0026758409785933024
2015-12-09,20871,20928,20871,20928,916,0.00268302031429668
2015-12-10,20928,20928,20815,20928,377,0.0
2015-12-11,21032,21032,20824,20824,1057,-0.004969418960244609
2015-12-14,20928,20928,20824,20824,4,0.0
2015-12-15,20928,20928,20815,20928,1172,0.0049942374183633564
2015-12-16,20928,20928,20815,20928,618,0.0
2015-12-17,20928,20928,20871,20928,137,0.0
2015-12-18,20928,20928,20928,20928,96,0.0
2015-12-21,20824,20824,20824,20824,124,-0.004969418960244609
2015-12-22,20863,20863,20863,20872,574,0.0023050326546292244
2015-12-23,20815,20863,20759,20872,102,0.0
2015-12-24,20767,20928,20767,20824,41,-0.002299731697968599
2015-12-28,20824,20872,20768,20768,1906,-0.002689204763734132
2015-12-29,20928,20976,20815,20928,1260,0.007704160246533087
2015-12-30,20928,20928,20815,20928,1486,0.0
2016-01-04,20928,20928,20824,20824,80,-0.004969418960244609
2016-01-05,20824,20824,20824,20824,0,0.0
2016-01-06,20920,20920,20759,20872,584,0.0023050326546292244
2016-01-07,20815,20928,20815,20928,500,0.00268302031429668
2016-01-08,20928,20928,20815,20928,334,0.0
2016-01-11,20824,20976,20824,20824,47,-0.004969418960244609
2016-01-12,20815,20967,20815,20976,639,0.007299270072992803
2016-01-13,20863,20968,20863,20872,68,-0.0049580472921434415
2016-01-14,20824,20824,20824,20824,140,-0.002299731697968599
2016-01-15,20928,20928,20815,20928,182,0.0049942374183633564
2016-01-18,20928,20928,20871,20928,66,0.0
2016-01-19,20976,20976,20928,20928,1991,0.0
2016-01-20,20928,20928,20503,20664,774,-0.012614678899082521
2016-01-21,20815,20920,20655,20872,309,0.010065814943863716
2016-01-22,20871,20976,20871,20928,2089,0.00268302031429668
2016-01-25,20872,20872,20664,20664,415,-0.012614678899082521
2016-01-26,20920,20920,20703,20712,1269,0.0023228803716608404
2016-01-27,20920,20920,20703,20712,739,0.0
