Date,Open,High,Low,Close,Volume,Change
2010-11-05,87248,88194,79740,80730,352768,
2010-11-08,82620,83474,79425,81225,72897,0.006131549609810438
2010-11-09,82302,83022,78705,78750,42043,-0.030470914127423865
2010-11-10,78072,79737,76455,77445,34772,-0.01657142857142857
2010-11-11,77715,86265,77625,83565,129708,0.07902382335851255
2010-11-12,88647,95709,81363,88515,293805,0.059235325794291915
2010-11-15,81714,82929,75240,75375,269979,-0.1484494153533299
2010-11-16,76947,77397,69348,75285,78549,-0.0011940298507462366
2010-11-17,76407,78567,73980,77175,49437,0.025104602510460206
2010-11-18,76455,79737,76275,78930,45254,0.02274052478134103
2010-11-19,80055,82215,78030,78030,52074,-0.011402508551881407
2010-11-22,78792,79737,76725,77895,25807,-0.0017301038062284002
2010-11-23,78522,79557,77040,77895,20652,0.0
2010-11-24,73710,76770,73395,76140,27355,-0.022530329289428108
2010-11-25,80682,82842,78255,78660,55818,0.03309692671394804
2010-11-26,79605,79605,74835,75960,33599,-0.034324942791762014
2010-11-29,75960,76995,75015,75015,11572,-0.012440758293838838
2010-11-30,74922,75555,73482,73710,13487,-0.01739652069586084
2010-12-01,73395,73800,69840,70695,25388,-0.04090354090354087
2010-12-02,71145,73395,71055,71820,15531,0.01591343093570985
2010-12-03,72000,74427,70605,70605,11583,-0.016917293233082664
2010-12-06,70965,71055,68265,68535,17546,-0.029318036966220484
2010-12-07,69075,70020,66735,68535,12541,0.0
2010-12-08,68625,68805,67005,67410,8747,-0.01641497045305318
2010-12-09,67815,69972,67275,68040,14917,0.009345794392523255
2010-12-10,68535,68805,67770,68445,8770,0.005952380952380931
2010-12-13,69255,71235,68445,70425,12283,0.028928336620644313
2010-12-14,70515,71547,69747,70425,8940,0.0
2010-12-15,70875,71325,69165,69660,6860,-0.010862619808306717
2010-12-16,69120,70467,67275,70020,14344,0.0051679586563306845
2010-12-17,69972,70827,67905,68895,5218,-0.016066838046272514
2010-12-20,68535,68535,63539,66465,15378,-0.03527106466361851
2010-12-21,66645,68985,66645,68265,7123,0.02708192281652
2010-12-22,69342,69342,67275,68130,4225,-0.0019775873434410007
2010-12-23,68667,69207,66960,67860,7069,-0.003963011889035695
2010-12-24,68262,68715,67095,67590,4386,-0.003978779840848823
2010-12-27,68040,68535,66645,67230,5743,-0.005326231691078598
2010-12-28,67992,67992,66330,67095,5953,-0.002008032128514081
2010-12-29,66597,67047,65835,65880,5016,-0.01810865191146882
2010-12-30,65880,67410,65340,66285,5930,0.006147540983606481
2011-01-03,66510,69792,66060,69255,10898,0.044806517311609007
2011-01-04,70290,70290,68622,69390,6340,0.0019493177387914784
2011-01-05,69345,73662,67905,72090,22689,0.03891050583657596
2011-01-06,72717,74022,70560,71325,10429,-0.01061173533083648
2011-01-07,71820,76995,70875,72585,54902,0.01766561514195586
2011-01-10,72267,72945,69930,70425,14068,-0.029758214507129566
2011-01-11,70557,70647,69210,69930,5885,-0.007028753993610248
2011-01-12,69930,73890,69255,72945,11459,0.04311454311454321
2011-01-13,72540,76362,72540,73215,18628,0.0037014188772361845
2011-01-14,73527,74562,71595,73305,5930,0.0012292562999385304
2011-01-17,73530,78792,73260,77895,30033,0.0626151012891345
2011-01-18,77712,79692,76590,78210,19606,0.004043905257076874
2011-01-19,78075,79830,76455,79875,14112,0.02128883774453394
2011-01-20,81585,81675,77895,78480,17888,-0.01746478873239432
2011-01-21,79335,79335,76680,76905,7594,-0.02006880733944949
2011-01-24,76140,77265,76050,76050,6506,-0.011117612638970154
2011-01-25,76947,77127,72630,73395,12386,-0.034911242603550274
2011-01-26,73167,73347,72045,72180,5131,-0.016554261189454356
2011-01-27,72897,73662,71010,72360,5612,0.0024937655860348684
2011-01-28,71772,73167,71100,71145,3463,-0.016791044776119368
2011-01-31,69207,70917,68220,68805,7890,-0.03289057558507269
2011-02-01,68670,70377,68310,68895,4279,0.001308044473512071
2011-02-07,69390,70200,68355,68355,5939,-0.007838014369693003
2011-02-08,70695,70695,68445,68535,4339,0.0026333113890717463
2011-02-09,68622,68982,66645,67230,5862,-0.019041365725541715
2011-02-10,66690,70152,66600,69255,4611,0.030120481927710774
2011-02-11,69210,70917,68850,70020,4889,0.011046133853151341
2011-02-14,70377,70827,69120,69930,2172,-0.0012853470437017567
2011-02-15,70290,70290,67227,68265,5714,-0.023809523809523836
2011-02-16,68487,69972,67545,68130,4320,-0.0019775873434410007
2011-02-17,68082,69207,67050,67095,4999,-0.015191545574636756
2011-02-18,67050,67905,67050,67950,1340,0.012743125419181656
2011-02-21,67902,68082,66420,67095,5407,-0.012582781456953684
2011-02-22,67047,67452,64800,65610,3529,-0.02213279678068414
