Date,Open,High,Low,Close,Volume,Change
2000-04-27,41970,43095,39270,40305,10738,
2000-04-28,40530,41535,38055,39180,16175,-0.027912169705991863
2000-05-02,38160,41205,38055,39855,22039,0.017228177641653852
2000-05-03,41760,44580,40980,44580,14246,0.11855476100865636
2000-05-04,49830,49830,45450,49290,59944,0.10565275908479133
2000-05-08,48930,53545,46695,47385,42476,-0.03864881314668289
2000-05-09,48270,48495,44340,46950,26566,-0.009180120291231386
2000-05-10,46575,52545,45240,52545,54513,0.11916932907348232
2000-05-12,58365,58825,55005,58845,54012,0.11989723094490445
2000-05-15,61754,65565,55110,60195,65952,0.022941626306398177
2000-05-16,57270,58380,52995,52995,19346,-0.11961126339396955
2000-05-17,52980,55345,46710,46725,18164,-0.11831304840079249
2000-05-18,42075,43770,41190,41205,20099,-0.11813804173354736
2000-05-19,36490,40425,36270,36945,35894,-0.10338551146705499
2000-05-22,34890,37590,32550,32565,17544,-0.11855460820138042
2000-05-23,29835,31409,28725,28740,23941,-0.1174573929064947
2000-05-24,29055,29055,25350,27510,24328,-0.04279749478079331
2000-05-25,29190,30765,29190,30765,17137,0.11832061068702293
2000-05-26,32535,33315,27149,28065,27698,-0.08776206728425162
2000-05-29,30075,31425,28050,31425,33711,0.119722073757349
2000-05-30,31980,35130,31410,35145,61308,0.11837708830548932
2000-05-31,36825,38505,34800,35925,60104,0.02219376867264189
2000-06-01,35235,37380,33225,34815,34301,-0.030897703549060518
2000-06-02,35910,38955,35340,38970,59218,0.11934510986643687
2000-06-05,43560,43560,41085,43560,15278,0.11778290993071594
2000-06-07,47730,48675,46380,48675,3202,0.11742424242424243
2000-06-08,51359,54465,48405,54465,33274,0.1189522342064715
2000-06-09,54450,59159,49755,57420,27781,0.054255026163591236
2000-06-12,59160,59160,54060,54735,20398,-0.04676071055381403
2000-06-13,56355,56490,48285,48825,20279,-0.10797478761304469
2000-06-14,49755,50835,43035,47340,9909,-0.030414746543778848
2000-06-15,48390,48390,41670,44370,13444,-0.06273764258555137
2000-06-16,41010,46395,39660,42900,15749,-0.03313049357674103
2000-06-19,43305,46395,41145,43440,17246,0.012587412587412583
2000-06-20,43155,45705,43020,43965,12748,0.01208563535911611
2000-06-21,44385,49230,43305,49230,22312,0.11975435005117707
2000-06-22,49350,51090,44910,45855,25312,-0.06855575868372943
2000-06-23,43560,44640,42360,43305,9325,-0.05561007523716066
2000-06-26,43020,44490,41670,43155,17795,-0.003463803255975062
2000-06-27,43695,47055,42480,44910,22501,0.04066736183524511
