Date,Open,High,Low,Close,Volume,Change
2000-04-14,127124,137071,123164,137061,4045,
2000-04-17,131108,135080,125155,131098,6430,-0.043506176082182435
2000-04-18,135060,150947,135060,150959,11858,0.15149735312514312
2000-04-19,154923,164846,139024,139028,18314,-0.0790347047873926
2000-04-20,143022,146996,129115,137061,5582,-0.01414822913369973
2000-04-21,139027,139027,131094,133078,3463,-0.029060053552797616
2000-04-24,127123,129114,123164,125144,6628,-0.05961917071191336
2000-04-25,123138,125132,119178,121162,4400,-0.03181934411557885
2000-04-26,117188,125132,117188,121162,3373,0.0
2000-04-27,121170,121170,117198,119182,2635,-0.01634175731665044
2000-04-28,115207,123163,115207,123153,1788,0.03331878975013014
2000-05-02,121148,139023,121148,127113,2065,0.032155124113907085
2000-05-03,129100,131094,127109,127113,3202,0.0
2000-05-04,127123,129117,123153,129107,2407,0.01568682982857772
2000-05-08,127109,129100,127109,127113,1596,-0.015444553742244849
2000-05-09,127123,129114,123164,125144,2000,-0.015490154429523284
2000-05-10,127111,127111,119178,121162,1837,-0.03181934411557885
2000-05-12,121147,121147,119178,121162,1519,0.0
2000-05-15,119179,119179,111223,115197,1749,-0.04923160726960596
2000-05-16,115207,115207,105282,107266,1605,-0.068847279009002
2000-05-17,101285,109229,101285,101289,4801,-0.055721290996215034
2000-05-18,103278,103278,89370,89374,2290,-0.1176337015865494
2000-05-19,89385,95347,89385,93359,2172,0.044587911473135344
2000-05-22,95346,99332,79459,81443,3441,-0.12763632858106877
2000-05-23,81428,85401,81428,83411,3400,0.02416413933671402
2000-05-24,81429,91364,81429,89374,2375,0.07148937190538418
2000-05-25,89371,103276,89371,101289,2370,0.13331617696421771
2000-05-26,99309,99309,95325,97319,2679,-0.039194779294888904
2000-05-29,97314,97314,91353,91365,606,-0.061180242295954534
2000-05-30,101299,101299,91375,93359,1300,0.021824549882340172
2000-05-31,99331,99331,97341,99321,2397,0.06386100965091734
2000-06-01,99331,99331,95349,99321,1630,0.0
2000-06-02,95349,99331,95349,99321,2469,0.0
2000-06-05,99321,109242,99321,109246,3675,0.09992851461423058
2000-06-07,107262,109242,101289,109246,3658,0.0
2000-06-08,107277,107277,105285,105275,2571,-0.03634915694853813
2000-06-09,105282,107274,101300,107266,1981,0.01891237235810972
2000-06-12,103295,109257,103295,105275,2255,-0.01856133350735556
2000-06-13,101285,107261,101285,101289,1150,-0.03786274044170035
2000-06-14,109257,109257,103295,105275,1023,0.039352743140913526
2000-06-15,103276,103276,101285,101289,997,-0.03786274044170035
2000-06-16,95325,101277,95325,97319,503,-0.039194779294888904
2000-06-19,97341,99331,97341,99321,949,0.02057152251872707
2000-06-20,101300,103291,99331,99321,776,0.0
2000-06-21,91354,99309,91354,97319,1402,-0.020156865114124956
2000-06-22,97337,99332,93367,93359,1079,-0.0406909236634162
2000-06-23,97337,97337,93367,93359,660,0.0
2000-06-26,93344,97302,93344,95327,786,0.021079917308454377
2000-06-27,95325,99309,95325,97319,963,0.020896493123669035
2000-06-28,103291,103291,97341,99321,707,0.02057152251872707
2000-06-29,103276,103276,97315,101289,2281,0.0198145407315673
2000-06-30,105270,105270,95324,101289,1814,0.0
2000-07-03,101300,101300,97341,99321,2168,-0.019429553061043103
2000-07-04,99309,99309,95325,97319,2755,-0.020156865114124956
2000-07-05,97318,99309,95325,97319,2323,0.0
2000-07-06,97315,103276,97315,101289,2718,0.04079367852115201
2000-07-07,105260,109230,101275,103281,2305,0.019666498830080315
2000-07-10,103276,105270,101285,101289,2764,-0.01928718738199664
2000-07-11,101285,103276,99306,101289,1375,0.0
2000-07-12,101285,103276,99306,101289,1955,0.0
2000-07-13,101285,103276,101285,101289,1397,0.0
2000-07-14,103276,103276,99306,101289,3136,0.0
2000-07-18,109230,109230,101275,103281,2872,0.019666498830080315
2000-07-19,101285,101285,97315,101289,2206,-0.01928718738199664
2000-07-20,99331,101300,93369,99321,1557,-0.019429553061043103
2000-07-21,101300,113227,99320,107266,10527,0.07999315351234881
2000-07-24,109257,109257,105285,105275,6472,-0.01856133350735556
2000-07-25,107266,117201,101292,117191,5212,0.11318926620755154
2000-07-26,111238,135068,111238,129107,21429,0.10168016315246042
2000-07-27,125144,137059,119194,129107,6648,0.0
2000-07-28,127111,139027,121147,121162,12555,-0.06153810405322713
2000-07-31,123164,123164,109257,111237,4263,-0.08191512190290684
2000-08-01,117211,119202,109254,113229,5865,0.017907710563931145
2000-08-02,123164,131108,119193,131098,12200,0.1578129277835183
2000-08-03,146997,148987,139040,148977,21349,0.13637889212650078
2000-08-04,170808,170808,127109,127113,44529,-0.1467609094021225
2000-08-07,121169,129126,119201,123153,11214,-0.031153383210214547
2000-08-08,123143,141008,123143,141023,11381,0.14510405755442424
2000-08-09,143010,143010,129104,133078,9614,-0.056338327790502296
2000-08-10,131108,137073,131108,131098,6326,-0.014878492312778935
2000-08-11,133088,133088,125154,125144,6032,-0.045416406047384394
2000-08-14,129114,133088,125154,125144,9496,0.0
2000-08-16,127109,127109,121148,127113,6358,0.015733874576487894
2000-08-17,125154,127123,121172,125144,4039,-0.015490154429523284
2000-08-18,119194,129117,117191,129107,6677,0.03166751901809106
2000-08-21,129115,146996,129115,137061,13805,0.06160781367392931
2000-08-22,133063,137045,131094,133078,9364,-0.029060053552797616
2000-08-23,133060,139024,131092,139028,9576,0.044710620838906534
2000-08-24,139040,152961,139040,143014,17955,0.02867048364358249
2000-08-25,145004,146995,131108,131098,7497,-0.08332051407554508
2000-08-28,131094,137045,129104,133078,8875,0.015103205235777795
2000-08-29,137071,141031,135081,137061,8931,0.029929815596867915
2000-08-30,139029,156910,139029,156910,28032,0.14481873034634218
2000-08-31,156921,180777,154952,154942,43027,-0.01254222165572616
2000-09-01,144978,154925,142999,146985,12375,-0.051354700468562386
2000-09-04,139031,166845,139031,150959,19527,0.02703677245977487
2000-09-05,160895,164854,154929,162875,11462,0.07893534005922143
2000-09-06,162862,164853,150947,150959,10961,-0.07316039907904837
2000-09-07,148972,152935,139026,144994,16693,-0.03951404023609062
2000-09-08,141008,144981,141008,141023,11595,-0.02738734016579991
2000-09-14,141018,141018,131094,133078,10083,-0.056338327790502296
2000-09-15,135057,146972,135057,141023,7262,0.05970182900253995
2000-09-18,145003,145003,121161,129107,12852,-0.08449685512292326
2000-09-19,125155,139042,123164,131098,6349,0.015421317202010787
2000-09-20,131118,137071,131118,135069,3471,0.0302903171673099
