Date,Open,High,Low,Close,Volume,Change
2001-11-22,74347,74347,74347,74347,21176,
2001-11-23,78385,83234,71920,80166,223681,0.07826812110777848
2001-11-26,74500,79188,70624,70628,24910,-0.11897812040016964
2001-11-27,66259,69332,62220,62385,107798,-0.11671008665118654
2001-11-28,62704,65613,60922,62870,70327,0.007774304720685965
2001-11-29,64807,68687,63837,68043,81004,0.0822808970892317
2001-11-30,66587,68041,62542,62549,54109,-0.08074305953588168
2001-12-03,61410,61574,57856,58022,52149,-0.07237525779788645
2001-12-04,58017,64965,57856,64325,74495,0.10863120885181488
2001-12-05,61899,63512,59315,61579,34357,-0.04268946754760983
2001-12-06,62223,64647,57373,60770,30789,-0.013137595608892605
2001-12-07,60603,61568,58665,58991,18044,-0.029274312983379902
2001-12-10,59798,59798,56564,57376,22424,-0.027377057517248393
2001-12-11,56728,63517,56728,60609,47939,0.056347601784718426
2001-12-12,60606,65293,59473,62225,47973,0.0266627068587173
2001-12-13,61737,64001,57857,58345,26896,-0.06235435918039378
2001-12-14,58341,59310,57210,58022,22306,-0.005536035650012816
2001-12-17,58988,60282,57856,58669,23189,0.01115094274585493
2001-12-18,58669,65618,58669,63034,88299,0.07440044998210293
2001-12-19,64642,65451,55592,55596,59490,-0.11799980962655077
2001-12-20,53335,56244,49455,54791,43256,-0.014479458953881585
2001-12-21,52847,55109,49453,49617,14581,-0.09443156722819446
2001-12-24,44928,48321,43798,43799,33126,-0.1172581977951106
2001-12-26,40560,43147,38622,38626,92294,-0.11810771935432318
2001-12-27,38949,40728,38463,40729,37318,0.054445192357479355
2001-12-28,41531,42985,39591,42020,44206,0.03169731640845597
2002-01-02,43472,45088,42501,44445,35248,0.057710613993336546
2002-01-03,45413,45413,41532,42344,34465,-0.04727190910113621
2002-01-04,42502,43472,42181,42829,24577,0.011453806914793141
2002-01-07,42986,47512,41691,46869,57589,0.09432860911998886
2002-01-08,46865,49452,45411,46869,77305,0.0
2002-01-09,46865,47673,44924,46869,26880,0.0
2002-01-10,47031,49131,46060,47193,53895,0.006912884849260781
2002-01-11,47025,49448,47025,47839,32924,0.013688470747780457
2002-01-14,49457,52849,48807,49457,50760,0.033821777211062054
2002-01-15,48322,49616,44121,47679,41317,-0.03595042157834083
2002-01-16,48158,51067,46380,49293,34577,0.033851381111181134
2002-01-17,47837,48969,46382,47032,14513,-0.045868581745886816
2002-01-18,46218,47672,43630,47353,15478,0.006825140329988155
2002-01-21,45249,46542,44925,44930,12118,-0.05116888053555213
2002-01-22,45253,47675,44120,45253,31191,0.007188960605386097
2002-01-23,44926,46380,44602,45900,12261,0.014297394647868611
2002-01-24,45898,47352,44606,45092,16421,-0.01760348583877991
2002-01-25,45089,47348,43146,45415,49558,0.007163133150004386
2002-01-28,46060,50101,44442,50102,53660,0.1032037872949465
2002-01-29,50910,51556,48322,49457,64617,-0.012873737575346267
2002-01-30,48970,54141,47352,53336,53540,0.07843176901146443
2002-01-31,54951,56565,52685,54951,81166,0.030279736013199443
2002-02-01,54949,56242,48645,50911,41102,-0.07352004513111676
2002-02-04,51231,51231,48321,48487,19312,-0.047612500245526546
2002-02-05,46222,48001,45576,47679,16877,-0.016664260523439278
2002-02-06,45251,48485,45251,46708,19583,-0.02036536001174516
2002-02-07,46062,47192,45251,46063,14065,-0.01380919756786847
2002-02-08,46867,46867,44606,46547,10150,0.01050734863122238
2002-02-14,46865,52040,46865,52042,39166,0.11805272090575114
2002-02-15,51554,53170,49131,52366,24597,0.006225740747857422
2002-02-18,53333,53494,50745,52850,18765,0.009242638353129884
2002-02-19,52843,53330,49290,49293,21185,-0.06730368968779565
2002-02-20,47189,49613,47189,49293,18165,0.0
2002-02-21,47836,50910,47836,50102,15736,0.016412066622035537
2002-02-22,52524,53814,51554,52204,43621,0.041954412997485147
2002-02-25,53977,58340,53816,56567,73302,0.08357597118994708
2002-02-26,55751,58339,53652,54142,50443,-0.04286951756324364
2002-02-27,55758,60607,53819,60124,32278,0.1104872372649699
2002-02-28,58343,59637,56888,59315,25272,-0.01345552524782112
2002-03-04,63031,63031,59152,59315,40734,0.0
2002-03-05,59798,61249,58668,58669,23232,-0.010891005647812535
2002-03-06,58502,59631,56242,58022,19573,-0.011027970478446836
2002-03-07,58662,61738,58016,61255,28676,0.05572024404536213
2002-03-08,62224,65617,62224,64004,51929,0.044877969145375785
2002-03-11,64645,71433,64645,71113,73888,0.11107118305105934
2002-03-12,71916,72726,64644,68688,83666,-0.03410065670130635
2002-03-13,68687,68687,64971,65619,19491,-0.044680293501048185
2002-03-14,64485,67396,64000,67074,15910,0.022173455858821356
2002-03-15,65129,68847,65129,68688,22705,0.02406297522139722
2002-03-18,69495,71111,68364,70467,15643,0.025899720475192067
2002-03-19,71110,72730,70626,71922,15324,0.020647962876239934
2002-03-20,71597,71597,69171,69822,15671,-0.02919829815633601
2002-03-21,69010,72730,67232,72731,16372,0.04166308613331049
2002-03-22,72728,73859,70303,70952,27827,-0.02445999642518326
2002-03-25,68527,71761,67558,67559,13665,-0.04782106212650805
2002-03-26,67717,70627,67717,69498,17949,0.028700839266418976
2002-03-27,71270,74827,70785,73538,36898,0.058131169242280345
2002-03-28,75474,77737,74019,75478,40409,0.026380918708694745
2002-03-29,74506,75154,72245,75156,11236,-0.004266143776994635
2002-04-01,75155,78064,73861,78065,26797,0.03870615785832143
2002-04-02,78061,80807,74181,80811,89669,0.03517581502594003
2002-04-03,78548,78710,73699,74347,64496,-0.07998911039338708
2002-04-04,74991,75960,65452,65458,89121,-0.11956097757811346
2002-04-08,63033,66264,60608,63519,26413,-0.029622047725258893
2002-04-09,63513,66582,63351,63354,24309,-0.002597647947858106
2002-04-10,63516,64647,62382,63194,18557,-0.002525491681661829
2002-04-11,63840,70144,63840,69338,21949,0.0972244200398773
2002-04-12,67071,73376,67071,73377,15599,0.05825088695953151
2002-04-15,74344,75799,72081,72731,10785,-0.008803848617414123
2002-04-16,68687,73536,68687,69984,10034,-0.03776931432264097
2002-04-17,70304,70304,67881,67883,18085,-0.030021147690900807
2002-04-18,68683,70783,67228,70628,8003,0.040437222868759504
2002-04-19,69981,70304,67071,68367,8027,-0.03201279945630631
2002-04-22,68366,68366,60281,63519,16228,-0.07091140462503842
2002-04-23,62221,65452,62221,63519,6372,0.0
2002-04-24,63190,65937,62060,64325,6761,0.012689116642264464
2002-04-25,62708,63034,61579,63034,4277,-0.020069957248348258
2002-04-26,64486,68366,64002,68367,9706,0.08460513373734813
2002-04-29,67879,71920,66261,70467,42283,0.030716573785598333
2002-04-30,70306,71436,69171,69984,11974,-0.006854272212524992
2002-05-02,71110,74018,69170,73538,14271,0.05078303612254231
2002-05-03,70305,74347,70305,74347,10334,0.01100111506975976
2002-05-06,74179,75311,73533,74508,8666,0.0021655211373694527
2002-05-07,75154,79194,73536,79196,24713,0.06291941804906864
2002-05-08,79354,81617,78384,80004,19148,0.010202535481590003
2002-05-09,80807,81453,79676,80811,13746,0.010086995650217423
2002-05-10,79355,80810,78708,79196,13523,-0.019984903045377478
2002-05-13,79192,85656,78383,85660,25205,0.0816202838527198
2002-05-14,85659,86629,82428,84530,29323,-0.013191688069110419
2002-05-15,84044,85337,83232,84044,23744,-0.005749438069324486
2002-05-16,83394,85329,77897,79356,22841,-0.05578030555423352
2002-05-17,78381,78381,73049,75962,12014,-0.04276929280709718
2002-05-20,75957,79836,75957,78387,12373,0.03192385666517472
2002-05-21,78223,79193,75959,77580,6265,-0.010295074438363527
2002-05-22,76767,77897,75312,77901,7308,0.004137664346480996
2002-05-23,77898,82747,77898,82751,12705,0.06225850759297047
2002-05-24,82262,83395,79999,81297,12519,-0.017570784643085924
2002-05-27,83072,83233,79679,79680,12394,-0.019890032842540317
2002-05-28,79679,79679,70627,76611,11308,-0.03851656626506028
2002-05-29,75959,75959,73534,75962,11100,-0.008471368341360863
2002-05-30,75150,76925,73857,74508,5249,-0.01914114952212953
2002-05-31,73536,75154,70141,70307,8173,-0.05638320717238421
2002-06-03,70304,71922,68040,71922,3358,0.022970685706970917
2002-06-04,72081,72081,68851,68852,3063,-0.04268513111426264
2002-06-05,68041,72730,68041,72731,5387,0.0563382327310753
2002-06-07,72403,75796,70787,73053,8413,0.004427273102253437
2002-06-10,73375,75961,72244,74347,14758,0.017713167152615172
2002-06-11,74344,76771,72729,76771,6263,0.03260387103716367
2002-06-12,76771,78385,75638,76771,15600,0.0
2002-06-14,77577,79033,75960,78711,11500,0.025269958708366458
2002-06-17,77737,78706,77414,77417,7915,-0.016439887690411714
2002-06-18,77579,84042,77579,83884,18173,0.08353462417815205
2002-06-19,83879,83879,79837,82751,15170,-0.013506747413094322
2002-06-20,83880,86464,81937,85660,28329,0.03515365373228119
2002-06-21,85168,85654,82907,83720,15405,-0.022647676862012633
2002-06-24,81619,82264,76608,78711,18492,-0.0598303870043001
2002-06-25,76929,78708,72730,72731,9715,-0.0759741332215319
2002-06-26,69657,72244,64002,64004,24039,-0.11999010050734904
2002-06-27,62381,67554,62381,65295,7081,0.020170614336604054
2002-06-28,65779,69658,65458,69338,14558,0.06191898307680521
2002-07-02,67071,69497,66747,69498,3997,0.0023075369927023637
2002-07-03,69495,71920,68202,70307,8160,0.011640622751733831
2002-07-04,70300,73209,68684,68688,12142,-0.023027579046183133
2002-07-05,71920,71920,69497,69498,7932,0.011792452830188704
2002-07-08,70305,71760,67073,67074,5586,-0.03487870154536821
2002-07-09,68685,69656,67071,69498,9980,0.03613918955183837
2002-07-10,68686,70305,68202,70307,4977,0.011640622751733831
2002-07-11,69980,69980,67717,67883,3279,-0.034477363562660956
2002-07-12,65129,69167,65129,68688,5357,0.011858639129089799
2002-07-15,66262,68688,66262,68529,3672,-0.0023148148148147696
2002-07-16,68038,71106,67553,68688,3369,0.002320185614849146
2002-07-18,69493,70462,68848,70143,5786,0.021182739343116763
2002-07-19,69330,71106,67877,68688,4845,-0.02074333860827171
2002-07-22,66263,67396,63839,64974,5601,-0.054070580013976244
2002-07-23,64644,66744,64644,66264,4812,0.019854095484347578
2002-07-24,65450,66099,63838,64164,5672,-0.03169141615356752
2002-07-25,65450,67881,65450,66104,7195,0.03023502275419232
2002-07-26,64644,69167,64644,68688,4226,0.03908991891564817
2002-07-29,68686,71111,68365,70307,5699,0.02357034707663641
2002-07-30,69497,78386,69497,77096,8140,0.096562219978096
2002-07-31,78386,79515,75476,77096,6843,0.0
2002-08-01,77088,80804,75635,76446,6035,-0.008431047006329795
2002-08-02,76123,79355,75961,79196,5609,0.03597310519844066
2002-08-05,77575,79836,74183,75962,4457,-0.04083539572705697
2002-08-06,75957,75957,68685,71113,6561,-0.06383454885337403
2002-08-07,72727,73533,68686,69659,3251,-0.02044633189430911
2002-08-08,71109,73048,69169,71598,3981,0.027835599132918887
2002-08-09,74020,74184,71760,72731,1806,0.015824464370513214
2002-08-12,72891,75961,72891,74671,2269,0.02667363297630998
2002-08-13,73860,77579,73860,75317,2364,0.008651283630860762
