Date,Open,High,Low,Close,Volume,Change
2018-01-26,1672,1824,1551,1629,17851755,
2018-01-29,1635,1682,1614,1642,2071108,0.00798035604665448
2018-01-30,1637,1653,1569,1586,1648165,-0.03410475030450666
2018-01-31,1601,1628,1578,1595,854052,0.005674653215636871
2018-02-01,1594,1824,1594,1651,4331175,0.03510971786833861
2018-02-02,1650,1960,1625,1778,8394941,0.07692307692307687
2018-02-05,1734,1833,1688,1741,2097485,-0.02080989876265471
2018-02-06,1656,1916,1650,1834,4927760,0.053417576105686315
2018-02-07,1870,1901,1779,1796,2577872,-0.02071973827699014
2018-02-08,1799,1951,1787,1806,2444081,0.0055679287305121505
2018-02-09,1766,1818,1756,1800,1123012,-0.0033222591362126463
2018-02-12,1823,2002,1693,1728,3624733,-0.040000000000000036
2018-02-13,1758,1765,1672,1676,764192,-0.03009259259259256
2018-02-14,1684,1768,1662,1735,825495,0.035202863961813824
2018-02-19,1765,1795,1733,1750,834661,0.008645533141210304
2018-02-20,1768,1777,1702,1744,520466,-0.0034285714285714475
2018-02-21,1727,1739,1699,1722,356396,-0.012614678899082521
2018-02-22,1703,1725,1666,1673,481176,-0.028455284552845517
2018-02-23,1675,1703,1650,1679,175899,0.0035863717872086642
2018-02-26,1668,1714,1659,1703,376878,0.01429422275163783
2018-02-27,1715,1761,1687,1735,435037,0.01879036993540817
2018-02-28,1733,1748,1695,1703,66864,-0.018443804034582123
2018-03-02,1676,1707,1614,1701,99361,-0.0011743981209629828
2018-03-05,1699,1718,1655,1663,158995,-0.022339800117577857
2018-03-06,1660,1690,1628,1685,113766,0.013229104028863459
2018-03-07,1671,1683,1649,1669,113735,-0.00949554896142435
2018-03-08,1671,1695,1640,1669,89725,0.0
2018-03-09,1653,1687,1609,1657,158851,-0.0071899340922708666
2018-03-12,1656,1709,1653,1710,221764,0.03198551599275801
2018-03-13,1759,1759,1675,1679,140961,-0.018128654970760216
2018-03-14,1696,1696,1662,1679,123719,0.0
2018-03-15,1684,1693,1647,1685,82712,0.003573555687909513
2018-03-16,1684,1688,1642,1667,144029,-0.010682492581602365
2018-03-19,1703,1731,1648,1673,229050,0.003599280143971262
2018-03-20,1668,1671,1619,1669,161601,-0.002390914524805776
2018-03-21,1669,1673,1642,1642,98886,-0.016177351707609366
2018-03-22,1628,1665,1622,1657,95308,0.009135200974421442
2018-03-23,1644,1654,1607,1648,119761,-0.005431502715751324
2018-03-26,1609,1653,1609,1651,102345,0.001820388349514479
2018-03-27,1656,1656,1607,1617,133236,-0.02059357964869779
2018-03-28,1629,1638,1595,1614,66034,-0.0018552875695733162
2018-03-29,1631,1631,1589,1614,64107,0.0
2018-03-30,1644,1696,1595,1654,85058,0.024783147459727317
2018-04-02,1668,1668,1615,1657,143377,0.0018137847642079041
2018-04-03,1663,1663,1610,1648,91111,-0.005431502715751324
2018-04-04,1666,1694,1604,1642,180190,-0.00364077669902918
2018-04-05,1668,1668,1607,1626,62295,-0.00974421437271622
2018-04-06,1631,1631,1610,1611,123954,-0.009225092250922495
2018-04-09,1611,1685,1611,1636,122173,0.015518311607697122
2018-04-10,1635,1728,1626,1701,385074,0.03973105134474331
2018-04-11,1742,1792,1702,1762,924083,0.035861258083480285
2018-04-12,1815,1825,1741,1760,383441,-0.0011350737797957144
2018-04-13,1762,1784,1753,1772,197640,0.006818181818181834
2018-04-16,1786,1786,1749,1775,214816,0.0016930022573362624
2018-04-17,1773,1804,1764,1802,397785,0.015211267605633738
2018-04-18,1839,2298,1821,2014,5282642,0.11764705882352944
2018-04-19,2032,2109,1983,2076,2121322,0.030784508440913516
2018-04-20,2118,2165,1982,2060,2202645,-0.0077071290944122905
2018-04-23,2088,2200,2019,2076,2186915,0.007766990291262044
2018-04-24,2090,2143,2041,2107,1849170,0.014932562620423973
2018-04-25,2127,2139,2037,2038,821086,-0.03274798291409586
2018-04-26,2075,2168,2072,2153,1442374,0.05642787046123643
2018-04-27,2199,2270,2119,2237,1583251,0.03901532745006975
2018-04-30,2523,2756,2325,2608,7282704,0.1658471166741171
2018-05-02,2939,3376,2871,3377,12441551,0.2948619631901841
2018-05-03,3268,3345,3079,3238,5580897,-0.041160793603790324
2018-05-04,3144,4182,3091,4059,13518796,0.25355157504632486
2018-05-08,3872,4291,3872,4121,1386330,0.015274698201527492
2018-05-09,4245,4245,3749,3858,1096566,-0.06381946129580196
2018-05-10,4029,4059,3812,4029,960893,0.04432348367029548
2018-05-11,3919,4075,3563,3951,2624416,-0.0193596425912137
2018-05-14,4075,4385,3749,4385,3487105,0.1098456087066566
2018-05-15,4384,4570,4167,4338,1722897,-0.010718358038768527
2018-05-16,3873,4183,3718,3951,2816965,-0.08921161825726143
2018-05-17,3949,4337,3717,3718,2063828,-0.058972412047582856
2018-05-18,3857,3950,3593,3641,1771856,-0.020710059171597628
2018-05-21,3546,3592,3391,3547,1700420,-0.025817083218895864
2018-05-23,3391,3562,3314,3408,2701210,-0.039188046236255936
2018-05-24,3500,3516,3159,3455,2707467,0.013791079812206508
2018-05-25,2797,3237,2797,2974,3047826,-0.13921852387843703
2018-05-28,3547,3858,3454,3858,3266578,0.29724277067922
2018-05-29,3856,3995,3670,3764,2607670,-0.02436495593571797
2018-05-30,3748,4027,3670,3842,3215187,0.020722635494155206
2018-05-31,4988,4988,4771,4989,4972426,0.29854242581988544
2018-06-01,5391,5469,4446,4757,12387117,-0.04650230507115649
2018-06-04,5576,5591,4646,4663,9102322,-0.01976035316375868
2018-06-05,4491,4584,4228,4477,4284575,-0.0398884838087068
2018-06-07,4462,4555,4260,4292,2440609,-0.04132231404958675
2018-06-08,4306,4369,4058,4369,2172281,0.017940354147250703
2018-06-11,4275,4616,4260,4493,2916749,0.028381780727855244
2018-06-12,4508,4523,4058,4214,1960817,-0.0620965947028711
2018-06-14,3964,3995,3221,3284,2687985,-0.22069292833412435
2018-06-15,3251,3825,3251,3532,4793309,0.07551766138855065
2018-06-18,3547,4104,3500,3904,3527924,0.10532276330690826
2018-06-19,3887,4074,3670,3718,936498,-0.04764344262295084
2018-06-20,3655,3903,3623,3764,711479,0.012372243141473893
2018-06-21,3718,4075,3656,3688,1993830,-0.020191285866099862
2018-06-22,3717,3903,3485,3594,877167,-0.025488069414316694
2018-06-25,3593,4151,3408,3997,3313060,0.11213132999443509
2018-06-26,3903,4321,3841,3935,2852471,-0.01551163372529396
2018-06-27,4043,4182,3733,3997,2028179,0.015756035578144756
2018-06-28,3964,4042,3469,3501,2043430,-0.1240930698023518
2018-06-29,3981,4090,3547,3703,2680405,0.057697800628391915
2018-07-02,3701,3762,3112,3191,1149395,-0.1382662705914124
2018-07-03,3252,3299,2942,3253,1023587,0.01942964587903484
2018-07-04,3221,3236,3112,3160,350535,-0.028588994774054743
2018-07-05,3143,3159,2887,2937,670213,-0.0705696202531646
2018-07-06,2968,3144,2841,3086,700453,0.0507320394960844
2018-07-09,2974,2974,2810,2810,545071,-0.08943616331821125
2018-07-10,2840,2942,2824,2844,264666,0.012099644128113818
2018-07-11,2867,3221,2846,3048,870984,0.07172995780590719
2018-07-12,3071,3300,3054,3071,653262,0.007545931758530244
2018-07-13,3191,3252,3098,3145,462130,0.024096385542168752
2018-07-16,3174,3236,3097,3191,188138,0.014626391096979274
2018-07-17,3205,3221,3128,3160,137248,-0.00971482293951742
2018-07-18,3097,3158,2926,2943,515177,-0.0686708860759494
2018-07-19,3001,3026,2893,3015,171917,0.024464831804281273
2018-07-20,3017,3236,3017,3191,509425,0.058374792703150824
2018-07-23,3114,3641,3098,3564,1929688,0.11689125665935451
2018-07-24,3858,3951,3563,3688,1605789,0.03479236812570141
2018-07-25,3734,3904,3687,3812,804024,0.033622559652928485
2018-07-26,3732,3949,3732,3888,622324,0.019937040923399874
2018-07-27,3980,4182,3841,4121,1045452,0.059927983539094676
2018-07-30,4074,4274,4058,4183,791585,0.015044892016500944
2018-07-31,4182,4244,3780,3780,798007,-0.09634233803490322
2018-08-01,3841,4028,3733,3780,593496,0.0
2018-08-02,3763,3887,3624,3842,401961,0.016402116402116418
2018-08-03,3810,3979,3810,3888,418107,0.011972930765226542
2018-08-06,3811,4012,3811,3997,287605,0.028034979423868345
2018-08-07,4089,4275,3996,4276,692302,0.06980235176382288
2018-08-08,4275,4384,4167,4261,650746,-0.0035079513564079123
2018-08-09,4259,4553,4011,4477,1111149,0.05069232574513016
2018-08-10,4430,4462,4214,4214,4077187,-0.05874469510833147
2018-08-13,4338,4431,3671,3688,1832883,-0.12482202183198865
2018-08-14,3763,4011,3716,4012,837460,0.0878524945770065
2018-08-16,4121,4182,3888,4121,863575,0.02716849451645076
2018-08-17,4121,4168,4012,4168,650653,0.011404998786702203
2018-08-20,4121,4136,3980,3997,519044,-0.04102687140115158
2018-08-21,4042,4135,3949,3981,495004,-0.004003002251688814
2018-08-22,3965,4027,3841,3920,407464,-0.015322783220296454
2018-08-23,3904,4074,3873,3873,451783,-0.011989795918367352
2018-08-24,3873,3934,3780,3858,340334,-0.0038729666924864903
2018-08-27,3501,3702,3485,3610,539109,-0.064282011404873
2018-08-28,3624,3716,3407,3501,443834,-0.030193905817174516
2018-08-29,3499,3639,3499,3532,180575,0.008854612967723607
2018-08-30,3531,3748,3531,3656,345381,0.035107587768969495
2018-08-31,3593,3640,3531,3579,342009,-0.02106126914660833
2018-09-03,3687,3733,3593,3641,320738,0.01732327465772565
2018-09-04,3670,3872,3624,3842,630691,0.05520461411700084
2018-09-05,3887,3903,3748,3842,458589,0.0
2018-09-06,3888,4121,3749,3812,1192918,-0.007808433107756363
2018-09-07,3795,4090,3795,4044,1058685,0.060860440713536246
2018-09-10,4089,4260,4028,4214,1141828,0.042037586547972294
2018-09-11,4214,4307,4075,4075,596326,-0.03298528713811111
2018-09-12,4120,4228,4011,4183,466841,0.026503067484662468
2018-09-13,4214,4307,4075,4075,546190,-0.025818790341859854
2018-09-14,4073,4166,3949,4105,579950,0.007361963190184007
2018-09-17,4166,4522,4074,4183,2094187,0.019001218026796662
2018-09-18,4214,4214,3950,3951,834153,-0.05546258666029169
2018-09-19,3950,4028,3687,3796,872909,-0.039230574538091645
2018-09-20,3903,3949,3623,3764,771774,-0.008429926238145424
2018-09-21,3718,3888,3687,3812,362049,0.012752391073326264
2018-09-27,3811,3872,3671,3672,400279,-0.036726128016789095
2018-09-28,3671,3748,3624,3656,210057,-0.004357298474945481
2018-10-01,3670,3794,3655,3718,199694,0.01695842450765861
2018-10-02,3624,3748,3624,3656,172431,-0.01667563206024747
2018-10-04,3718,3812,3671,3688,246581,0.00875273522975939
2018-10-05,3624,3701,3546,3625,177323,-0.01708242950108463
2018-10-08,3655,3655,3562,3594,123268,-0.008551724137931038
2018-10-10,3453,3531,3087,3095,930161,-0.1388425153032833
2018-10-11,2788,3029,2784,2974,966076,-0.03909531502423258
2018-10-12,2886,3282,2886,3206,536170,0.07800941492938795
2018-10-15,3206,3407,3206,3315,367180,0.03399875233936367
2018-10-16,3347,3486,3300,3347,380323,0.009653092006033148
2018-10-17,3392,3438,3360,3377,194588,0.008963250672243905
2018-10-18,3454,3516,3314,3439,312357,0.018359490672194223
2018-10-19,3438,3531,3329,3501,228638,0.0180284966560047
2018-10-22,3500,3500,3300,3300,225735,-0.05741216795201376
2018-10-23,3315,3330,3130,3130,171262,-0.051515151515151514
2018-10-24,3143,3221,3034,3073,285918,-0.01821086261980831
2018-10-25,2953,3073,2953,3071,190029,-0.0006508298080052377
2018-10-26,3082,3189,2849,3008,223203,-0.020514490394008433
2018-10-29,2912,3008,2612,2612,241486,-0.13164893617021278
2018-10-30,2515,2765,2515,2739,256586,0.048621745788667736
2018-10-31,2773,2779,2683,2758,107738,0.006936838262139533
2018-11-01,2765,2895,2765,2844,103159,0.031182015953589604
2018-11-02,2850,2987,2850,2987,98564,0.05028129395217995
2018-11-05,2985,3087,2908,2968,83282,-0.006360897221292294
2018-11-06,2942,3017,2881,2900,117334,-0.022911051212938016
2018-11-07,2886,3072,2771,2819,183164,-0.027931034482758577
2018-11-08,2841,2927,2841,2860,53730,0.014544164597374953
2018-11-09,2859,2906,2776,2835,84136,-0.00874125874125875
2018-11-12,2812,2847,2747,2804,64704,-0.010934744268077612
2018-11-13,2669,2777,2635,2760,130249,-0.015691868758915817
2018-11-14,2774,2858,2752,2766,48787,0.0021739130434783593
2018-11-15,2846,2846,2716,2766,38779,0.0
2018-11-16,2753,2809,2753,2801,42490,0.012653651482284811
2018-11-19,2803,2936,2803,2894,83355,0.03320242770439119
2018-11-20,2850,2903,2760,2863,129744,-0.0107118175535591
2018-11-21,2860,3071,2807,2907,397189,0.015368494586098569
2018-11-22,2909,2909,2810,2810,76988,-0.03336773305813556
2018-11-23,2862,3020,2829,2829,142624,0.006761565836298944
2018-11-26,2934,2934,2788,2804,97688,-0.008837044892188062
2018-11-27,2788,2936,2788,2931,91146,0.0452924393723253
2018-11-28,2936,2939,2830,2838,66571,-0.03172978505629476
2018-11-29,2920,2929,2849,2884,49958,0.01620859760394655
2018-11-30,2864,2911,2836,2878,38441,-0.0020804438280166426
2018-12-03,2959,3609,2946,3300,4120356,0.1466296038915913
2018-12-04,3315,3517,3284,3471,987754,0.05181818181818176
2018-12-05,3392,3609,3376,3455,870814,-0.004609622587150697
2018-12-06,3407,3562,3376,3501,763076,0.013314037626628084
2018-12-07,3532,3671,3439,3641,982066,0.03998857469294492
2018-12-10,3515,3546,3375,3423,521915,-0.05987366108212033
2018-12-11,3377,3423,3130,3130,584907,-0.08559742915571134
2018-12-12,3175,3190,2960,3002,602128,-0.04089456869009589
2018-12-13,3023,3129,3005,3114,349315,0.03730846102598262
2018-12-14,3174,3174,3006,3048,166163,-0.021194605009633882
2018-12-17,3035,3066,2914,2962,97883,-0.028215223097112885
2018-12-18,2880,2992,2855,2903,155853,-0.019918973666441575
2018-12-19,2970,2973,2895,2962,86450,0.02032380296245262
2018-12-20,2943,3073,2931,3006,166084,0.014854827819041239
2018-12-21,2981,3563,2981,3347,2779905,0.1134397870924817
2018-12-24,3345,3516,3221,3253,737487,-0.02808485210636391
2018-12-26,3190,3221,3066,3067,341691,-0.05717798954810949
2018-12-27,3098,3532,3098,3393,1093288,0.1062927942614933
2018-12-28,3392,3670,3345,3501,1732343,0.03183023872679036
2019-01-02,3516,3593,3283,3300,513427,-0.05741216795201376
2019-01-03,3283,3422,3190,3238,870283,-0.018787878787878798
2019-01-04,3222,3253,3095,3130,624872,-0.03335392217418154
2019-01-07,3176,3237,3092,3176,514721,0.014696485623003186
2019-01-08,3222,3454,3175,3300,1167391,0.03904282115869018
2019-01-09,3314,3453,3314,3362,479283,0.018787878787878798
2019-01-10,3346,3470,3283,3300,290405,-0.01844140392623439
2019-01-11,3268,3470,3237,3455,484701,0.046969696969696884
2019-01-14,3499,3639,3391,3532,725144,0.022286541244573188
2019-01-15,3592,3763,3484,3764,1212990,0.0656851642129106
