Date,Open,High,Low,Close,Volume,Change
2001-10-11,13730,13730,13730,13730,182255,
2001-10-12,15358,15358,15358,15362,62485,0.11886380189366341
2001-10-15,15358,16003,13555,13560,515986,-0.11730243457883083
2001-10-16,13598,13985,12441,13174,229451,-0.028466076696165188
2001-10-17,13513,14675,12917,13730,316380,0.042204341885532015
2001-10-18,13086,13216,12143,12143,165836,-0.11558630735615438
2001-10-19,11414,12619,11414,12187,88429,0.003623486782508456
2001-10-22,12188,12914,12014,12445,151119,0.021170099286124566
2001-10-23,12663,13564,12402,12615,173057,0.013660104459622291
2001-10-24,12575,13260,12575,13004,82450,0.030836305984938583
2001-10-25,13301,14159,12917,13388,307255,0.02952937557674562
2001-10-26,13381,14673,13381,13516,420508,0.009560800717060003
2001-10-29,13687,14375,13345,13774,162312,0.019088487718259772
2001-10-30,13769,13945,12697,12788,91796,-0.07158414403949465
2001-10-31,12014,13256,12014,12573,115593,-0.01681263684704415
2001-11-01,14079,14079,14079,14077,66223,0.11962141095999357
2001-11-02,15741,15741,15059,15748,293272,0.1187042693755771
2001-11-05,16093,16309,14634,15878,254792,0.00825501651003302
2001-11-06,16521,16521,15191,15578,85686,-0.018894067262879455
2001-11-07,15364,15874,14247,14247,111304,-0.08544100654769549
2001-11-08,13945,14461,13602,14117,66585,-0.009124728012914973
2001-11-09,13945,14549,13865,14161,86089,0.003116809520436359
2001-11-12,14029,14375,13687,13818,103046,-0.02422145328719727
2001-11-13,12445,13945,12445,13945,91611,0.009190910406715824
2001-11-14,14587,14930,14027,14205,156013,0.018644675510935738
2001-11-15,14243,14413,13255,13516,71201,-0.04850404787046814
2001-11-16,13511,13983,12869,13516,65892,0.0
2001-11-19,13554,13859,13215,13388,54603,-0.009470257472625088
2001-11-20,13382,13600,12655,12916,68522,-0.03525545264415897
2001-11-21,12705,13304,12705,13048,45705,0.010219882316506723
2001-11-22,12874,13348,12874,13048,40690,0.0
2001-11-23,13172,14589,13172,13945,167806,0.06874616799509514
2001-11-26,14029,14029,13170,13218,56466,-0.05213338114019361
2001-11-27,13178,13818,12874,12874,58692,-0.02602511726433654
2001-11-28,12956,13086,12011,12099,47390,-0.06019885039614725
2001-11-29,12102,12571,11802,12445,31662,0.0285974047441937
2001-11-30,12226,12615,12144,12401,63070,-0.0035355564483728896
2001-12-03,12356,12828,12356,12573,67923,0.013869849205709217
2001-12-04,12573,12741,11841,12015,76634,-0.044380816034359394
2001-12-05,12317,12447,12016,12231,59861,0.01797752808988773
2001-12-06,12445,12445,11758,11801,51239,-0.0351565693729049
2001-12-07,11713,11973,11499,11542,51641,-0.021947292602321866
2001-12-10,11586,11931,11500,11801,48699,0.022439785132559287
2001-12-11,11587,12613,11587,12313,76655,0.04338615371578669
2001-12-12,12447,12447,11803,11971,35551,-0.027775521806221115
2001-12-13,12103,12103,11587,11630,37905,-0.028485506641049207
2001-12-14,11799,12229,11712,12099,69904,0.04032674118658641
2001-12-17,12232,12312,11927,12015,43367,-0.006942722539052815
2001-12-18,12232,12232,11797,12015,61357,0.0
2001-12-19,12099,12099,11285,11458,37740,-0.046358718268830645
2001-12-20,11201,11885,11157,11200,21610,-0.02251701867690692
2001-12-21,10942,11328,10812,11156,29213,-0.003928571428571392
2001-12-24,11584,11584,10852,10942,12981,-0.019182502689135905
2001-12-26,10724,10936,10080,10341,24078,-0.05492597331383664
2001-12-27,10130,10515,10130,10473,15545,0.012764722947490537
2001-12-28,10638,11066,10470,10643,30759,0.016232216174925984
2002-01-02,10944,10944,10557,10688,30084,0.004228131166024607
2002-01-03,10940,10940,10467,10728,20546,0.0037425149700598404
2002-01-04,10942,10942,10594,10643,23511,-0.007923191648023908
2002-01-07,10597,10597,10001,10043,48895,-0.05637508221366161
2002-01-08,10122,10295,9824,10257,44386,0.02130837399183516
2002-01-09,10345,10433,10003,10085,48171,-0.016769035780442643
2002-01-10,10727,11287,10342,11288,177603,0.11928606841844314
2002-01-11,11236,11236,10506,10555,110161,-0.06493621545003547
2002-01-14,10168,10557,10168,10473,44175,-0.007768829938417765
2002-01-15,10379,10639,9951,9955,30885,-0.04946051752124514
2002-01-16,9995,10984,9995,10728,105862,0.07764942240080352
2002-01-17,9994,10507,9994,10385,43598,-0.031972408650260964
