Date,Open,High,Low,Close,Volume,Change
2013-12-20,2121,2436,2080,2080,343548,
2013-12-23,2095,2105,2086,2086,77038,0.0028846153846153744
2013-12-24,2110,2110,2064,2065,182590,-0.010067114093959773
2013-12-26,2063,2079,2063,2070,1760,0.002421307506053294
2013-12-27,2068,2080,2068,2080,53784,0.004830917874396157
2013-12-30,2089,2089,2074,2075,1987,-0.0024038461538461453
2014-01-02,2074,2074,2074,2075,2569,0.0
2014-01-03,2068,2085,2068,2070,447,-0.002409638554216831
2014-01-06,2068,2080,2063,2080,11103,0.004830917874396157
2014-01-07,2063,2068,2063,2070,1383,-0.004807692307692291
2014-01-08,2068,2074,2068,2075,6463,0.0024154589371980784
2014-01-09,2074,2074,2074,2075,0,0.0
2014-01-10,2074,2074,2074,2075,1426,0.0
2014-01-13,2068,2080,2068,2080,788,0.002409638554216942
2014-01-14,2080,2080,2080,2080,0,0.0
2014-01-15,2080,2080,2080,2080,0,0.0
2014-01-16,2074,2074,2074,2075,237,-0.0024038461538461453
2014-01-17,2074,2086,2074,2086,19,0.005301204819277094
2014-01-20,2085,2085,2074,2075,4852,-0.005273250239693161
2014-01-21,2086,2089,2080,2086,2027,0.005301204819277094
2014-01-22,2080,2089,2074,2080,977,-0.0028763183125599667
2014-01-23,2074,2080,2074,2080,284,0.0
2014-01-24,2089,2089,2074,2075,1833,-0.0024038461538461453
2014-01-27,2080,2080,2080,2080,1264,0.002409638554216942
2014-01-28,2085,2085,2080,2080,675,0.0
2014-01-29,2085,2089,2085,2091,6386,0.005288461538461631
2014-02-03,2089,2089,2089,2091,1912,0.0
2014-02-04,2089,2089,2089,2091,23,0.0
2014-02-05,2074,2095,2074,2086,3462,-0.002391200382592107
2014-02-06,2085,2142,2085,2091,10816,0.0023969319271333056
2014-02-07,2089,2111,2089,2112,12989,0.010043041606886627
2014-02-10,2089,2101,2089,2101,9668,-0.00520833333333337
2014-02-11,2105,2111,2100,2112,239,0.005235602094240788
2014-02-12,2153,2153,2101,2101,4240,-0.00520833333333337
2014-02-13,2111,2111,2100,2112,3998,0.005235602094240788
2014-02-14,2111,2111,2094,2112,25695,0.0
2014-02-17,2111,2111,2101,2101,23602,-0.00520833333333337
2014-02-18,2105,2105,2101,2101,26644,0.0
2014-02-19,2111,2132,2101,2101,50310,0.0
2014-02-20,2101,2101,2095,2101,17139,0.0
2014-02-21,2101,2101,2095,2101,7915,0.0
2014-02-24,2095,2101,2095,2101,17073,0.0
2014-02-25,2101,2101,2101,2101,21590,0.0
2014-02-26,2111,2111,2111,2112,10201,0.005235602094240788
2014-02-27,2111,2111,2111,2112,2,0.0
2014-02-28,2111,2111,2111,2112,50,0.0
2014-03-03,2111,2111,2111,2112,1347,0.0
2014-03-04,2100,2111,2100,2112,26683,0.0
2014-03-05,2105,2110,2100,2106,31897,-0.0028409090909090606
2014-03-06,2105,2105,2101,2101,10081,-0.0023741690408357607
2014-03-07,2101,2105,2101,2101,10649,0.0
2014-03-10,2100,2111,2100,2112,14818,0.005235602094240788
2014-03-11,2122,2122,2122,2123,14267,0.005208333333333259
2014-03-12,2126,2180,2126,2180,27158,0.026848798869524293
2014-03-13,2189,2189,2142,2154,59722,-0.011926605504587129
2014-03-14,2142,2152,2132,2133,59478,-0.00974930362116988
2014-03-17,2132,2142,2132,2138,72850,0.002344116268166996
2014-03-18,2142,2142,2111,2112,31960,-0.012160898035547207
2014-03-19,2121,2121,2105,2117,13045,0.0023674242424243097
2014-03-20,2111,2122,2111,2123,14420,0.0028341993386868936
2014-03-21,2116,2122,2116,2123,10276,0.0
2014-03-24,2116,2122,2116,2123,16361,0.0
2014-03-25,2132,2132,2116,2117,32443,-0.0028261893546868144
2014-03-26,2111,2122,2111,2123,491438,0.0028341993386868936
2014-03-27,2122,2143,2116,2144,10987,0.009891662741403628
2014-03-28,2121,2131,2121,2127,7157,-0.00792910447761197
2014-03-31,2132,2143,2132,2144,14318,0.007992477668077091
2014-04-01,2136,2184,2136,2185,15434,0.019123134328358216
2014-04-02,2153,2205,2153,2202,21061,0.0077803203661326314
2014-04-03,2163,2189,2163,2191,137,-0.004995458673932807
2014-04-04,2189,2195,2163,2196,4336,0.0022820629849384932
2014-04-07,2195,2195,2195,2196,361,0.0
2014-04-08,2173,2184,2173,2185,16,-0.005009107468123886
2014-04-09,2195,2195,2153,2180,4780,-0.0022883295194507935
2014-04-10,2200,2200,2152,2185,9802,0.002293577981651307
2014-04-11,2184,2184,2184,2185,1,0.0
2014-04-14,2184,2184,2184,2185,0,0.0
2014-04-15,2194,2194,2152,2185,296,0.0
2014-04-16,2174,2195,2163,2196,38834,0.005034324942791768
2014-04-17,2195,2195,2174,2196,11416,0.0
2014-04-18,2205,2205,2201,2202,32,0.002732240437158362
2014-04-21,2232,2232,2216,2217,3065,0.006811989100817373
2014-04-22,2205,2215,2189,2191,12369,-0.011727559765448814
2014-04-23,2237,2237,2188,2228,578,0.016887266088543962
2014-04-24,2232,2232,2185,2212,3059,-0.007181328545781018
2014-04-25,2180,2184,2180,2180,6025,-0.01446654611211573
2014-04-28,2226,2226,2226,2228,0,0.022018348623853212
2014-04-29,2179,2226,2179,2228,7134,0.0
2014-04-30,2184,2226,2184,2228,951,0.0
