Date,Open,High,Low,Close,Volume,Change
2015-06-23,19659,25556,19659,25557,3089573,
2015-06-24,28732,30206,23212,24574,3748823,-0.0384630433931995
2015-06-25,24233,26804,23666,25482,935537,0.03694962155123305
2015-06-26,25935,26200,24386,24386,355526,-0.043010752688172005
2015-06-29,24006,24384,22078,24158,465722,-0.009349626835069347
2015-06-30,24007,24573,23364,23629,156119,-0.021897508071860305
2015-07-01,23704,24499,22948,24083,206262,0.01921367810741037
2015-07-02,24574,26993,24234,26011,332994,0.08005647136984595
2015-07-03,26085,28807,25972,27863,439795,0.07120064588058894
2015-07-06,27787,28354,26010,27485,152151,-0.013566378351218433
2015-07-07,27825,28165,24989,25217,174895,-0.08251773694742592
2015-07-08,25707,25707,23061,25330,249297,0.00448110401713131
2015-07-09,24611,25291,23704,25179,76585,-0.0059613106987761455
2015-07-10,25141,25670,24157,25595,74860,0.016521704595099163
2015-07-13,25141,26691,25141,26616,67517,0.03989060363352226
2015-07-14,26729,27523,26049,26049,44740,-0.021302975653742062
2015-07-15,25934,26350,25028,25028,57900,-0.03919536258589584
2015-07-16,25027,26237,24611,25860,84763,0.03324276809972826
2015-07-17,25707,26615,24989,26351,83794,0.018986852281515754
2015-07-20,26577,28279,26388,28015,146382,0.06314750863344853
2015-07-21,28316,28581,26501,28166,144270,0.0053899696591110935
2015-07-22,28165,36558,27825,33005,605894,0.17180288290847123
2015-07-23,33004,34894,30471,32854,362513,-0.004575064384184202
2015-07-24,30433,31379,29526,29527,377978,-0.10126620807207642
2015-07-27,29111,31190,28393,30246,182374,0.02435059437125342
2015-07-28,29942,30963,27976,30888,156305,0.02122594723269189
2015-07-29,30888,31380,29678,31002,111227,0.0036907536907537786
2015-07-30,30963,31190,29753,30548,49262,-0.01464421650216119
2015-07-31,31077,32211,30320,31607,174639,0.03466675396097951
2015-08-03,31039,32174,31039,31758,63219,0.004777422722814562
2015-08-04,31757,31757,30698,30926,49459,-0.026198123307513033
2015-08-05,31002,31002,29262,30246,93694,-0.02198797128629637
2015-08-06,29942,32627,29564,31985,103994,0.0574952059776499
2015-08-07,32475,33382,31000,32627,84315,0.020071908707206543
2015-08-10,32287,32892,31190,31796,50306,-0.025469703006712252
2015-08-11,32249,36030,31833,34556,171075,0.08680337149326967
2015-08-12,34555,34933,31833,32968,120253,-0.04595439286954506
2015-08-13,32287,36446,32287,33800,170147,0.025236593059936974
2015-08-17,34669,36105,33383,35123,99735,0.039142011834319534
2015-08-18,35840,37239,33231,33648,102134,-0.0419952737522421
2015-08-19,33307,34555,29413,34442,196447,0.02359724203518776
2015-08-20,33610,34404,32174,32174,199060,-0.0658498345043842
2015-08-21,30282,33420,30093,31342,101790,-0.025859389569217406
2015-08-24,27826,28204,21966,21966,1647128,-0.2991512985769893
2015-08-25,22645,25443,19394,24839,1689164,0.13079304379495582
