Date,Open,High,Low,Close,Volume,Change
2008-02-22,7082,8142,6357,8142,2629351,
2008-02-25,8061,8452,7427,8407,802332,0.032547285679194404
2008-02-26,8233,8521,8037,8222,198811,-0.022005471630783924
2008-02-27,8106,8290,6989,8222,453371,0.0
2008-02-28,8175,8221,7887,8061,142525,-0.01958161031379224
2008-02-29,7945,8233,7773,8234,127449,0.021461357151718152
2008-03-03,7956,8382,7864,8176,111813,-0.007043964051493767
2008-03-04,8059,8059,7644,7715,206939,-0.05638454011741678
2008-03-05,7714,7714,7288,7289,268666,-0.055217109526895625
2008-03-06,7288,7311,6942,7024,652031,-0.03635615310742213
2008-03-07,7012,7082,6506,7082,332738,0.008257403189066093
2008-03-10,6931,7035,6736,6817,103661,-0.037418808246258095
2008-03-11,6689,7092,6654,7024,167405,0.03036526331230749
2008-03-12,7115,7231,7046,7174,175406,0.02135535307517089
2008-03-13,7173,7231,6816,7174,90755,0.0
2008-03-14,7196,7196,6931,7128,84369,-0.006412043490381936
2008-03-17,6966,6977,6620,6794,152317,-0.04685746352413023
2008-03-18,6793,6908,6678,6782,122534,-0.0017662643508978837
2008-03-19,6953,7103,6781,7024,340370,0.035682689472132045
2008-03-20,7000,7150,6781,7128,104556,0.01480637813211838
2008-03-21,7312,7358,7197,7278,109097,0.021043771043770976
2008-03-24,7196,7357,7184,7197,59115,-0.011129431162407277
2008-03-25,7255,7324,7140,7244,59666,0.0065304988189522906
2008-03-26,7243,7853,7058,7531,81848,0.03961899503037003
2008-03-27,7542,7853,7312,7808,104873,0.03678130394369927
2008-03-28,7807,7945,7589,7796,154334,-0.0015368852459016757
2008-03-31,7795,7864,7634,7865,80481,0.008850692662903947
2008-04-01,7761,7945,6689,7623,177111,-0.03076923076923077
2008-04-02,7795,7795,7634,7658,31329,0.0045913682277318735
2008-04-03,7749,7749,7427,7750,76897,0.012013580569339322
2008-04-04,7484,7749,7484,7727,72825,-0.0029677419354838808
2008-04-07,7726,7738,7484,7497,103820,-0.029765756438462576
2008-04-08,7496,7715,7496,7497,96483,0.0
