Date,Open,High,Low,Close,Volume,Change
2005-07-12,9760,10217,8541,8924,1266255,
2005-07-13,9263,9759,8920,9344,557498,0.04706409681757062
2005-07-14,9455,9569,8921,9000,181571,-0.03681506849315064
2005-07-15,9035,9189,8922,9116,178326,0.01288888888888895
2005-07-18,9375,9414,8803,8809,184440,-0.03367705133830623
2005-07-19,8577,8882,8577,8848,105644,0.004427290271313389
2005-07-20,8654,8844,8006,8391,155470,-0.051650090415913175
2005-07-21,8387,8577,8157,8466,100454,0.008938148015731118
2005-07-22,8462,8502,8234,8237,57483,-0.027049373966454016
2005-07-25,8120,8463,8044,8391,135619,0.01869612723078795
2005-07-26,8348,8884,8311,8620,139789,0.027291145274699113
2005-07-27,8769,8769,8426,8582,94669,-0.004408352668213489
2005-07-28,8617,8694,8427,8544,105118,-0.004427872290841295
2005-07-29,8542,8770,8389,8771,116405,0.026568352059925138
2005-08-01,8997,9569,8768,8924,526029,0.017443849047999116
2005-08-02,8769,8769,8198,8391,151792,-0.05972658000896458
2005-08-03,8270,8385,7774,7817,143371,-0.06840662614706228
2005-08-04,7494,7616,7243,7474,131523,-0.043878725853908174
2005-08-05,7242,7424,6791,7276,196167,-0.02649183837302649
2005-08-08,7243,7272,6936,7085,34087,-0.026250687190764177
2005-08-09,6924,7083,6885,6910,84185,-0.02470007057163015
2005-08-10,6836,7004,6807,6940,188173,0.004341534008682979
2005-08-11,6900,7031,6900,6926,70336,-0.002017291066282456
2005-08-12,6855,6862,6541,6674,254743,-0.0363846375974588
2005-08-16,6578,6699,6395,6482,150905,-0.028768354809709296
2005-08-17,6371,6508,6218,6406,201322,-0.011724776303610018
2005-08-18,6207,6382,6168,6216,231651,-0.029659694036840434
2005-08-19,6151,6234,5984,6155,157395,-0.009813384813384785
2005-08-22,6265,6935,6250,6544,474379,0.06320064987814789
2005-08-23,6571,6639,6441,6551,218113,0.0010696821515892019
2005-08-24,6633,6663,6328,6331,211106,-0.033582659136009774
2005-08-25,6273,6533,6205,6482,127438,0.023850892434054582
2005-08-26,6478,6554,6325,6406,166049,-0.011724776303610018
2005-08-29,6327,6364,6038,6040,124418,-0.057133936934124274
2005-08-30,6145,6228,5916,6010,91395,-0.004966887417218513
2005-08-31,5839,6098,5839,5948,86989,-0.010316139767054922
2005-09-01,6028,6196,6028,6177,109401,0.03850033624747806
2005-09-02,6108,6175,6061,6171,63091,-0.0009713453132588201
2005-09-05,6249,6425,6195,6406,137116,0.038081348241776114
2005-09-06,6409,7004,6409,6780,484791,0.058382766156727994
2005-09-07,6897,6936,6746,6780,212845,0.0
2005-09-08,6776,6936,6708,6840,232343,0.008849557522123908
2005-09-09,6786,7245,6786,7246,424164,0.05935672514619883
2005-09-12,7280,7555,7165,7474,450496,0.03146563621308318
2005-09-13,7271,7316,6790,6940,372540,-0.07144768530907142
2005-09-14,6892,7548,6892,7551,613886,0.0880403458213257
2005-09-15,7508,7546,6935,7131,641642,-0.05562177195073503
2005-09-16,7069,7358,7069,7315,269663,0.025802832702285894
2005-09-20,7397,7426,7175,7246,189233,-0.009432672590567348
2005-09-21,7197,7258,6936,6987,185885,-0.03574385868065144
2005-09-22,6870,7073,6870,6994,167787,0.001001860598253801
2005-09-23,7082,7090,6822,6887,241952,-0.015298827566485595
2005-09-26,6983,7218,6975,7109,330506,0.032234644983301974
2005-09-27,7121,7397,7016,7315,255619,0.028977352651568422
2005-09-28,7418,7425,7181,7192,225185,-0.016814764183185282
2005-09-29,7198,7305,7022,7308,258680,0.016129032258064502
2005-09-30,7356,8005,7335,7779,712103,0.06444991789819365
2005-10-04,8080,8195,7699,7817,524251,0.004884946651240618
2005-10-05,7852,8042,7623,7931,282774,0.014583599846488493
2005-10-06,8081,8615,7928,7931,825119,0.0
2005-10-07,7853,8234,7777,7779,341484,-0.01916530071869882
2005-10-10,7852,7928,7585,7665,425233,-0.014654839953721521
2005-10-11,7741,7970,7580,7971,352625,0.03992172211350287
2005-10-12,8006,8502,8006,8275,646599,0.03813825116045666
2005-10-13,8387,9494,8082,8924,1184560,0.07842900302114808
2005-10-14,8732,8998,8427,8505,277815,-0.04695203944419546
2005-10-17,8502,8578,8198,8428,283690,-0.009053497942386857
2005-10-18,8386,8652,8119,8352,299660,-0.009017560512577072
2005-10-19,8346,8346,7614,7817,213411,-0.06405651340996166
2005-10-20,7930,8007,7626,7742,208069,-0.009594473583216079
2005-10-21,7623,7775,7494,7665,153384,-0.009945750452079571
2005-10-24,7623,8042,7623,7894,520987,0.029876060013046324
2005-10-25,8081,8156,7623,7665,168302,-0.029009374208259442
2005-10-26,7814,7814,7541,7559,160290,-0.01382909328114812
2005-10-27,7586,7701,7434,7436,112574,-0.016271993649953687
2005-10-28,7242,7317,7019,7122,199255,-0.04222700376546529
2005-10-31,7264,7432,7141,7291,157402,0.0237292895254142
2005-11-01,7396,8348,7335,8008,1352446,0.0983404196955151
2005-11-02,7929,7969,7609,7704,310526,-0.03796203796203801
2005-11-03,7740,7814,7532,7581,246582,-0.015965732087227402
2005-11-04,7585,7967,7585,7665,251394,0.011080332409972193
2005-11-07,7700,7700,7494,7505,168094,-0.020874103065883887
2005-11-08,7449,7540,7403,7414,102607,-0.012125249833444318
2005-11-09,7410,7577,7311,7414,111603,0.0
2005-11-10,7461,7608,7409,7505,92936,0.012274076072295692
2005-11-11,7524,7738,7478,7665,187508,0.02131912058627572
2005-11-14,7889,7928,7623,7665,177458,0.0
2005-11-15,7777,8121,7740,8086,331133,0.05492498369210708
2005-11-16,8312,8312,7855,7971,308220,-0.014222112292851863
2005-11-17,7927,8080,7851,7894,197852,-0.0096600175636683
2005-11-18,7930,8200,7703,8200,263954,0.038763617937674244
2005-11-21,8273,8616,7891,8391,761812,0.023292682926829178
2005-11-22,8310,8425,7853,7857,398631,-0.06363961387200567
2005-11-23,7928,8081,7852,7931,215561,0.009418353060964835
2005-11-24,8004,8271,7889,7931,244223,0.0
2005-11-25,7927,8119,7852,8123,203911,0.024208800907830064
2005-11-28,8385,8576,8270,8313,472245,0.023390373014895882
2005-11-29,8387,8767,8387,8657,479787,0.04138096956574033
2005-11-30,8807,9380,8807,8963,947030,0.03534711793923995
2005-12-01,8881,9301,8767,9038,440860,0.008367734017628026
2005-12-02,9187,9226,8348,8428,568339,-0.06749280814339453
2005-12-05,8426,8578,8348,8391,259155,-0.004390128144280969
2005-12-06,8349,8961,8311,8582,447823,0.02276248361339528
2005-12-07,8806,9075,8463,8620,449388,0.004427872290841295
2005-12-08,8804,8920,8615,8848,398966,0.02645011600928071
2005-12-09,8922,9113,8769,9078,394029,0.025994575045207968
2005-12-12,9189,9722,9112,9267,988960,0.020819563780568373
2005-12-13,9416,9836,9111,9840,654947,0.0618323081903529
2005-12-14,9914,10066,9570,9763,390865,-0.007825203252032509
2005-12-15,9759,9835,9263,9344,350174,-0.04291713612619075
2005-12-16,8959,9225,8843,9000,298020,-0.03681506849315064
2005-12-19,8882,9607,8843,9573,307184,0.06366666666666676
2005-12-20,9378,10140,9378,10031,500529,0.047842891465580184
2005-12-21,10294,10560,10027,10069,691482,0.0037882564051441303
2005-12-22,10103,10293,9607,9686,405294,-0.03803754096732548
2005-12-23,9758,9950,9301,9801,321843,0.011872806111914214
2005-12-26,10066,10256,9722,9763,299570,-0.00387715539230693
2005-12-27,9798,10028,9379,9458,215648,-0.031240397418826227
2005-12-28,9377,9645,9377,9573,135930,0.012159018820046441
2005-12-29,9646,9989,9608,9992,229644,0.04376893345868593
2006-01-02,10333,10488,10029,10489,295162,0.04973979183346677
2006-01-03,10598,11054,10253,10335,484612,-0.01468204785966254
2006-01-04,10600,10600,10104,10221,299297,-0.011030478955007306
2006-01-05,10410,10449,9723,9916,389172,-0.029840524410527314
2006-01-06,9991,10562,9991,10489,341961,0.0577853973376361
2006-01-09,10638,11019,10486,10870,621541,0.036323767756697434
2006-01-10,10864,10864,10368,10678,367529,-0.017663293468261232
2006-01-11,10637,10943,10141,10145,809062,-0.04991571455328714
2006-01-12,10142,10332,10067,10108,188213,-0.0036471168063085813
2006-01-13,10067,10371,10028,10108,178373,0.0
2006-01-16,10217,10410,10103,10145,214511,0.0036604669568658377
2006-01-17,10142,10295,9341,9420,488175,-0.07146377525874814
2006-01-18,9150,9265,8427,8771,401272,-0.06889596602972403
2006-01-19,8693,8844,8463,8620,208219,-0.017215824877437003
2006-01-20,8617,8845,7549,7742,449253,-0.1018561484918794
2006-01-23,7318,7616,6641,6643,294179,-0.14195298372513565
2006-01-24,7039,7214,6482,7209,240054,0.08520246876411264
2006-01-25,7282,8007,7282,7742,240818,0.07393535857955325
2006-01-26,7556,7854,7488,7704,105885,-0.00490829243089641
2006-01-27,8044,8273,7853,8275,159936,0.07411734164070616
2006-01-31,8694,8885,8542,8734,280409,0.05546827794561926
2006-02-01,8616,8844,7814,8275,289998,-0.05255324021067098
2006-02-02,8539,8615,7967,8352,176776,0.009305135951661603
2006-02-03,8005,8082,7662,7779,179350,-0.06860632183908044
2006-02-06,7396,7814,7396,7779,103979,0.0
2006-02-07,7700,8157,7700,8161,165949,0.04910656896773369
2006-02-08,8003,8576,8003,8313,130189,0.01862516848425444
2006-02-09,8578,9532,8578,9535,976961,0.14699867677132206
2006-02-10,9683,10216,9376,9801,771004,0.027897220765600528
2006-02-13,9875,10866,9609,9612,1436061,-0.019283746556473802
2006-02-14,9494,10218,9112,10221,1111974,0.06335830212234717
2006-02-15,10333,10525,9457,9497,468185,-0.07083455630564528
2006-02-16,9339,9912,9188,9686,316575,0.019901021375171135
2006-02-17,9722,9798,9379,9612,311801,-0.007639892628536038
2006-02-20,9454,9568,8996,9382,434223,-0.02392842280482732
2006-02-21,9646,9722,8883,8924,539107,-0.04881688339373269
2006-02-22,9076,9113,8806,9078,246582,0.01725683549977597
2006-02-23,9263,10178,9263,9573,1276799,0.05452742894910778
2006-02-24,9570,10028,9532,9725,496365,0.015877990180716672
2006-02-27,9836,9912,9493,9686,226353,-0.004010282776349627
2006-02-28,9645,9836,9607,9840,154814,0.01589923601073706
2006-03-02,10067,10104,9609,9612,180357,-0.023170731707317094
2006-03-03,9647,9685,9075,9116,238316,-0.051602163961714576
2006-03-06,8921,9264,8883,9229,105699,0.012395787626151789
2006-03-07,9074,9074,8768,8887,121159,-0.03705710261133388
2006-03-08,8694,9113,8158,9078,446610,0.021492067064251108
