Date,Open,High,Low,Close,Volume,Change
2001-11-06,13461,13461,13461,13462,108237,
2001-11-07,15070,15070,13836,15071,883681,0.11952161640172343
2001-11-08,14921,15482,13574,14361,329311,-0.04711034436998207
2001-11-09,14208,14208,12638,12640,166335,-0.11983845136132576
2001-11-12,12002,12339,11143,11144,199332,-0.1183544303797468
2001-11-13,11180,12264,11180,11780,196289,0.05707106963388364
2001-11-14,11144,12790,11144,12454,184479,0.05721561969439737
2001-11-15,12076,12787,11852,11892,93078,-0.045126063915208015
2001-11-16,12040,13235,12040,13051,178391,0.09746047763202159
2001-11-19,12714,13500,12527,13501,103629,0.03448011646617122
2001-11-20,13648,13760,11891,12191,91747,-0.09702984964076733
2001-11-21,12300,12563,11890,12266,49608,0.00615207940283824
2001-11-22,12377,12638,12190,12528,68406,0.02135985651394101
2001-11-23,12226,12599,12226,12378,56369,-0.011973180076628398
2001-11-26,12452,13835,12415,13126,149450,0.06042979479722077
2001-11-27,13123,13796,12750,13051,77880,-0.005713850373304852
2001-11-28,13048,13834,12339,12340,91964,-0.05447858401655048
2001-11-29,12302,12565,11517,12565,54712,0.018233387358184805
2001-11-30,12562,12898,11852,12004,35117,-0.04464783127735772
2001-12-03,11592,12228,11294,11332,63063,-0.05598133955348217
2001-12-04,11405,11705,11331,11481,59830,0.013148605718319883
2001-12-05,11777,11926,11367,11592,56737,0.009668147373922187
2001-12-06,11741,11741,10620,10621,87671,-0.08376466528640447
2001-12-07,10844,11069,10396,10733,63653,0.01054514640805948
2001-12-10,10507,10843,10470,10621,48256,-0.010435106680331652
2001-12-11,10506,11890,10506,11892,75682,0.11966858111288947
2001-12-12,12153,12713,11479,12191,99500,0.025142953245879562
2001-12-13,12002,12638,11667,11930,54065,-0.021409236321876746
2001-12-14,11777,11851,11478,11592,28931,-0.028331936295054483
2001-12-17,11329,11927,10918,10920,50258,-0.05797101449275366
2001-12-18,10957,11518,10957,11107,53126,0.017124542124542064
2001-12-19,11104,11216,10095,10658,43955,-0.040424957234176606
2001-12-20,10470,10993,10470,10695,9906,0.00347157065115411
2001-12-21,10582,10843,10283,10770,20755,0.007012622720897532
2001-12-24,10695,10957,10247,10584,17211,-0.017270194986072407
2001-12-26,10394,10655,10208,10284,14135,-0.028344671201814053
2001-12-27,10283,10505,10095,10434,12156,0.014585764294049008
2001-12-28,10694,10768,10358,10471,34585,0.0035460992907800915
2002-01-02,10657,10843,10507,10695,31662,0.02139241715213447
2002-01-03,10768,10768,10395,10471,19851,-0.020944366526414182
2002-01-04,10468,10581,10282,10284,22312,-0.017858848247540804
2002-01-07,10394,10431,9834,9947,32852,-0.032769350447296786
2002-01-08,10057,10057,9722,9723,25681,-0.022519352568613704
2002-01-09,9722,10132,9722,10097,88996,0.03846549418903633
2002-01-10,9909,10469,9909,10321,51318,0.02218480736852535
2002-01-11,10432,10581,10133,10471,34475,0.014533475438426535
2002-01-14,10469,10543,10170,10396,26124,-0.00716263967147357
2002-01-15,10394,11628,10394,11630,169701,0.11869949980761829
2002-01-16,11927,13012,11666,13014,143304,0.1190025795356835
2002-01-17,13835,14545,11964,14547,265789,0.11779621945597052
2002-01-18,15221,15221,12827,12828,330724,-0.11816869457620127
2002-01-21,12189,12973,11292,11966,709945,-0.0671967570938572
2002-01-22,11966,12153,10919,11481,276030,-0.04053150593347821
2002-01-23,11778,11965,11143,11144,261380,-0.02935284382893477
2002-01-24,10993,11067,9834,9835,231080,-0.11746231155778897
2002-01-25,9833,10245,9535,9686,156755,-0.01514997458057954
2002-01-28,9684,10320,9573,10097,104070,0.042432376626058144
2002-01-29,9796,10282,9796,10284,118968,0.018520352579974197
2002-01-30,10319,10468,9721,9797,69692,-0.047355114741345794
2002-01-31,9908,10618,9833,10545,166594,0.07634990303154021
2002-02-01,10732,10732,10171,10584,137248,0.0036984352773825613
2002-02-04,10768,11292,10058,10097,256574,-0.046012849584278204
2002-02-05,9795,10169,9647,9723,52759,-0.037040705159948506
2002-02-06,9535,9871,9535,9723,48251,0.0
2002-02-07,9572,9871,8600,8601,61076,-0.11539648256710888
2002-02-08,8414,8675,8188,8415,58593,-0.021625392396232956
2002-02-14,8637,8825,8377,8415,25403,0.0
2002-02-15,8301,8600,8301,8601,29327,0.022103386809269265
2002-02-18,8636,8861,8413,8526,28024,-0.008719916288803642
2002-02-19,8526,9049,8414,8938,58968,0.048322777386816895
2002-02-20,8711,8898,8226,8377,34096,-0.06276571940031328
2002-02-21,8413,9309,8413,8863,74572,0.05801599618001663
2002-02-22,8975,9385,8862,9163,62233,0.033848584000902626
2002-02-25,9272,9422,8600,8601,38334,-0.06133362435883449
2002-02-26,8485,8748,8261,8264,64198,-0.0391814905243576
2002-02-27,8227,8301,7964,8190,37410,-0.00895450145208132
2002-02-28,8187,8187,8001,8152,25902,-0.004639804639804623
2002-03-04,8188,8450,8188,8377,40736,0.027600588812561444
2002-03-05,8563,8751,8338,8452,44131,0.008953085830249563
2002-03-06,8600,8824,8451,8751,57854,0.03537624230951253
2002-03-07,8899,9347,8825,9125,79871,0.042737972803108315
2002-03-08,9198,9198,8825,8900,31041,-0.024657534246575352
2002-03-11,9161,9459,9124,9349,75038,0.05044943820224712
2002-03-12,9271,9458,8973,9012,33679,-0.03604663600385072
2002-03-13,8898,9122,8749,9012,34035,0.0
2002-03-14,8786,9197,8749,9049,34960,0.004105636928539713
2002-03-15,9160,9235,8750,8975,36990,-0.00817769919328104
2002-03-18,8973,9048,8749,9049,47768,0.008245125348189442
2002-03-19,9161,9722,9011,9723,91165,0.07448336832799196
2002-03-20,9795,9795,9236,9349,55703,-0.03846549418903633
2002-03-21,9422,9459,9124,9274,46000,-0.008022248368809493
2002-03-22,9348,9459,9124,9349,48027,0.008087125296527997
2002-03-25,9499,9984,9385,9537,79133,0.02010910257781573
2002-03-26,9609,9609,9124,9274,44496,-0.02757680612351887
2002-03-27,9423,10132,9310,10097,111454,0.08874272158723318
2002-03-28,10320,10843,9647,9873,209012,-0.02218480736852535
2002-03-29,10132,11030,9909,11032,170199,0.11739086397245013
2002-04-01,11589,11589,9720,9760,144321,-0.11530094271211022
2002-04-02,9385,9947,9385,9911,65826,0.015471311475409921
2002-04-03,10094,10094,9498,9611,61164,-0.03026939763898695
2002-04-04,9385,10207,9348,9947,137095,0.03495994173343053
2002-04-08,9945,10281,9758,9835,47072,-0.011259676284306797
2002-04-09,9721,10282,9721,10284,43814,0.04565327910523642
2002-04-10,10431,10431,9236,9349,59884,-0.09091793076623877
2002-04-11,9348,9573,8937,8938,44084,-0.043961921061076104
2002-04-12,8712,8974,8451,8975,53378,0.0041396285522488085
2002-04-15,8974,9460,8974,9461,42817,0.054150417827298014
2002-04-16,9460,10020,9460,9573,146601,0.011838072085403217
2002-04-17,9721,9871,9385,9573,56483,0.0
2002-04-18,9721,9871,9348,9349,23281,-0.023399143424213897
2002-04-19,8451,9311,8451,8789,31779,-0.05989945448711087
2002-04-22,9160,9160,8337,8339,26252,-0.05120036409147799
2002-04-23,8298,8485,8075,8264,12680,-0.008993884158772003
2002-04-24,8040,8526,8040,8452,12549,0.022749273959341787
2002-04-25,8150,8225,7739,7741,17925,-0.08412210127780406
2002-04-26,7514,8112,7514,7741,9238,0.0
2002-04-29,7553,8038,7403,7778,11103,0.004779744219093107
2002-04-30,7964,7964,7590,7816,6837,0.004885574697865769
2002-05-02,7814,8038,7814,7853,9374,0.00473387922210855
2002-05-03,7888,8037,7588,7927,9957,0.009423150388386592
2002-05-06,8000,8038,7852,7891,2986,-0.004541440645893791
2002-05-07,7813,7925,7627,7666,5703,-0.028513496388290482
2002-05-08,7552,7925,7552,7741,7364,0.009783459431254915
2002-05-09,7851,7999,7776,7927,7191,0.0240279033716575
2002-05-10,7928,7928,7704,7704,8400,-0.028131701778730922
2002-05-13,7514,7776,7440,7479,10935,-0.029205607476635476
2002-05-14,7477,7663,7477,7553,12555,0.009894370905201288
2002-05-15,7589,7738,7552,7666,8289,0.014960942671786048
2002-05-16,7626,7999,7626,7628,19502,-0.004956952778502499
2002-05-17,7702,7739,7589,7741,7392,0.014813843733612941
2002-05-20,7740,7962,7665,7853,23026,0.014468414933471063
2002-05-21,7961,8037,7626,7628,15116,-0.028651470775499788
2002-05-22,7625,7701,7439,7553,13979,-0.009832197168327172
2002-05-23,7514,7664,7478,7479,15240,-0.009797431484178443
2002-05-24,7477,7551,7140,7292,12629,-0.02500334269287341
2002-05-27,7290,7290,6991,6993,8320,-0.041003839824465205
2002-05-28,7028,7178,6468,6731,10839,-0.037466037466037494
2002-05-29,6691,6691,6318,6357,21946,-0.055563809240826045
2002-05-30,6355,6355,6169,6170,8031,-0.02941639137958152
2002-05-31,6282,6430,6057,6282,8719,0.018152350081037216
2002-06-03,6020,6283,6020,6208,5023,-0.011779687997452992
2002-06-04,6019,6282,5833,6282,7850,0.011920103092783574
2002-06-05,6130,6466,6130,6469,10242,0.029767589939509786
2002-06-07,6282,6355,6094,6282,8490,-0.028907095377956438
2002-06-10,6355,6355,6207,6282,2181,0.0
2002-06-11,6169,6282,6131,6282,2782,0.0
2002-06-12,6057,6356,6057,6357,4276,0.011938872970391534
2002-06-14,6282,7104,6244,7105,36949,0.1176655655183263
2002-06-17,7105,7180,6469,6956,32790,-0.020971147079521413
2002-06-18,7066,7252,6842,7105,28339,0.02142035652673946
2002-06-19,7290,7290,6282,6282,12275,-0.1158339197748065
2002-06-20,6093,6355,5982,6058,19163,-0.03565743393823628
2002-06-21,5870,6282,5870,6282,6393,0.03697589963684389
2002-06-24,6095,6244,5571,5834,9354,-0.07131486787647245
2002-06-25,5796,5983,5421,5647,10147,-0.03205347960233118
2002-06-26,5460,5534,4972,5498,8071,-0.026385691517619936
2002-06-27,5083,5718,5083,5384,2816,-0.020734812659148782
