Date,Open,High,Low,Close,Volume,Change
2000-04-27,6341,6592,6057,6217,6202,
2000-04-28,6079,6582,6079,6297,3515,0.012867942737654792
2000-05-02,6731,7096,6182,6354,2185,0.009051929490233368
2000-05-03,6365,6480,6297,6320,970,-0.005350960025180984
2000-05-04,5496,6616,5496,6582,5996,0.041455696202531644
2000-05-08,6433,6628,6342,6354,7412,-0.034639927073837784
2000-05-09,6434,6811,6434,6640,15455,0.0450110166824047
2000-05-10,6627,6627,6354,6480,3551,-0.02409638554216864
2000-05-12,6342,6616,6273,6582,4792,0.015740740740740833
2000-05-15,6159,6479,5965,5965,9757,-0.0937405044059556
2000-05-16,6045,6284,6045,6114,6402,0.02497904442581733
2000-05-17,6182,6388,5874,5977,6027,-0.02240758913967944
2000-05-18,5771,5919,5679,5874,6606,-0.017232725447548947
2000-05-19,6339,6339,5713,5725,5388,-0.0253660197480422
2000-05-22,5736,5758,5668,5680,5439,-0.007860262008733576
2000-05-23,5668,6524,5668,5931,11130,0.04419014084507045
2000-05-24,6250,6250,5485,5691,4994,-0.04046535154274156
2000-05-25,6148,6250,5873,6251,6334,0.0984009840098401
2000-05-26,5952,5952,5805,5828,3222,-0.06766917293233088
2000-05-29,5862,5965,5679,5874,5192,0.007892930679478383
2000-05-30,5874,6754,5874,6754,58734,0.14981273408239693
2000-05-31,6844,7473,6342,6582,98217,-0.025466390287237184
2000-06-01,6831,6831,6044,6102,25132,-0.07292616226071102
2000-06-02,6284,6397,6090,6342,24717,0.039331366764995046
2000-06-05,6673,6810,6342,6582,21864,0.03784295175023655
2000-06-07,6525,6765,6353,6468,21042,-0.017319963536918892
2000-06-08,6798,6798,6376,6388,16418,-0.01236858379715522
2000-06-09,6399,6524,6193,6205,9255,-0.02864746399499063
2000-06-12,6114,6388,6114,6354,2164,0.024012892828364274
2000-06-13,6159,6616,6148,6251,11517,-0.016210261252754155
2000-06-14,6079,6479,6079,6297,6863,0.007358822588385827
2000-06-15,6375,6375,6010,6102,9078,-0.0309671272034302
2000-06-16,6102,6342,5965,6251,12742,0.024418223533267724
2000-06-19,6329,6375,6045,6148,8171,-0.016477363621820507
2000-06-20,6148,6388,5965,6251,12985,0.01675341574495781
2000-06-21,7082,7082,6250,6262,6817,0.0017597184450488523
2000-06-22,6274,6775,6251,6434,19984,0.027467262855317864
2000-06-23,6434,6604,6171,6480,10570,0.007149518184644155
2000-06-26,6468,6901,6468,6720,7616,0.03703703703703698
2000-06-27,6856,7278,6799,6868,16594,0.022023809523809446
2000-06-28,6913,7004,6719,6925,10364,0.008299359347699431
2000-06-29,6994,7736,6994,7280,18558,0.051263537906137246
2000-06-30,7279,7849,7268,7554,12887,0.037637362637362726
2000-07-03,7610,8512,7610,7988,17864,0.05745300503044737
2000-07-04,7942,8891,6914,6960,243003,-0.12869303955933897
2000-07-05,7325,7988,7325,8000,81088,0.14942528735632177
2000-07-06,8467,8810,7576,7862,151361,-0.017249999999999988
2000-07-07,7565,8033,7417,7760,34595,-0.012973798015772031
2000-07-10,7849,7849,7244,7382,20896,-0.048711340206185616
2000-07-11,7472,7644,7017,7097,33614,-0.038607423462476254
2000-07-12,6994,7552,6994,7097,31290,0.0
2000-07-13,7119,7953,6936,7291,43096,0.027335493870649596
2000-07-14,7300,7369,6913,7005,24748,-0.03922644356055416
2000-07-18,6845,7096,6719,6914,26859,-0.01299072091363307
2000-07-19,6730,6993,6617,6720,13671,-0.028059010702921605
2000-07-20,6708,6889,6616,6834,11884,0.016964285714285765
2000-07-21,6639,7129,6639,6754,4957,-0.01170617500731641
2000-07-24,7759,7759,7759,7771,54807,0.15057743559372216
2000-07-25,8476,8476,6799,6811,256375,-0.12353622442414103
2000-07-26,7073,7073,6536,6628,66920,-0.02686830127734552
2000-07-27,6706,6855,6422,6445,37875,-0.02761013880506935
2000-07-28,6329,6421,6010,6148,32401,-0.04608223429014735
2000-07-31,5782,5965,5713,5965,14498,-0.029765777488614198
2000-08-01,6136,6319,6136,6205,9805,0.0402347024308467
2000-08-02,6296,6342,6102,6251,6936,0.007413376309427955
2000-08-03,6387,6490,6147,6182,15281,-0.01103823388257874
2000-08-04,6147,6764,6147,6205,31210,0.0037204788094467034
2000-08-07,6523,6523,6136,6148,10423,-0.009186140209508475
2000-08-08,5451,6306,5451,6011,11862,-0.02228366948601168
2000-08-09,6102,6237,5999,6102,5537,0.015138911994676318
2000-08-10,6262,6262,5987,6262,7450,0.026220911176663364
2000-08-11,6331,6901,6228,6811,27239,0.08767167039284574
2000-08-14,7005,7382,6582,6651,72674,-0.02349141095287033
2000-08-16,6706,6901,6479,6491,24083,-0.02405653285220266
2000-08-17,6525,7051,6468,6537,20972,0.007086735479895134
2000-08-18,6604,6616,6353,6365,9732,-0.026311763806027177
2000-08-21,6330,6523,6330,6422,5856,0.008955223880596996
2000-08-22,6330,6443,6330,6342,6559,-0.01245717844908123
2000-08-23,6365,6433,6205,6251,9258,-0.014348785871964642
2000-08-24,6056,6353,6056,6251,7780,0.0
2000-08-25,6239,6375,6239,6262,4988,0.0017597184450488523
2000-08-28,6262,6433,6205,6411,3959,0.023794314915362547
2000-08-29,6500,6603,6319,6342,5862,-0.010762751520823621
2000-08-30,5999,6489,5964,6342,5471,0.0
2000-08-31,6329,6501,6205,6228,3887,-0.01797540208136239
2000-09-01,6227,6489,6227,6445,8399,0.034842646114322307
2000-09-04,6628,7200,6582,7200,38601,0.11714507370054306
2000-09-05,7359,7359,6719,7085,26453,-0.015972222222222276
2000-09-06,7039,7848,6799,7097,40917,0.0016937191249117856
2000-09-07,7655,7655,6902,7005,31836,-0.012963223897421439
2000-09-08,6993,7084,6674,6720,16914,-0.0406852248394004
2000-09-14,6639,6901,6330,6788,14807,0.010119047619047583
2000-09-15,6617,6901,6548,6720,10839,-0.0100176782557454
2000-09-18,6364,6719,6159,6182,19242,-0.08005952380952386
2000-09-19,5656,6421,5656,6171,5789,-0.001779359430605032
2000-09-20,6171,6525,6171,6537,7514,0.05930967428293621
2000-09-21,6582,6582,6365,6571,3833,0.005201162612819443
2000-09-22,6422,7038,6422,6765,12417,0.029523664586820875
2000-09-25,6525,7369,6525,7165,15592,0.059127864005912745
2000-09-26,7472,7472,6902,7097,7566,-0.009490579204466165
2000-09-27,6947,7518,6913,7005,19688,-0.012963223897421439
2000-09-28,7290,7473,6982,7245,12152,0.03426124197002145
2000-09-29,7245,7622,6959,7291,28575,0.006349206349206327
2000-10-02,7313,7382,7119,7291,9936,0.0
2000-10-04,7096,7278,7016,7165,8071,-0.017281580030174215
2000-10-05,7017,7257,7017,7200,9341,0.00488485694347518
2000-10-06,7085,7564,6994,7314,54447,0.015833333333333366
2000-10-09,7369,7541,7096,7314,23926,0.0
2000-10-10,7232,7415,7108,7211,12510,-0.014082581350834067
2000-10-11,7039,7290,6810,6982,13688,-0.031757037858826775
2000-10-12,6982,7051,6799,6914,5437,-0.009739329704955613
2000-10-13,6731,6981,6628,6811,16595,-0.014897309806190306
2000-10-16,6913,7519,6868,7371,63641,0.08221993833504615
2000-10-17,7279,7988,7211,7291,105846,-0.010853344186677494
2000-10-18,7474,7759,7245,7577,66093,0.03922644356055405
2000-10-19,7702,8512,7702,7874,84506,0.039197571598257985
