Date,Open,High,Low,Close,Volume,Change
2007-04-16,5225,6010,5190,6015,3594024,
2007-04-17,6565,6880,6220,6905,10182703,0.14796342477140478
2007-04-18,6474,6739,5870,6015,4234601,-0.12889210716871835
2007-04-19,5885,6399,5620,6165,1954898,0.02493765586034913
2007-04-20,6004,6194,5660,5665,1103637,-0.08110300081103006
2007-04-23,5689,5804,5460,5555,1233406,-0.01941747572815533
2007-04-24,5480,5744,5365,5590,1379828,0.006300630063006407
2007-04-25,5589,5609,5365,5420,540025,-0.030411449016100156
2007-04-26,5405,5559,5385,5425,389595,0.0009225092250921829
2007-04-27,5414,5504,5070,5355,722867,-0.012903225806451646
2007-04-30,5315,5489,5195,5445,271044,0.01680672268907557
2007-05-02,5639,5639,5340,5535,372315,0.016528925619834656
2007-05-03,5630,5769,5470,5635,554143,0.01806684733513997
2007-05-04,5655,5744,5515,5695,282568,0.010647737355811815
2007-05-07,5799,5799,5575,5615,178953,-0.014047410008779626
2007-05-08,5520,5659,5465,5595,279482,-0.003561887800534236
2007-05-09,5584,5619,5390,5575,424179,-0.00357462019660415
2007-05-10,5514,5634,5285,5295,317847,-0.05022421524663678
2007-05-11,5190,5344,5190,5320,245919,0.0047214353163360645
2007-05-14,5390,5550,5200,5575,539233,0.047932330827067604
2007-05-15,5555,5639,5435,5560,175254,-0.0026905829596413078
2007-05-16,5614,5614,5415,5495,250837,-0.011690647482014427
2007-05-17,5484,5484,5310,5435,100080,-0.010919017288444022
2007-05-18,5415,5550,5325,5575,215172,0.02575896964121438
2007-05-21,5569,5659,5330,5420,63017,-0.02780269058295959
2007-05-22,5390,5564,5255,5470,135487,0.009225092250922495
2007-05-23,5440,5440,5305,5470,120496,0.0
2007-05-25,5335,5509,5315,5445,127386,-0.004570383912248621
2007-05-28,5569,5569,5330,5370,138650,-0.01377410468319562
2007-05-29,5334,5384,5215,5310,189132,-0.011173184357541888
2007-05-30,5295,5395,5195,5245,165760,-0.012241054613935987
2007-05-31,5225,5435,5195,5370,296956,0.023832221163012424
2007-06-01,5345,5485,5245,5370,82474,0.0
2007-06-04,5519,5589,5185,5420,182477,0.009310986964618184
2007-06-05,5400,5465,5020,5495,345209,0.013837638376383854
2007-06-07,5260,5395,5205,5245,250860,-0.04549590536851689
2007-06-08,5150,5759,5150,5470,1248792,0.04289799809342232
2007-06-11,5634,5739,5250,5415,982004,-0.010054844606946944
