Date,Open,High,Low,Close,Volume,Change
2015-10-13,23966,25767,21640,21640,1650182,
2015-10-14,21890,22165,20814,21015,271097,-0.028881700554528655
2015-10-15,21365,21590,20914,21115,124492,0.004758505829169701
2015-10-16,21264,21289,20263,20564,119915,-0.026095192990764904
2015-10-19,20564,20689,20138,20164,81399,-0.019451468585878207
2015-10-20,20163,20689,19888,20639,101345,0.023556833961515533
2015-10-21,20814,21089,20288,20639,74767,0.0
2015-10-22,20539,20814,19914,19914,65278,-0.03512767091428848
2015-10-23,19963,20213,19013,19013,68167,-0.04524455157175855
2015-10-26,19013,19463,18737,18938,35396,-0.0039446694367012425
2015-10-27,19187,19788,18862,19213,47273,0.01452106875066006
2015-10-28,19212,19713,18887,19288,39584,0.003903606932806003
2015-10-29,19513,19638,18862,19013,32161,-0.014257569473247633
2015-10-30,18912,19013,18512,18938,34527,-0.0039446694367012425
2015-11-02,19088,19088,18512,18713,27826,-0.01188087443235819
2015-11-03,18613,18963,18312,18538,24981,-0.009351787527387412
2015-11-04,18513,18738,18137,18363,37890,-0.009440069047362165
2015-11-05,18362,20188,18112,18913,102045,0.02995153297391484
2015-11-06,18838,18913,18387,18413,32050,-0.02643684238354571
2015-11-09,18463,18788,18038,18038,21011,-0.020366045728561377
2015-11-10,18062,18212,17436,17637,20659,-0.022230845991795145
2015-11-11,17287,18363,17287,18238,17572,0.034076090037988394
2015-11-12,18212,18413,17762,18363,17335,0.006853821690974815
2015-11-13,18363,18363,17637,18038,10135,-0.01769863312094977
2015-11-16,17937,18438,17612,18113,17861,0.004157888901208606
2015-11-17,18362,18663,18037,18413,4573,0.016562689780820428
2015-11-18,18488,18638,17987,18188,5555,-0.012219627437136782
2015-11-19,18187,18662,17836,17937,17520,-0.013800307895315611
2015-11-20,18112,18188,17687,18188,17560,0.0139934214194124
2015-11-23,18637,18637,17761,17912,13311,-0.015174840554211588
2015-11-24,17912,18062,17661,17687,12779,-0.012561411344350182
2015-11-25,17837,17937,17561,17662,10816,-0.0014134675185164536
2015-11-26,17662,18313,17512,18288,19407,0.035443324651794894
2015-11-27,18287,18538,17962,18438,13389,0.00820209973753272
2015-11-30,18562,19238,18212,19163,29228,0.039320967566981224
2015-12-01,19438,19438,18587,18588,21435,-0.030005740228565503
2015-12-02,18538,18988,18388,18388,9754,-0.010759629868732468
2015-12-03,18412,18713,18187,18463,14672,0.00407874700891897
2015-12-04,18187,18438,18087,18363,6444,-0.00541623788116774
2015-12-07,18413,18563,18187,18263,3038,-0.005445733267984587
2015-12-08,18462,18862,17636,17987,31442,-0.015112522586650634
2015-12-09,17837,18188,17812,18063,7670,0.004225273808861951
2015-12-10,17837,18413,17762,18313,16717,0.013840447323257399
2015-12-11,18312,18538,18012,18338,8170,0.0013651504395784109
2015-12-14,18237,18237,17536,17837,7436,-0.02732031846439087
2015-12-15,17987,17987,17461,17837,9162,0.0
2015-12-16,17812,18037,17536,17762,13614,-0.004204742950047691
2015-12-17,17637,18263,17637,18263,6449,0.028206283076230187
2015-12-18,18238,18388,17937,18238,5552,-0.0013688879154575284
