Date,Open,High,Low,Close,Volume,Change
2010-09-14,4516,5176,4236,5178,11647873,
2010-09-15,5354,5834,4416,4418,14278166,-0.1467748165314794
2010-09-16,4558,4936,4457,4519,4992260,0.022861023087369814
2010-09-17,4876,5176,4636,4738,8776983,0.0484620491259129
2010-09-20,4996,5436,4977,5439,5784611,0.14795272266779236
2010-09-24,5818,6118,5617,5719,9168133,0.051480051480051525
2010-09-27,5833,5994,5454,5697,4859411,-0.003846826368246181
2010-09-28,5735,6536,5555,6538,6133778,0.1476215552044935
2010-09-29,6455,6755,6275,6599,5490568,0.00933007035790756
2010-09-30,6497,6696,6157,6159,3040347,-0.06667676920745569
2010-10-01,6276,6978,5937,6399,3941406,0.03896736483195329
2010-10-04,6555,6875,6476,6618,4332624,0.03422409751523681
2010-10-05,6617,6857,6478,6839,3215402,0.03339377455424608
2010-10-06,6993,7094,6454,6457,2699548,-0.055856119315689456
2010-10-07,6555,6693,6235,6518,2386585,0.009447111661762486
2010-10-08,6514,6555,6035,6038,1533683,-0.07364222154034983
2010-10-11,6076,6357,5917,5919,1911098,-0.01970851275256702
2010-10-12,6035,6716,5996,6198,5396529,0.047136340598074034
2010-10-13,6016,6076,5316,5459,4557929,-0.11923201032591157
2010-10-14,5576,5615,5354,5498,1203544,0.0071441655980948315
2010-10-15,5436,5516,5096,5219,1620756,-0.05074572571844305
2010-10-18,5117,5577,5117,5399,1615885,0.03448936577888495
2010-10-19,5494,5575,5296,5318,920259,-0.015002778292276364
2010-10-20,5257,5558,5238,5479,950114,0.030274539300488845
2010-10-21,5516,5877,5416,5679,1588815,0.03650301149844859
2010-10-22,5796,5796,5556,5618,1070235,-0.010741327698538528
2010-10-25,5675,5694,5354,5418,948767,-0.03559985760056961
2010-10-26,5416,5516,5276,5379,638592,-0.007198228128460715
2010-10-27,5476,5757,5416,5679,2228392,0.05577244841048512
2010-10-28,5675,5775,5495,5498,876310,-0.03187180841697479
2010-10-29,5456,5538,5196,5299,833561,-0.036194979992724585
2010-11-01,5355,5476,5216,5439,797885,0.026420079260237816
2010-11-02,5477,5617,5396,5539,833150,0.01838573267144694
2010-11-03,5495,5936,5495,5738,3278611,0.03592706264668721
2010-11-04,5735,5775,5556,5598,821722,-0.024398745207389383
2010-11-05,5656,5735,5315,5439,1097587,-0.028403001071811373
2010-11-08,5435,5537,5376,5518,394645,0.014524728810443088
2010-11-09,5515,6094,5515,5638,3374553,0.021747009786154514
2010-11-10,5696,5757,5436,5559,993895,-0.01401206101454422
2010-11-11,5616,5696,5457,5559,907726,0.0
2010-11-12,5615,5717,4897,5278,1157984,-0.05054865983090484
2010-11-15,5237,5255,4936,5158,678206,-0.022735884804850337
2010-11-16,5096,5415,4996,5278,720795,0.023264831329972813
2010-11-17,5175,5274,5055,5258,342634,-0.0037893141341417413
2010-11-18,5254,5395,5236,5318,425023,0.011411182959300215
2010-11-19,5315,5354,5195,5198,298383,-0.02256487401278673
2010-11-22,5218,5257,5077,5139,344877,-0.01135051943055021
2010-11-23,5136,5155,4915,4938,436525,-0.03911266783420897
2010-11-24,4436,5496,4436,4959,2382778,0.004252733900364625
2010-11-25,5095,5095,4856,4918,459799,-0.008267795926598098
2010-11-26,4955,4976,4535,4578,647333,-0.06913379422529486
2010-11-29,4557,4797,4497,4639,754789,0.01332459589340318
2010-11-30,4615,4755,4574,4678,248319,0.008406984263849893
2010-12-01,4635,4734,4615,4678,226331,0.0
2010-12-02,4756,4876,4697,4698,320401,0.004275331338178701
2010-12-03,4715,4735,4575,4578,206992,-0.025542784163473775
2010-12-06,4593,4634,4475,4498,178113,-0.01747487986020091
2010-12-07,4537,4718,4537,4720,295654,0.04935526900844822
2010-12-08,4654,4755,4615,4678,134822,-0.008898305084745761
2010-12-09,4698,4898,4637,4799,390061,0.025865754595981283
2010-12-10,4715,4835,4715,4817,121120,0.0037507814127943906
2010-12-13,4915,4975,4835,4838,287191,0.0043595598920489476
2010-12-14,4874,4914,4754,4777,160348,-0.012608515915667584
2010-12-15,4857,4857,4675,4698,196125,-0.016537575884446265
2010-12-16,4695,4734,4615,4678,173596,-0.004257130693912314
2010-12-17,4675,4716,4595,4599,225906,-0.016887558785805945
2010-12-20,4517,4536,4396,4519,340615,-0.017395085888236572
2010-12-21,4655,4876,4655,4858,535396,0.0750165965921663
2010-12-22,4896,4976,4775,4938,293450,0.016467682173733955
2010-12-23,4937,4997,4837,4979,206533,0.00830295666261649
2010-12-24,4895,5056,4835,5018,268688,0.007832898172323688
2010-12-27,4915,5095,4915,5018,232992,0.0
2010-12-28,5038,5118,4959,5059,259030,0.008170585890793225
2010-12-29,5076,5096,4936,5038,166217,-0.004151017987744643
2010-12-30,5037,5037,4897,4998,160350,-0.007939658594680377
2011-01-03,4957,5117,4957,4998,251192,0.0
2011-01-04,4996,5075,4876,4878,315677,-0.02400960384153661
2011-01-05,4935,4935,4756,4758,272777,-0.024600246002460024
2011-01-06,4795,4955,4755,4817,313108,0.012400168137873147
2011-01-07,4897,5537,4857,5439,2596362,0.1291260120406892
2011-01-10,5435,5555,5335,5498,830905,0.010847582276153789
2011-01-11,5495,5615,5394,5598,631866,0.01818843215714816
2011-01-12,0,0,0,5539,273834,-0.01053947838513758
2011-01-13,5757,5857,5337,5479,1143767,-0.010832280194981059
2011-01-14,5495,5735,5296,5498,969366,0.0034677860923526538
2011-01-17,5537,5556,5376,5439,290099,-0.010731174972717361
2011-01-18,5396,5638,5337,5479,458487,0.007354293068578821
2011-01-19,5556,5877,5436,5679,1518649,0.03650301149844859
2011-01-20,5695,5835,5576,5758,520776,0.013910899806304
2011-01-21,5735,5816,5576,5638,366537,-0.020840569642236906
2011-01-24,5676,5917,5496,5919,1123231,0.04984036892515076
2011-01-25,5936,5997,5736,5799,581169,-0.020273694880892035
2011-01-26,5798,5818,5597,5719,459394,-0.013795481979651636
2011-01-27,5657,5718,5517,5559,434370,-0.02797691904179056
2011-01-28,5615,5694,5537,5598,317211,0.007015650296815945
2011-01-31,5494,5515,5235,5358,531058,-0.04287245444801713
2011-02-01,5355,5495,5275,5439,467055,0.01511758118701012
2011-02-07,5456,5696,5376,5578,551111,0.02555616841331121
2011-02-08,5694,5694,5556,5598,292746,0.0035855145213337103
2011-02-09,5636,5656,5336,5439,307555,-0.028403001071811373
2011-02-10,5394,5454,5296,5358,194650,-0.014892443463872085
2011-02-11,5236,5354,5056,5098,324340,-0.048525569242254596
2011-02-14,5136,5237,5096,5158,132787,0.011769321302471658
2011-02-15,5095,5175,4956,5078,202835,-0.015509887553315282
2011-02-16,5195,5354,5095,5198,473549,0.023631350925561234
2011-02-17,5194,5235,4695,4817,500128,-0.07329742208541745
2011-02-18,4837,5539,4837,5539,986650,0.14988582105044634
2011-02-21,5537,5615,5354,5518,615697,-0.0037912980682434094
2011-02-22,5476,5736,5355,5679,914003,0.029177238129757255
2011-02-23,5657,5756,5436,5578,551373,-0.017784821271350615
2011-02-24,5615,5895,5495,5638,1207508,0.010756543564001353
2011-02-25,5656,5735,5515,5598,292393,-0.007094714437743899
2011-02-28,5515,5595,5315,5358,319365,-0.04287245444801713
2011-03-02,5236,5537,5236,5418,189474,0.011198208286674172
2011-03-03,5377,5736,5377,5679,409608,0.04817275747508298
2011-03-04,5776,6176,5696,5998,1254722,0.056171861243176524
2011-03-07,6037,6177,5857,5959,633263,-0.006502167389129676
2011-03-08,6137,6277,5958,5959,849885,0.0
2011-03-09,5997,6057,5757,5899,570008,-0.01006880349051853
2011-03-10,5955,6094,5875,6038,687360,0.02356331581624005
2011-03-11,5876,6076,5817,5998,495800,-0.00662471016893007
2011-03-14,6157,6238,5697,5719,1176660,-0.046515505168389426
2011-03-15,5675,5815,5116,5418,1036738,-0.052631578947368474
2011-03-16,5537,5636,5255,5598,496540,0.03322259136212624
2011-03-17,5356,5496,5356,5399,179994,-0.03554841014648091
2011-03-18,5436,5516,5276,5278,289695,-0.022411557695869555
2011-03-21,5276,5457,5255,5379,331941,0.019136036377415788
2011-03-22,5395,5436,5237,5238,378990,-0.026213050752928013
2011-03-23,5196,5397,5097,5399,382541,0.030736922489499774
2011-03-24,5556,5577,5337,5339,478023,-0.011113169105389842
2011-03-25,5397,5437,5298,5399,171397,0.011238059561715641
2011-03-28,5457,5477,5356,5399,153146,0.0
2011-03-29,5354,5414,5315,5358,178709,-0.007593998888683062
2011-03-30,5356,5637,5276,5539,618874,0.03378126166480033
2011-03-31,5578,5658,5457,5479,495346,-0.010832280194981059
2011-04-01,5516,5736,5436,5679,478688,0.03650301149844859
2011-04-04,5736,5957,5657,5679,928812,0.0
2011-04-05,5696,5696,5556,5618,310983,-0.010741327698538528
2011-04-06,5678,5817,5356,5479,611449,-0.02474190103239582
2011-04-07,5455,5495,5335,5418,377945,-0.011133418507026871
2011-04-08,5415,5475,5335,5418,279598,0.0
2011-04-11,5456,5495,5355,5439,198337,0.003875968992248069
2011-04-12,5476,5637,5457,5559,930213,0.02206287920573624
2011-04-13,5555,5656,5475,5498,385596,-0.010973196618096814
2011-04-14,5475,5495,5354,5418,228534,-0.014550745725718461
2011-04-15,5415,5516,5297,5518,340214,0.01845699520118127
2011-04-18,5575,5594,5254,5258,619358,-0.047118521203334596
2011-04-19,5215,5315,5035,5198,396030,-0.011411182959300104
2011-04-20,5255,5336,5116,5158,270532,-0.0076952674105424945
2011-04-21,5155,5195,5096,5098,259230,-0.011632415664986406
2011-04-22,5176,5176,4936,4998,339835,-0.019615535504119208
2011-04-25,5035,5274,5035,5258,308383,0.05202080832332934
2011-04-26,5235,5254,5115,5258,207962,0.0
2011-04-27,5255,5297,5096,5118,135249,-0.026626093571700316
2011-04-28,5136,5156,4996,5038,156754,-0.01563110590074246
2011-04-29,5038,5157,4978,5139,150061,0.020047637951568165
2011-05-02,5195,5195,5056,5078,95742,-0.011870013621327113
2011-05-03,5056,5274,4936,4938,366456,-0.027569909413154736
2011-05-04,4915,5013,4795,4838,229469,-0.020251113811259658
2011-05-06,4836,4836,4617,4659,175915,-0.03699875981810663
2011-05-09,4697,4757,4637,4639,101780,-0.0042927666881305004
2011-05-11,4677,4858,4677,4720,135853,0.01746065962491916
2011-05-12,4714,4794,4714,4777,75171,0.012076271186440612
2011-05-13,4816,4816,4576,4639,160053,-0.028888423696880938
2011-05-16,4594,4655,4556,4578,53945,-0.01314938564345769
2011-05-17,4534,4615,4376,4397,251975,-0.039536915683704654
2011-05-18,4477,4558,4257,4559,204453,0.03684330225153509
2011-05-19,4516,4516,4256,4278,114558,-0.06163632375520944
2011-05-20,4197,4378,4197,4299,105871,0.004908835904628317
2011-05-23,4216,4395,3959,3998,314279,-0.0700162828564782
2011-05-24,4015,4036,3935,3966,149431,-0.008004002001000488
2011-05-25,3963,4075,3939,3946,163154,-0.005042864346949116
2011-05-26,3944,4076,3944,3998,104136,0.013177901672579928
2011-05-27,4036,4094,3975,3998,89678,0.0
2011-05-30,4055,4136,3996,3998,78021,0.0
2011-05-31,4054,4054,3411,3686,258078,-0.07803901950975489
2011-06-01,3718,3718,3513,3634,257037,-0.014107433532284275
2011-06-02,3599,3656,3491,3598,194475,-0.009906439185470517
2011-06-03,3560,4136,3560,3886,523577,0.08004446914952745
2011-06-07,3869,3997,3797,3851,127201,-0.009006690684508545
2011-06-08,3848,3914,3787,3866,136307,0.0038950921838483143
2011-06-09,3795,3914,3755,3858,97169,-0.0020693222969477842
2011-06-10,3875,3914,3563,3578,168703,-0.07257646448937272
2011-06-13,3515,3676,3500,3618,134480,0.011179429849077716
2011-06-14,3500,3647,3472,3598,132398,-0.0055279159756771445
2011-06-15,3632,3849,3632,3810,205114,0.05892162312395777
2011-06-16,3756,4038,3756,4039,255294,0.06010498687664034
2011-06-17,4036,4175,3915,3998,230472,-0.01015102748204999
2011-06-20,4017,4077,3949,3978,114943,-0.005002501250625291
2011-06-21,3956,4076,3948,3998,201430,0.005027652086475598
2011-06-22,4038,4258,4017,4219,209540,0.055277638819409614
2011-06-23,4235,4454,4215,4357,192415,0.0327091727897606
2011-06-24,4357,4718,4357,4720,411195,0.08331420702318115
2011-06-27,4575,4756,4535,4698,345774,-0.004661016949152552
2011-06-28,4797,4917,4558,4559,205216,-0.029587058322690485
2011-06-29,4557,4636,4237,4239,584547,-0.07019083132265846
2011-06-30,4357,4417,4277,4318,185382,0.01863647086577025
2011-07-01,4357,4397,4257,4318,173329,0.0
2011-07-04,4317,4536,4296,4539,232834,0.051181102362204633
2011-07-05,4576,4576,4477,4559,174769,0.004406256884776472
2011-07-06,4558,4937,4558,4720,888502,0.035314762009212464
2011-07-07,4776,4836,4595,4659,236228,-0.012923728813559299
2011-07-08,4756,4756,4655,4738,145627,0.0169564284181154
2011-07-11,4736,4776,4616,4698,234341,-0.008442380751371936
2011-07-12,4576,4717,4517,4559,419130,-0.029587058322690485
2011-07-13,4759,4849,4585,4678,279693,0.026102215398113637
2011-07-14,4736,5187,4683,4979,165284,0.06434373663958959
2011-07-15,5065,5096,4916,5098,100851,0.023900381602731446
2011-07-18,5270,5270,5037,5038,99568,-0.011769321302471547
2011-07-19,4976,5095,4915,5074,87610,0.007145692735212483
2011-07-20,5146,5182,5044,5057,57898,-0.003350413874655067
2011-07-21,5073,5128,5025,5057,51743,0.0
2011-07-22,5071,5311,5055,5266,115818,0.04132885109748874
