Date,Open,High,Low,Close,Volume,Change
2000-04-27,6621,6751,6516,6653,77278,
2000-04-28,6193,7446,6193,6653,85885,0.0
2000-05-02,6358,6944,6358,6622,92127,-0.004659552081767604
2000-05-03,6625,7615,6569,7159,375476,0.08109332527937174
2000-05-04,7477,7477,6859,6867,128355,-0.04078781952786703
2000-05-08,6856,7260,6642,6997,74882,0.018931119848551115
2000-05-09,7179,7179,6642,6920,93938,-0.011004716306988738
2000-05-10,6916,6916,6646,6836,69278,-0.012138728323699444
2000-05-12,7316,7316,6726,6888,85577,0.0076067875950849295
2000-05-15,6892,6944,6625,6622,73777,-0.03861788617886175
2000-05-16,6274,6568,6274,6411,35747,-0.03186348535185746
2000-05-17,6649,6729,5986,5986,49200,-0.0662923100920293
2000-05-18,6035,6859,6035,6867,151182,0.14717674574006012
2000-05-19,7874,7874,6937,7878,764607,0.1472258628221932
2000-05-22,7635,7905,6698,6944,504093,-0.1185580096471186
2000-05-23,6937,6937,5891,5902,333596,-0.1500576036866359
2000-05-24,5333,5551,5035,5425,361069,-0.08082006099627248
2000-05-25,5709,6032,5334,5850,171080,0.07834101382488479
2000-05-26,5663,5845,5340,5502,183065,-0.05948717948717952
2000-05-29,5021,5445,5021,5309,91544,-0.03507815339876408
2000-05-30,6032,6032,5446,5818,125514,0.09587492936522879
2000-05-31,5874,6137,5660,5769,249908,-0.008422138191818473
2000-06-01,5821,5874,5607,5769,85923,0.0
2000-06-02,5877,6382,5768,5874,346406,0.018200728029121205
2000-06-05,5979,6302,5979,6197,180060,0.05498808307797076
2000-06-07,5947,6186,5891,5902,156876,-0.047603679199612725
2000-06-08,6516,6516,5951,6197,200462,0.04998305659098601
2000-06-09,5979,6193,5979,6032,72679,-0.02662578667096982
2000-06-12,6565,6565,5926,6032,97592,0.0
2000-06-13,6038,6196,5877,5930,109488,-0.016909814323607386
2000-06-14,6144,6144,5824,5930,76922,0.0
2000-06-15,5874,5874,5523,5713,72292,-0.03659359190556488
2000-06-16,5446,5663,5389,5639,48826,-0.012952914405741311
2000-06-19,5414,5575,5389,5583,56523,-0.009930838801205932
2000-06-20,5287,5715,5287,5449,117160,-0.02400143292136847
2000-06-21,5452,5796,5452,5558,125912,0.02000367039823825
2000-06-22,5768,5768,5526,5639,59115,0.01457358762144656
2000-06-23,5365,6463,5365,5744,334957,0.018620322752260998
2000-06-26,5818,5979,5709,5713,125669,-0.005396935933147606
2000-06-27,6137,6137,5709,5850,68320,0.02398039558900744
2000-06-28,5709,6003,5709,5818,45709,-0.0054700854700854284
2000-06-29,5817,6031,5765,5958,37610,0.024063251976624178
2000-06-30,5979,5979,5765,5769,33133,-0.031722054380664666
2000-07-03,5445,5954,5445,5930,52966,0.027907782977985685
2000-07-04,5786,5975,5786,5902,70388,-0.004721753794266426
2000-07-05,5975,6351,5818,5818,50580,-0.014232463571670628
2000-07-06,6035,6091,5768,5874,48684,0.009625300790649716
2000-07-07,5880,6038,5771,5986,26377,0.019067075246850473
2000-07-10,6091,6091,5688,5874,75647,-0.01871032408954232
2000-07-11,5793,5821,5712,5769,46611,-0.017875383043922333
2000-07-12,5818,5874,5765,5797,19089,0.004853527474432351
2000-07-13,5789,5874,5575,5818,61820,0.003622563394859446
2000-07-14,5976,5976,5498,5583,92833,-0.040391887246476466
2000-07-18,5575,6032,5467,6011,347336,0.07666129321153492
2000-07-19,6140,6516,5821,6197,364052,0.03094327067043756
2000-07-20,6677,7105,5765,7102,517929,0.1460384056801678
2000-07-21,7210,7530,6463,6730,629356,-0.05237961137707692
2000-07-24,7189,7189,5986,5986,260595,-0.1105497771173849
2000-07-25,5877,6860,5688,6411,306385,0.07099899766120954
2000-07-26,6140,6726,6060,6411,62325,0.0
2000-07-27,6302,7126,6168,6439,163733,0.004367493370768916
