Date,Open,High,Low,Close,Volume,Change
2000-04-27,396712,408302,374147,396685,4026,
2000-04-28,406186,433429,404188,419967,8076,0.058691405019095866
2000-05-02,423700,423700,404133,408294,3705,-0.027795041038938817
2000-05-03,410282,412290,396711,400554,1992,-0.01895692809593086
2000-05-04,392605,414088,392605,398583,2744,-0.004920684851480672
2000-05-08,456648,456648,427497,456921,7922,0.14636349267279347
2000-05-09,445274,466659,427816,433630,6478,-0.05097380072266322
2000-05-10,435419,439334,423864,439471,2262,0.013470008993842653
2000-05-12,419694,425599,408021,408294,2804,-0.07094210994582117
2000-05-15,402324,402324,377052,388454,2563,-0.0485924358427996
2000-05-16,400490,408292,392705,400554,2422,0.03114911932944442
2000-05-17,408229,416006,381069,384594,3544,-0.03984481493132008
2000-05-18,380914,384002,338182,357768,1900,-0.06975147818218697
2000-05-19,349992,369358,349992,354634,1469,-0.008759866729277088
2000-05-22,357758,357758,326618,326664,929,-0.07887004630125705
2000-05-23,297350,318615,297350,303291,1960,-0.07155058408640069
2000-05-24,292363,320822,281871,308396,2627,0.016832019413698385
2000-05-25,315563,347421,315563,346086,2889,0.12221299887158077
2000-05-26,338699,346093,311148,311112,2329,-0.10105580693815985
2000-05-29,291473,322612,291473,318843,1257,0.024849571858366115
2000-05-30,326628,339509,319242,334486,1535,0.04906176394024642
2000-05-31,342034,354915,338536,351191,2567,0.04994229952823148
2000-06-01,351935,353534,336465,341480,987,-0.02765161977385522
2000-06-02,351027,357213,343642,351191,4668,0.028437975869743504
2000-06-05,363446,384902,351773,381133,4366,0.08525844910604197
2000-06-07,384766,412007,369177,394713,10332,0.03563060663862738
2000-06-08,400535,400535,350292,350356,5394,-0.11237785428906577
2000-06-09,349992,363564,349992,359749,2207,0.02680987338592744
2000-06-12,351926,365525,350028,357359,1908,-0.006643520899293653
2000-06-13,350646,355642,339364,344197,2516,-0.036831309691374825
2000-06-14,340063,347539,338155,342625,1317,-0.004567151950772397
2000-06-15,348057,348057,313420,313420,1872,-0.08523896388179497
2000-06-16,310949,322612,303554,318843,1068,0.017302660966115768
2000-06-19,313420,324702,303236,313420,1325,-0.017008370891002822
