Date,Open,High,Low,Close,Volume,Change
2015-11-04,55128,60633,52927,52927,4249385,
2015-11-05,53520,58008,52588,57839,1795103,0.0928070738942317
2015-11-06,56991,58685,55213,55806,980159,-0.03514929372914466
2015-11-09,56059,56144,48522,49285,1027490,-0.11685123463426872
2015-11-10,47845,50725,46067,48608,774051,-0.013736430962767554
2015-11-11,48100,49793,47930,48693,354400,0.0017486833443054461
2015-11-12,48692,49539,47253,47338,316040,-0.02782740845706777
2015-11-13,47846,50217,47084,50048,277278,0.0572478769698761
2015-11-16,49115,49877,48099,48523,165532,-0.03047074808184147
2015-11-17,49369,49962,47930,48523,170411,0.0
2015-11-18,48438,48438,43611,44543,658036,-0.08202295818477834
2015-11-19,45559,45559,41536,43696,713686,-0.019015333497968245
2015-11-20,44543,45898,43696,44882,268442,0.027142072500915493
2015-11-23,45643,46575,44373,45813,195210,0.020743282384920514
2015-11-24,45982,45982,44543,44628,193621,-0.02586602056184928
2015-11-25,44627,45559,43526,43696,152208,-0.020883750112037247
2015-11-26,45304,46744,44204,44204,334796,0.011625778103258932
2015-11-27,44712,45220,44204,44289,118925,0.0019229029047145296
2015-11-30,43950,44120,42765,42850,152213,-0.032491137754295685
2015-12-01,43188,44458,42849,43612,131725,0.0177829638273046
2015-12-02,43950,44288,43018,43442,82392,-0.003898009722094864
2015-12-03,44035,45475,43696,44967,179185,0.03510427696699048
2015-12-04,44034,44712,43865,43950,154870,-0.022616585496030406
2015-12-07,44374,44374,42341,42850,176854,-0.025028441410693936
2015-12-08,42510,43187,39377,39716,563130,-0.07313885647607932
2015-12-09,39123,39461,37768,39123,235069,-0.014931010172222758
2015-12-10,39250,40732,39208,40182,181728,0.027068476343838688
2015-12-11,40901,42129,40309,41918,230976,0.04320342441889413
2015-12-14,41071,42595,40944,41622,219920,-0.007061405601412329
2015-12-15,41663,42595,41197,42087,129015,0.01117197635865641
2015-12-16,42510,43188,42171,42680,127153,0.014089861477415866
2015-12-17,42934,43018,41452,41537,141507,-0.02678069353327084
2015-12-18,41494,41833,40774,41325,119704,-0.005103883284782285
2015-12-21,41071,41452,40732,41410,140854,0.0020568663036901746
2015-12-22,41664,41706,40563,40648,82084,-0.018401352330355003
2015-12-23,40690,41579,40182,40521,116003,-0.003124384963589799
2015-12-24,40563,41113,39504,39759,123603,-0.01880506404086768
2015-12-28,39335,40351,38827,40309,147211,0.013833345909102235
2015-12-29,40647,42510,40012,42341,265508,0.05041057828276574
2015-12-30,42214,44373,41790,42934,275431,0.014005337616022295
2016-01-04,43357,44797,41664,41664,236406,-0.029580286020403412
2016-01-05,41156,43273,41071,42511,126195,0.020329301075268758
2016-01-06,43188,46322,42595,46322,463219,0.08964738538260675
2016-01-07,46575,48692,45813,46152,490044,-0.003669962436855023
2016-01-08,44797,46575,44712,45644,250164,-0.011007106950944756
2016-01-11,45559,46406,44797,45475,182126,-0.0037025676978353905
2016-01-12,45813,46067,43272,43442,197001,-0.04470588235294115
2016-01-13,44119,44627,43441,43950,140362,0.011693752589659878
2016-01-14,42849,43611,40859,41664,357367,-0.05201365187713314
2016-01-15,41071,41240,34084,35228,1588814,-0.15447388632872505
2016-01-18,35523,36836,34931,36159,391032,0.026427841489724102
2016-01-19,35778,36540,34507,34762,253342,-0.0386349180010509
2016-01-20,34804,35990,34127,35694,247196,0.02681088544962895
2016-01-21,35312,35524,33407,33492,396936,-0.061691040511010264
2016-01-22,33873,35566,33068,33873,343155,0.01137585094948057
2016-01-25,34889,35355,34084,34974,154599,0.032503764059870655
2016-01-26,35143,36879,34847,36414,231201,0.0411734431291817
2016-01-27,36921,37090,35481,36498,269933,0.0023068050749712743
2016-01-28,35354,35863,33534,33873,777053,-0.07192174913693905
2016-01-29,34254,34296,33365,33365,261214,-0.0149971954063709
2016-02-01,33746,34084,32475,33111,262124,-0.007612767870523007
2016-02-02,32941,33533,32729,32941,108376,-0.0051342454169309715
2016-02-03,32856,32898,31586,32433,226700,-0.015421511186667125
2016-02-04,31882,32094,30781,31290,498441,-0.035241883267042806
2016-02-05,31459,32602,31374,32391,193825,0.03518696069031635
2016-02-11,31671,32136,30866,31163,180224,-0.03791176561390508
2016-02-12,30739,31078,27140,27818,502364,-0.10733883130635691
2016-02-15,28326,28664,27563,28072,322543,0.009130778632540082
2016-02-16,28326,29723,28326,29385,294729,0.04677258478198909
2016-02-17,29638,29892,28199,28411,273973,-0.033146163008337615
2016-02-18,28791,31078,28791,30909,323737,0.08792369152792934
2016-02-19,30485,30951,29977,30274,155252,-0.020544178071111974
2016-02-22,30400,30866,30231,30655,138665,0.012585056484111679
2016-02-23,30824,30867,28876,29004,348619,-0.05385744576741147
2016-02-24,28834,29893,28834,29893,149412,0.030650944697283133
2016-02-25,30062,30443,29935,29935,153389,0.0014050112066370524
2016-02-26,30485,30485,29553,29808,100192,-0.004242525471855663
2016-02-29,29723,29935,29384,29893,119373,0.0028515834675255647
2016-03-02,30189,31120,30019,31036,176541,0.03823637640919286
2016-03-03,31036,31756,30486,31587,138267,0.01775357649181597
2016-03-04,31756,32348,31163,31756,164868,0.005350302339570012
2016-03-07,32094,32729,31713,32306,149809,0.017319561657639593
2016-03-08,32603,32814,31248,32222,199688,-0.0026001361976103476
2016-03-09,32560,32603,31671,31841,101666,-0.011824219477375664
2016-03-10,32094,32729,31671,32518,137554,0.021261895040984857
2016-03-11,32602,32687,31925,31925,97340,-0.01823605387785232
2016-03-14,32179,33619,32179,32984,251101,0.03317149569303046
2016-03-15,32983,33703,32517,33534,170456,0.016674751394615495
2016-03-16,33534,34169,33069,33069,135378,-0.013866523528359265
2016-03-17,33364,33364,32517,32687,87438,-0.011551604221476275
2016-03-18,33026,33322,32771,33026,109159,0.01037109554257043
2016-03-21,33364,33407,32433,32518,87439,-0.015381820383939981
2016-03-22,32517,32898,32305,32814,67749,0.009102650839535098
2016-03-23,32941,32941,32518,32603,86739,-0.006430182239288151
2016-03-24,32602,33957,32433,33153,199705,0.016869613225776847
2016-03-25,33365,33407,32857,33069,67880,-0.002533707356800252
2016-03-28,33153,33195,31290,31290,196421,-0.05379660709425749
2016-03-29,31247,31543,30104,30316,239078,-0.031128155960370774
2016-03-30,30612,31205,30062,30147,160693,-0.005574614065180117
2016-03-31,30400,30527,29342,29554,176170,-0.01967028228347767
2016-04-01,29723,30697,29469,30443,136596,0.03008053055423976
2016-04-04,30486,30697,30147,30486,93062,0.0014124757743980698
2016-04-05,30527,30697,30146,30189,64707,-0.00974217673686284
2016-04-06,30146,30782,30062,30528,73064,0.011229255689158224
2016-04-07,30486,31036,30358,30486,80005,-0.0013757861635219637
2016-04-08,30528,30528,29808,29978,78691,-0.016663386472479225
2016-04-11,30062,30062,29596,29639,86610,-0.011308292748015258
2016-04-12,29681,30104,29596,29639,82445,0.0
2016-04-14,29639,29893,28792,28877,182841,-0.025709369411923477
2016-04-15,28791,29130,28706,29088,83527,0.0073068532049727075
2016-04-18,28919,29173,28707,28792,96791,-0.010176017601760123
2016-04-19,28665,29766,28622,29512,120189,0.02500694637399281
2016-04-20,29723,29850,29342,29554,69191,0.0014231499051233776
2016-04-21,29850,29850,29299,29469,78380,-0.0028760912228462665
2016-04-22,29384,29638,29384,29469,70054,0.0
2016-04-25,29512,32010,29512,31841,423150,0.08049136380603339
2016-04-26,32179,32222,31121,31841,182118,0.0
2016-04-27,31586,32433,31035,31163,177522,-0.021293301089789884
2016-04-28,31417,31629,30867,30867,86380,-0.009498443667169454
2016-04-29,30824,30866,29935,30782,123468,-0.0027537499595037263
2016-05-02,30782,30782,29596,29766,128616,-0.03300630238451041
2016-05-03,29765,30316,29342,30274,109081,0.0170664516562522
2016-05-04,30274,31205,29893,29893,183588,-0.01258505648411179
2016-05-09,30316,30824,29935,30147,120507,0.008496972535376068
2016-05-10,29934,30866,29723,30697,138801,0.018243938036952345
2016-05-11,31078,32941,31078,32603,533181,0.062090758054533124
2016-05-12,32941,33619,32349,33323,297595,0.02208385731374407
2016-05-13,33322,33449,32560,32730,157412,-0.01779551661014911
2016-05-16,32602,34084,32602,33788,249472,0.03232508402077605
2016-05-17,34000,34169,32941,33873,162008,0.0025156860423818372
2016-05-18,33872,33872,32645,32645,139073,-0.03625306291146346
2016-05-19,32603,32857,31713,32222,125978,-0.012957573901056785
2016-05-20,32263,33322,32263,33280,97639,0.032834709204891066
2016-05-23,33534,34085,33322,33450,138951,0.005108173076923128
2016-05-24,33619,33746,32348,32857,119060,-0.017727952167414074
2016-05-25,33068,33195,32221,32349,97777,-0.0154609367866817
2016-05-26,32348,33025,32178,32941,88735,0.018300411140993456
2016-05-27,32729,33279,32559,32941,79913,0.0
2016-05-30,33111,33153,32433,32857,72685,-0.0025500136607874424
2016-05-31,32857,34212,32475,34212,261182,0.041239309736129215
2016-06-01,33915,34593,33577,33577,147094,-0.018560738922015707
2016-06-02,33577,35228,33534,35186,309829,0.047919706942252116
2016-06-03,35016,35439,34677,34889,152253,-0.00844085715909737
2016-06-07,34973,35566,34761,35016,146851,0.003640115795809473
2016-06-08,35227,35227,34253,34423,119844,-0.016935115375828147
2016-06-09,34423,34888,33957,34423,110584,0.0
2016-06-10,34339,34804,33915,34339,84385,-0.0024402289167126945
2016-06-13,33788,34042,32772,32772,146239,-0.04563324499839827
2016-06-14,32517,33152,32094,32941,137309,0.005156841205907536
2016-06-15,32857,33492,32264,33450,77548,0.015451868492152743
2016-06-16,33618,34042,33195,33661,131636,0.0063079222720479056
2016-06-17,34042,34211,33407,33746,249354,0.0025251775051247094
2016-06-20,34042,34762,33999,34254,124981,0.015053635986487235
2016-06-21,34127,34127,33238,33450,83953,-0.02347171133298298
2016-06-22,33406,33618,32814,32814,80434,-0.019013452914798168
2016-06-23,32729,33237,32644,32814,92030,0.0
2016-06-24,33237,33491,30358,31544,222046,-0.03870299262509902
2016-06-27,30570,31671,30528,30994,106387,-0.01743596246512813
2016-06-28,31205,31925,30993,31671,89321,0.021842937342711588
2016-06-29,31967,32602,31967,32137,87499,0.014713776009598778
2016-06-30,32349,32476,31925,32222,85042,0.002644926408812198
2016-07-01,32221,33364,32094,33026,101853,0.024951896219973957
2016-07-04,33407,34550,33026,34127,207904,0.03333737055653119
2016-07-05,34127,34465,33661,34000,82817,-0.0037213936179564255
2016-07-06,33831,34254,32984,33450,104070,-0.016176470588235348
2016-07-07,33619,33788,33068,33365,83376,-0.0025411061285500747
2016-07-08,33618,33618,32475,32645,84545,-0.02157949947549831
2016-07-11,32729,33238,32560,33111,74227,0.014274774084852115
2016-07-12,33110,33449,32432,32687,80257,-0.012805412098698343
2016-07-13,32941,33703,32856,33280,104635,0.018141768898950694
2016-07-14,33492,34000,33238,33450,91574,0.005108173076923128
2016-07-15,33364,33745,32814,33026,75937,-0.012675635276532149
2016-07-18,33364,33364,32560,32560,70856,-0.014110095076606322
2016-07-19,32645,32941,32179,32222,42380,-0.01038083538083534
2016-07-20,32263,33322,32263,33280,74455,0.032834709204891066
2016-07-21,33365,33661,33195,33365,64574,0.002554086538461453
2016-07-22,33195,33449,33152,33280,34542,-0.0025475797991907356
2016-07-25,33195,33576,32433,32476,86593,-0.0241586538461539
2016-07-26,32263,32941,32263,32433,40737,-0.0013240546865377345
2016-07-27,32560,32645,32306,32518,34988,0.0026207874695525213
2016-07-28,32560,32644,31628,31925,104397,-0.01823605387785232
2016-07-29,31925,32306,31713,32010,39516,0.002662490211432944
2016-08-01,32178,32178,31077,31078,90189,-0.029115901280849732
2016-08-02,31078,31671,30867,31587,70054,0.016378145311796155
2016-08-03,31629,31629,30909,31587,67185,0.0
2016-08-04,32475,33195,32263,32433,181857,0.02678317029157573
2016-08-05,32772,33915,32730,33831,275019,0.0431042456757007
