Date,Open,High,Low,Close,Volume,Change
2013-04-08,164092,166499,142920,142920,457583,
2013-04-09,143881,155911,141956,146288,351417,0.023565631122306252
2013-04-10,147731,150618,137144,147251,294978,0.006582904954610003
2013-04-11,148213,168423,147731,163612,273008,0.1111096019721427
2013-04-12,165534,177564,164090,168423,209764,0.029404933623450535
2013-04-15,168422,182378,163611,171311,119528,0.017147301734323772
2013-04-16,171310,171310,163611,164574,106606,-0.039326137842870534
2013-04-17,164574,167461,153987,163612,91119,-0.0058453947768176695
2013-04-18,157354,164573,157354,160243,49909,-0.020591399163875534
2013-04-19,158798,161686,150618,159762,124632,-0.0030016911815180514
2013-04-22,159279,161685,156392,156874,50778,-0.018076889372942273
2013-04-23,157835,157835,150136,150618,76814,-0.03987913867180026
2013-04-24,151579,152061,137625,139069,295995,-0.07667742235323805
2013-04-25,140512,145324,138106,141476,130766,0.017307955043899037
2013-04-26,141956,142437,136663,140032,83825,-0.010206678164494276
2013-04-29,140032,141475,137144,137626,55606,-0.01718178702010964
2013-04-30,139549,145323,137624,143400,127459,0.04195428189440942
2013-05-02,144363,148213,142920,142920,82593,-0.0033472803347280866
2013-05-03,140031,159279,139549,156874,375065,0.09763504058214378
2013-05-06,158798,161686,153505,160243,90987,0.021475834108902747
2013-05-07,158797,162648,154467,156874,56348,-0.02102431931504023
2013-05-08,154949,157356,154949,157356,286536,0.0030725295460050095
2013-05-09,159279,161204,152542,153987,55883,-0.021410051094333915
2013-05-10,154948,160723,152061,158799,57600,0.031249391182372577
2013-05-13,157354,161204,155910,158799,33417,0.0
2013-05-14,158797,158797,154948,154949,44606,-0.024244485166783125
2013-05-15,154949,155912,140995,150138,93337,-0.031048925775577718
2013-05-16,146769,149656,142438,147251,67249,-0.01922897600873863
2013-05-20,144361,147249,142437,142438,42660,-0.032685686345084286
2013-05-21,142436,150617,142436,150618,37678,0.05742849520493132
2013-05-22,150617,150617,146767,147731,26508,-0.019167695760134884
2013-05-23,149655,149655,144844,144844,22705,-0.019542276164109085
2013-05-24,145324,150617,144361,145325,20524,0.0033208141172571537
2013-05-27,146288,148693,144362,144844,15495,-0.0033098228109409433
2013-05-28,144844,148213,143881,148213,23801,0.023259506779707895
2013-05-29,149174,149174,145323,147731,29887,-0.0032520764035542937
2013-05-30,148213,148213,141475,142920,40113,-0.032565947566861375
2013-05-31,143880,143880,128962,137144,127422,-0.040414217744192515
2013-06-03,134739,136663,130408,130408,81365,-0.049116257364521965
2013-06-04,130407,133294,120782,122227,133625,-0.062733881356972
2013-06-05,122708,125595,120303,120303,64490,-0.015741202843888802
2013-06-07,121745,125114,121264,124152,35914,0.03199421460811447
2013-06-10,125114,126558,120782,122227,30322,-0.015505187189896241
2013-06-11,122227,129445,121745,128483,64363,0.0511834537377176
2013-06-12,128002,129926,125595,126559,27248,-0.014974743740417074
2013-06-13,126557,127519,119819,125595,40943,-0.007617000766440896
2013-06-14,124632,125594,121264,121746,26328,-0.030646124447629264
2013-06-17,120783,123190,116934,118859,39099,-0.023713304749232056
2013-06-18,121745,121745,113564,115009,63637,-0.03239132080868934
2013-06-19,114526,115489,106828,108272,101151,-0.058578024328530764
2013-06-20,105864,107789,100089,105865,113896,-0.022231047731638864
2013-06-21,102977,107789,102496,107309,67776,0.013640013224389458
2013-06-24,107308,114526,105383,111159,60061,0.03587769898144599
2013-06-25,109716,112603,105384,106829,22161,-0.03895321116598749
2013-06-26,105864,109233,105383,109234,31782,0.022512613616152866
2013-06-27,109715,113084,109715,112603,39521,0.030842045516963568
2013-06-28,112602,115971,110195,114528,43367,0.017095459268403168
2013-07-01,112601,120301,112601,118377,132648,0.03360750209555752
2013-07-02,116932,120301,115488,119821,44358,0.012198315551162908
2013-07-03,119821,119821,115971,116934,23378,-0.024094273958655044
2013-07-04,118375,120301,113563,119339,39652,0.020567157541861114
2013-07-05,120301,122226,117413,121746,42825,0.02016943329506704
2013-07-08,120783,121264,117414,117896,20580,-0.03162321554712266
