Date,Open,High,Low,Close,Volume,Change
2000-04-27,3107,3220,2750,2816,238724,
2000-04-28,2887,3070,2734,2892,249589,0.026988636363636465
2000-05-02,2833,3155,2833,2986,226210,0.03250345781466124
2000-05-03,2948,3105,2844,3101,190669,0.03851306095110507
2000-05-04,3188,3467,3161,3431,1339829,0.10641728474685586
2000-05-08,3486,3625,3267,3302,829592,-0.037598367822792134
2000-05-09,3115,3363,3001,3366,325204,0.019382192610539084
2000-05-10,3361,3580,3214,3410,843291,0.013071895424836555
2000-05-12,3449,3580,3105,3302,574938,-0.03167155425219936
2000-05-15,3351,3434,3079,3213,468862,-0.026953361599030945
2000-05-16,3323,3588,3190,3596,774931,0.11920323685029577
2000-05-17,3918,4022,3160,3166,1933638,-0.11957730812013345
2000-05-18,2996,2996,2781,2988,798791,-0.05622236260265323
2000-05-19,2794,2886,2639,2776,227048,-0.07095046854082998
2000-05-22,2449,2832,2440,2445,102607,-0.1192363112391931
2000-05-23,2216,2312,2150,2154,182993,-0.11901840490797544
2000-05-24,2122,2232,1894,2233,230570,0.03667595171773441
2000-05-25,2150,2494,2150,2406,169972,0.07747424988804297
2000-05-26,2265,2302,2118,2215,205394,-0.07938487115544468
2000-05-29,2067,2276,2067,2192,62165,-0.010383747178329572
2000-05-30,2330,2389,2121,2266,228417,0.033759124087591186
2000-05-31,2347,2482,2347,2438,207031,0.0759046778464254
2000-06-01,2296,2339,2204,2215,162093,-0.0914684167350287
2000-06-02,2287,2352,2183,2266,232462,0.023024830699774235
2000-06-05,2398,2451,2259,2401,299584,0.05957634598411299
2000-06-07,2368,2526,2313,2488,430589,0.03623490212411484
2000-06-08,2473,2505,2231,2313,163211,-0.07033762057877813
2000-06-09,2303,2335,2151,2183,134780,-0.056204063986165176
2000-06-12,2230,2440,2184,2445,191003,0.12001832340815399
2000-06-13,2415,2690,2312,2669,632200,0.09161554192229038
2000-06-14,2560,2941,2407,2674,303768,0.0018733608092917908
2000-06-15,2639,2639,2352,2356,110324,-0.11892296185489903
2000-06-16,2357,2504,2183,2511,125897,0.06578947368421062
2000-06-19,2493,2504,2208,2215,64274,-0.11788132218239744
2000-06-20,2286,2378,2286,2356,58300,0.06365688487584653
2000-06-21,2352,2478,2312,2395,75418,0.016553480475381965
2000-06-22,2395,2536,2373,2494,116429,0.04133611691022954
2000-06-23,2504,2504,2312,2455,109743,-0.015637530072173167
2000-06-26,2395,2607,2367,2428,122653,-0.010997963340122152
2000-06-27,2422,2434,2340,2401,153817,-0.011120263591433255
2000-06-28,2326,2421,2312,2373,138490,-0.011661807580174877
2000-06-29,2341,2376,2260,2346,71397,-0.011378002528445008
2000-06-30,2334,2388,2176,2395,152895,0.020886615515771423
2000-07-03,2411,2551,2339,2423,181459,0.011691022964509301
2000-07-04,2364,2451,2298,2346,93837,-0.03177878662814693
2000-07-05,2317,2347,2204,2286,142873,-0.025575447570332477
2000-07-06,2204,2265,2177,2242,148156,-0.01924759405074361
2000-07-07,2203,2275,2125,2199,71211,-0.019179304192685098
2000-07-10,2151,2259,2144,2249,125582,0.02273760800363811
2000-07-11,2177,2281,2160,2225,161442,-0.01067140951534018
2000-07-12,2177,2222,2120,2183,98152,-0.018876404494381993
2000-07-13,2121,2176,2066,2130,78324,-0.024278515803939582
2000-07-14,2076,2123,1961,2020,133097,-0.05164319248826288
2000-07-18,1964,2040,1822,1903,88790,-0.05792079207920797
2000-07-19,1848,1909,1713,1772,90530,-0.06883867577509195
2000-07-20,1648,1926,1648,1767,153580,-0.0028216704288939187
2000-07-21,1876,1970,1801,1976,186665,0.11827956989247301
