Date,Open,High,Low,Close,Volume,Change
2000-04-27,1654,1654,1654,1655,0,
2000-04-28,1654,1654,1654,1655,0,0.0
2000-05-02,1810,1810,1458,1593,0,-0.03746223564954687
2000-05-03,1680,1781,1454,1683,0,0.05649717514124286
2000-05-04,1682,1838,1558,1787,0,0.06179441473559111
2000-05-08,1841,2000,1841,2000,0,0.11919418019026295
2000-05-09,1999,2226,1890,2046,0,0.02299999999999991
2000-05-10,2045,2188,1864,1865,0,-0.08846529814271753
2000-05-12,1768,1942,1737,1826,0,-0.020911528150134084
2000-05-15,1863,1939,1607,1683,0,-0.07831325301204817
2000-05-16,1481,1735,1481,1699,0,0.009506833036244888
2000-05-17,1761,1787,1497,1531,0,-0.0988816951147734
2000-05-18,1401,1704,1349,1554,0,0.015022860875244959
2000-05-19,1515,1602,1489,1554,0,0.0
2000-05-22,1554,1602,1375,1502,0,-0.03346203346203347
2000-05-23,1336,1499,1323,1409,0,-0.06191744340878824
2000-05-24,1240,1554,1240,1502,0,0.06600425833924772
2000-05-25,1605,1681,1528,1681,0,0.11917443408788286
2000-05-26,1761,1841,1554,1759,0,0.046400951814396185
2000-05-29,1839,1969,1686,1969,0,0.11938601478112565
2000-05-30,1942,2123,1867,2005,0,0.018283392585068503
2000-05-31,1994,2243,1994,2202,0,0.0982543640897755
2000-06-01,2100,2252,1939,2072,0,-0.05903723887375112
2000-06-02,1945,2139,1823,1878,0,-0.09362934362934361
2000-06-05,1652,1916,1652,1865,0,-0.006922257720979763
2000-06-07,1851,1851,1644,1735,0,-0.06970509383378021
2000-06-08,1761,1839,1644,1681,0,-0.03112391930835734
2000-06-09,1689,1749,1606,1723,0,0.024985127900059467
2000-06-12,1605,1800,1605,1764,0,0.023795705165409187
2000-06-13,1764,1865,1554,1632,0,-0.07482993197278909
2000-06-14,1641,1812,1566,1735,0,0.06311274509803932
2000-06-15,1683,1942,1683,1865,0,0.0749279538904899
2000-06-16,1864,1864,1758,1792,0,-0.03914209115281497
2000-06-19,1864,1864,1734,1787,0,-0.002790178571428603
2000-06-20,1738,1803,1709,1746,0,-0.022943480693900398
2000-06-21,1644,1774,1644,1671,0,-0.04295532646048106
2000-06-22,1670,1761,1611,1681,0,0.005984440454817497
2000-06-23,1680,1732,1481,1554,0,-0.07555026769779893
2000-06-26,1644,1644,1533,1606,0,0.03346203346203347
2000-06-27,1631,1631,1553,1606,0,0.0
2000-06-28,1561,1602,1527,1554,0,-0.03237858032378582
2000-06-29,1739,1739,1739,1740,0,0.11969111969111967
2000-06-30,1948,1948,1761,1808,0,0.03908045977011487
2000-07-03,1685,1805,1634,1709,0,-0.05475663716814161
2000-07-04,1706,1914,1665,1800,0,0.05324751316559384
2000-07-05,1734,1760,1605,1748,0,-0.028888888888888853
2000-07-06,1631,1880,1553,1865,0,0.06693363844393585
2000-07-07,1787,1940,1787,1800,0,-0.034852546916890104
2000-07-10,1813,1862,1724,1813,0,0.007222222222222241
2000-07-11,1813,1891,1735,1785,0,-0.015444015444015413
2000-07-12,1747,1862,1735,1818,0,0.018487394957983128
2000-07-13,1786,1828,1688,1735,0,-0.04565456545654567
2000-07-14,1688,1823,1660,1800,0,0.03746397694524495
2000-07-18,1750,1810,1734,1774,0,-0.014444444444444482
2000-07-19,1812,1890,1734,1797,0,0.012965050732807182
2000-07-20,1797,1851,1735,1839,0,0.023372287145241977
2000-07-21,1890,2058,1864,1955,0,0.0630777596519847
2000-07-24,2032,2175,1942,2059,0,0.05319693094629163
2000-07-25,2136,2136,1812,1914,0,-0.07042253521126762
2000-07-26,1685,1963,1685,1800,0,-0.059561128526645746
2000-07-27,1799,1919,1799,1852,0,0.028888888888888964
2000-07-28,1839,1942,1763,1813,0,-0.021058315334773203
2000-07-31,1815,1859,1685,1735,0,-0.043022614451185826
2000-08-01,1760,1838,1708,1787,0,0.029971181556196047
2000-08-02,1735,1810,1683,1699,0,-0.04924454392837152
2000-08-03,1738,1774,1701,1772,0,0.042966450853443305
2000-08-04,1774,1774,1696,1733,0,-0.02200902934537241
2000-08-07,1697,1743,1686,1723,0,-0.0057703404500865085
2000-08-08,1721,1807,1721,1753,0,0.01741149158444566
2000-08-09,1769,1927,1751,1912,0,0.09070165430690236
2000-08-10,1890,1926,1822,1872,0,-0.02092050209205021
2000-08-11,1871,1871,1742,1787,0,-0.045405982905982856
2000-08-14,1685,1817,1685,1735,0,-0.029099048684946838
2000-08-16,1734,1799,1698,1766,0,0.017867435158501532
2000-08-17,1815,1942,1763,1831,0,0.03680634201585509
2000-08-18,1839,1839,1696,1777,0,-0.029492080830147427
2000-08-21,1807,1916,1786,1865,0,0.04952166572875627
2000-08-22,1815,1890,1760,1797,0,-0.03646112600536189
2000-08-23,1800,1813,1732,1769,0,-0.015581524763494725
2000-08-24,1734,1774,1719,1743,0,-0.01469756924816279
2000-08-25,1696,1748,1696,1725,0,-0.0103270223752151
2000-08-28,1698,1864,1698,1849,0,0.07188405797101449
2000-08-29,1751,1865,1751,1834,0,-0.008112493239588958
2000-08-30,1862,1878,1794,1826,0,-0.004362050163576936
2000-08-31,1784,1854,1761,1808,0,-0.009857612267250793
2000-09-01,1839,1937,1787,1878,0,0.03871681415929196
2000-09-04,1893,2067,1880,1917,0,0.02076677316293929
2000-09-05,1968,1968,1760,1779,0,-0.0719874804381847
2000-09-06,1734,1779,1709,1743,0,-0.0202360876897133
2000-09-07,1742,1742,1641,1683,0,-0.03442340791738385
2000-09-08,1618,1747,1618,1735,0,0.030897207367795554
2000-09-14,1528,1771,1528,1735,0,0.0
2000-09-15,1711,1864,1682,1761,0,0.014985590778098024
2000-09-18,1760,1835,1708,1761,0,0.0
2000-09-19,1786,1786,1682,1735,0,-0.014764338444065883
2000-09-20,1709,1843,1696,1774,0,0.022478386167146924
2000-09-21,1734,1794,1688,1743,0,-0.01747463359639234
2000-09-22,1734,1734,1535,1554,0,-0.10843373493975905
2000-09-25,1372,1605,1367,1554,0,0.0
2000-09-26,1657,1657,1554,1588,0,0.02187902187902191
2000-09-27,1586,1656,1574,1657,0,0.04345088161209065
2000-09-28,1607,1703,1581,1657,0,0.0
2000-09-29,1659,1670,1571,1603,0,-0.032589016294508166
2000-10-02,1600,1600,1540,1546,0,-0.03555832813474735
2000-10-04,1540,1602,1481,1481,0,-0.042043984476067275
2000-10-05,1515,1631,1515,1593,0,0.07562457798784594
2000-10-06,1631,1631,1543,1598,0,0.003138731952291307
2000-10-09,1597,1618,1522,1572,0,-0.016270337922402955
2000-10-10,1527,1577,1515,1554,0,-0.011450381679389277
2000-10-11,1524,1553,1488,1551,0,-0.0019305019305019266
2000-10-12,1528,1577,1528,1577,0,0.01676337846550613
2000-10-13,1551,1554,1453,1549,0,-0.01775523145212432
2000-10-16,1515,1605,1515,1593,0,0.02840542285345382
2000-10-17,1593,1710,1580,1697,0,0.06528562460765852
2000-10-18,1696,1699,1585,1668,0,-0.01708898055391872
2000-10-19,1620,1675,1600,1655,0,-0.007793764988009544
2000-10-20,1670,1734,1608,1608,0,-0.028398791540785506
2000-10-23,1639,1786,1574,1655,0,0.02922885572139311
2000-10-24,1657,1665,1595,1637,0,-0.010876132930513593
2000-10-25,1607,1682,1587,1626,0,-0.006719609040928498
2000-10-26,1665,1670,1579,1624,0,-0.0012300123001229846
2000-10-27,1587,1626,1502,1554,0,-0.0431034482758621
2000-10-30,1515,1582,1424,1484,0,-0.04504504504504503
2000-10-31,1484,1484,1308,1373,0,-0.07479784366576825
2000-11-01,1373,1409,1346,1373,0,0.0
2000-11-02,1372,1385,1294,1331,0,-0.030589949016751605
2000-11-03,1323,1380,1321,1370,0,0.029301277235161516
2000-11-06,1384,1470,1369,1393,0,0.016788321167883202
2000-11-07,1372,1422,1344,1360,0,-0.023689877961234784
2000-11-08,1388,1445,1372,1383,0,0.016911764705882293
2000-11-09,1323,1383,1321,1347,0,-0.026030368763557465
2000-11-10,1398,1398,1325,1349,0,0.0014847809948033142
2000-11-13,1336,1338,1292,1292,0,-0.04225352112676062
2000-11-14,1289,1289,1198,1251,0,-0.03173374613003099
2000-11-15,1266,1321,1222,1295,0,0.035171862509991936
2000-11-16,1289,1362,1261,1326,0,0.02393822393822398
2000-11-17,1347,1420,1305,1342,0,0.012066365007541435
2000-11-20,1395,1395,1279,1279,0,-0.0469448584202683
2000-11-21,1245,1289,1178,1212,0,-0.05238467552775605
2000-11-22,1217,1253,1170,1194,0,-0.014851485148514865
2000-11-23,1185,1188,1097,1165,0,-0.024288107202680043
2000-11-24,1164,1214,1118,1152,0,-0.011158798283261828
2000-11-27,1138,1216,1138,1178,0,0.02256944444444442
2000-11-28,1175,1308,1165,1238,0,0.05093378607809851
2000-11-29,1138,1242,1121,1178,0,-0.0484652665589661
2000-11-30,1102,1178,1087,1178,0,0.0
2000-12-01,1157,1298,1072,1298,0,0.10186757215619702
2000-12-04,1294,1325,1212,1212,0,-0.0662557781201849
2000-12-05,1216,1216,1115,1170,0,-0.034653465346534684
2000-12-06,1191,1201,1102,1137,0,-0.028205128205128216
2000-12-07,1164,1204,1141,1152,0,0.013192612137203241
2000-12-08,1149,1165,1115,1163,0,0.00954861111111116
2000-12-11,1135,1171,1127,1127,0,-0.03095442820292349
2000-12-12,1127,1150,1106,1127,0,0.0
2000-12-13,1124,1142,1100,1124,0,-0.0026619343389530092
2000-12-14,1105,1136,1100,1124,0,0.0
2000-12-15,1184,1259,1181,1259,0,0.12010676156583622
2000-12-18,1406,1409,1372,1409,0,0.11914217633042101
2000-12-19,1577,1577,1256,1391,0,-0.012775017743080208
2000-12-20,1390,1411,1224,1225,0,-0.1193386053199137
2000-12-21,1191,1191,1080,1106,0,-0.0971428571428572
2000-12-22,1030,1092,974,974,0,-0.11934900542495475
2000-12-26,867,973,862,862,0,-0.1149897330595483
2001-01-02,802,963,802,958,225219,0.11136890951276102
2001-01-03,909,1072,906,1072,480397,0.1189979123173277
2001-01-04,1090,1165,1087,1111,439544,0.03638059701492535
2001-01-05,1079,1087,1015,1015,160014,-0.0864086408640864
2001-01-08,988,1061,988,1033,87855,0.01773399014778332
2001-01-09,1007,1155,1007,1155,356078,0.11810261374636988
2001-01-10,1222,1230,1017,1036,815016,-0.10303030303030303
2001-01-11,1035,1087,983,1067,215343,0.02992277992277992
2001-01-12,1112,1175,1048,1113,550963,0.04311152764761017
2001-01-15,1112,1190,1112,1139,358709,0.02336028751123087
2001-01-16,1115,1214,1115,1124,389129,-0.013169446883230851
2001-01-17,1099,1151,1086,1087,171524,-0.032918149466192204
2001-01-18,1064,1139,1064,1067,158496,-0.01839926402943881
2001-01-19,1046,1124,1046,1062,78160,-0.004686035613870709
2001-01-22,1053,1085,1035,1062,220980,0.0
2001-01-26,1139,1139,1061,1075,99464,0.012241054613935987
2001-01-29,1081,1143,1068,1113,254625,0.035348837209302264
2001-01-30,1146,1203,1126,1165,348820,0.04672057502246174
2001-01-31,1240,1255,1157,1163,173156,-0.0017167381974249052
2001-02-01,1159,1190,1045,1152,150966,-0.009458297506448887
2001-02-02,1128,1180,1128,1142,100149,-0.00868055555555558
2001-02-05,1170,1170,1102,1147,59890,0.004378283712784592
2001-02-06,1170,1284,1165,1212,556076,0.05666957279860507
2001-02-07,1227,1281,1136,1137,136917,-0.061881188118811936
2001-02-08,1227,1227,1112,1139,230667,0.0017590149516271136
2001-02-09,1144,1266,1128,1217,606442,0.06848112379280069
2001-02-12,1221,1221,1172,1191,126593,-0.021364009860312283
2001-02-13,1191,1217,1172,1212,138710,0.017632241813602123
2001-02-14,1203,1327,1185,1253,286680,0.03382838283828393
2001-02-15,1266,1372,1245,1256,844055,0.002394253790901857
2001-02-16,1320,1346,1255,1282,326475,0.02070063694267521
2001-02-19,1289,1321,1256,1298,152961,0.012480499219968744
2001-02-20,1432,1453,1398,1453,191474,0.1194144838212634
2001-02-21,1525,1600,1450,1492,827644,0.026841018582243636
2001-02-22,1491,1491,1313,1313,272292,-0.1199731903485255
2001-02-23,1248,1347,1248,1347,237069,0.025894897182025867
2001-02-26,1323,1382,1294,1326,69327,-0.015590200445434244
2001-02-27,1336,1336,1300,1313,156114,-0.009803921568627416
2001-02-28,1269,1289,1261,1269,57865,-0.03351104341203348
2001-03-02,1269,1269,1235,1238,52530,-0.024428684003152124
2001-03-05,1115,1235,1115,1235,51159,-0.0024232633279482885
2001-03-06,1198,1255,1198,1243,14947,0.006477732793522373
2001-03-07,1206,1318,1206,1269,74308,0.02091713596138378
2001-03-08,1271,1292,1247,1279,67869,0.007880220646178104
2001-03-09,1278,1289,1265,1274,55521,-0.003909304143862369
2001-03-12,1243,1268,1170,1217,58312,-0.0447409733124019
2001-03-13,1164,1164,1112,1165,74448,-0.042728019720624455
2001-03-14,1191,1235,1167,1204,37362,0.033476394849785374
2001-03-15,1186,1191,1132,1189,8953,-0.012458471760797396
2001-03-16,1193,1211,1154,1165,43090,-0.020185029436501245
2001-03-19,1131,1190,1131,1139,35390,-0.022317596566523656
2001-03-20,1136,1255,1131,1163,785793,0.021071115013169495
2001-03-21,1142,1165,1132,1132,582224,-0.02665520206362859
2001-03-22,1155,1155,1098,1111,262622,-0.01855123674911663
2001-03-23,1101,1137,1101,1101,360969,-0.009000900090008979
2001-03-26,1114,1114,1101,1106,288048,0.004541326067211582
2001-03-27,1114,1114,1101,1106,250713,0.0
2001-03-28,1099,1123,1099,1113,87830,0.006329113924050667
2001-03-29,1104,1123,1097,1113,63270,0.0
2001-03-30,1139,1139,1108,1127,74520,0.012578616352201255
2001-04-02,1139,1250,1139,1204,145813,0.06832298136645965
2001-04-03,1178,1204,1129,1160,58741,-0.03654485049833889
2001-04-04,1133,1149,1097,1113,72793,-0.04051724137931034
2001-04-06,1100,1152,1100,1124,41407,0.009883198562443907
2001-04-09,1126,1134,1103,1124,12505,0.0
2001-04-10,1152,1152,1101,1101,30916,-0.020462633451957313
2001-04-11,1113,1118,1086,1095,51476,-0.00544959128065392
2001-04-12,1123,1204,1103,1168,115169,0.06666666666666665
2001-04-13,1178,1178,1141,1168,29415,0.0
2001-04-16,1167,1180,1134,1134,23541,-0.02910958904109584
