Date,Open,High,Low,Close,Volume,Change
2018-08-14,2654,3043,2654,3043,39730,
2018-08-16,3364,3364,3023,3296,21055,0.0831416365428852
2018-08-17,3296,3296,2936,3296,5780,0.0
2018-08-20,3286,3286,2975,2975,2240,-0.09739077669902918
2018-08-21,2975,3033,2547,3024,7890,0.016470588235294015
2018-08-22,3111,3111,2576,3024,95,0.0
2018-08-23,2634,3013,2576,3004,7690,-0.006613756613756627
2018-08-24,2965,2965,2566,2878,35875,-0.041944074567243694
2018-08-27,2527,2897,2527,2897,11345,0.006601806810284883
2018-08-28,2586,3111,2586,3111,17925,0.0738695201933035
2018-08-29,3111,3500,3024,3024,258775,-0.027965284474445462
2018-08-30,3403,3471,3393,3403,92180,0.1253306878306879
2018-08-31,3674,3684,3499,3597,58090,0.05700852189244787
2018-09-03,3597,3888,3597,3772,65430,0.0486516541562414
2018-09-04,4073,4073,3762,3772,16660,0.0
2018-09-05,3849,3908,3840,3879,67820,0.028366914103923557
2018-09-06,3985,3985,3869,3879,69600,0.0
2018-09-07,3879,3927,3879,3879,51950,0.0
2018-09-10,3918,4083,3908,4045,93990,0.04279453467388494
2018-09-11,4073,4103,4054,4103,104150,0.014338689740420296
2018-09-12,4102,4102,3694,3879,31565,-0.054594199366317375
2018-09-13,3869,3879,3753,3831,8105,-0.012374323279195631
2018-09-14,3976,3976,3587,3753,1145,-0.020360219263899748
2018-09-17,3743,3743,3636,3743,205,-0.002664535038635729
2018-09-18,3695,3734,3695,3734,1235,-0.002404488378306202
2018-09-19,3733,3821,3733,3821,3055,0.023299410819496602
2018-09-20,3695,3802,3656,3802,3885,-0.004972520282648496
2018-09-21,3772,3772,3499,3772,695,-0.007890583903208848
2018-09-27,3752,3752,3743,3743,1370,-0.007688229056203588
2018-09-28,3811,3811,3802,3802,154715,0.015762757146673856
2018-10-01,3597,3870,3597,3870,55,0.01788532351394001
2018-10-02,3850,3850,3801,3850,705,-0.0051679586563307955
2018-10-04,3850,3850,3831,3831,1060,-0.004935064935064903
2018-10-05,3821,3821,3821,3821,5,-0.002610284521012751
2018-10-08,3811,3811,3811,3811,510,-0.002617115938236103
2018-10-10,3694,3811,3694,3811,515,0.0
2018-10-11,3694,3743,3694,3743,515,-0.01784308580425087
2018-10-12,3743,3743,3743,3743,7460,0.0
2018-10-15,3695,3695,3695,3695,5,-0.01282393801763293
2018-10-16,3578,3734,3578,3734,515,0.010554803788903833
2018-10-17,3616,3782,3616,3782,515,0.012854847348687803
2018-10-18,3218,3850,3218,3821,5310,0.010312004230565774
2018-10-19,3704,3704,3704,3704,510,-0.030620256477361996
2018-10-22,3695,3695,3695,3695,5,-0.0024298056155507286
2018-10-23,3578,3762,3578,3578,515,-0.03166441136671172
2018-10-24,3752,3752,3752,3753,5,0.04891000558971492
2018-10-25,3695,3695,3597,3695,2060,-0.015454303224087362
2018-10-26,3879,3879,3879,3879,1145,0.04979702300405964
2018-10-29,3763,3763,3763,3763,510,-0.02990461459138949
2018-10-30,3645,3645,3645,3646,510,-0.03109221365931436
2018-10-31,3762,3762,3752,3753,7950,0.02934722984092164
2018-11-01,3792,3792,3792,3792,5,0.010391686650679466
2018-11-02,3305,3888,3305,3743,4230,-0.012921940928270037
2018-11-05,3218,3734,3189,3734,3145,-0.002404488378306202
2018-11-06,3850,3850,3850,3850,5,0.031065881092662062
2018-11-07,3986,3986,3276,3500,6055,-0.09090909090909094
2018-11-08,3694,3694,3169,3393,1655,-0.030571428571428583
2018-11-09,3675,3675,3402,3500,20,0.031535514294134925
2018-11-12,3023,3461,3023,3461,40,-0.011142857142857121
2018-11-13,3354,3452,3354,3452,515,-0.0026004045073677595
2018-11-14,3752,3752,3752,3753,5,0.08719582850521435
2018-11-15,3198,3714,3198,3714,30,-0.010391686650679466
2018-11-16,3966,3966,3860,3860,770,0.03931071620893922
2018-11-19,3305,3840,3286,3763,670,-0.025129533678756477
2018-11-20,4141,4141,3208,3500,20,-0.06989104437948446
2018-11-21,3733,3733,2994,3704,95,0.058285714285714274
2018-11-22,3150,4073,3150,3150,1160,-0.14956803455723544
2018-11-23,3150,3335,2917,3277,265,0.04031746031746031
2018-11-26,3548,3548,2955,3325,2985,0.01464754348489472
2018-11-27,2926,3354,2926,3277,1480,-0.014436090225563913
2018-11-28,3043,3471,3043,3121,2145,-0.0476045163259079
2018-11-29,3451,3451,2926,3063,9415,-0.018583787247677064
2018-11-30,3042,3042,2955,2965,5500,-0.03199477636304282
2018-12-03,2946,3335,2946,3335,155,0.12478920741989885
2018-12-04,3305,3305,3013,3286,825,-0.014692653673163414
2018-12-05,3451,3451,3013,3432,465,0.04443091905051744
2018-12-06,3325,3325,3325,3325,510,-0.031177156177156218
2018-12-07,3791,3791,2838,2858,1080,-0.14045112781954883
2018-12-10,2731,3111,2625,2625,34780,-0.0815255423372988
2018-12-11,2887,2887,2625,2625,135,0.0
2018-12-12,2906,2906,2906,2907,5,0.10742857142857143
2018-12-13,3277,3277,3277,3277,5,0.1272789817681459
2018-12-14,2790,2916,2790,2790,6020,-0.1486115349404944
2018-12-17,3140,3140,3140,3140,5,0.1254480286738351
2018-12-18,3043,3043,3043,3043,510,-0.03089171974522298
2018-12-19,3432,3432,3432,3432,5,0.12783437397305297
2018-12-20,3850,3850,2926,3646,5600,0.062354312354312436
2018-12-21,4171,4171,3102,3102,47335,-0.14920460778935818
2018-12-24,3384,3384,3384,3384,5,0.09090909090909083
2018-12-26,2877,3315,2877,3315,34045,-0.02039007092198586
2018-12-27,2819,3276,2819,3121,34145,-0.05852187028657618
2018-12-28,3101,3101,2664,2995,2060,-0.040371675744953595
2019-01-02,2897,2897,2897,2897,510,-0.032721202003338945
2019-01-03,2810,2810,2538,2538,6500,-0.12392129789437345
2019-01-04,2606,2606,2606,2606,510,0.026792750197005555
2019-01-07,2888,2888,2888,2888,5,0.10821181887950893
2019-01-08,2722,2731,2624,2722,18220,-0.05747922437673125
2019-01-09,2722,2995,2722,2995,17810,0.10029390154298312
2019-01-10,2819,3004,2819,3004,515,0.003005008347245486
2019-01-11,2906,2906,2906,2907,510,-0.0322902796271638
2019-01-14,2820,2820,2820,2820,510,-0.029927760577915352
2019-01-15,2742,2820,2742,2820,515,0.0
2019-01-16,2731,2731,2722,2722,2310,-0.034751773049645385
2019-01-17,2722,3014,2722,2995,1555,0.10029390154298312
2019-01-18,2722,2820,2722,2820,4645,-0.058430717863105164
2019-01-21,2722,2722,2722,2722,5140,-0.034751773049645385
2019-01-22,2469,2984,2469,2907,50,0.06796473181484197
2019-01-23,2820,2820,2820,2820,510,-0.029927760577915352
2019-01-24,2732,2878,2732,2878,520,0.020567375886524797
2019-01-25,2906,2906,2906,2907,5,0.010076441973592809
2019-01-28,2819,2926,2819,2926,520,0.006535947712418277
2019-01-29,2829,2829,2829,2829,510,-0.03315105946684893
2019-01-30,2498,2877,2479,2479,5970,-0.12371862849063275
2019-01-31,2819,2819,2528,2810,880,0.13352158128277525
2019-02-01,2985,2985,2985,2985,5,0.06227758007117434
2019-02-07,2722,3024,2722,3024,515,0.01306532663316573
2019-02-08,3013,3013,2576,2907,10365,-0.038690476190476164
2019-02-11,2799,2896,2692,2722,6025,-0.06363949088407295
2019-02-12,3014,3014,2839,2839,175,0.04298310066127842
2019-02-13,2838,2838,2547,2722,935,-0.041211694258541764
2019-02-14,2634,2634,2625,2625,1030,-0.035635562086700934
2019-02-15,2703,2703,2703,2703,5,0.029714285714285804
2019-02-18,2624,2624,2586,2586,2305,-0.04328523862375133
2019-02-19,2956,2956,2956,2956,5,0.14307811291569994
2019-02-20,2722,2722,2537,2703,820,-0.0855886332882273
2019-02-21,2566,2625,2566,2625,11715,-0.02885682574916759
2019-02-22,2625,2625,2625,2625,10030,0.0
2019-02-25,2624,2722,2624,2722,2005,0.03695238095238085
2019-02-26,2731,3013,2722,2722,11900,0.0
2019-02-27,3111,3111,3111,3111,5,0.14290962527553264
2019-02-28,2722,2722,2683,2722,27610,-0.1250401800064288
2019-03-04,2722,2722,2663,2722,7935,0.0
2019-03-05,2653,2897,2653,2897,1035,0.06429096252755317
2019-03-06,2810,2956,2810,2956,515,0.020365895754228536
2019-03-07,2654,3092,2654,3092,7205,0.046008119079837595
2019-03-08,2664,3170,2664,3170,3145,0.025226390685640254
2019-03-11,3071,3208,3071,3208,515,0.011987381703470135
2019-03-12,2742,3014,2742,2995,3660,-0.06639650872817959
2019-03-13,2741,2916,2722,2897,6795,-0.032721202003338945
2019-03-14,2897,2897,2809,2897,1725,0.0
2019-03-15,2897,3062,2858,3063,2495,0.05730065585088018
2019-03-18,3052,3052,3033,3033,1630,-0.009794319294809006
2019-03-19,3033,3033,2936,3024,835,-0.0029673590504450953
2019-03-20,2926,3014,2926,3014,515,-0.003306878306878258
2019-03-21,3013,3072,3013,3072,1545,0.01924353019243541
2019-03-22,2916,3461,2916,3461,2575,0.12662760416666674
2019-03-25,2955,3295,2945,3014,4905,-0.12915342386593465
2019-03-26,3111,3393,2965,3014,6235,0.0
2019-03-27,3295,3295,3033,3286,60,0.0902455209024553
2019-03-28,3734,3734,3734,3734,5,0.13633597078514903
2019-03-29,3801,3801,3792,3792,265,0.01553294054633092
2019-04-01,4005,4024,3675,3675,3685,-0.03085443037974689
2019-04-02,3665,3674,3344,3597,2850,-0.0212244897959184
2019-04-03,3695,3695,3354,3695,1920,0.0272449263274952
2019-04-04,3373,3499,3373,3490,3355,-0.05548037889039237
2019-04-05,3695,3695,3247,3695,15,0.05873925501432664
2019-04-08,3578,3714,3335,3666,2410,-0.007848443843031072
2019-04-09,3655,3655,3617,3617,760,-0.0133660665575559
2019-04-10,3354,3354,3354,3354,640,-0.07271219242466131
2019-04-11,3694,3694,3344,3685,1290,0.09868813357185457
2019-04-12,3345,3345,3345,3345,75,-0.09226594301221169
2019-04-15,3237,3306,3237,3306,645,-0.011659192825112075
2019-04-16,3306,3306,3306,3306,0,0.0
2019-04-17,3208,3364,3208,3364,6385,0.01754385964912286
2019-04-18,3208,3208,3208,3208,510,-0.046373365041617154
2019-04-19,3208,3208,3208,3208,0,0.0
2019-04-22,3655,3655,3305,3578,60,0.11533665835411466
2019-04-23,3402,3402,3208,3208,800,-0.1034097261039687
2019-04-24,3538,3538,3188,3208,6725,0.0
2019-04-25,3627,3627,3627,3627,5,0.13061097256857845
2019-04-26,3208,3208,3110,3208,1500,-0.11552247036118002
2019-04-29,3208,3208,3208,3208,365,0.0
2019-04-30,3188,3208,3188,3208,11655,0.0
2019-05-02,3645,3645,3227,3597,22565,0.1212593516209477
2019-05-03,3597,3597,3296,3510,8415,-0.024186822351960013
2019-05-07,3500,3500,3159,3325,8905,-0.05270655270655267
2019-05-08,3305,3305,3266,3286,920,-0.0117293233082707
2019-05-09,3091,3286,3091,3228,2165,-0.017650639074863084
2019-05-10,3208,3208,3208,3208,5610,-0.006195786864931829
2019-05-13,3208,3208,3198,3208,3635,0.0
2019-05-14,3645,3645,3645,3646,5,0.1365336658354115
2019-05-15,3645,3645,3130,3500,2175,-0.040043883708173356
2019-05-16,3130,3286,3130,3286,3240,-0.061142857142857165
2019-05-17,3286,3286,3286,3286,0,0.0
2019-05-20,3179,3286,3120,3286,655,0.0
2019-05-21,3587,3587,3247,3257,3555,-0.008825319537431486
2019-05-22,3208,3247,3208,3247,55,-0.003070310101320195
2019-05-23,3247,3247,3110,3247,3095,0.0
2019-05-24,3228,3384,3228,3384,1545,0.04219279334770554
2019-05-27,3130,3752,3130,3247,5705,-0.04048463356973997
2019-05-28,3247,3305,3110,3247,27285,0.0
2019-05-29,3246,3246,3110,3208,25015,-0.012011087157376088
2019-05-30,3023,3198,3023,3160,18640,-0.014962593516209433
2019-05-31,3160,3306,3062,3306,5180,0.046202531645569644
2019-06-03,3306,3306,3014,3131,32080,-0.05293405928614636
2019-06-04,3130,3208,2917,3024,15960,-0.03417438518045357
2019-06-05,3023,3178,3013,3179,8795,0.05125661375661372
2019-06-07,3111,3179,3033,3111,6450,-0.021390374331550777
2019-06-10,3296,3296,2946,3102,2130,-0.002892960462873684
2019-06-11,2946,3102,2946,3102,315,0.0
2019-06-12,2946,3092,2946,3092,730,-0.003223726627981982
2019-06-13,3092,3247,3092,3199,3555,0.034605433376455386
2019-06-14,3102,3102,3102,3102,510,-0.03032197561738048
2019-06-17,3101,3178,3101,3179,30,0.024822695035461084
2019-06-18,3082,3170,3082,3170,515,-0.0028310789556463822
2019-06-19,3072,3170,3072,3170,565,0.0
2019-06-20,3499,3499,3422,3422,260,0.07949526813880126
2019-06-21,3305,3393,3247,3393,155,-0.008474576271186418
2019-06-24,3393,3481,3024,3306,9330,-0.02564102564102566
2019-06-25,3257,3306,3218,3306,8065,0.0
2019-06-26,3306,3306,3072,3277,2705,-0.00877192982456143
2019-06-27,3256,3286,3256,3286,1190,0.0027464144034177185
2019-06-28,3286,3286,3286,3286,50,0.0
2019-07-01,3179,3277,3179,3277,515,-0.002738892270237381
2019-07-02,3130,3500,3130,3500,1380,0.06805004577357332
2019-07-03,3325,3325,3325,3325,510,-0.050000000000000044
2019-07-04,3218,3266,3033,3257,2580,-0.02045112781954883
2019-07-05,3208,3208,2994,3160,5560,-0.02978200798280628
2019-07-08,3062,3062,2946,3053,1600,-0.033860759493670844
2019-07-09,2916,3033,2897,2975,3280,-0.02554864068129703
2019-07-10,2916,3111,2916,2975,7725,0.0
2019-07-11,2819,2965,2819,2936,5825,-0.013109243697479012
2019-07-12,2820,2820,2820,2820,1770,-0.03950953678474112
2019-07-15,2916,2916,2712,2722,6080,-0.034751773049645385
2019-07-16,2722,2722,2683,2722,2990,0.0
2019-07-17,3013,3013,2527,2586,4625,-0.04996326230712711
2019-07-18,2936,2936,2722,2868,2650,0.10904872389791187
2019-07-19,2780,2858,2780,2858,515,-0.0034867503486750717
2019-07-22,3102,3102,3102,3102,5,0.08537438768369499
2019-07-23,3306,3306,3306,3306,5,0.06576402321083163
2019-07-24,3296,3296,3111,3267,570,-0.011796733212341204
2019-07-25,3490,3490,2780,2975,4845,-0.08937863483318031
2019-07-26,2761,2975,2761,2975,1030,0.0
2019-07-29,2964,2964,2964,2965,665,-0.003361344537815114
2019-07-30,2868,2917,2790,2888,925,-0.025969645868465396
2019-07-31,2800,2888,2800,2888,515,0.0
2019-08-01,2800,2888,2800,2888,515,0.0
2019-08-02,2800,2888,2800,2888,510,0.0
2019-08-05,3306,3306,3306,3306,5,0.14473684210526305
2019-08-06,3276,3276,2809,2878,2405,-0.12946158499697524
2019-08-07,3198,3198,2546,2858,1955,-0.006949270326615742
2019-08-08,2605,2781,2605,2781,515,-0.026941917424772588
2019-08-09,3188,3188,2722,2722,2225,-0.021215390147429014
2019-08-12,2635,2781,2635,2781,520,0.02167523879500366
2019-08-13,2683,2781,2683,2781,445,0.0
2019-08-14,2848,2848,2848,2849,5,0.024451636102121643
2019-08-16,2761,2761,2761,2761,510,-0.030888030888030937
2019-08-19,2761,2761,2761,2761,0,0.0
2019-08-20,2761,2761,2761,2761,5,0.0
2019-08-21,2761,2906,2761,2907,3410,0.052879391524809805
2019-08-22,2906,2906,2906,2907,470,0.0
2019-08-23,2820,2820,2820,2820,510,-0.029927760577915352
2019-08-26,2819,2887,2722,2878,3015,0.020567375886524797
2019-08-27,3198,3198,2917,2917,2295,0.013551077136900735
2019-08-28,2838,2916,2761,2907,11090,-0.0034281796366129047
2019-08-29,2819,2907,2819,2878,1285,-0.009975920192638488
