Date,Open,High,Low,Close,Volume,Change
2002-01-10,1270,1270,1270,1271,524801,
2002-01-11,1332,1421,1328,1422,1391149,0.1188040912667192
2002-01-14,1491,1590,1491,1590,838500,0.1181434599156117
2002-01-15,1762,1778,1594,1779,810975,0.11886792452830197
2002-01-16,1846,1988,1846,1893,1025539,0.06408094435075884
2002-01-17,1668,1782,1664,1666,776304,-0.11991547807712621
2002-01-18,1581,1686,1472,1511,406654,-0.0930372148859544
2002-01-21,1491,1491,1375,1384,462326,-0.08405029781601592
2002-01-22,1395,1467,1365,1422,352625,0.027456647398844014
2002-01-23,1488,1590,1438,1590,252688,0.1181434599156117
2002-01-24,1677,1743,1509,1528,1140502,-0.03899371069182389
2002-01-25,1567,1592,1433,1519,372694,-0.005890052356020914
2002-01-28,1529,1699,1529,1699,598117,0.11849901250822903
2002-01-29,1698,1719,1530,1620,405720,-0.0464979399646851
2002-01-30,1598,1765,1492,1715,651020,0.058641975308642014
2002-01-31,1802,1921,1802,1922,997762,0.12069970845481048
2002-02-01,2042,2071,1694,1703,1321031,-0.1139438085327783
2002-02-04,1744,1762,1510,1548,443382,-0.091015854374633
2002-02-05,1504,1630,1421,1574,342923,0.01679586563307489
2002-02-06,1555,1633,1487,1528,172516,-0.029224904701397714
2002-02-07,1426,1526,1410,1410,185410,-0.07722513089005234
2002-02-08,1382,1529,1382,1519,119596,0.07730496453900715
2002-02-14,1383,1580,1383,1417,270496,-0.06714944042132986
2002-02-15,1468,1501,1389,1410,277690,-0.004940014114325986
2002-02-18,1417,1455,1384,1397,256653,-0.009219858156028327
2002-02-19,1363,1418,1321,1322,271165,-0.05368647100930568
2002-02-20,1320,1341,1255,1279,256025,-0.03252647503782147
2002-02-21,1273,1320,1261,1275,217594,-0.0031274433150899617
2002-02-22,1279,1283,1203,1217,422493,-0.04549019607843141
2002-02-25,1221,1258,1217,1246,292093,0.023829087921117598
2002-02-26,1255,1297,1252,1258,331604,0.009630818619582593
2002-02-27,1279,1307,1261,1309,264404,0.04054054054054057
2002-02-28,1316,1320,1270,1271,257732,-0.029029793735676046
2002-03-04,1298,1311,1278,1292,283117,0.01652242328874909
2002-03-05,1320,1442,1320,1384,829606,0.07120743034055721
2002-03-06,1417,1466,1341,1465,433708,0.05852601156069359
2002-03-07,1458,1484,1395,1422,511789,-0.029351535836177445
2002-03-08,1466,1505,1421,1427,619988,0.0035161744022502717
2002-03-11,1490,1548,1435,1511,684144,0.05886475122634893
2002-03-12,1508,1613,1453,1615,1259168,0.06882859033752475
2002-03-13,1614,1614,1463,1469,366355,-0.09040247678018576
2002-03-14,1475,1530,1417,1482,476139,0.008849557522123908
2002-03-15,1434,1475,1421,1422,236985,-0.04048582995951422
2002-03-18,1434,1504,1424,1503,301187,0.05696202531645578
2002-03-19,1458,1518,1458,1507,168570,0.0026613439787093185
2002-03-20,1517,1606,1442,1451,677023,-0.03715992037159921
2002-03-21,1427,1506,1423,1490,386570,0.026878015161957203
2002-03-22,1517,1609,1500,1574,1998449,0.05637583892617459
2002-03-25,1581,1728,1576,1607,1749552,0.020965692503176703
2002-03-26,1598,1627,1556,1628,466929,0.013067828251400071
2002-03-27,1683,1762,1669,1733,1046162,0.06449631449631443
2002-03-28,1740,1815,1664,1678,876087,-0.031736872475476074
2002-03-29,1719,1761,1663,1686,435265,0.004767580452920139
2002-04-01,1678,1707,1511,1511,514687,-0.10379596678529068
2002-04-02,1513,1602,1509,1590,157794,0.05228325612177365
2002-04-03,1551,1644,1530,1574,340435,-0.010062893081761004
2002-04-04,1571,1672,1563,1675,467511,0.06416772554002548
2002-04-08,1673,1731,1613,1719,601813,0.02626865671641787
2002-04-09,1761,1761,1534,1595,1155510,-0.07213496218731819
2002-04-10,1596,1596,1441,1447,603162,-0.09278996865203759
2002-04-11,1470,1475,1407,1447,438064,0.0
2002-04-12,1408,1480,1408,1427,357034,-0.013821700069108545
2002-04-15,1414,1493,1414,1494,418433,0.04695164681149255
2002-04-16,1489,1551,1489,1536,260956,0.028112449799196693
2002-04-17,1564,1589,1530,1531,246911,-0.0032552083333333703
2002-04-18,1518,1610,1493,1494,772684,-0.024167210973220166
2002-04-19,1493,1514,1431,1431,226029,-0.04216867469879515
2002-04-22,1400,1421,1262,1297,406193,-0.09364081062194274
2002-04-23,1231,1317,1231,1297,169367,0.0
2002-04-24,1271,1317,1253,1263,169763,-0.026214340786430257
2002-04-25,1228,1295,1165,1183,122119,-0.063341250989707
2002-04-26,1194,1237,1174,1192,247511,0.0076077768385460764
2002-04-29,1216,1216,1150,1150,100325,-0.03523489932885904
2002-04-30,1136,1208,1128,1208,111685,0.050434782608695716
2002-05-02,1212,1253,1194,1212,116994,0.0033112582781456013
2002-05-03,1203,1216,1148,1175,233729,-0.03052805280528048
2002-05-06,1140,1190,1115,1163,169214,-0.010212765957446801
2002-05-07,1148,1173,1131,1170,130269,0.006018916595012858
2002-05-08,1172,1255,1172,1200,445693,0.02564102564102555
2002-05-09,1249,1257,1179,1204,249578,0.0033333333333334103
2002-05-10,1226,1226,1159,1200,309879,-0.0033222591362126463
2002-05-13,1167,1206,1167,1200,65892,0.0
2002-05-14,1202,1256,1181,1233,651836,0.02750000000000008
2002-05-15,1258,1329,1246,1246,1236440,0.010543390105433925
2002-05-16,1257,1270,1186,1192,172224,-0.043338683788122
2002-05-17,1178,1212,1161,1175,290082,-0.014261744966442946
2002-05-20,1183,1212,1152,1175,268074,0.0
2002-05-21,1173,1173,1111,1111,277557,-0.05446808510638301
2002-05-22,1090,1119,1049,1074,261873,-0.03330333033303334
2002-05-23,1088,1177,1084,1120,622577,0.04283054003724396
2002-05-24,1127,1144,1094,1146,216596,0.023214285714285632
2002-05-27,1115,1134,1088,1091,124794,-0.047993019197207665
2002-05-28,1077,1135,983,1015,432611,-0.06966086159486706
2002-05-29,1038,1038,975,1007,151318,-0.007881773399014746
2002-05-30,1038,1038,1000,1011,128811,0.003972194637537285
2002-05-31,1011,1028,995,995,35562,-0.015825914935707175
2002-06-03,971,1022,963,986,35074,-0.009045226130653283
2002-06-04,963,963,895,935,170936,-0.051724137931034475
2002-06-05,936,995,936,995,214238,0.06417112299465244
2002-06-07,950,983,905,905,222802,-0.09045226130653261
2002-06-10,922,964,922,939,42960,0.037569060773480656
2002-06-11,921,960,921,948,50142,0.009584664536741228
2002-06-12,934,1001,930,977,94044,0.030590717299578074
2002-06-14,991,991,949,956,46212,-0.02149437052200609
2002-06-17,963,963,946,952,20872,-0.004184100418409997
2002-06-18,956,984,956,977,48027,0.02626050420168058
2002-06-19,970,970,873,876,47067,-0.1033776867963152
2002-06-20,862,874,803,834,87748,-0.047945205479452024
2002-06-21,817,829,759,805,91436,-0.03477218225419665
2002-06-24,775,796,715,747,160546,-0.07204968944099377
2002-06-25,733,754,658,659,157047,-0.11780455153949132
2002-06-26,648,648,581,592,361435,-0.10166919575113809
2002-06-27,617,658,604,659,172836,0.11317567567567566
2002-06-28,657,716,657,696,132256,0.05614567526555381
2002-07-02,666,749,648,700,118877,0.005747126436781658
2002-07-03,675,754,670,713,78646,0.01857142857142846
2002-07-04,716,751,704,718,156335,0.007012622720897532
2002-07-05,715,749,711,726,147866,0.011142061281337101
2002-07-08,751,784,712,718,334195,-0.011019283746556474
2002-07-09,708,738,708,738,114601,0.027855153203342642
2002-07-10,733,762,729,742,108862,0.005420054200542035
2002-07-11,733,766,733,742,288355,0.0
2002-07-12,770,791,757,789,162280,0.06334231805929913
2002-07-15,788,809,776,785,135739,-0.005069708491761693
2002-07-16,792,809,733,747,194168,-0.0484076433121019
2002-07-18,733,754,724,733,56870,-0.018741633199464536
2002-07-19,716,716,657,700,132978,-0.04502046384720326
2002-07-22,624,677,620,620,75358,-0.11428571428571432
2002-07-23,608,671,608,668,84568,0.07741935483870965
2002-07-24,641,649,611,616,108729,-0.07784431137724546
2002-07-25,637,653,628,637,95740,0.03409090909090917
2002-07-26,637,644,611,637,61967,0.0
2002-07-29,666,711,653,713,351980,0.11930926216640492
2002-07-30,775,775,711,742,352283,0.04067321178120609
2002-07-31,776,830,745,830,1317894,0.11859838274932621
2002-08-01,829,829,734,755,654933,-0.09036144578313254
2002-08-02,733,775,719,747,218309,-0.01059602649006619
2002-08-05,725,771,658,659,211717,-0.11780455153949132
2002-08-06,632,733,615,672,190855,0.019726858877086473
2002-08-07,705,751,705,751,320324,0.11755952380952372
2002-08-08,782,837,732,839,1218799,0.11717709720372826
2002-08-09,861,870,764,843,698317,0.004767580452920139
2002-08-12,850,850,776,793,626514,-0.059311981020166105
2002-08-13,821,884,817,885,1083798,0.11601513240857497
2002-08-14,893,964,850,889,2248496,0.004519774011299438
2002-08-16,897,913,843,889,592812,0.0
2002-08-19,870,895,800,834,366733,-0.06186726659167607
2002-08-20,858,867,833,847,424851,0.015587529976019088
2002-08-21,862,862,808,822,303464,-0.029515938606847647
2002-08-22,828,837,808,818,324231,-0.0048661800486617945
2002-08-23,824,824,800,801,252254,-0.020782396088019572
2002-08-26,808,893,804,894,1138975,0.11610486891385774
2002-08-27,896,921,854,905,1087349,0.01230425055928408
2002-08-28,913,976,880,905,1596432,0.0
2002-08-29,921,959,891,935,1130967,0.03314917127071815
2002-08-30,950,950,837,839,899003,-0.10267379679144384
2002-09-02,838,850,741,785,684542,-0.06436233611442188
2002-09-03,820,830,784,793,491741,0.010191082802547768
2002-09-04,782,782,740,763,388803,-0.03783102143757877
2002-09-05,754,796,745,747,295206,-0.020969855832241202
2002-09-06,763,763,711,747,320704,0.0
2002-09-09,745,767,657,672,560392,-0.10040160642570284
2002-09-10,678,720,678,700,181916,0.04166666666666674
2002-09-11,733,733,695,700,126002,0.0
2002-09-12,686,708,686,696,63614,-0.005714285714285672
2002-09-13,704,704,670,680,149777,-0.02298850574712641
2002-09-16,684,684,664,688,57128,0.0117647058823529
2002-09-17,695,708,691,700,78290,0.01744186046511631
2002-09-18,677,694,673,684,31504,-0.02285714285714291
2002-09-19,649,691,649,659,130781,-0.03654970760233922
2002-09-23,660,660,623,629,85391,-0.04552352048558417
2002-09-24,610,623,572,595,90711,-0.05405405405405406
2002-09-25,569,607,556,570,93679,-0.04201680672268904
2002-09-26,582,611,569,587,115844,0.029824561403508865
2002-09-27,576,652,573,608,89619,0.035775127768313375
2002-09-30,608,624,566,583,61636,-0.041118421052631526
2002-10-01,582,599,574,583,70361,0.0
2002-10-02,595,603,586,587,87170,0.006861063464836947
2002-10-04,573,594,573,592,27633,0.008517887563884052
2002-10-07,571,582,553,559,36610,-0.0557432432432432
2002-10-08,527,582,527,578,60127,0.03398926654740597
2002-10-09,577,585,547,550,53310,-0.04844290657439443
2002-10-10,547,557,505,537,55284,-0.023636363636363678
2002-10-11,543,543,522,524,54624,-0.02420856610800748
2002-10-14,506,585,506,574,169441,0.09541984732824438
2002-10-15,573,582,557,578,51439,0.006968641114982521
2002-10-16,586,603,557,566,57756,-0.02076124567474047
2002-10-17,565,590,565,587,52634,0.03710247349823326
2002-10-18,619,619,586,613,74843,0.04429301533219765
2002-10-21,603,636,599,599,50489,-0.022838499184339334
2002-10-22,603,611,594,599,50683,0.0
2002-10-23,599,633,595,633,81645,0.056761268781302165
2002-10-24,627,643,602,608,44651,-0.03949447077409163
2002-10-25,623,623,598,603,112728,-0.008223684210526327
2002-10-28,607,624,603,620,48072,0.028192371475953548
2002-10-29,611,624,607,616,54906,-0.006451612903225823
2002-10-30,627,627,607,608,78672,-0.012987012987012991
2002-10-31,611,624,599,613,30329,0.008223684210526327
2002-11-01,610,680,610,684,575794,0.11582381729200653
2002-11-04,700,712,657,693,705986,0.013157894736842035
2002-11-05,699,711,661,680,405331,-0.018759018759018753
2002-11-06,691,733,671,696,937287,0.0235294117647058
2002-11-07,712,712,633,633,429771,-0.09051724137931039
2002-11-08,620,665,574,587,415196,-0.0726698262243286
2002-11-11,578,590,566,566,176801,-0.035775127768313486
2002-11-12,547,586,547,587,96642,0.03710247349823326
2002-11-13,574,607,566,566,205336,-0.035775127768313486
2002-11-14,561,581,548,566,66459,0.0
2002-11-15,574,624,566,583,167083,0.030035335689045928
2002-11-18,591,599,562,583,29308,0.0
2002-11-19,564,581,564,574,66163,-0.015437392795883409
2002-11-20,566,574,552,566,96014,-0.013937282229965153
2002-11-21,573,586,569,570,68866,0.007067137809187329
2002-11-22,573,611,565,603,111542,0.05789473684210522
2002-11-25,603,615,590,599,133450,-0.0066334991708125735
2002-11-26,611,611,586,599,50076,0.0
2002-11-27,582,599,582,599,47553,0.0
2002-11-28,603,644,603,616,77277,0.028380634390651194
2002-11-29,616,628,603,625,32494,0.014610389610389518
2002-12-02,616,666,616,668,201887,0.06879999999999997
2002-12-03,670,681,648,672,194023,0.0059880239520957446
2002-12-04,666,751,650,751,1072289,0.11755952380952372
2002-12-05,759,768,730,751,1461547,0.0
2002-12-06,742,792,742,751,917556,0.0
2002-12-09,776,838,759,776,2243646,0.0332889480692411
2002-12-10,741,775,708,713,972014,-0.08118556701030932
2002-12-11,716,742,709,729,399288,0.02244039270687237
2002-12-12,745,745,724,733,352810,0.005486968449931462
2002-12-13,725,738,712,729,307866,-0.00545702592087316
2002-12-16,728,757,728,733,338847,0.005486968449931462
2002-12-17,750,750,733,747,235048,0.019099590723056004
2002-12-18,750,755,734,755,217379,0.010709504685408211
2002-12-20,755,768,738,751,238675,-0.005298013245033095
2002-12-23,762,766,691,700,355870,-0.0679094540612517
2002-12-24,725,725,687,718,487742,0.0257142857142858
2002-12-26,728,745,716,733,956730,0.02089136490250687
2002-12-27,645,705,645,647,401181,-0.11732605729877221
2002-12-30,590,603,569,570,318449,-0.1190108191653787
2003-01-02,541,591,541,562,745662,-0.01403508771929829
2003-01-03,595,607,565,587,708564,0.04448398576512447
2003-01-06,587,591,562,583,388695,-0.006814310051107331
2003-01-07,586,607,569,570,458278,-0.022298456260720356
2003-01-08,566,586,566,566,293384,-0.007017543859649145
2003-01-09,557,615,531,603,1025823,0.06537102473498235
2003-01-10,586,644,548,566,1336999,-0.06135986733001664
2003-01-13,565,590,557,587,502576,0.03710247349823326
2003-01-14,590,590,573,578,335428,-0.015332197614991494
2003-01-15,578,591,570,583,277686,0.00865051903114189
2003-01-16,576,576,561,574,280707,-0.015437392795883409
