Date,Open,High,Low,Close,Volume,Change
2020-08-05,4424,4473,4227,4277,1957509,
2020-08-06,4282,4591,4277,4523,605696,0.05751695113397237
2020-08-07,4522,4557,4478,4513,178765,-0.0022109219544550474
2020-08-10,4498,4513,4424,4513,195095,0.0
2020-08-11,4537,4571,4478,4562,234001,0.01085752271216478
2020-08-12,4562,4783,4542,4680,219638,0.02586584831214389
2020-08-13,4680,4739,4650,4700,369289,0.004273504273504258
2020-08-14,4694,4704,4630,4680,61436,-0.004255319148936176
2020-08-18,4655,4719,4562,4582,115927,-0.020940170940170977
2020-08-19,4586,4674,4586,4650,70139,0.014840680925360061
2020-08-20,4576,4699,4576,4606,97292,-0.009462365591397903
2020-08-21,4610,4708,4610,4650,24239,0.009552757273121992
2020-08-24,4650,4679,4650,4670,44169,0.004301075268817289
2020-08-25,4670,4694,4660,4680,70414,0.0021413276231263545
2020-08-26,4704,4704,4670,4685,34798,0.0010683760683760646
2020-08-27,4709,4709,4670,4680,80752,-0.0010672358591248265
2020-08-28,4689,4699,4675,4680,34645,0.0
2020-08-31,4699,4709,4670,4685,75219,0.0010683760683760646
2020-09-01,4699,4699,4625,4680,29136,-0.0010672358591248265
2020-09-02,4679,4733,4659,4709,81986,0.006196581196581175
2020-09-03,4689,4719,4675,4685,25976,-0.005096623486939955
2020-09-04,4684,4719,4665,4680,15508,-0.0010672358591248265
2020-09-07,4679,4684,4670,4675,29145,-0.0010683760683760646
2020-09-08,4685,4699,4675,4685,46358,0.002139037433155133
2020-09-09,4685,4724,4675,4700,25155,0.0032017075773747017
2020-09-10,4724,4748,4709,4729,73437,0.006170212765957528
2020-09-11,4733,4738,4709,4729,11909,0.0
2020-09-14,4728,4738,4709,4719,29486,-0.0021146119687037723
2020-09-15,4718,4718,4699,4709,29338,-0.002119093028183916
2020-09-16,4699,4719,4689,4719,38022,0.0021235931195582314
2020-09-17,4704,4723,4689,4704,27630,-0.0031786395422759295
2020-09-18,4704,4733,4699,4704,30645,0.0
2020-09-21,4704,4708,4699,4704,42079,0.0
2020-09-22,4709,4709,4675,4675,31808,-0.006164965986394599
2020-09-23,4679,4709,4655,4670,74034,-0.0010695187165775666
2020-09-24,4674,4674,4650,4660,16138,-0.0021413276231263545
2020-09-25,4669,4699,4650,4655,38731,-0.0010729613733905241
2020-09-28,4665,4689,4640,4670,48925,0.0032223415682062218
2020-09-29,4665,4680,4630,4680,49695,0.0021413276231263545
2020-10-05,4674,4684,4665,4670,45966,-0.002136752136752129
2020-10-06,4660,4699,4655,4660,63287,-0.0021413276231263545
2020-10-07,4670,4699,4640,4690,67894,0.006437768240343367
2020-10-08,4699,4704,4675,4695,80617,0.0010660980810235365
2020-10-12,4694,4718,4689,4714,66612,0.004046858359957328
2020-10-13,4723,4723,4669,4704,59811,-0.002121340687314399
2020-10-14,4724,4724,4680,4685,57761,-0.004039115646258473
2020-10-15,4700,4739,4675,4700,30058,0.0032017075773747017
2020-10-16,4719,4758,4679,4729,57530,0.006170212765957528
2020-10-19,4758,4827,4684,4798,111316,0.014590822584055863
2020-10-20,4807,4847,4788,4803,59016,0.0010421008753647154
2020-10-21,4812,4881,4792,4881,130763,0.016239850093691333
2020-10-22,4881,4915,4871,4911,117788,0.006146281499692652
2020-10-23,4911,4915,4896,4911,105459,0.0
2020-10-26,4916,4965,4901,4916,164352,0.0010181225819587691
2020-10-27,4916,4935,4901,4926,83238,0.002034174125305155
2020-10-28,4925,4925,4906,4916,26967,-0.002030044660982555
2020-10-29,4896,4935,4886,4916,100448,0.0
2020-10-30,4916,4935,4886,4926,94114,0.002034174125305155
2020-11-02,4906,4935,4906,4926,69136,0.0
2020-11-03,4926,4936,4896,4936,98542,0.002030044660982444
2020-11-04,4926,4935,4911,4926,39347,-0.0020259319286871635
2020-11-05,4935,4935,4911,4916,50303,-0.002030044660982555
2020-11-06,4936,4936,4911,4936,47707,0.00406834825061031
2020-11-09,4916,4935,4911,4926,30394,-0.0020259319286871635
2020-11-10,4911,4935,4906,4926,32701,0.0
2020-11-11,4935,4935,4911,4916,17894,-0.002030044660982555
2020-11-12,4911,4926,4911,4926,16239,0.002034174125305155
2020-11-13,4926,4936,4911,4936,38548,0.002030044660982444
2020-11-16,4935,4935,4911,4911,36294,-0.005064829821717964
2020-11-17,4926,4935,4911,4926,12678,0.0030543677458765295
2020-11-18,4935,4935,4916,4916,38895,-0.002030044660982555
2020-11-19,4945,4945,4916,4926,47921,0.002034174125305155
2020-11-20,4926,4936,4916,4936,16365,0.002030044660982444
2020-11-23,4935,4935,4916,4916,84322,-0.004051863857374438
2020-11-24,4916,4935,4911,4926,48669,0.002034174125305155
2020-11-25,4935,4935,4916,4926,76049,0.0
2020-11-26,4935,4935,4881,4916,63066,-0.002030044660982555
2020-11-27,4871,4885,4792,4827,74640,-0.018104149715215567
2020-11-30,4841,4841,4777,4822,27207,-0.0010358400662937584
2020-12-01,4822,4822,4719,4788,38919,-0.00705101617586068
2020-12-02,4788,4797,4773,4788,32312,0.0
2020-12-03,4787,4831,4763,4827,70967,0.008145363408521344
2020-12-04,4822,4827,4777,4827,44263,0.0
2020-12-07,4818,4818,4773,4818,12406,-0.0018645121193288094
2020-12-08,4817,4817,4768,4808,10723,-0.0020755500207555455
2020-12-09,4813,4813,4754,4759,33377,-0.010191347753743751
2020-12-10,4763,4788,4734,4739,22579,-0.004202563563773909
2020-12-11,4739,4798,4739,4798,26897,0.012449883941759943
2020-12-14,4797,4797,4743,4783,45289,-0.0031263026260942572
2020-12-15,4788,4788,4748,4788,22528,0.0010453690152623096
2020-12-16,4787,4787,4763,4778,22352,-0.002088554720133695
2020-12-17,4773,4787,4763,4783,27133,0.0010464629552113802
2020-12-18,4783,4788,4773,4788,29602,0.0010453690152623096
2020-12-21,4817,4817,4763,4803,40295,0.0031328320802004317
2020-12-22,4812,4812,4768,4793,24795,-0.002082032063293826
2020-12-23,4797,4797,4758,4773,10673,-0.0041727519298977445
2020-12-24,4777,4777,4748,4763,19037,-0.0020951183741881874
2020-12-28,4778,4783,4699,4744,76788,-0.003989082511022479
2020-12-29,4743,4743,4640,4680,134226,-0.013490725126475533
2020-12-30,4684,4684,4640,4675,55099,-0.0010683760683760646
2021-01-04,4675,4675,4601,4641,64033,-0.0072727272727273196
2021-01-05,4640,4640,4581,4606,63443,-0.007541478129713397
2021-01-06,4620,4669,4620,4655,48818,0.010638297872340496
2021-01-07,4654,4654,4620,4650,35589,-0.0010741138560687036
2021-01-08,4650,4655,4621,4621,38497,-0.006236559139784936
2021-01-11,4621,4640,4601,4621,29325,0.0
2021-01-12,4620,4635,4601,4616,8325,-0.001082016879463299
2021-01-13,4621,4655,4601,4621,40205,0.001083188908145516
2021-01-14,4621,4625,4606,4621,12367,0.0
2021-01-15,4621,4635,4611,4631,38923,0.002164033758926598
2021-01-18,4630,4630,4611,4626,24063,-0.0010796804145972727
2021-01-19,4621,4630,4611,4621,49309,-0.001080847384349326
2021-01-20,4621,4636,4611,4636,81970,0.003246050638390008
2021-01-21,4635,4635,4616,4631,45451,-0.0010785159620362306
2021-01-22,4630,4640,4606,4626,20005,-0.0010796804145972727
