Date,Open,High,Low,Close,Volume,Change
2015-06-22,9397,9397,9397,9397,1,
2015-06-23,9552,10806,9552,10806,31,0.1499414706821327
2015-06-24,12425,12425,12425,12425,18,0.1498241717564317
2015-06-25,14279,14279,14279,14279,20,0.14921529175050297
2015-06-26,16420,16420,16420,16420,8,0.14994047202185024
2015-06-29,18874,18874,18874,18874,46,0.14945188794153474
2015-06-30,21693,21693,21693,21693,69,0.1493589064321288
2015-07-01,24930,24930,24930,24930,55,0.1492186419582353
2015-07-02,28663,28663,28663,28663,58,0.1497392699558764
2015-07-03,32945,32945,32840,32945,193,0.14939120120015348
2015-07-06,31847,31847,28037,28037,136,-0.1489755653361663
2015-07-07,25999,25999,23860,23860,284,-0.1489817027499376
2015-07-08,21405,21667,20282,21667,4018,-0.09191114836546521
2015-07-09,19578,21927,18430,18430,1855,-0.14939770157382193
2015-07-10,21170,21170,18378,18378,112,-0.002821486706456877
2015-07-13,17490,20883,16184,16185,896,-0.11932745674175649
2015-07-14,16600,16600,16445,16445,386,0.016064257028112428
2015-07-15,16445,16445,16445,16445,0,0.0
2015-07-16,17489,18899,16707,16707,847,0.01593189419276375
2015-07-17,16707,16707,16707,16707,0,0.0
2015-07-20,15714,19213,15714,19213,58,0.14999700724247322
2015-07-21,21927,21927,19213,19213,384,0.0
2015-07-22,19211,19211,16341,16341,2718,-0.14948212148024775
2015-07-23,17228,17228,16707,16707,21,0.022397650082614184
2015-07-24,16236,17725,15662,17725,32023,0.06093254324534625
2015-07-27,17725,17725,17725,17725,37,0.0
2015-07-28,17490,17490,17463,17490,6162,-0.013258110014104374
2015-07-29,17489,17723,15948,17646,960,0.008919382504288142
2015-07-30,17436,17436,16705,17385,4300,-0.014790887453247192
2015-07-31,16185,17230,16185,17230,1846,-0.008915731952832906
2015-08-03,17230,17230,17230,17230,2133,0.0
2015-08-04,17227,17227,17123,17176,4035,-0.0031340684852002587
2015-08-05,17177,17230,17177,17230,1914,0.003143921751280754
2015-08-06,17124,17124,16707,16707,1110,-0.030354033662217117
2015-08-07,16707,16707,16707,16707,0,0.0
2015-08-10,16707,16707,16707,16707,0,0.0
2015-08-11,16707,16707,16707,16707,0,0.0
2015-08-12,16706,16706,15662,15662,994,-0.06254863230981023
2015-08-13,15687,15922,15662,15662,4171,0.0
2015-08-17,15662,15662,15662,15662,572,0.0
2015-08-18,13364,15662,13364,15662,68,0.0
2015-08-19,15219,15219,15219,15219,189,-0.028285021070105998
2015-08-20,15219,15219,15219,15219,0,0.0
2015-08-21,15662,15662,15662,15662,1,0.029108351402851618
2015-08-24,15662,15662,15662,15662,132,0.0
2015-08-25,15662,15662,15662,15662,0,0.0
2015-08-26,16706,16706,15924,15924,43,0.0167283871791597
2015-08-27,15924,15924,15924,15924,501,0.0
2015-08-28,15924,15924,15924,15924,92,0.0
2015-08-31,15924,15924,15924,15924,0,0.0
2015-09-01,15924,15924,15924,15924,33,0.0
2015-09-02,15923,18273,15923,18273,55,0.14751318764129606
2015-09-03,17230,17230,17230,17230,2,-0.0570787500684069
2015-09-04,17230,17230,17230,17230,2,0.0
2015-09-07,16733,16733,16733,16733,168,-0.028845037724898437
2015-09-08,16263,16263,16263,16263,189,-0.028088208928464753
2015-09-09,16263,16263,16263,16263,0,0.0
2015-09-10,16263,16263,16263,16263,0,0.0
2015-09-11,16263,16263,16263,16263,0,0.0
2015-09-14,16707,16707,16707,16707,1,0.027301235934329426
2015-09-15,16707,16707,16707,16707,0,0.0
2015-09-16,16707,16707,16707,16707,0,0.0
2015-09-17,16236,17176,16236,17176,193,0.028072065601244978
2015-09-18,16679,17176,16679,17176,193,0.0
2015-09-21,17176,17176,17176,17176,184,0.0
2015-09-22,16680,16680,16680,16680,189,-0.02887750349324636
2015-09-23,16184,16184,16184,16185,252,-0.029676258992805793
2015-09-24,16707,16707,16707,16707,1,0.03225208526413348
2015-09-25,16235,16680,16235,16680,193,-0.001616089064463977
2015-09-30,16209,16209,16209,16210,189,-0.02817745803357319
2015-10-01,15740,16288,15740,16289,193,0.004873534855027728
2015-10-02,15820,15820,15820,15820,189,-0.028792436613665706
2015-10-05,16184,16184,16184,16185,1,0.023072060682680195
2015-10-06,15715,15715,15715,15715,152,-0.029039233858510927
2015-10-07,15715,15715,15715,15715,0,0.0
2015-10-08,18064,18064,18064,18064,1,0.14947502386255174
2015-10-12,17542,17542,17542,17542,183,-0.02889725420726308
2015-10-13,16184,16184,16184,16185,367,-0.07735719986318546
2015-10-14,15088,16184,15088,16185,193,0.0
2015-10-15,15922,15922,15662,15662,1426,-0.03231387086808779
2015-10-16,15218,15218,14358,14358,2871,-0.08325884305963482
2015-10-19,14358,14358,14358,14358,0,0.0
2015-10-20,14358,14358,14358,14358,0,0.0
2015-10-21,14879,14879,14879,14879,170,0.03628639086223706
2015-10-22,14618,14618,14618,14618,18,-0.01754150144498956
2015-10-23,14879,14879,14879,14879,2436,0.017854699685319497
2015-10-26,14879,14879,14879,14879,0,0.0
2015-10-27,14617,14617,13312,13313,19610,-0.10524900866993747
2015-10-28,13678,13678,13678,13678,75,0.027416810636220257
2015-10-29,13835,13835,13835,13835,0,0.011478286299166474
2015-10-30,13051,13051,12530,12530,7086,-0.09432598482110588
2015-11-02,12530,12530,12530,12530,0,0.0
2015-11-03,12870,12870,12870,12870,0,0.02713487629688749
2015-11-04,12870,12870,12870,12870,0,0.0
2015-11-05,12503,12581,10962,12582,957,-0.02237762237762242
2015-11-06,12895,12895,12895,12895,0,0.024876808138610818
2015-11-09,12895,12895,12895,12895,0,0.0
2015-11-10,12529,13261,12529,13261,381,0.028383094222566907
2015-11-11,13573,13573,13573,13574,0,0.023603046527411298
2015-11-12,13573,13573,13573,13574,0,0.0
2015-11-13,13182,13182,13182,13182,189,-0.02887873876528657
2015-11-16,12817,12817,12817,12817,189,-0.027689273251403468
2015-11-17,12817,12817,12817,12817,0,0.0
2015-11-18,12817,12817,12817,12817,0,0.0
2015-11-19,12817,12817,12817,12817,0,0.0
2015-11-20,12450,12450,12450,12451,189,-0.028555824295857013
2015-11-23,12398,12398,12347,12347,956,-0.008352742751586262
2015-11-24,12346,12346,12269,12269,1722,-0.006317324046327011
2015-11-25,12267,12267,12216,12216,572,-0.004319830467030772
2015-11-26,12163,12163,12112,12112,1147,-0.008513425016371978
2015-11-27,11773,11773,11773,11773,189,-0.0279887714663144
2015-11-30,11746,11746,11669,11669,956,-0.00883377219060566
2015-12-01,11669,11669,11669,11669,0,0.0
2015-12-02,11486,11486,11486,11486,381,-0.015682577770160244
2015-12-03,11486,11486,11486,11486,0,0.0
2015-12-04,11486,11486,11486,11486,0,0.0
2015-12-07,11486,11486,11486,11486,0,0.0
2015-12-08,11486,11486,11486,11486,0,0.0
2015-12-09,11486,11486,11486,11486,0,0.0
2015-12-10,11486,11486,11486,11486,0,0.0
2015-12-11,11486,11486,11486,11486,0,0.0
2015-12-14,11486,11486,11486,11486,0,0.0
2015-12-15,11799,11799,11799,11799,4,0.02725056590632069
2015-12-16,11799,11799,11799,11799,0,0.0
2015-12-17,11799,11799,11799,11799,0,0.0
2015-12-18,11799,11799,11799,11799,0,0.0
2015-12-21,11799,11799,11799,11799,0,0.0
2015-12-22,11799,11799,11799,11799,0,0.0
2015-12-23,11799,11799,11799,11799,0,0.0
2015-12-24,13548,13548,13548,13548,1,0.148232901093313
2015-12-28,13156,13156,13156,13156,189,-0.028934160023619704
2015-12-29,13209,13209,13209,13209,15320,0.00402858011553664
2015-12-30,15140,15140,15140,15140,37,0.14618820501173446
2016-01-04,14723,14723,14723,14723,189,-0.027542932628797923
2016-01-05,14305,14305,14305,14305,189,-0.028390952930788527
2016-01-06,14253,14253,14253,14253,0,-0.0036350926249563154
2016-01-07,13861,13861,13861,13861,37,-0.027502981828386952
2016-01-08,13861,13861,13861,13861,0,0.0
2016-01-11,14618,14618,14618,14618,189,0.05461366423778946
2016-01-12,14200,14200,14200,14200,189,-0.02859488302093305
2016-01-13,13809,13809,13809,13809,189,-0.027535211267605608
2016-01-14,13417,13417,13417,13417,189,-0.02838728365558696
2016-01-15,13156,14358,13156,14358,4214,0.07013490348065887
2016-01-18,14358,14358,14358,14358,0,0.0
2016-01-19,14358,14358,14358,14358,0,0.0
2016-01-20,14358,14358,14358,14358,0,0.0
2016-01-21,14358,14358,14358,14358,0,0.0
2016-01-22,14358,14358,14358,14358,0,0.0
2016-01-25,14358,14358,14358,14358,1339,0.0
2016-01-26,13940,13940,13940,13940,764,-0.029112689789664303
2016-01-27,13940,13940,13940,13940,0,0.0
2016-01-28,13940,13940,13940,13940,0,0.0
2016-01-29,13940,13940,13940,13940,0,0.0
2016-02-01,13940,13940,13940,13940,0,0.0
2016-02-02,13548,13548,13548,13548,189,-0.0281205164992826
2016-02-03,13730,13730,13730,13730,0,0.013433717153823466
2016-02-04,12529,13573,12529,13574,576,-0.011361981063364945
2016-02-05,13182,13182,13182,13182,228,-0.02887873876528657
2016-02-11,12817,12817,12817,12817,189,-0.027689273251403468
2016-02-12,12450,12450,12450,12451,189,-0.028555824295857013
2016-02-15,12111,12530,12111,12530,193,0.00634487189783961
2016-02-16,12504,12504,12504,12504,1,-0.002075019952114898
2016-02-17,12164,12504,12164,12504,195,0.0
2016-02-18,11485,12269,11485,12269,577,-0.01879398592450421
2016-02-19,12269,12269,12269,12269,0,0.0
2016-02-22,11930,11930,11930,11930,189,-0.027630613741951304
2016-02-23,10963,12243,10963,12243,576,0.026236378876781208
2016-02-24,11903,11903,11903,11903,189,-0.027770971167197622
2016-02-25,11903,11903,11903,11903,0,0.0
