Date,Open,High,Low,Close,Volume,Change
2000-04-27,1173,1246,1121,1226,755875,
2000-04-28,1217,1398,1217,1322,2172469,0.07830342577487759
2000-05-02,1374,1482,1317,1362,2891592,0.030257186081694476
2000-05-03,1315,1380,1287,1348,863094,-0.01027900146842875
2000-05-04,1344,1453,1304,1389,2587513,0.030415430267062282
2000-05-08,1421,1421,1352,1373,1677408,-0.011519078473722133
2000-05-09,1397,1397,1244,1281,1056479,-0.06700655498907504
2000-05-10,1249,1270,1221,1254,701882,-0.021077283372365363
2000-05-12,1226,1230,1117,1142,669738,-0.08931419457735246
2000-05-15,1116,1232,1051,1116,792813,-0.02276707530647981
2000-05-16,1113,1121,1044,1101,1392590,-0.013440860215053752
2000-05-17,1147,1147,937,942,762576,-0.14441416893732972
2000-05-18,941,941,856,921,389392,-0.022292993630573243
2000-05-19,860,933,860,889,56828,-0.034744842562432154
2000-05-22,944,944,783,844,573895,-0.0506186726659168
2000-05-23,789,866,789,866,155149,0.026066350710900466
2000-05-24,822,903,814,899,396146,0.038106235565819935
2000-05-25,904,980,872,989,427008,0.10011123470522798
2000-05-26,975,975,870,875,319840,-0.11526794742163804
2000-05-29,837,921,813,926,163302,0.058285714285714274
2000-05-30,913,946,865,934,442202,0.008639308855291628
2000-05-31,897,974,897,966,591091,0.03426124197002145
2000-06-01,947,971,899,899,472075,-0.06935817805383027
2000-06-02,922,959,902,951,703498,0.05784204671857629
2000-06-05,985,1046,965,1030,654117,0.08307045215562558
2000-06-07,1031,1031,970,1023,636257,-0.006796116504854344
2000-06-08,1001,1001,972,981,533755,-0.04105571847507328
2000-06-09,966,970,902,983,299829,0.0020387359836901986
2000-06-12,938,963,902,951,180553,-0.03255340793489314
2000-06-13,948,948,903,948,242472,-0.003154574132492094
2000-06-14,920,985,920,981,855844,0.034810126582278444
2000-06-15,973,973,896,901,75227,-0.0815494393476045
2000-06-16,850,914,837,850,212362,-0.05660377358490565
2000-06-19,905,905,848,869,227875,0.022352941176470686
2000-06-20,868,880,816,885,64584,0.018411967779056404
2000-06-21,889,941,868,889,129421,0.004519774011299438
2000-06-22,888,913,884,897,144823,0.008998875140607376
2000-06-23,885,901,828,873,133847,-0.026755852842809347
2000-06-26,898,994,894,1003,460954,0.1489117983963344
2000-06-27,979,979,938,975,493596,-0.02791625124626118
2000-06-28,948,1033,948,981,985706,0.006153846153846176
2000-06-29,980,1000,963,968,246662,-0.013251783893985736
2000-06-30,970,1043,970,1019,812282,0.052685950413223104
2000-07-03,1014,1166,1014,1171,1847657,0.14916584887144269
2000-07-04,1092,1164,1031,1036,850808,-0.1152860802732707
2000-07-05,1036,1084,983,1032,1254782,-0.0038610038610038533
2000-07-06,975,1084,975,1064,326580,0.03100775193798455
2000-07-07,1053,1069,1000,1049,722270,-0.014097744360902276
2000-07-10,1044,1061,1036,1057,306819,0.007626310772163913
2000-07-11,1031,1055,1010,1019,607653,-0.03595080416272467
2000-07-12,1012,1028,983,996,135340,-0.02257114818449457
2000-07-13,967,988,963,980,483034,-0.016064257028112428
2000-07-14,925,970,925,942,262754,-0.038775510204081653
2000-07-18,932,948,919,932,313630,-0.010615711252653925
2000-07-19,904,925,896,913,254823,-0.020386266094420624
2000-07-20,943,943,854,899,199907,-0.01533406352683464
2000-07-21,918,918,869,890,103780,-0.010011123470522798
2000-07-24,910,910,841,858,318731,-0.035955056179775235
2000-07-25,828,880,828,885,67519,0.03146853146853146
2000-07-26,901,901,868,885,37428,0.0
2000-07-27,881,897,828,869,432267,-0.01807909604519775
2000-07-28,889,986,889,934,679635,0.07479861910241659
2000-07-31,921,921,836,877,58712,-0.06102783725910066
2000-08-01,878,915,878,903,89557,0.029646522234891615
2000-08-02,942,951,906,947,134230,0.04872646733111852
2000-08-03,1030,1030,921,930,339898,-0.017951425554382228
2000-08-04,948,948,915,924,81065,-0.006451612903225823
2000-08-07,949,949,896,905,108894,-0.02056277056277056
2000-08-08,927,927,882,927,16516,0.024309392265193353
2000-08-09,931,1000,899,1000,538379,0.07874865156418553
2000-08-10,948,1041,948,1005,433253,0.004999999999999893
2000-08-11,1000,1068,964,1073,894411,0.06766169154228852
2000-08-14,1052,1137,1052,1077,1377875,0.0037278657968313755
2000-08-16,1034,1083,986,1063,591404,-0.01299907149489321
2000-08-17,975,1076,975,1008,315249,-0.05174035747883354
2000-08-18,989,1078,953,1046,348893,0.037698412698412787
2000-08-21,1001,1045,968,997,392529,-0.04684512428298282
2000-08-22,967,1004,967,972,145238,-0.025075225677031132
2000-08-23,991,991,950,967,174316,-0.005144032921810648
2000-08-24,949,1030,949,998,332063,0.03205791106514999
2000-08-25,952,1001,952,993,101309,-0.00501002004008011
2000-08-28,1000,1053,1000,1009,567852,0.01611278952668682
2000-08-29,1044,1044,1003,1016,68628,0.0069375619425173785
2000-08-30,1015,1140,1003,1064,2250466,0.04724409448818889
2000-08-31,1074,1114,1013,1030,836815,-0.03195488721804507
2000-09-01,1016,1065,984,1033,230888,0.002912621359223211
2000-09-04,1051,1135,1051,1144,1210787,0.10745401742497585
2000-09-05,1205,1217,1028,1089,1423659,-0.04807692307692313
2000-09-06,1068,1217,1068,1185,1902102,0.0881542699724518
2000-09-07,1218,1218,1101,1134,2809868,-0.04303797468354431
2000-09-08,1137,1189,1040,1077,1455259,-0.050264550264550234
2000-09-14,1040,1076,1016,1085,623112,0.00742804085422466
2000-09-15,1052,1129,1052,1077,720294,-0.007373271889400956
2000-09-18,1030,1094,949,954,479618,-0.11420612813370479
2000-09-19,895,1020,895,1008,739129,0.05660377358490565
2000-09-20,955,1112,955,1024,313785,0.015873015873015817
2000-09-21,1071,1071,966,995,324533,-0.0283203125
2000-09-22,1030,1030,937,954,330745,-0.04120603015075375
2000-09-25,922,970,922,979,229184,0.026205450733752578
2000-09-26,950,1003,950,967,174316,-0.012257405515832431
2000-09-27,1107,1107,1107,1112,505212,0.14994829369183038
2000-09-28,1272,1272,1094,1103,7999331,-0.008093525179856065
2000-09-29,1069,1178,1041,1102,3200924,-0.0009066183136899886
2000-10-02,1084,1181,1084,1109,2502435,0.006352087114337657
2000-10-04,1103,1188,1099,1152,1761157,0.03877366997294862
2000-10-05,1103,1180,1103,1128,1497317,-0.02083333333333337
2000-10-06,1099,1148,1099,1144,1002017,0.014184397163120588
2000-10-09,1140,1241,1140,1193,1557944,0.04283216783216792
2000-10-10,1192,1200,1099,1144,1176664,-0.04107292539815588
2000-10-11,1150,1206,1085,1122,875721,-0.019230769230769273
2000-10-12,1119,1119,1090,1095,338637,-0.024064171122994638
2000-10-13,1043,1076,987,1060,719911,-0.03196347031963476
2000-10-16,1069,1149,1069,1158,818300,0.09245283018867934
2000-10-17,1148,1164,1055,1084,1451344,-0.0639032815198618
2000-10-18,1070,1134,1053,1070,311790,-0.01291512915129156
2000-10-19,1069,1110,1049,1110,696608,0.03738317757009346
2000-10-20,1135,1195,1098,1103,1436012,-0.006306306306306353
2000-10-23,1165,1165,1092,1117,359432,0.012692656391659174
2000-10-24,1113,1125,1052,1089,514191,-0.0250671441360788
2000-10-25,1052,1125,1052,1089,736603,0.0
2000-10-26,1081,1194,1029,1134,1360003,0.04132231404958686
2000-10-27,1188,1196,1119,1124,616069,-0.00881834215167554
2000-10-30,1044,1161,1044,1081,573278,-0.03825622775800708
