Date,Open,High,Low,Close,Volume,Change
2013-07-01,754,754,754,754,6648,
2013-07-02,0,0,0,754,0,0.0
2013-07-03,0,0,0,754,0,0.0
2013-07-04,0,0,0,754,0,0.0
2013-07-05,0,0,0,754,0,0.0
2013-07-08,0,0,0,754,0,0.0
2013-07-09,0,0,0,754,0,0.0
2013-07-10,0,0,0,754,0,0.0
2013-07-11,852,852,852,852,660,0.12997347480106103
2013-07-12,0,0,0,852,0,0.0
2013-07-15,0,0,0,852,0,0.0
2013-07-16,0,0,0,852,0,0.0
2013-07-17,0,0,0,852,0,0.0
2013-07-18,962,962,962,962,660,0.12910798122065725
2013-07-19,1082,1082,1082,1082,1324,0.12474012474012475
2013-07-22,0,0,0,1082,0,0.0
2013-07-23,1052,1052,1052,1052,6648,-0.027726432532347522
2013-07-24,0,0,0,1052,0,0.0
2013-07-25,0,0,0,1052,0,0.0
2013-07-26,0,0,0,1052,0,0.0
2013-07-29,0,0,0,1052,0,0.0
2013-07-30,0,0,0,1052,0,0.0
2013-07-31,0,0,0,1052,0,0.0
2013-08-01,0,0,0,1052,0,0.0
2013-08-02,0,0,0,1052,0,0.0
2013-08-05,0,0,0,1052,0,0.0
2013-08-06,0,0,0,1052,0,0.0
2013-08-07,0,0,0,1052,0,0.0
2013-08-08,0,0,0,1052,0,0.0
2013-08-09,0,0,0,1052,0,0.0
2013-08-12,0,0,0,1052,0,0.0
2013-08-13,0,0,0,1052,0,0.0
2013-08-14,0,0,0,1052,0,0.0
2013-08-16,0,0,0,1052,0,0.0
2013-08-19,0,0,0,1052,0,0.0
2013-08-20,0,0,0,1052,0,0.0
2013-08-21,0,0,0,1052,0,0.0
2013-08-22,0,0,0,1052,0,0.0
2013-08-23,0,0,0,1052,0,0.0
2013-08-26,0,0,0,1052,0,0.0
2013-08-27,0,0,0,1052,0,0.0
2013-08-28,0,0,0,1052,0,0.0
2013-08-29,0,0,0,1052,0,0.0
2013-08-30,0,0,0,1052,0,0.0
2013-09-02,0,0,0,1052,0,0.0
2013-09-03,0,0,0,1052,0,0.0
2013-09-04,0,0,0,1052,0,0.0
2013-09-05,0,0,0,1052,0,0.0
2013-09-06,0,0,0,1052,0,0.0
2013-09-09,0,0,0,1052,0,0.0
2013-09-10,0,0,0,1052,0,0.0
2013-09-11,0,0,0,1052,0,0.0
2013-09-12,0,0,0,1052,0,0.0
2013-09-13,0,0,0,1052,0,0.0
2013-09-16,0,0,0,1052,0,0.0
2013-09-17,1067,1067,1067,1067,3322,0.014258555133079831
2013-09-23,1067,1067,1067,1067,6648,0.0
2013-09-24,0,0,0,1067,0,0.0
2013-09-25,0,0,0,1067,0,0.0
