Date,Open,High,Low,Close,Volume,Change
2013-07-01,0,0,0,2577,0,
2013-07-02,0,0,0,2577,0,0.0
2013-07-03,0,0,0,2577,0,0.0
2013-07-04,0,0,0,2577,0,0.0
2013-07-05,0,0,0,2577,0,0.0
2013-07-08,0,0,0,2577,0,0.0
2013-07-09,2963,2963,2963,2964,122,0.15017462165308504
2013-07-10,0,0,0,2964,0,0.0
2013-07-11,3405,3405,3405,3405,122,0.14878542510121462
2013-07-12,0,0,0,3405,0,0.0
2013-07-15,0,0,0,3405,0,0.0
2013-07-16,3910,3910,3910,3910,122,0.14831130690161531
2013-07-17,3696,3696,3696,3696,122,-0.054731457800511474
2013-07-18,3696,3696,3696,3696,122,0.0
2013-07-19,3696,3910,3696,3910,1360,0.0579004329004329
2013-07-22,0,0,0,3910,0,0.0
2013-07-23,0,0,0,3910,0,0.0
2013-07-24,0,0,0,3910,0,0.0
2013-07-25,3908,4270,3908,4270,864,0.09207161125319696
2013-07-26,0,0,0,4270,0,0.0
2013-07-29,0,0,0,4270,0,0.0
2013-07-30,4270,4270,4270,4270,246,0.0
2013-07-31,3637,4904,3637,4904,493,0.14847775175644018
2013-08-01,4629,4629,4174,4174,246,-0.14885807504078308
2013-08-02,4174,4174,4174,4174,493,0.0
2013-08-05,0,0,0,4174,0,0.0
2013-08-06,4035,4035,4035,4035,122,-0.03330138955438433
2013-08-07,0,0,0,4035,0,0.0
2013-08-08,0,0,0,4035,0,0.0
2013-08-09,4035,4035,4035,4035,1235,0.0
2013-08-12,0,0,0,4035,0,0.0
2013-08-13,4035,4035,4035,4035,864,0.0
2013-08-14,4263,4263,4263,4264,370,0.056753407682775814
2013-08-16,4763,4763,4763,4764,246,0.1172607879924954
2013-08-19,4712,4712,4712,4712,122,-0.010915197313182246
2013-08-20,5302,5302,5302,5302,122,0.12521222410865884
2013-08-21,0,0,0,5302,0,0.0
2013-08-22,0,0,0,5302,0,0.0
2013-08-23,0,0,0,5302,0,0.0
2013-08-26,0,0,0,5302,0,0.0
2013-08-27,0,0,0,5302,0,0.0
2013-08-28,0,0,0,5302,0,0.0
2013-08-29,0,0,0,5302,0,0.0
2013-08-30,0,0,0,5302,0,0.0
2013-09-02,0,0,0,5302,0,0.0
2013-09-03,0,0,0,5302,0,0.0
2013-09-04,0,0,0,5302,0,0.0
2013-09-05,0,0,0,5302,0,0.0
2013-09-06,0,0,0,5302,0,0.0
2013-09-09,0,0,0,5301,0,-0.00018860807242548905
2013-09-10,0,0,0,5301,0,0.0
2013-09-11,0,0,0,5301,0,0.0
2013-09-12,0,0,0,5154,0,-0.02773061686474254
