Date,Open,High,Low,Close,Volume,Change
2000-04-27,1509,1527,1410,1430,69483,
2000-04-28,1434,1533,1434,1535,41529,0.07342657342657333
2000-05-02,1533,1579,1516,1535,72647,0.0
2000-05-03,1438,1493,1438,1503,77078,-0.02084690553745927
2000-05-04,1484,1718,1447,1657,252486,0.1024617431803061
2000-05-08,1668,1723,1668,1670,185709,0.00784550392275185
2000-05-09,1705,1705,1579,1625,81504,-0.026946107784431184
2000-05-10,1651,1867,1651,1869,170860,0.15015384615384608
2000-05-12,2146,2146,2146,2148,100138,0.1492776886035314
2000-05-15,2460,2460,2253,2470,1286123,0.14990689013035374
2000-05-16,2087,2087,2087,2098,262092,-0.15060728744939267
2000-05-17,1904,1975,1786,1788,528208,-0.14775977121067685
2000-05-18,1654,1654,1511,1521,466237,-0.14932885906040272
2000-05-19,1459,1740,1459,1714,230233,0.12689020381328064
2000-05-22,1713,1894,1668,1670,151379,-0.025670945157526215
2000-05-23,1627,1627,1582,1638,78335,-0.019161676646706538
2000-05-24,1618,1618,1545,1629,160330,-0.005494505494505475
2000-05-25,1664,1862,1664,1864,127231,0.1442602823818293
2000-05-26,1712,1731,1703,1705,149686,-0.08530042918454939
2000-05-29,1585,1722,1585,1714,51408,0.005278592375366653
2000-05-30,1794,1794,1677,1733,30673,0.011085180863477317
2000-05-31,1758,1784,1667,1714,133065,-0.010963646855164488
2000-06-01,1713,1803,1595,1679,148390,-0.020420070011668567
2000-06-02,1677,1677,1605,1607,162347,-0.0428826682549136
2000-06-05,1677,1677,1623,1661,166883,0.033602986932171675
2000-06-07,1659,1659,1605,1661,213616,0.0
2000-06-08,1660,1705,1643,1643,164227,-0.010836845273931361
2000-06-09,1642,1886,1551,1842,181049,0.12111990261716366
2000-06-12,1831,2110,1831,1896,290449,0.02931596091205213
2000-06-13,1848,1848,1605,1670,301985,-0.11919831223628696
2000-06-14,1587,1668,1587,1616,52822,-0.03233532934131733
2000-06-15,1615,1624,1532,1616,78515,0.0
2000-06-16,1579,1651,1579,1607,66333,-0.005569306930693019
2000-06-19,1579,1579,1551,1553,73201,-0.033602986932171786
2000-06-20,1686,1686,1551,1553,90919,0.0
2000-06-21,1551,1579,1533,1535,67997,-0.011590470057952329
2000-06-22,1587,1587,1533,1535,52714,0.0
2000-06-23,1551,1551,1542,1544,70433,0.005863192182410382
2000-06-26,1551,1596,1542,1544,52934,0.0
2000-06-27,1565,1574,1537,1548,72093,0.002590673575129543
2000-06-28,1574,1618,1537,1584,146954,0.023255813953488413
2000-06-29,1579,1579,1551,1553,64341,-0.019570707070707072
2000-06-30,1547,1547,1493,1503,11074,-0.03219575016097875
2000-07-03,1523,1523,1478,1489,230019,-0.009314703925482393
2000-07-04,1443,1524,1443,1526,108862,0.02484889187374084
2000-07-05,1532,1532,1487,1498,53189,-0.01834862385321101
2000-07-06,1515,1532,1469,1489,59802,-0.006008010680907838
2000-07-07,1520,1520,1484,1503,36213,0.009402283411685586
2000-07-10,1532,1532,1515,1516,52935,0.008649367930805063
2000-07-11,1469,1515,1469,1507,175309,-0.00593667546174137
2000-07-12,1515,1560,1515,1561,150919,0.03583278035832782
2000-07-13,1551,1668,1533,1580,166113,0.0121716848174247
2000-07-14,1579,1668,1542,1553,69878,-0.01708860759493669
2000-07-18,1537,1546,1528,1539,117942,-0.009014810045074095
2000-07-19,1542,1560,1533,1535,60798,-0.002599090318388564
2000-07-20,1487,1496,1452,1489,30897,-0.029967426710097667
2000-07-21,1515,1515,1460,1516,30122,0.01813297515110812
2000-07-24,1456,1502,1456,1512,24253,-0.0026385224274406704
2000-07-25,1478,1515,1478,1498,8642,-0.0092592592592593
2000-07-26,1465,1493,1465,1476,8748,-0.014686248331108098
2000-07-27,1469,1579,1469,1535,19490,0.0399728997289972
2000-07-28,1506,1506,1478,1489,27021,-0.029967426710097667
2000-07-31,1478,1496,1451,1498,21497,0.006044325050369448
2000-08-01,1560,1560,1488,1535,40199,0.02469959946595468
2000-08-02,1497,1652,1497,1625,79400,0.05863192182410426
2000-08-03,1633,1867,1633,1869,345043,0.15015384615384608
2000-08-04,1840,1840,1587,1589,216722,-0.14981273408239704
2000-08-07,1586,1623,1469,1489,69991,-0.06293266205160475
2000-08-08,1703,1703,1568,1570,168204,0.054398925453324365
2000-08-09,1568,1623,1568,1570,59170,0.0
2000-08-10,1579,1579,1551,1561,52189,-0.00573248407643312
2000-08-11,1556,1781,1556,1792,310391,0.14798206278026904
2000-08-14,2056,2056,1812,1814,497335,0.01227678571428581
2000-08-16,1810,1810,1646,1711,156250,-0.05678059536934954
2000-08-17,1802,1884,1712,1714,190790,0.001753360607831711
2000-08-18,1803,1812,1758,1814,215818,0.058343057176196034
2000-08-21,1940,1940,1849,1860,314371,0.025358324145534628
2000-08-22,2128,2128,1812,1896,284028,0.019354838709677358
