Date,Open,High,Low,Close,Volume,Change
2000-04-26,1603,1763,1603,1684,0,
2000-04-27,1697,1751,1597,1751,0,0.039786223277909816
2000-04-28,1749,1796,1576,1664,0,-0.04968589377498567
2000-05-02,1600,1656,1563,1611,0,-0.031850961538461564
2000-05-03,1563,1676,1563,1664,0,0.032898820608317836
2000-05-04,1607,1864,1596,1864,0,0.12019230769230771
2000-05-08,2062,2086,1962,2087,0,0.11963519313304727
2000-05-09,2163,2337,2163,2337,0,0.11978917105893627
2000-05-10,2521,2614,2401,2616,0,0.1193838254172015
2000-05-12,2929,2929,2803,2930,0,0.12003058103975528
2000-05-15,2993,3259,2577,2579,0,-0.1197952218430034
2000-05-16,2796,2796,2296,2530,0,-0.018999612252811215
2000-05-17,2595,2832,2505,2833,0,0.11976284584980235
2000-05-18,2668,3134,2668,2696,0,-0.048358630427109084
2000-05-19,2463,2506,2374,2374,0,-0.11943620178041547
2000-05-22,2089,2089,2089,2090,0,-0.11962931760741369
2000-05-23,1839,1839,1839,1840,0,-0.11961722488038273
2000-05-24,1618,1618,1618,1620,0,-0.11956521739130432
2000-05-25,1470,1813,1470,1810,0,0.11728395061728403
2000-05-26,1684,1763,1594,1594,0,-0.11933701657458562
2000-05-29,1438,1495,1402,1404,0,-0.11919698870765372
2000-05-30,1403,1571,1344,1571,0,0.1189458689458689
2000-05-31,1596,1730,1596,1641,0,0.04455760661998731
2000-06-01,1696,1696,1491,1491,0,-0.09140767824497253
2000-06-02,1530,1577,1484,1511,0,0.013413816230717579
2000-06-05,1511,1691,1511,1691,0,0.11912640635340832
2000-06-07,1738,1829,1596,1764,0,0.043169722057953885
2000-06-08,1814,1971,1662,1973,0,0.1184807256235827
2000-06-09,1875,2171,1736,1737,0,-0.11961479979726308
2000-06-12,1669,1789,1662,1720,0,-0.00978698906160047
2000-06-13,1711,1781,1528,1643,0,-0.04476744186046511
2000-06-14,1663,1670,1551,1594,0,-0.029823493609251406
2000-06-15,1552,1755,1535,1677,0,0.052070263488080304
2000-06-16,1629,1632,1476,1477,0,-0.11926058437686349
2000-06-19,1494,1564,1464,1498,0,0.014218009478673022
2000-06-20,1520,1617,1477,1571,0,0.04873164218958603
2000-06-21,1569,1589,1482,1517,0,-0.03437301082113309
2000-06-22,1530,1570,1473,1531,0,0.009228740936058077
2000-06-23,1484,1530,1470,1511,0,-0.013063357282821708
2000-06-26,1510,1556,1462,1521,0,0.006618133686300487
2000-06-27,1563,1689,1530,1664,0,0.09401709401709413
2000-06-28,1626,1690,1536,1551,0,-0.06790865384615385
2000-06-29,1505,1602,1482,1524,0,-0.01740812379110257
2000-06-30,1490,1559,1490,1558,0,0.022309711286089273
2000-07-03,1497,1583,1497,1551,0,-0.00449293966623876
2000-07-04,1529,1702,1496,1680,0,0.0831721470019342
2000-07-05,1662,1676,1479,1504,0,-0.10476190476190472
2000-07-06,1497,1547,1397,1474,0,-0.019946808510638347
2000-07-07,1522,1522,1422,1457,0,-0.011533242876526462
2000-07-10,1463,1563,1430,1514,0,0.03912148249828418
2000-07-11,1431,1510,1337,1431,0,-0.05482166446499337
2000-07-12,1287,1460,1287,1398,0,-0.023060796645702264
2000-07-13,1363,1420,1363,1398,0,0.0
2000-07-14,1376,1395,1262,1304,0,-0.06723891273247495
2000-07-18,1296,1415,1220,1364,0,0.04601226993865026
2000-07-19,1328,1409,1269,1304,0,-0.04398826979472137
2000-07-20,1243,1300,1237,1271,0,-0.02530674846625769
2000-07-21,1278,1391,1278,1372,0,0.07946498819826897
2000-07-24,1371,1523,1371,1438,0,0.048104956268221644
2000-07-25,1470,1470,1287,1321,0,-0.08136300417246178
2000-07-26,1269,1389,1262,1344,0,0.017411052233156754
2000-07-27,1343,1503,1329,1504,0,0.11904761904761907
2000-07-28,1683,1683,1503,1531,0,0.017952127659574435
2000-07-31,1529,1535,1350,1417,0,-0.07446113651208364
2000-08-01,1417,1588,1363,1588,0,0.12067748764996478
2000-08-02,1629,1729,1516,1544,0,-0.027707808564231717
2000-08-03,1463,1623,1463,1551,0,0.0045336787564767
2000-08-04,1590,1590,1451,1451,0,-0.06447453255963898
2000-08-07,1449,1556,1449,1524,0,0.05031013094417647
2000-08-08,1590,1596,1470,1571,0,0.030839895013123453
2000-08-09,1596,1756,1543,1757,0,0.11839592616168049
