Date,Open,High,Low,Close,Volume,Change
2000-10-19,78184,78184,78184,78180,0,
2000-10-20,87518,87518,87518,87520,0,0.11946789460220009
2000-10-23,97955,97955,97955,97950,0,0.11917276051188308
2000-10-24,109668,109668,102070,109670,0,0.11965288412455344
2000-10-25,122715,122715,122715,122710,0,0.11890216102854012
2000-10-26,137260,137260,137260,137260,0,0.11857224350093709
2000-10-27,153549,153549,143560,153550,0,0.11867987760454612
2000-10-30,157025,164839,135305,135300,0,-0.11885379355258874
2000-10-31,119445,123794,119229,119230,0,-0.11877309682187731
2000-11-01,111188,119223,105109,105110,0,-0.11842657049400318
2000-11-02,105116,114457,94472,104030,0,-0.010274950052326148
2000-11-03,106421,108374,98167,99250,0,-0.04594828414880325
2000-11-06,99253,110978,99253,110980,0,0.11818639798488673
2000-11-07,110979,114890,97734,98600,0,-0.11155163092449094
2000-11-08,97733,97733,87306,89260,0,-0.09472616632860043
2000-11-09,85135,97730,82961,93600,0,0.04862200313690335
2000-11-10,91425,95768,87299,88820,0,-0.05106837606837611
2000-11-13,84696,89039,80354,81220,0,-0.0855663138932673
2000-11-14,83180,90784,83180,90780,0,0.11770499876877616
2000-11-15,101644,101644,100557,101640,0,0.11962987442167883
2000-11-16,108590,110326,92301,95990,0,-0.0555883510428965
2000-11-17,93612,107512,92525,106420,0,0.10865715178664437
2000-11-20,106421,114457,93825,93820,0,-0.11839879721856794
2000-11-21,91647,96644,87304,91210,0,-0.027819228309528876
2000-11-22,91220,92740,83837,84920,0,-0.06896173665168293
2000-11-23,82522,88385,77742,80350,0,-0.05381535562882711
2000-11-24,78192,83401,76667,80140,0,-0.0026135656502800364
2000-11-27,82745,88606,81873,86650,0,0.08123284252558016
2000-11-28,83617,84487,76450,77100,0,-0.11021350259665319
2000-11-29,69488,71662,67968,67970,0,-0.1184176394293126
2000-11-30,67981,68414,59943,60810,0,-0.10534059143739882
2000-12-01,56677,67968,55807,67970,0,0.11774379213945085
2000-12-04,68634,69937,61900,62550,0,-0.07974106223333821
2000-12-05,63421,66893,60598,64720,0,0.03469224620303768
2000-12-06,67981,69717,59943,60810,0,-0.06041409147095178
2000-12-07,56896,61676,56896,59720,0,-0.017924683440223688
2000-12-08,60806,62109,59070,59720,0,0.0
2000-12-11,59727,62117,59727,61680,0,0.03281982585398535
2000-12-12,61678,67756,61023,65150,0,0.05625810635538264
2000-12-13,64721,65808,59723,61460,0,-0.056638526477359896
2000-12-14,61685,64724,61030,63200,0,0.028311096648226508
2000-12-15,60813,62766,57774,58640,0,-0.07215189873417727
2000-12-18,57330,59071,55810,56460,0,-0.03717598908594821
2000-12-19,54950,56470,49736,55600,0,-0.0152320226709175
2000-12-20,54077,55596,49084,49080,0,-0.11726618705035974
2000-12-21,43435,45393,43219,43220,0,-0.11939690301548489
2000-12-22,40393,42783,38224,38220,0,-0.11568718186024984
2000-12-26,36483,36921,33660,33660,0,-0.11930926216640503
2001-01-02,30403,37568,30403,37570,54477,0.11616161616161613
2001-01-03,36919,41479,35400,39090,89753,0.0404578120841097
