Date,Open,High,Low,Close,Volume,Change
2005-10-25,13786,15853,12854,13001,1698270,
2005-10-26,13200,13923,12406,13104,416724,0.007922467502499808
2005-10-27,13372,13405,11165,11174,361116,-0.14728327228327232
2005-10-28,10476,10822,9580,9656,423902,-0.13585108287095038
2005-10-31,9925,10511,9372,9656,382592,0.0
2005-11-01,9645,11091,9610,11103,1244511,0.1498550124275062
2005-11-02,10821,11542,10614,11034,573594,-0.006214536611726551
2005-11-03,11088,11227,9886,10274,400517,-0.06887801341308686
2005-11-04,10298,10573,9987,10274,239300,0.0
2005-11-07,10545,10753,10199,10311,320738,0.003601323729803374
2005-11-08,10306,10410,10064,10173,181035,-0.01338376491125981
2005-11-09,9992,10269,9682,9793,359969,-0.037353779612700255
2005-11-10,9854,10508,9819,9966,339050,0.017665679567037573
2005-11-11,10062,10062,9751,9793,191274,-0.017359020670278946
2005-11-14,9646,9818,9300,9345,222711,-0.045746962115796985
2005-11-15,9371,9682,9301,9380,177818,0.0037453183520599342
2005-11-16,9577,9577,8954,9172,173649,-0.022174840085287806
2005-11-17,9197,9439,9062,9241,174551,0.007522895769733973
2005-11-18,9269,10024,9162,9517,318050,0.029866897521913183
2005-11-21,9748,10165,9369,9517,386466,0.0
2005-11-22,9715,9715,9301,9689,207578,0.01807292213932965
2005-11-23,9788,10891,9511,10311,849162,0.06419651150789552
2005-11-24,10231,10642,9988,10240,418150,-0.006885850063039434
2005-11-25,10026,10509,9890,10517,511719,0.027050781250000044
2005-11-28,10925,12058,10715,12070,1438023,0.14766568413045555
2005-11-29,12337,13203,11234,11588,1595630,-0.039933719966860015
2005-11-30,11680,12304,11405,12070,622721,0.041594753192958134
2005-12-01,11922,12580,11820,12208,751409,0.011433305716652908
2005-12-02,12613,13574,11439,11448,1347737,-0.06225425950196595
2005-12-05,11855,12059,11441,11725,441372,0.024196366177498208
2005-12-06,11645,11715,10750,11274,674166,-0.03846481876332619
2005-12-07,11093,11373,10543,10829,521198,-0.03947135000886992
2005-12-08,10577,11374,10544,10863,653928,0.0031397174254317317
2005-12-09,10990,11092,9749,9930,440931,-0.08588787627727146
2005-12-12,9715,10059,9404,9517,359609,-0.041591137965760305
2005-12-13,9545,9924,9474,9793,280924,0.02900073552590099
2005-12-14,9787,10095,9577,9725,322446,-0.0069437353211477815
2005-12-15,9681,10474,9612,9896,709429,0.01758354755784053
2005-12-16,8404,8404,8404,8412,78391,-0.14995957962813256
2005-12-19,7164,7371,7164,7172,238110,-0.1474084640989063
2005-12-20,6743,8231,6682,8240,796127,0.14891243725599557
2005-12-21,8373,8475,7440,7448,681833,-0.09611650485436896
2005-12-22,7644,7712,6331,6343,638088,-0.14836197636949522
2005-12-23,6193,6471,5514,6412,543072,0.010878133375374466
2005-12-26,6402,7229,6402,7033,478567,0.09684965689332503
2005-12-27,6737,7268,6440,6778,419375,-0.03625764254230057
2005-12-28,6772,7338,6772,7205,253930,0.06299793449395108
2005-12-29,7202,7269,6619,6689,229618,-0.07161693268563496
2006-01-02,6620,6677,6406,6459,179606,-0.03438481088354017
2006-01-03,6543,7093,6497,6827,462289,0.05697476389533973
2006-01-04,6955,7127,6749,6757,238010,-0.010253405595429865
2006-01-05,6749,7745,6749,7757,906210,0.14799467219180107
2006-01-06,7815,8470,7436,7791,771553,0.004383137811009519
2006-01-09,7854,7885,7406,7551,312702,-0.030804774740084695
2006-01-10,7678,8506,7574,7896,827812,0.04568931267381804
2006-01-11,7992,8127,7164,7172,429509,-0.09169199594731514
2006-01-12,7303,7717,7025,7205,341043,0.004601226993865115
2006-01-13,7091,7334,6887,6895,151141,-0.043025676613462904
2006-01-16,6887,7264,6887,7136,182700,0.03495286439448875
2006-01-17,7059,7334,7059,7136,207394,0.0
2006-01-18,6991,7094,6613,6689,193366,-0.06264013452914796
2006-01-19,6681,6803,6528,6550,87599,-0.020780385707878657
2006-01-20,6821,7509,6755,7172,1178688,0.09496183206106878
2006-01-23,6821,6887,6094,6102,397876,-0.149191299498048
2006-01-24,5921,6184,5404,5930,219587,-0.028187479514913183
2006-01-25,5873,6435,5873,6135,275523,0.03456998313659354
2006-01-26,6135,6330,5962,6067,137754,-0.01108394458027706
2006-01-27,6265,6495,6141,6412,227742,0.05686500741717482
2006-01-31,6436,6843,6300,6626,310522,0.033374922021210285
2006-02-01,6545,6780,6139,6274,170967,-0.053124056746151505
2006-02-02,6368,6466,6149,6384,128057,0.017532674529805448
2006-02-03,6131,6239,5997,6048,106683,-0.052631578947368474
2006-02-06,6098,6270,5924,6262,109779,0.035383597883597906
2006-02-07,6265,7163,6252,6412,713424,0.02395400830405614
2006-02-08,6468,6524,6125,6198,160749,-0.033374922021210285
2006-02-09,6306,6326,6130,6198,103940,0.0
2006-02-10,6268,6990,6268,6820,430926,0.10035495321071308
2006-02-13,6988,7816,6921,7411,1081326,0.08665689149560118
2006-02-14,7372,7716,6958,7345,413431,-0.008905680744838773
2006-02-15,7647,8404,7302,8412,889950,0.1452688904016337
2006-02-16,8683,9650,8683,9656,1397557,0.1478839752734189
2006-02-17,9853,10024,8335,8758,1812927,-0.0929991714995857
