Date,Open,High,Low,Close,Volume,Change
2000-04-27,488,517,457,493,0,
2000-04-28,495,532,436,536,0,0.0872210953346857
2000-05-02,480,521,475,477,0,-0.1100746268656716
2000-05-03,447,526,447,492,0,0.03144654088050314
2000-05-04,487,498,467,485,0,-0.014227642276422814
2000-05-08,475,495,460,496,0,0.02268041237113394
2000-05-09,465,504,464,485,0,-0.022177419354838745
2000-05-10,473,478,453,482,0,-0.006185567010309256
2000-05-12,474,535,470,539,0,0.1182572614107884
2000-05-15,601,601,579,605,0,0.12244897959183665
2000-05-16,620,639,527,533,0,-0.11900826446280988
2000-05-17,506,569,464,494,0,-0.07317073170731703
2000-05-18,501,551,457,555,0,0.12348178137651833
2000-05-19,617,617,579,621,0,0.11891891891891881
2000-05-22,634,694,564,696,0,0.12077294685990347
2000-05-23,774,774,610,613,0,-0.11925287356321834
2000-05-24,534,534,534,539,0,-0.12071778140293643
2000-05-25,470,592,470,493,0,-0.0853432282003711
2000-05-26,468,499,428,440,0,-0.10750507099391482
2000-05-29,387,418,382,387,0,-0.12045454545454548
2000-05-30,350,425,350,432,0,0.11627906976744184
2000-05-31,428,466,398,409,0,-0.0532407407407407
2000-06-01,423,448,402,432,0,0.05623471882640585
2000-06-02,434,444,403,436,0,0.0092592592592593
2000-06-05,389,486,389,467,0,0.07110091743119273
2000-06-07,456,469,436,443,0,-0.051391862955032175
2000-06-08,437,446,404,419,0,-0.05417607223476295
2000-06-09,418,465,410,469,0,0.11933174224343679
2000-06-12,474,508,436,474,0,0.010660980810234477
2000-06-13,445,465,413,416,0,-0.12236286919831219
2000-06-14,424,442,411,431,0,0.03605769230769229
2000-06-15,427,428,375,403,0,-0.06496519721577731
2000-06-16,395,428,391,410,0,0.017369727047146455
2000-06-19,409,414,384,410,0,0.0
2000-06-20,398,415,388,407,0,-0.007317073170731714
2000-06-21,404,427,392,403,0,-0.009828009828009798
2000-06-22,387,404,380,397,0,-0.01488833746898266
2000-06-23,398,398,367,398,0,0.0025188916876575096
2000-06-26,380,388,364,384,0,-0.035175879396984966
2000-06-27,385,426,385,431,0,0.12239583333333326
2000-06-28,480,480,386,403,0,-0.06496519721577731
2000-06-29,391,445,380,443,0,0.09925558312655092
2000-06-30,409,433,399,419,0,-0.05417607223476295
2000-07-03,401,445,401,428,0,0.021479713603818507
2000-07-04,407,449,395,436,0,0.01869158878504673
2000-07-05,428,432,388,404,0,-0.07339449541284404
2000-07-06,386,416,368,400,0,-0.00990099009900991
2000-07-07,387,417,380,391,0,-0.022499999999999964
2000-07-10,391,395,372,386,0,-0.012787723785166238
2000-07-11,382,387,352,367,0,-0.04922279792746109
2000-07-12,352,382,352,373,0,0.016348773841961872
2000-07-13,360,368,342,367,0,-0.01608579088471851
2000-07-14,366,371,341,371,0,0.01089918256130784
2000-07-18,365,370,350,364,0,-0.018867924528301883
2000-07-19,362,364,324,341,0,-0.06318681318681318
2000-07-20,304,333,302,323,0,-0.05278592375366564
2000-07-21,355,355,324,360,0,0.11455108359133126
2000-07-24,356,400,356,404,0,0.12222222222222223
2000-07-25,393,424,353,399,0,-0.012376237623762387
2000-07-26,394,443,380,448,0,0.12280701754385959
2000-07-27,463,498,436,502,0,0.12053571428571419
2000-07-28,519,559,507,563,0,0.12151394422310746
2000-07-31,573,625,490,577,0,0.0248667850799289
2000-08-01,629,629,574,607,0,0.051993067590987874
2000-08-02,573,667,536,573,0,-0.05601317957166396
2000-08-03,569,603,524,546,0,-0.04712041884816753
2000-08-04,521,545,475,480,0,-0.1208791208791209
2000-08-07,448,513,440,469,0,-0.022916666666666696
2000-08-08,478,520,478,525,0,0.11940298507462677
2000-08-09,578,583,489,538,0,0.024761904761904763
2000-08-10,516,542,485,544,0,0.011152416356877248
2000-08-11,574,574,491,514,0,-0.05514705882352944
2000-08-14,497,522,480,503,0,-0.021400778210116767
2000-08-16,499,513,469,509,0,0.011928429423459175
2000-08-17,503,541,480,520,0,0.0216110019646365
2000-08-18,516,577,504,583,0,0.12115384615384617
2000-08-21,580,647,580,591,0,0.013722126929674117
2000-08-22,566,587,518,558,0,-0.055837563451776595
2000-08-23,578,619,554,623,0,0.11648745519713266
2000-08-24,694,694,547,651,0,0.04494382022471921
2000-08-25,584,647,571,591,0,-0.09216589861751157
2000-08-28,573,589,554,570,0,-0.035532994923857864
2000-08-29,553,632,553,590,0,0.03508771929824572
2000-08-30,581,581,515,538,0,-0.08813559322033904
2000-08-31,546,548,500,511,0,-0.05018587360594795
2000-09-01,568,568,568,572,0,0.11937377690802342
2000-09-04,633,633,514,528,0,-0.07692307692307687
2000-09-05,524,548,505,524,0,-0.007575757575757569
2000-09-06,513,531,503,534,0,0.01908396946564883
2000-09-07,517,529,494,534,0,0.0
2000-09-08,501,525,497,517,0,-0.03183520599250933
2000-09-14,504,504,456,490,0,-0.0522243713733076
2000-09-15,464,501,458,485,0,-0.010204081632653073
2000-09-18,458,460,427,429,0,-0.11546391752577323
2000-09-19,381,423,371,376,0,-0.12354312354312358
2000-09-20,350,420,350,423,0,0.125
2000-09-21,467,467,370,383,0,-0.09456264775413714
2000-09-22,387,387,331,336,0,-0.12271540469973885
2000-09-25,350,356,307,341,0,0.014880952380952328
2000-09-26,337,371,331,371,0,0.08797653958944274
2000-09-27,334,395,334,380,0,0.0242587601078168
2000-09-28,356,392,356,391,0,0.02894736842105261
2000-09-29,397,397,374,387,0,-0.010230179028132946
2000-10-02,379,379,361,371,0,-0.04134366925064603
2000-10-04,359,391,359,383,0,0.032345013477088846
2000-10-05,386,424,379,400,0,0.044386422976501416
2000-10-06,379,392,368,378,0,-0.05500000000000005
2000-10-09,377,382,355,358,0,-0.05291005291005291
2000-10-10,355,382,355,376,0,0.05027932960893855
2000-10-11,363,366,331,336,0,-0.1063829787234043
2000-10-12,335,366,325,348,0,0.03571428571428581
2000-10-13,336,344,309,328,0,-0.05747126436781613
2000-10-16,348,348,332,348,0,0.060975609756097615
2000-10-17,336,350,322,336,0,-0.03448275862068961
2000-10-18,335,335,318,337,0,0.0029761904761904656
2000-10-19,323,344,323,336,0,-0.0029673590504450953
2000-10-20,339,371,331,376,0,0.11904761904761907
2000-10-23,378,420,375,423,0,0.125
2000-10-24,415,415,374,397,0,-0.0614657210401891
2000-10-25,396,411,351,368,0,-0.07304785894206545
2000-10-26,364,396,345,386,0,0.048913043478260976
2000-10-27,366,394,366,376,0,-0.025906735751295318
2000-10-30,379,379,332,352,0,-0.06382978723404253
2000-10-31,348,371,321,362,0,0.02840909090909083
2000-11-01,359,372,356,375,0,0.035911602209944826
2000-11-02,352,382,352,367,0,-0.021333333333333315
2000-11-03,353,371,353,373,0,0.016348773841961872
2000-11-06,389,414,376,417,0,0.11796246648793574
2000-11-07,418,462,418,438,0,0.050359712230215736
2000-11-08,437,488,411,492,0,0.12328767123287676
2000-11-09,452,544,441,464,0,-0.05691056910569103
2000-11-10,488,494,413,441,0,-0.049568965517241326
2000-11-13,445,475,432,455,0,0.031746031746031855
2000-11-14,458,504,427,509,0,0.1186813186813187
2000-11-15,534,534,488,500,0,-0.017681728880157177
2000-11-16,488,504,450,477,0,-0.04600000000000004
2000-11-17,473,514,465,485,0,0.016771488469601747
2000-11-20,465,536,451,528,0,0.0886597938144329
2000-11-21,519,520,477,485,0,-0.08143939393939392
2000-11-22,495,495,466,490,0,0.010309278350515427
2000-11-23,478,491,455,461,0,-0.0591836734693878
2000-11-24,467,500,463,490,0,0.06290672451193058
2000-11-27,465,510,465,487,0,-0.006122448979591799
2000-11-28,481,487,466,480,0,-0.014373716632443578
2000-11-29,466,496,461,478,0,-0.004166666666666652
2000-11-30,467,485,465,485,0,0.014644351464435212
2000-12-01,488,535,480,540,0,0.11340206185567014
2000-12-04,552,598,517,530,0,-0.01851851851851849
2000-12-05,537,561,462,480,0,-0.09433962264150941
2000-12-06,476,505,470,493,0,0.027083333333333348
2000-12-07,466,491,466,480,0,-0.026369168356997985
2000-12-08,458,480,458,469,0,-0.022916666666666696
2000-12-11,464,477,447,469,0,0.0
2000-12-12,472,501,464,485,0,0.034115138592750505
2000-12-13,477,483,458,476,0,-0.01855670103092788
2000-12-14,460,491,460,475,0,-0.0021008403361344463
2000-12-15,466,483,461,485,0,0.021052631578947434
2000-12-18,481,538,481,511,0,0.053608247422680444
2000-12-19,507,507,458,478,0,-0.06457925636007833
2000-12-20,475,475,420,427,0,-0.10669456066945604
2000-12-21,381,395,371,375,0,-0.12177985948477754
2000-12-22,356,376,323,337,0,-0.10133333333333339
2000-12-26,335,337,301,319,0,-0.053412462908011826
2001-01-02,320,348,320,351,843591,0.10031347962382453
2001-01-03,341,387,323,393,4062059,0.11965811965811968
2001-01-04,408,435,408,441,3405627,0.12213740458015265
2001-01-05,437,489,437,494,4521682,0.1201814058956916
2001-01-08,514,522,457,519,3766747,0.0506072874493928
2001-01-09,506,514,487,507,2983781,-0.023121387283236983
2001-01-10,499,532,471,475,6655371,-0.06311637080867849
2001-01-11,472,494,413,441,8090120,-0.07157894736842108
2001-01-12,443,463,426,453,3878471,0.027210884353741527
2001-01-15,449,502,449,507,11931625,0.11920529801324498
2001-01-16,513,520,467,500,4732732,-0.013806706114398382
2001-01-17,482,497,459,461,3898958,-0.07799999999999996
2001-01-18,447,481,447,469,1896160,0.017353579175704903
2001-01-19,463,481,440,453,1513988,-0.034115138592750505
2001-01-22,473,493,455,472,2887081,0.04194260485651213
2001-01-26,467,523,456,529,6881800,0.12076271186440679
2001-01-29,587,587,504,509,21684307,-0.03780718336483935
2001-01-30,512,512,464,494,9042853,-0.029469548133595258
2001-01-31,487,509,469,485,6748924,-0.018218623481781382
2001-02-01,488,510,481,494,4496323,0.01855670103092777
2001-02-02,499,551,483,555,22104213,0.12348178137651833
2001-02-05,550,616,536,568,21728557,0.023423423423423406
2001-02-06,563,573,524,563,9376671,-0.008802816901408494
2001-02-07,588,625,563,605,17469786,0.07460035523978692
2001-02-08,593,630,566,570,13283782,-0.05785123966942152
2001-02-09,565,578,533,539,9313828,-0.05438596491228065
2001-02-12,536,563,520,556,8085621,0.03153988868274582
2001-02-13,546,562,528,538,7907851,-0.03237410071942448
2001-02-14,522,562,522,552,7983293,0.026022304832713727
2001-02-15,534,554,526,554,6515919,0.0036231884057971175
2001-02-16,549,549,533,539,3074409,-0.027075812274368283
2001-02-19,540,551,521,549,5854387,0.01855287569573294
2001-02-20,554,554,527,534,3817434,-0.02732240437158473
2001-02-21,531,531,509,514,5611021,-0.03745318352059923
2001-02-22,513,520,447,485,5648004,-0.05642023346303504
2001-02-23,495,505,480,490,2856120,0.010309278350515427
2001-02-26,472,495,472,490,2558630,0.0
2001-02-27,497,525,497,517,6326672,0.055102040816326525
2001-02-28,510,515,496,520,2442978,0.005802707930367523
2001-03-02,523,541,490,506,3429508,-0.02692307692307694
2001-03-05,484,530,484,536,4187605,0.059288537549407216
2001-03-06,528,537,515,536,2519066,0.0
2001-03-07,538,563,534,550,6205049,0.026119402985074647
2001-03-08,548,611,537,577,20467708,0.049090909090909074
2001-03-09,572,601,548,561,7871272,-0.02772963604852685
2001-03-12,562,596,551,577,14052314,0.028520499108734443
2001-03-13,553,553,514,519,6274413,-0.10051993067590992
2001-03-14,516,544,516,544,4101771,0.048169556840077066
2001-03-15,524,535,500,511,3572782,-0.06066176470588236
2001-03-16,499,568,499,572,29518685,0.11937377690802342
2001-03-19,569,602,560,590,13349127,0.03146853146853146
2001-03-20,588,659,580,662,22259954,0.12203389830508482
2001-03-21,659,678,606,654,35314240,-0.012084592145015116
2001-03-22,668,721,570,575,80523175,-0.12079510703363916
2001-03-23,570,580,523,539,28254337,-0.06260869565217386
2001-03-26,550,550,520,534,10875590,-0.00927643784786647
2001-03-27,517,544,504,519,11415253,-0.028089887640449396
2001-03-28,516,542,503,517,17606649,-0.003853564547206201
2001-03-29,510,532,505,517,9417917,0.0
