Date,Open,High,Low,Close,Volume,Change
2001-12-18,2822,2822,2822,2836,3973,
2001-12-19,3171,3171,3171,3177,13122,0.12023977433004229
2001-12-20,3547,3547,2790,2868,1976840,-0.09726156751652504
2001-12-21,2704,2801,2524,2529,301149,-0.11820083682008364
2001-12-24,2313,2519,2216,2229,343967,-0.1186239620403321
2001-12-26,2037,2116,1958,2007,396866,-0.09959623149394348
2001-12-27,2058,2086,1908,2048,161655,0.020428500249128012
2001-12-28,2041,2255,2041,2080,216801,0.015625
2002-01-02,2119,2314,2095,2323,297388,0.116826923076923
2002-01-03,2377,2472,2170,2221,270214,-0.04390873869995693
2002-01-04,2229,2315,2127,2188,171332,-0.014858171994597047
2002-01-07,2180,2189,2064,2103,159901,-0.03884826325411339
2002-01-08,2067,2184,2003,2183,203169,0.03804089396100818
2002-01-09,2238,2436,2173,2443,474714,0.11910215300045812
2002-01-10,2670,2728,2554,2735,454777,0.1195251739664347
2002-01-11,2715,2917,2635,2836,390674,0.03692870201096898
2002-01-14,2747,2825,2510,2757,151917,-0.027856135401974624
2002-01-15,2593,2733,2416,2426,208421,-0.1200580340950308
2002-01-16,2355,2426,2245,2259,169874,-0.06883759274525969
2002-01-17,2171,2292,2040,2299,83624,0.01770694997786637
2002-01-18,2300,2300,2056,2110,182696,-0.0822096563723358
2002-01-21,2001,2159,1970,2134,91328,0.011374407582938284
2002-01-22,2201,2219,1977,1983,363081,-0.07075913776944709
2002-01-23,2037,2081,1998,2031,272742,0.024205748865355536
2002-01-24,2077,2159,2017,2024,246194,-0.003446578040374182
2002-01-25,2022,2032,1943,1954,177733,-0.03458498023715417
2002-01-28,1997,2102,1941,2086,264399,0.06755373592630498
2002-01-29,2080,2329,2080,2332,720195,0.11792905081495686
2002-01-30,2277,2476,2201,2286,643082,-0.019725557461406473
2002-01-31,2355,2536,2317,2443,602427,0.06867891513560798
2002-02-01,2512,2576,2144,2183,378379,-0.10642652476463366
2002-02-04,2170,2170,2021,2038,235528,-0.06642235455794776
2002-02-05,2277,2277,2271,2286,446576,0.12168792934249262
2002-02-06,2545,2545,2545,2552,46361,0.11636045494313207
2002-02-07,2842,2842,2530,2851,3083343,0.11716300940438873
2002-02-08,2839,2839,2508,2513,1219197,-0.118554893019993
2002-02-14,2629,2662,2275,2379,840388,-0.053322721846398746
2002-02-15,2359,2398,2233,2362,528123,-0.007145859604876015
2002-02-18,2434,2638,2434,2647,1582219,0.12066045723962748
2002-02-19,2711,2799,2327,2395,1485327,-0.09520211560256897
2002-02-20,2473,2511,2341,2482,498371,0.03632567849686841
2002-02-21,2497,2586,2382,2388,501478,-0.037872683319903344
2002-02-22,2274,2360,2258,2307,395212,-0.0339195979899497
2002-02-25,2316,2396,2207,2244,232355,-0.0273081924577373
2002-02-26,2238,2306,2212,2253,280501,0.00401069518716568
2002-02-27,2181,2269,2127,2173,315690,-0.03550821127385706
2002-02-28,2168,2219,2129,2151,212511,-0.010124252185918059
2002-03-04,2254,2353,2199,2347,333599,0.091120409112041
2002-03-05,2382,2617,2278,2537,1008443,0.0809544098849595
