Date,Open,High,Low,Close,Volume,Change
2019-07-30,5547,5989,5030,5564,17058155,
2019-07-31,5456,6340,5372,5648,7907232,0.015097052480230078
2019-08-01,5572,5980,5405,5839,3001680,0.033817280453257714
2019-08-02,5706,5914,5597,5723,1232602,-0.019866415482103106
2019-08-05,5713,5713,4954,5105,1687120,-0.10798532238336533
2019-08-06,4863,5463,4804,4955,1256276,-0.02938295788442702
2019-08-07,5322,5664,4896,5339,1894173,0.07749747729566092
2019-08-08,5338,5639,5322,5589,1060376,0.04682524817381539
2019-08-09,5639,6040,5497,6040,1363662,0.08069422079083921
2019-08-12,6148,6407,5864,5965,2055960,-0.012417218543046338
2019-08-13,5905,5914,5605,5639,1160229,-0.054652137468566675
2019-08-14,5722,5781,5531,5531,982860,-0.01915233197375421
2019-08-16,5455,5455,4913,5097,1514001,-0.07846682335924793
2019-08-19,5163,5230,4812,4863,1329303,-0.045909358446144743
2019-08-20,4921,5306,4847,5306,1502680,0.09109603125642618
2019-08-21,5313,5630,5305,5497,1263300,0.03599698454579725
2019-08-22,5497,5806,5255,5598,1625169,0.018373658359104983
2019-08-23,5514,5756,5380,5456,761052,-0.025366202215076794
2019-08-26,5263,5455,5188,5339,569311,-0.021444281524926723
2019-08-27,5472,5572,5297,5306,448381,-0.0061809327589436025
2019-08-28,5339,5422,5272,5381,266199,0.014134941575574711
2019-08-29,5380,5405,5138,5172,530409,-0.03884036424456416
2019-08-30,5272,5322,5088,5122,599619,-0.00966744006187159
2019-09-02,5172,5214,5055,5214,367245,0.017961733697774207
2019-09-03,5214,5389,5205,5331,777473,0.02243958573072491
2019-09-04,5338,5589,5255,5589,649249,0.048396173325830016
2019-09-05,5605,5747,5547,5631,734969,0.007514761137949577
2019-09-06,5622,5713,5380,5472,684902,-0.02823654768247208
2019-09-09,5589,5748,5447,5623,926602,0.027595029239765978
2019-09-10,5714,5872,5572,5664,1177507,0.00729148141561442
2019-09-11,5672,5672,5422,5531,620943,-0.023481638418079043
2019-09-16,5539,5689,5405,5489,511669,-0.007593563550894911
2019-09-17,5455,5472,5230,5322,887910,-0.030424485334304974
2019-09-18,5297,5397,5272,5356,411091,0.0063885757234123375
2019-09-19,5389,5672,5380,5656,993869,0.056011949215832635
2019-09-20,5697,5822,5564,5656,884775,0.0
2019-09-23,5638,5839,5547,5839,822770,0.03235502121640743
2019-09-24,5839,6106,5789,6006,1419350,0.028600787806131178
2019-09-25,6081,6290,5931,6040,1577888,0.00566100566100558
2019-09-26,6206,6273,6047,6123,780020,0.013741721854304556
2019-09-27,6156,6624,6148,6624,1860516,0.0818226359627634
2019-09-30,6665,6781,6264,6590,1790713,-0.005132850241545861
2019-10-01,6573,6707,6440,6532,678489,-0.008801213960546228
2019-10-02,6423,6957,6348,6899,1871621,0.05618493570116345
2019-10-04,6899,7249,6807,7058,1577847,0.023046818379475198
2019-10-07,7123,7232,6948,7007,1109448,-0.007225843015018385
2019-10-08,7007,7115,6664,7007,1172760,0.0
2019-10-10,6982,8175,6974,7692,3277949,0.09775938347366919
2019-10-11,7850,8066,7691,7825,1604630,0.017290691627665167
