Date,Open,High,Low,Close,Volume,Change
2019-02-20,35895,46109,35895,41926,8808864,
2019-02-21,43402,43976,39382,40531,2267187,-0.03327290941182082
2019-02-22,39955,41514,39094,39546,952275,-0.0243023858281316
2019-02-25,38931,39299,36593,36593,969493,-0.07467253325241496
2019-02-26,37782,38356,36715,36921,668785,0.008963462957396251
2019-02-27,36920,38561,36592,38439,614542,0.04111481270821482
2019-02-28,38234,39383,37168,37168,592167,-0.03306537631051798
2019-03-04,38357,40695,38357,39383,742269,0.059594274644855894
2019-03-05,39628,40900,39013,40614,647247,0.0312571414061904
2019-03-06,41188,41433,39874,40860,453015,0.006057024671295652
2019-03-07,40449,42664,40080,41024,772064,0.004013705335291329
2019-03-08,41597,42664,40818,41188,571792,0.003997659906396223
2019-03-11,40613,41023,39341,39957,407934,-0.029887345828882195
2019-03-12,39956,42663,39054,42090,821440,0.05338238606501999
2019-03-13,41596,43893,41022,42992,713268,0.021430268472321323
2019-03-14,43813,44223,41762,42173,557683,-0.019050055824339385
2019-03-15,42827,53248,41515,48818,4907343,0.15756526687691186
2019-03-18,50295,52757,49228,52757,1954095,0.08068745134991184
2019-03-19,53084,53084,47996,48654,1419269,-0.07777167011012753
2019-03-20,48079,48243,45290,47670,1427771,-0.020224441978049068
2019-03-21,47587,47915,45289,45947,951056,-0.03614432557163838
2019-03-22,46109,47422,45125,45618,780264,-0.007160423966744323
2019-03-25,44387,44879,42910,43075,592842,-0.055745539041606396
2019-03-26,44140,46685,43812,44798,915606,0.040000000000000036
2019-03-27,45536,45618,42172,42173,552816,-0.05859636590919237
2019-03-28,42254,43239,40695,42501,411105,0.007777487966234231
2019-03-29,43074,44715,42089,43567,581614,0.025081762782052097
2019-04-01,42664,44058,42008,43239,294983,-0.00752863405788784
2019-04-02,43649,45454,43567,44060,419346,0.018987488147274467
2019-04-03,44551,44715,43402,44716,248514,0.014888788016341303
2019-04-04,44714,45370,44140,44879,262424,0.003645227659003547
2019-04-05,46438,47423,44551,44798,763176,-0.0018048530493103287
2019-04-08,44551,45536,42828,42911,355734,-0.04212241617929369
2019-04-09,43239,43649,41270,42501,345219,-0.009554659644380181
2019-04-10,42500,43238,41761,42747,192369,0.0057880991035506035
2019-04-11,43156,43320,42417,42747,168416,0.0
2019-04-12,42499,43155,42006,42336,189023,-0.009614709804196764
2019-04-15,42090,42336,40777,40819,332733,-0.035832388510959934
2019-04-16,40325,41761,40285,41516,191813,0.017075381562507763
2019-04-17,41762,42172,40367,40409,171981,-0.0266644185374314
2019-04-18,40037,40366,38315,38808,413771,-0.039619886658912584
2019-04-19,39136,39587,38684,38808,137644,0.0
2019-04-22,38890,39218,38069,38152,150745,-0.016903731189445437
2019-04-23,37987,39094,37987,38890,119317,0.019343677919899438
2019-04-24,39218,39218,38561,38685,94783,-0.005271277963486809
2019-04-25,38725,40572,38069,39506,259909,0.021222696135452912
2019-04-26,39546,40407,39054,39178,171622,-0.008302536323596454
2019-04-29,38890,39464,38357,39178,118654,0.0
2019-04-30,39177,40736,39012,40080,205613,0.023023125223339713
2019-05-02,40530,41187,39711,39711,139356,-0.00920658682634734
2019-05-03,39956,40489,39628,39875,90289,0.0041298380801289
2019-05-07,39176,39504,38643,38685,93381,-0.029843260188087806
2019-05-08,38192,38561,36920,37003,191870,-0.04347938477446034
2019-05-09,36960,37124,34458,34623,270144,-0.06431910926141127
2019-05-10,34130,35730,33761,35239,185107,0.017791641394448776
2019-05-13,35033,35648,33844,33844,85425,-0.039586821419450025
2019-05-14,32818,33638,32367,33188,176258,-0.019383051648741323
2019-05-15,34007,34089,33228,33721,77340,0.01606002169458831
2019-05-16,34131,36469,33474,35034,243909,0.03893716081966736
2019-05-17,35402,35607,34828,35239,69441,0.005851458583090663
2019-05-20,34213,34787,32654,32696,260513,-0.0721643633474276
2019-05-21,32408,33310,32408,32696,120722,0.0
2019-05-22,32981,34048,32941,33639,109886,0.02884144849522885
2019-05-23,34131,34171,33063,33393,77938,-0.00731294033710872
2019-05-24,32736,33146,30479,31342,217995,-0.061420058096008145
2019-05-27,31382,31751,30561,31752,125745,0.01308148809903642
2019-05-28,31792,32613,30972,31670,80083,-0.0025825144872764216
2019-05-29,31669,31709,30028,30152,154031,-0.04793179665298386
2019-05-30,30110,30643,29166,29249,117279,-0.029948262138498327
2019-05-31,29207,30521,29126,29865,79057,0.021060549078600888
2019-06-03,29371,30643,29207,30480,46676,0.02059266700150686
2019-06-04,30520,30931,30315,30398,55869,-0.002690288713910749
2019-06-05,30684,30931,30151,30193,46686,-0.006743864727942639
2019-06-07,30151,30521,29495,29865,74852,-0.01086344516941018
2019-06-10,30192,30521,29823,29988,47898,0.004118533400301327
2019-06-11,30110,30848,29905,30275,84334,0.009570494864612478
2019-06-12,30356,30356,29864,29988,48021,-0.009479768786127218
2019-06-13,30028,30274,29700,30152,51842,0.005468854208350082
2019-06-14,30684,32818,30233,31752,369245,0.053064473335102225
