Date,Open,High,Low,Close,Volume,Change
2006-02-03,12725,13924,11751,12129,930476,
2006-02-06,11640,12238,10329,10857,277782,-0.1048726193420727
2006-02-07,11002,11078,9841,9884,176199,-0.08961960025789817
2006-02-08,9956,11341,9956,11344,654209,0.14771347632537424
2006-02-09,10927,11226,9804,10032,344577,-0.11565585331452755
2006-02-10,9915,10139,8978,9358,190831,-0.06718500797448168
2006-02-13,9351,10737,9054,9507,560194,0.015922205599486983
2006-02-14,9466,9466,9129,9358,132484,-0.015672662248869207
2006-02-15,9730,9730,8831,8834,119765,-0.05599487069886733
2006-02-16,8833,9356,8683,9135,164155,0.034072900158478525
2006-02-17,9130,9654,9092,9172,139252,0.004050355774493752
2006-02-20,9279,9279,9018,9058,56259,-0.012429132141299593
2006-02-21,9057,9206,8531,8685,109035,-0.0411790682269817
2006-02-22,8490,8641,8341,8421,97073,-0.030397236614853163
2006-02-23,8491,8904,8454,8534,123066,0.0134188338677117
2006-02-24,8567,8679,8379,8384,53690,-0.01757675181626439
2006-02-27,8341,8566,8227,8421,66373,0.004413167938931206
2006-02-28,8343,8454,8191,8196,87287,-0.026718916993231256
2006-03-02,8344,8381,8043,8160,69123,-0.004392386530014614
2006-03-03,8084,8382,8044,8049,138868,-0.01360294117647054
2006-03-06,7968,8082,7743,7860,104642,-0.023481177786060403
2006-03-07,7820,7820,7484,7486,66121,-0.04758269720101782
2006-03-08,7484,7559,7145,7187,70325,-0.03994122361741914
2006-03-09,7198,8083,7183,7599,121012,0.05732572700709615
2006-03-10,7519,7855,7347,7860,53107,0.03434662455586257
2006-03-13,8045,8120,7708,7749,39514,-0.014122137404580126
2006-03-14,7744,7856,7473,7561,54551,-0.024261194992902357
2006-03-15,7632,7709,7378,7390,36871,-0.02261605607723849
2006-03-16,7386,7483,7197,7261,46765,-0.01745602165087956
2006-03-17,7143,7338,7113,7343,28578,0.011293210301611456
2006-03-20,7271,7707,7271,7637,59102,0.04003813155386071
2006-03-21,7632,7709,7371,7486,29419,-0.019772161843655933
2006-03-22,7339,7407,7189,7275,29719,-0.02818594710125566
2006-03-23,7294,7421,7121,7215,45562,-0.008247422680412342
2006-03-24,7180,7202,6730,6886,65427,-0.04559944559944562
2006-03-27,6880,6986,6753,6803,62787,-0.01205344176590184
2006-03-28,6800,6800,6509,6588,68458,-0.03160370424812586
2006-03-29,6471,6755,6395,6625,55268,0.005616272009714596
2006-03-30,6734,6877,6585,6857,40813,0.03501886792452824
2006-03-31,6816,7079,6792,7014,46980,0.022896310339798776
2006-04-03,6998,7146,6928,6947,166721,-0.009552323923581407
2006-04-04,6973,7445,6928,7420,81445,0.06808694400460635
2006-04-05,7557,8043,7339,7637,121066,0.029245283018867863
2006-04-06,7743,8043,7629,7823,92892,0.024355113264370898
2006-04-07,7706,8380,7706,8010,241139,0.023903873194426772
2006-04-10,7892,8042,7854,7934,100792,-0.009488139825218456
2006-04-11,7929,8343,7557,8235,136036,0.03793798840433582
2006-04-12,8082,8568,8082,8160,121369,-0.00910746812386154
2006-04-13,8082,8380,7817,7860,98465,-0.03676470588235292
2006-04-14,7854,8453,7854,8421,136348,0.07137404580152662
2006-04-17,8493,8605,8230,8310,75669,-0.013181332383327415
2006-04-18,8306,8681,8306,8460,122801,0.018050541516245522
2006-04-19,8529,8830,8416,8721,126976,0.030851063829787195
2006-04-20,8642,8754,8117,8384,69967,-0.038642357527806426
2006-04-21,8228,8491,8042,8384,84978,0.0
2006-04-24,8270,8978,8270,8984,182858,0.07156488549618323
2006-04-25,9020,10290,8980,9658,292658,0.07502226179875326
2006-04-26,9879,10066,9543,9658,134702,0.0
2006-04-27,9955,10030,9505,9658,114451,0.0
2006-04-28,9580,9580,8832,8872,146924,-0.08138330917374192
2006-05-02,8794,9617,8718,9621,130678,0.08442290351668169
2006-05-03,9616,10028,9166,9283,475001,-0.035131483213803105
2006-05-04,9392,9543,9092,9172,127527,-0.011957341376710118
2006-05-08,9316,9429,8830,8946,111834,-0.024640209332751906
2006-05-09,8793,8868,8530,8572,108971,-0.04180639391906993
2006-05-10,8568,8568,7856,8123,204460,-0.05237984134391038
2006-05-11,8082,8530,7930,8160,185950,0.004554967376585006
2006-05-12,8043,8229,7667,7823,117069,-0.0412990196078431
2006-05-15,7666,7967,7592,7934,42914,0.01418893007797517
2006-05-16,7856,7930,7182,7194,181189,-0.09326947315351652
2006-05-17,7182,7520,7152,7223,108423,0.004031137058660095
2006-05-18,7035,7108,6772,6857,65413,-0.05067146614979923
2006-05-19,6844,7347,6844,7351,52673,0.07204316756599094
2006-05-22,7484,7784,7439,7486,67855,0.01836484831995655
2006-05-23,7482,7482,7247,7373,32017,-0.015094843708255423
2006-05-24,7369,7629,7280,7637,31911,0.03580632035806319
2006-05-25,7630,7707,7227,7232,34569,-0.05303129501113002
2006-05-26,7294,7593,7294,7411,22085,0.024751106194690342
2006-05-29,7557,7744,7413,7637,33377,0.030495209823235836
2006-05-30,7560,7709,7259,7486,16692,-0.019772161843655933
2006-06-01,7003,7482,6905,6961,24230,-0.07013091103392999
2006-06-02,7092,7106,6739,6781,40997,-0.02585835368481537
2006-06-05,6731,6806,6080,6130,75406,-0.09600353930098804
2006-06-07,5923,6094,5420,5478,151015,-0.10636215334420884
2006-06-08,5422,5661,5293,5381,168027,-0.017707192405987615
2006-06-09,5608,5856,5495,5808,107642,0.07935328005946851
2006-06-12,5837,6211,5641,6198,68436,0.06714876033057848
2006-06-13,5982,6177,5871,6062,27768,-0.021942562116811892
2006-06-14,5991,6838,5991,6653,258133,0.09749257670735734
2006-06-15,6620,6808,6509,6798,59352,0.021794679092138836
2006-06-16,6951,6951,6732,6841,61344,0.006325389820535543
2006-06-19,6881,6881,6388,6393,48016,-0.0654875018272183
2006-06-20,6389,6389,6111,6122,52543,-0.04239011418739247
2006-06-21,6074,6248,6074,6242,31458,0.019601437438745428
2006-06-22,6359,6396,6186,6250,28148,0.001281640499839698
2006-06-23,6133,6133,5908,5914,55912,-0.05376000000000003
2006-06-26,5812,6044,5812,5952,35203,0.006425431180250296
2006-06-27,6096,6096,5864,5914,47285,-0.006384408602150504
2006-06-28,5744,5985,5476,5921,55843,0.001183632059519768
2006-06-29,5907,6282,5907,6092,35071,0.028880256713393004
2006-06-30,6177,6471,6177,6287,60303,0.03200919238345379
2006-07-03,6298,6509,6013,6474,56226,0.029743916017178407
2006-07-04,6514,6725,6514,6602,59044,0.01977139326536914
2006-07-05,6440,6561,6366,6483,35563,-0.018024840957285626
2006-07-06,6435,6501,6322,6401,40242,-0.012648465216720695
2006-07-07,6471,6657,6433,6639,31851,0.03718169036088104
2006-07-10,6402,6879,6402,6555,21626,-0.012652507907817467
2006-07-11,6509,6657,6433,6588,13711,0.005034324942791768
2006-07-12,6582,6717,6521,6662,17599,0.011232544019429191
2006-07-13,6695,7105,6559,6939,28586,0.04157910537376153
2006-07-14,6655,6880,6432,6803,42103,-0.019599365902867816
2006-07-18,6655,6957,6357,6662,20452,-0.020726150227840634
2006-07-19,6800,6844,6605,6789,53233,0.019063344341038624
2006-07-20,6845,7445,6845,7329,56731,0.0795404330534688
2006-07-21,7107,7349,7047,7187,56709,-0.019375085277664073
2006-07-24,7144,7159,6560,6789,55025,-0.05537776540976769
2006-07-25,6807,6905,6655,6662,50541,-0.018706731477389882
2006-07-26,6627,6778,6627,6632,43611,-0.004503152206544625
2006-07-27,6629,6882,6629,6648,13909,0.0024125452352230514
2006-07-28,6597,6764,6568,6625,23519,-0.003459687123947064
2006-07-31,6698,6719,6322,6364,40994,-0.039396226415094326
2006-08-01,6254,6545,6208,6236,39062,-0.020113136392206132
2006-08-02,6248,6511,6248,6304,21284,0.010904425914047389
2006-08-03,6560,6560,6357,6497,18259,0.030615482233502522
2006-08-04,6387,6620,6387,6497,4566,0.0
2006-08-07,6510,6726,6366,6468,5086,-0.004463598583961836
2006-08-08,6433,6583,6395,6588,11424,0.01855287569573294
2006-08-09,6698,6772,6510,6527,59379,-0.0092592592592593
2006-08-10,6567,6843,6529,6834,59137,0.0470353914508963
2006-08-11,6839,6920,6509,6588,41834,-0.035996488147497785
2006-08-14,6530,6656,6282,6346,22271,-0.03673345476624168
2006-08-16,6412,6472,6142,6355,59650,0.0014182161991804776
2006-08-17,6368,6459,6285,6385,26925,0.00472069236821393
2006-08-18,6576,6576,6263,6364,91696,-0.0032889584964761465
2006-08-21,6358,6920,6358,6736,70696,0.05845380263984912
2006-08-22,6808,6808,6583,6736,15104,0.0
2006-08-23,6667,6809,6598,6648,21250,-0.013064133016627122
2006-08-24,6598,6726,6366,6468,19667,-0.027075812274368283
2006-08-25,6463,6591,6463,6588,19710,0.01855287569573294
