Date,Open,High,Low,Close,Volume,Change
2019-10-18,2043,2655,2043,2655,83790,
2019-10-21,3449,3449,3449,3450,52698,0.2994350282485876
2019-10-22,4481,4481,4481,4481,86782,0.298840579710145
2019-10-23,5806,5806,5806,5806,297540,0.29569292568623085
2019-10-24,7540,7540,7540,7541,1117020,0.29882879779538407
2019-10-25,8576,9347,7107,7830,18241932,0.03832382973080484
2019-10-28,7998,8118,7179,8023,5333418,0.02464878671775228
2019-10-29,7829,8407,7660,7902,3608150,-0.015081640284183018
2019-10-30,8071,8890,7734,8457,4891780,0.07023538344722846
2019-10-31,8312,8769,8167,8577,1700380,0.014189428875487797
2019-11-01,8770,8770,7926,7975,1879180,-0.07018771132097468
2019-11-04,7877,8190,7781,8143,775632,0.02106583072100321
2019-11-05,7974,8214,7805,8143,716580,0.0
2019-11-06,8071,9058,8046,8794,1795088,0.07994596586024816
2019-11-07,8672,8913,8504,8914,623230,0.013645667500568504
2019-11-08,8913,9539,8745,9203,1251278,0.03242091092663224
2019-11-11,9227,9612,9058,9276,790482,0.007932196023036076
2019-11-12,9275,9275,8769,9035,839766,-0.025981026304441546
2019-11-13,8987,9276,8794,9252,526358,0.024017708909795266
2019-11-14,9275,9804,9275,9661,1291062,0.04420665801988766
2019-11-15,9781,10985,9757,10143,3954100,0.049891315598799224
2019-11-18,10214,10359,9974,10167,739284,0.00236616385684707
2019-11-19,9974,10985,9733,10625,1486226,0.045047703353988444
2019-11-20,10624,10769,10335,10360,564248,-0.024941176470588244
2019-11-21,10264,10432,9637,9999,827598,-0.034845559845559815
2019-11-22,9998,10094,9613,9902,629230,-0.009700970097009654
2019-11-25,9997,10021,9516,9661,479324,-0.024338517471217957
2019-11-26,9661,9854,9300,9734,453998,0.007556153607287008
2019-11-27,9733,10214,9540,9878,596638,0.014793507294020847
2019-11-28,10070,10070,9468,9589,339672,-0.02925693460214618
2019-11-29,9587,9684,8865,9155,847944,-0.04526019397225989
2019-12-02,9058,9636,8890,9348,521202,0.02108137629710538
2019-12-03,9083,9975,9035,9493,1184426,0.01551133932391946
2019-12-04,9395,9443,9058,9107,359212,-0.040661540082165826
2019-12-05,9131,9276,8963,9252,294962,0.01592181838146489
2019-12-06,9107,9371,9010,9276,394734,0.0025940337224383825
2019-12-09,9276,9517,9179,9517,234718,0.025981026304441546
2019-12-10,9516,9733,9348,9589,330360,0.007565409267626277
