Date,Open,High,Low,Close,Volume,Change
2019-10-18,1568,2038,1568,2038,25392,
2019-10-21,2648,2648,2648,2648,22484,0.29931305201177616
2019-10-22,3440,3440,3440,3441,8888,0.29947129909365566
2019-10-23,4473,4473,4473,4473,7880,0.2999128160418483
2019-10-24,5760,5809,5664,5809,1221236,0.2986809747373127
2019-10-25,6510,6607,4424,4589,5437328,-0.2100189361335858
2019-10-28,4647,4647,3751,3897,2160722,-0.15079538025713668
2019-10-29,3756,4012,3673,3795,1093060,-0.02617397998460358
2019-10-30,4123,4529,3455,4085,4624664,0.07641633728590258
2019-10-31,3926,4284,3698,3989,989234,-0.023500611995104004
2019-11-01,4060,4230,3775,3848,928112,-0.03534720481323639
2019-11-04,3862,3900,3678,3756,312512,-0.023908523908523938
2019-11-05,3756,3756,3437,3529,306574,-0.06043663471778493
2019-11-06,3508,3808,3465,3630,370706,0.028620005667327808
2019-11-07,3625,3625,3490,3587,126694,-0.011845730027548185
2019-11-08,3586,3716,3562,3630,163754,0.011987733482018426
2019-11-11,3653,4089,3653,3843,625460,0.05867768595041323
2019-11-12,3809,3824,3654,3684,217112,-0.041373926619828305
2019-11-13,3684,3751,3630,3713,117142,0.007871878393050924
2019-11-14,3702,3939,3702,3766,276342,0.014274171828710047
2019-11-15,3853,4047,3790,3863,506394,0.02575677110993091
2019-11-18,3896,3963,3823,3853,105088,-0.0025886616619207325
2019-11-19,3848,3916,3722,3805,178622,-0.012457825071372941
2019-11-20,3803,3861,3658,3722,83632,-0.02181340341655713
2019-11-21,3678,3745,3557,3688,67770,-0.009134873723804393
2019-11-22,3669,3669,3533,3587,38804,-0.027386117136659394
2019-11-25,3673,3673,3485,3514,57556,-0.020351268469473105
2019-11-26,3480,3519,3456,3500,46614,-0.003984063745019917
2019-11-27,3499,3523,3412,3485,80186,-0.004285714285714337
2019-11-28,3441,3485,3412,3437,29394,-0.013773314203730291
2019-11-29,3432,3461,3325,3345,37468,-0.02676752982251962
2019-12-02,3311,3374,3301,3345,19384,0.0
2019-12-03,3315,4166,3315,3872,4360300,0.15754857997010463
2019-12-04,3721,3770,3330,3340,989928,-0.137396694214876
2019-12-05,3324,3348,3179,3228,234126,-0.033532934131736525
2019-12-06,3174,3493,3165,3233,379826,0.0015489467162330683
2019-12-09,3286,3300,3209,3209,46092,-0.007423445716053245
2019-12-10,3209,3862,3209,3335,2132424,0.03926456840137105
2019-12-11,3379,3524,3301,3374,559638,0.011694152923538148
2019-12-12,3378,3411,3305,3335,137054,-0.011558980438648447
2019-12-13,3339,3493,3300,3441,430540,0.03178410794602704
2019-12-16,3542,4089,3431,3751,4088746,0.09009009009009006
2019-12-17,3605,3866,3485,3485,1352162,-0.07091442282058114
2019-12-18,3498,3546,3402,3417,254316,-0.019512195121951237
2019-12-19,3421,3460,3388,3388,123960,-0.008486976880304309
2019-12-20,3479,3479,3310,3340,138470,-0.01416765053128688
2019-12-23,3315,3339,3291,3306,88606,-0.010179640718562921
2019-12-24,3339,3455,3305,3340,201526,0.010284331518451317
2019-12-26,3340,3437,3301,3374,178264,0.01017964071856281
2019-12-27,3388,3450,3320,3427,111892,0.01570835803200943
2019-12-30,3456,3480,3422,3437,63602,0.0029180040852057054
2020-01-02,3437,3451,3412,3437,69052,0.0
2020-01-03,3417,3663,3417,3485,383906,0.013965667733488507
2020-01-06,3606,3630,3500,3558,236842,0.0209469153515065
2020-01-07,3630,3789,3586,3698,395298,0.03934794828555366
2020-01-08,3775,3775,3451,3606,300328,-0.02487831260140616
2020-01-09,3726,3736,3615,3727,191150,0.03355518580144201
2020-01-10,3726,3731,3673,3727,75990,0.0
2020-01-13,3745,3765,3654,3674,115540,-0.014220552723369972
2020-01-14,3750,3939,3673,3703,278784,0.007893304300489845
2020-01-15,3712,3765,3664,3693,64706,-0.0027005130974885327
2020-01-16,3698,3750,3654,3727,78576,0.00920660709450316
2020-01-17,3730,3759,3683,3722,58118,-0.0013415615776763978
2020-01-20,3697,3726,3664,3693,192082,-0.00779150994089195
2020-01-21,3702,3702,3615,3616,55764,-0.02085025724343348
2020-01-22,3649,3808,3615,3790,282566,0.048119469026548733
2020-01-23,3790,3910,3780,3858,215682,0.017941952506596248
2020-01-28,3776,3930,3592,3892,207476,0.00881285640228091
2020-01-29,3950,4090,3945,4018,172152,0.03237410071942448
2020-01-30,4065,4655,4017,4298,1174006,0.06968641114982588
2020-01-31,4351,4389,4022,4037,190254,-0.060725919032108
2020-02-03,3992,4186,3789,4114,131756,0.019073569482288777
2020-02-04,4260,4589,4124,4473,469030,0.08726300437530377
2020-02-05,4587,4689,4418,4453,221364,-0.004471272076905897
2020-02-06,4381,4439,4303,4352,139568,-0.022681338423534703
2020-02-07,4356,4405,4221,4260,88888,-0.02113970588235292
2020-02-10,4205,4283,4065,4066,97330,-0.0455399061032864
2020-02-11,4070,4805,4070,4482,2473834,0.10231185440236112
2020-02-12,4598,4773,4419,4715,803736,0.05198572066041951
2020-02-13,4713,4742,4593,4690,310806,-0.005302226935312793
2020-02-14,4743,5565,4646,5300,1971198,0.13006396588486147
2020-02-17,5299,5662,5154,5518,589262,0.04113207547169817
