Date,Open,High,Low,Close,Volume,Change
2020-07-23,20033,24214,17153,17178,9191805,
2020-07-24,16026,16251,14473,14574,1711661,-0.15158924205378976
2020-07-27,14323,15275,14273,14374,753053,-0.013723068478111666
2020-07-28,14549,14899,14023,14223,407958,-0.010505078614164498
2020-07-29,14523,15375,14273,14724,788169,0.03522463615271043
2020-07-30,15200,15200,14574,14724,349818,0.0
2020-07-31,14724,15074,14423,14499,303259,-0.015281173594132058
2020-08-03,14448,14599,14098,14098,240135,-0.027657079798606765
2020-08-04,14148,14398,14023,14023,167148,-0.005319903532415959
2020-08-05,14323,15250,14248,14449,846589,0.030378663624046176
2020-08-06,14599,15250,14574,14724,425455,0.019032458993702095
2020-08-07,14749,15575,14523,15200,515773,0.032328171692474816
2020-08-10,15375,16502,15300,16452,877456,0.08236842105263165
2020-08-11,16727,19181,16502,18155,2010102,0.10351325066861161
2020-08-12,18180,18205,16577,16853,629374,-0.07171578077664553
2020-08-13,17003,17028,15826,15826,539077,-0.06093870527502521
2020-08-14,15826,16727,15776,16026,277427,0.012637432073802524
2020-08-18,15876,15876,14599,14699,264780,-0.0828029452140272
2020-08-19,14724,15425,14724,15075,125391,0.0255799714266276
2020-08-20,15074,15074,14023,14299,223772,-0.05147595356550583
2020-08-21,14523,15124,14423,14749,156256,0.0314707322190364
2020-08-24,15024,15600,14523,15400,228558,0.044138585666824826
2020-08-25,15525,15876,15175,15225,242268,-0.011363636363636354
2020-08-26,15225,15375,14849,14950,183814,-0.01806239737274218
2020-08-27,14949,15776,14774,15626,295953,0.045217391304347876
2020-08-28,15926,15926,15300,15300,193033,-0.020862664789453422
2020-08-31,15500,15625,15024,15175,160642,-0.008169934640522847
2020-09-01,15400,15625,15175,15200,179689,0.0016474464579900872
2020-09-02,15325,15801,15175,15776,320013,0.0378947368421052
2020-09-03,15951,16201,15625,16026,289757,0.01584685598377278
2020-09-04,15124,16752,15099,16678,618324,0.040683888680893565
2020-09-07,17053,18004,16677,16778,969388,0.005995922772514595
2020-09-08,16727,18129,16402,17804,1153687,0.061151507927047266
2020-09-09,17528,18104,17203,17779,412023,-0.0014041788362165741
2020-09-10,18154,19532,17579,18055,1502051,0.015523932729624823
2020-09-11,18029,18029,16802,17103,840285,-0.05272777623926894
2020-09-14,17028,17503,17003,17053,222207,-0.0029234637198152225
2020-09-15,17078,17103,16427,16728,280788,-0.019058230223421124
2020-09-16,16727,17103,16402,16903,285179,0.010461501673840301
2020-09-17,16802,16827,16351,16377,156360,-0.031118736318996643
2020-09-18,16452,16777,16351,16577,111845,0.012212248885632215
2020-09-21,16527,16777,15600,15701,224157,-0.05284430234662485
2020-09-22,15725,17228,15475,16352,496749,0.04146232724030319
2020-09-23,16427,16602,15575,15801,140364,-0.03369618395303331
2020-09-24,15375,15375,14774,14824,311998,-0.06183152965002214
2020-09-25,14824,14999,14649,14900,118085,0.005126821370750045
2020-09-28,15175,16978,14974,15551,611407,0.04369127516778515
2020-09-29,15876,16326,15525,15876,233189,0.020898977557713305
2020-10-05,16051,17078,16051,16703,619434,0.05209120685311164
2020-10-06,16677,16927,16427,16703,204087,0.0
2020-10-07,16577,16827,16502,16728,145941,0.0014967371130933937
2020-10-08,16827,18505,16727,18030,2531260,0.07783357245337164
2020-10-12,18230,19056,17779,18931,1185722,0.0499722684414865
2020-10-13,19181,20033,18555,18556,1302158,-0.019808779250964026
2020-10-14,19407,20984,19131,19733,1901761,0.0634296184522527
2020-10-15,19682,19982,18931,19833,759563,0.005067653169817055
2020-10-16,20083,20133,18755,18981,493914,-0.042958705188322455
2020-10-19,18780,18881,17579,17729,474921,-0.06596069753964495
2020-10-20,17428,18305,17428,18280,312855,0.031079023069547018
2020-10-21,18730,18730,17929,18105,179489,-0.0095733041575492
2020-10-22,18004,18180,17278,17279,276201,-0.04562275614471145
2020-10-23,17378,17403,16652,16652,326538,-0.03628682215405987
2020-10-26,16652,16827,15801,15876,319907,-0.04660100888782126
2020-10-27,15700,16777,15550,16577,264734,0.04415469891660373
2020-10-28,16677,17228,16652,17078,149986,0.03022259757495327
2020-10-29,16627,17503,16502,17379,219913,0.017625014638716463
2020-10-30,17153,17453,16902,17003,146176,-0.021635306979688185
2020-11-02,17003,17328,16777,17228,92589,0.013232958889607627
2020-11-03,17278,17528,17128,17228,145913,0.0
2020-11-04,17303,17378,16927,17053,137493,-0.010157882516833028
2020-11-05,17003,18680,17003,18305,545377,0.07341816689145597
2020-11-06,18755,19081,17904,18355,410617,0.0027314941272875704
2020-11-09,18380,18530,17954,18205,208711,-0.008172160174339416
2020-11-10,18054,18079,17503,18080,147390,-0.006866245536940374
2020-11-11,17904,18129,17629,17729,135490,-0.019413716814159265
2020-11-12,17679,17979,17428,17529,110955,-0.011280952112358245
2020-11-13,17679,18205,17528,17980,227556,0.025728792287067037
2020-11-16,18054,18255,17604,17679,149521,-0.016740823136818683
2020-11-17,17679,17929,17428,17454,112037,-0.012726964194807344
2020-11-18,17604,17654,17378,17504,98298,0.002864672854359984
2020-11-19,17503,17804,17228,17504,121042,0.0
2020-11-20,17679,17879,17579,17629,101289,0.0071412248628883734
2020-11-23,17779,17779,17303,17354,114674,-0.015599296613534541
2020-11-24,17478,17579,17328,17379,89173,0.001440590065690861
2020-11-25,17428,17528,17028,17228,136870,-0.008688647217906631
2020-11-26,17478,18004,17353,17479,273448,0.014569305781286346
2020-11-27,17654,17754,17353,17479,154586,0.0
2020-11-30,17579,17629,17253,17604,139863,0.007151438869500648
2020-12-01,17579,17654,17503,17629,70466,0.0014201317882298614
2020-12-02,17654,17654,17378,17454,98389,-0.00992682511770382
2020-12-03,17453,17453,16978,17053,164724,-0.022974676291967477
2020-12-04,16927,16952,16527,16678,207597,-0.021990265642408913
2020-12-07,16677,16927,16351,16853,152562,0.010492864851900707
2020-12-08,16852,17078,16377,16703,81681,-0.008900492493918
2020-12-09,16777,17053,16702,16978,82384,0.016464108244027997
2020-12-10,17028,17503,17003,17404,216756,0.025091294616562676
2020-12-11,17353,17503,17228,17379,77053,-0.001436451390484983
2020-12-14,17378,17854,17303,17429,187838,0.002877035502618197
2020-12-15,17729,17729,17303,17454,87997,0.0014343909575993408
2020-12-16,17604,17604,17253,17279,88092,-0.010026354990260167
2020-12-17,17278,17278,16877,16878,94398,-0.023207361537125992
2020-12-18,17078,17428,16978,17279,83005,0.02375873918710747
2020-12-21,17353,17353,16927,17028,90331,-0.014526303605532753
2020-12-22,17003,17128,16652,16678,117256,-0.020554381019497248
2020-12-23,16777,17979,16477,16928,510360,0.01498980693128682
2020-12-24,17228,17278,16927,17053,79850,0.007384215500945146
2020-12-28,16978,16978,16702,16928,139973,-0.0073300885474696376
2020-12-29,17028,17028,16777,16928,86755,0.0
2020-12-30,16952,17428,16827,17228,138126,0.01772211720226835
2021-01-04,17428,17579,17028,17279,131796,0.002960297190619965
2021-01-05,17278,17654,17228,17454,186935,0.010127900920192223
2021-01-06,17528,18004,17403,17529,315752,0.004297009281539976
2021-01-07,18054,19106,17804,18856,1188042,0.07570312054310002
2021-01-08,18856,19281,18480,18831,506123,-0.0013258379295715272
2021-01-11,19181,19381,17729,18330,458229,-0.026605066114385845
2021-01-12,18330,18580,17779,18030,185092,-0.016366612111292977
2021-01-13,18305,18405,17954,18280,144353,0.01386577925679422
2021-01-14,18255,18780,18054,18606,366157,0.017833698030634615
2021-01-15,18380,18405,17804,17804,231503,-0.04310437493281738
2021-01-18,17403,18029,17128,17529,239073,-0.015445967198382426
2021-01-19,17528,17754,17228,17604,162210,0.0042786239945233895
2021-01-20,17779,18380,17679,18005,269527,0.022778913883208407
2021-01-21,18305,18305,17829,17955,95706,-0.0027770063871146444
2021-01-22,17929,17954,17528,17629,117967,-0.018156502367028704
2021-01-25,17604,18154,17604,18155,207727,0.029837200068069558
2021-01-26,18129,18129,17729,17955,96632,-0.011016248967226638
2021-01-27,18004,18029,17528,17529,100797,-0.023725981620718484
2021-01-28,17053,17453,17028,17128,118165,-0.02287637629071826
2021-01-29,17353,17353,16402,16828,144154,-0.017515179822512827
2021-02-01,16502,16802,16301,16703,105248,-0.007428096030425491
2021-02-02,16852,16978,16577,16703,73043,0.0
2021-02-03,16702,16902,16602,16828,59911,0.007483685565467191
2021-02-04,16877,17128,16677,16953,71969,0.00742809603042538
2021-02-05,17053,17278,16827,16903,64915,-0.0029493305019760996
2021-02-08,17053,17078,16552,16602,55962,-0.01780748979471103
2021-02-09,16602,16702,16301,16452,135528,-0.009035056017347332
2021-02-10,16452,16627,16301,16602,58362,0.009117432530999281
2021-02-15,16677,17078,16527,16728,89121,0.007589447054571652
2021-02-16,16752,17003,16627,16753,68071,0.0014945002391200113
2021-02-17,16802,17203,16677,17128,81519,0.02238405061779969
2021-02-18,17128,17178,16852,16953,67848,-0.010217188229799112
2021-02-19,16952,17003,16652,16753,52883,-0.011797322007904176
2021-02-22,16702,16978,16627,16703,45874,-0.002984540082373255
2021-02-23,16652,16952,16402,16678,74998,-0.0014967371130935048
2021-02-24,16852,16852,16051,16127,70100,-0.033037534476555996
2021-02-25,16126,16477,16126,16302,36326,0.010851367272276313
2021-02-26,15675,16101,15675,15701,67568,-0.036866642129800065
2021-03-02,16076,16076,15500,15626,74525,-0.004776765811094874
2021-03-03,15450,16001,15425,15926,41831,0.019198771278638116
2021-03-04,15926,16402,15700,16152,54296,0.014190631671480602
2021-03-05,16151,16427,16051,16352,44850,0.012382367508667613
2021-03-08,16276,16477,15675,15851,74621,-0.0306384540117417
2021-03-09,15776,15826,15275,15450,61049,-0.025298088448678313
