Date,Open,High,Low,Close,Volume,Change
2014-12-29,42750,42870,42660,42780,197,
2014-12-30,42810,42810,42690,42870,44,0.0021037868162692153
2015-01-02,42840,42960,42840,42990,4,0.002799160251924393
2015-01-05,42929,42929,42810,42870,16,-0.002791346824842944
2015-01-06,42840,42960,42840,42990,39,0.002799160251924393
2015-01-07,42960,43169,42960,43080,53,0.002093510118632347
2015-01-08,43050,43709,42960,43320,253,0.0055710306406684396
2015-01-09,43799,43799,43260,43320,41,0.0
2015-01-12,43170,43260,43170,43320,37,0.0
2015-01-13,43260,43260,43170,43320,44,0.0
2015-01-14,43260,43379,43050,43320,75,0.0
2015-01-15,43470,43800,43470,43830,55,0.011772853185595622
2015-01-16,43710,43920,43710,43950,15,0.002737850787132068
2015-01-19,44100,44280,43890,44370,7,0.009556313993174026
2015-01-20,44610,44610,44610,44610,0,0.005409060175794567
2015-01-21,44430,45420,44430,45450,13,0.01882985877605914
2015-01-22,45089,45089,44970,45030,2,-0.009240924092409286
2015-01-23,46049,46049,44970,45030,1,0.0
2015-01-26,44970,44970,44430,45030,27,0.0
2015-01-27,44969,44969,44430,44910,14,-0.0026648900732845204
2015-01-28,44820,44820,44460,44820,8,-0.002004008016032066
2015-01-29,44790,44970,44670,45030,85,0.0046854082998661895
2015-01-30,45061,46019,45061,45870,19,0.01865423051299131
2015-02-02,45870,46080,45750,46110,76,0.005232177894048506
2015-02-03,46470,46709,46050,46620,71,0.011060507482107962
2015-02-04,47160,47160,46410,46770,42,0.003217503217503248
2015-02-05,47129,47129,46380,46860,21,0.0019243104554200752
2015-02-06,46799,47129,46470,46620,38,-0.005121638924455829
2015-02-09,46620,46620,45870,46110,6,-0.010939510939510955
2015-02-10,46049,46799,45630,45990,18,-0.002602472348731344
2015-02-11,45839,45959,44970,45660,36,-0.0071754729288976415
2015-02-12,45601,50844,44852,46500,31,0.018396846254927768
2015-02-13,46259,46768,45390,45870,21,-0.013548387096774195
2015-02-16,46289,46289,45210,45240,3,-0.01373446697187708
2015-02-17,45629,45629,44790,45240,40,0.0
2015-02-23,45390,46019,45390,45870,20,0.01392572944297088
2015-02-24,45601,46440,45511,46500,50,0.01373446697187708
2015-02-25,47160,47160,46080,46770,61,0.005806451612903274
2015-02-26,46050,47010,46050,47070,2,0.006414368184733732
2015-02-27,47160,48150,47040,48150,3,0.02294455066921608
2015-03-02,47130,47219,46920,47160,76,-0.020560747663551426
2015-03-03,46920,47130,46920,47160,41,0.0
2015-03-04,47129,47549,46920,46950,53,-0.004452926208651453
2015-03-05,47040,47040,46619,46770,11,-0.003833865814696469
2015-03-06,46710,47130,46470,47160,70,0.00833867864015403
2015-03-09,47400,47400,46080,46770,78,-0.008269720101781175
2015-03-10,46919,46919,44970,45660,249,-0.023733162283515075
2015-03-11,45870,46170,45570,46110,62,0.009855453350854138
2015-03-12,46080,46080,45660,46110,59,0.0
2015-03-13,46290,46290,46050,46320,77,0.004554326610279658
2015-03-16,47010,47129,46470,47070,91,0.016191709844559643
2015-03-17,47010,48719,46710,47160,154,0.0019120458891013214
2015-03-18,50128,50128,47010,47610,338,0.009541984732824416
2015-03-19,47552,51000,47132,51030,400,0.07183364839319473
2015-03-20,52829,53338,51450,51570,188,0.010582010582010692
2015-03-23,52501,55709,51182,55200,432,0.07038976148923792
2015-03-24,54660,54660,51660,52980,205,-0.04021739130434787
2015-03-25,52918,52918,50340,50490,156,-0.04699886749716875
2015-03-26,50460,54450,49410,51480,163,0.019607843137254832
2015-03-27,0,0,0,51480,0,0.0
2015-03-30,0,0,0,51480,0,0.0
2015-03-31,0,0,0,51480,0,0.0
2015-04-01,0,0,0,51480,0,0.0
2015-04-02,0,0,0,51480,0,0.0
2015-04-03,0,0,0,51480,0,0.0
2015-04-06,0,0,0,51480,0,0.0
2015-04-07,0,0,0,51480,0,0.0
2015-04-08,0,0,0,51480,0,0.0
2015-04-09,0,0,0,51480,0,0.0
2015-04-10,0,0,0,51480,0,0.0
2015-04-13,0,0,0,51480,0,0.0
2015-04-14,0,0,0,51480,0,0.0
2015-04-15,0,0,0,51480,0,0.0
2015-04-16,0,0,0,51480,0,0.0
2015-04-17,0,0,0,51480,0,0.0
2015-04-20,0,0,0,51480,0,0.0
2015-04-21,0,0,0,51480,0,0.0
2015-04-22,0,0,0,51480,0,0.0
2015-04-23,0,0,0,51480,0,0.0
2015-04-24,0,0,0,51480,0,0.0
2015-04-27,0,0,0,51480,0,0.0
2015-04-28,0,0,0,51480,0,0.0
2015-04-29,0,0,0,51480,0,0.0
2015-04-30,0,0,0,51480,0,0.0
2015-05-04,0,0,0,51480,0,0.0
2015-05-06,0,0,0,51480,0,0.0
2015-05-07,0,0,0,51480,0,0.0
2015-05-08,0,0,0,51480,0,0.0
2015-05-11,0,0,0,51480,0,0.0
2015-05-12,0,0,0,51480,0,0.0
2015-05-13,0,0,0,51480,0,0.0
2015-05-14,0,0,0,51480,0,0.0
2015-05-15,0,0,0,51480,0,0.0
2015-05-18,0,0,0,51480,0,0.0
2015-05-19,0,0,0,51480,0,0.0
2015-05-20,0,0,0,51480,0,0.0
2015-05-21,0,0,0,51480,0,0.0
2015-05-22,0,0,0,51480,0,0.0
2015-05-26,0,0,0,51480,0,0.0
2015-05-27,0,0,0,51480,0,0.0
2015-05-28,0,0,0,51480,0,0.0
2015-05-29,0,0,0,51480,0,0.0
2015-06-01,0,0,0,51480,0,0.0
2015-06-02,0,0,0,51480,0,0.0
2015-06-03,0,0,0,51480,0,0.0
2015-06-04,0,0,0,51480,0,0.0
2015-06-05,0,0,0,51480,0,0.0
2015-06-08,0,0,0,51480,0,0.0
2015-06-09,0,0,0,51480,0,0.0
2015-06-10,0,0,0,51480,0,0.0
2015-06-11,0,0,0,51480,0,0.0
2015-06-12,51453,59070,49534,59100,2468,0.14801864801864806
2015-06-15,58590,60450,52110,55230,746,-0.06548223350253812
2015-06-16,54450,56249,52081,54600,173,-0.011406844106463865
2015-06-17,55860,64650,53250,57540,588,0.05384615384615388
2015-06-18,57272,66688,56463,63390,825,0.10166840458811266
2015-06-19,63571,69838,63331,66000,477,0.04117368670137256
2015-06-22,69538,69538,64831,67260,364,0.019090909090909047
2015-06-23,65489,66420,62760,64650,378,-0.038804638715432604
2015-06-24,63240,64619,60121,63810,310,-0.01299303944315544
2015-06-25,63990,65879,62401,65490,175,0.0263281617301363
2015-06-26,65938,67706,62491,64410,237,-0.01649106733852501
2015-06-29,63569,64378,61470,61710,121,-0.04191895668374479
2015-06-30,62609,65338,60300,61290,350,-0.006806028196402525
2015-07-01,63149,65548,59821,62760,303,0.023984336759667046
2015-07-02,61980,65338,60631,62760,264,0.0
2015-07-03,63779,63779,60211,62760,222,0.0
2015-07-06,62729,63569,60540,62550,197,-0.0033460803059273125
2015-07-07,63988,63988,58561,60870,234,-0.02685851318944843
2015-07-08,60300,60629,57601,60450,131,-0.006899950714637781
2015-07-09,60421,64829,57902,63810,126,0.05558312655086839
2015-07-10,63778,64078,61470,61500,121,-0.036201222378937525
2015-07-13,61470,62849,60840,62340,91,0.013658536585365866
2015-07-14,62309,63359,61470,62130,72,-0.00336862367661217
2015-07-15,63060,63510,61830,62970,113,0.013520038628681785
2015-07-16,63330,65459,62311,64740,233,0.02810862315388274
2015-07-17,67860,70679,63902,69660,240,0.07599629286376275
2015-07-20,68884,76078,68884,74460,473,0.06890611541774327
2015-07-21,77608,77608,73200,74910,216,0.006043513295729275
2015-07-22,76380,77190,73650,75330,233,0.0056067280736884495
2015-07-23,79468,80517,74760,74910,155,-0.005575467941059342
2015-07-24,76018,76018,70380,72690,140,-0.02963556267521028
2015-07-27,70920,72600,67470,68310,128,-0.060255881139083756
2015-07-28,67949,67949,59073,66630,283,-0.024593763724198525
2015-07-29,72777,72777,64831,67980,84,0.020261143628995892
2015-07-30,66960,71670,66960,68640,215,0.009708737864077666
2015-07-31,69839,71938,68610,68940,58,0.004370629370629375
2015-08-03,70710,70710,65910,65910,105,-0.04395126196692778
2015-08-04,66510,68369,64831,67350,33,0.02184797451069631
2015-08-05,71340,71340,66000,67680,38,0.004899777282850737
2015-08-06,68369,68369,65970,67470,35,-0.00310283687943258
2015-08-07,67441,73198,65881,69870,324,0.035571365051133785
2015-08-10,72028,72028,67950,68820,109,-0.015027908973808457
2015-08-11,68759,70018,67710,67770,149,-0.01525719267654757
2015-08-12,67140,68940,64320,66960,135,-0.01195219123505975
2015-08-13,68730,68730,65040,67680,47,0.010752688172043001
2015-08-17,68968,74213,66900,67140,217,-0.007978723404255317
2015-08-18,67109,68909,65130,66840,86,-0.0044682752457551045
2015-08-19,66689,67229,60542,66000,134,-0.012567324955116699
2015-08-20,60841,65459,60121,63600,81,-0.036363636363636376
2015-08-21,61290,66960,60150,64560,124,0.015094339622641506
2015-08-24,63899,65458,62520,63270,91,-0.019981412639405227
2015-08-25,62730,64829,62310,63270,104,0.0
2015-08-26,63659,63659,61260,63180,67,-0.0014224751066855834
2015-08-27,66268,66268,61772,64410,24,0.019468186134852905
2015-08-28,64379,64379,61470,62640,108,-0.027480204937121555
2015-08-31,62640,64650,61500,62880,54,0.003831417624521105
2015-09-01,63000,63299,61861,63060,66,0.002862595419847347
2015-09-02,62309,63659,60630,61920,111,-0.01807802093244526
2015-09-03,62729,64288,60120,61830,92,-0.0014534883720930258
2015-09-04,62608,63148,60420,60450,71,-0.02231926249393501
2015-09-07,61920,61920,56789,59220,74,-0.02034739454094292
2015-09-08,59160,60419,56791,59310,53,0.001519756838905817
2015-09-09,59219,62550,56670,58590,51,-0.012139605462822445
2015-09-10,58561,62939,58561,62550,49,0.06758832565284179
2015-09-11,60809,62577,59340,60030,111,-0.0402877697841727
2015-09-14,59610,60030,55740,58800,375,-0.02048975512243878
2015-09-15,59610,61830,55860,58800,257,0.0
2015-09-16,58769,59579,57390,58050,265,-0.012755102040816313
2015-09-17,58559,60118,57690,57930,267,-0.002067183462532318
2015-09-18,59490,60210,58560,60240,182,0.03987571206628693
2015-09-21,59192,65009,59192,63810,403,0.05926294820717137
2015-09-22,62697,63746,59790,60030,367,-0.05923836389280679
2015-09-23,61590,62609,59671,61920,226,0.03148425787106457
2015-09-24,62099,63359,61260,61920,151,0.0
2015-09-25,62729,62729,61050,62550,95,0.01017441860465107
2015-09-30,62310,64379,61590,62760,144,0.003357314148681123
2015-10-01,62611,65879,61591,64860,231,0.03346080305927335
2015-10-02,63809,66960,63809,66330,270,0.02266419981498613
2015-10-05,68369,68369,65880,66630,250,0.0045228403437358455
2015-10-06,67019,67019,64830,66210,85,-0.006303466906798727
2015-10-07,65460,66809,63571,66210,72,0.0
2015-10-08,66179,66809,64080,65580,45,-0.009515178975985528
2015-10-12,64350,65728,63870,64410,113,-0.01784080512351327
2015-10-13,64379,64379,61800,62640,112,-0.027480204937121555
2015-10-14,62579,62699,61231,62430,80,-0.0033524904214559115
2015-10-15,61050,63479,61050,62550,40,0.001922152811148381
2015-10-16,61710,64650,61080,64650,80,0.033573141486810565
2015-10-19,64740,64860,62550,62970,126,-0.02598607888631088
2015-10-20,62939,64379,62100,62760,91,-0.0033349213911386677
2015-10-21,63359,64289,62100,63180,90,0.006692160611854625
2015-10-22,62760,64560,62250,62880,61,-0.0047483380816714105
2015-10-23,62400,64199,62400,63810,82,0.014790076335877922
2015-10-26,63780,64379,63150,64320,73,0.007992477668077091
2015-10-27,64349,64798,62581,63690,66,-0.009794776119402937
2015-10-28,63629,63629,62190,63060,138,-0.009891662741403628
2015-10-29,63119,63209,61860,62430,123,-0.009990485252140857
2015-10-30,61589,62099,60210,61500,106,-0.014896684286400785
2015-11-02,62729,62849,61980,62550,41,0.017073170731707332
2015-11-03,62519,63029,60300,61290,119,-0.020143884892086295
2015-11-04,61920,62250,60990,61620,20,0.00538423886441497
2015-11-05,62279,62279,59791,61380,52,-0.003894839337877265
2015-11-06,61589,61589,59280,60240,94,-0.01857282502443791
2015-11-09,60209,60209,57181,59610,99,-0.010458167330677282
2015-11-10,61169,61169,58560,59610,34,0.0
2015-11-11,60960,60960,58589,59220,63,-0.006542526421741357
2015-11-12,59100,59100,55440,58590,87,-0.010638297872340385
2015-11-13,58980,58980,56280,56490,59,-0.03584229390681004
2015-11-16,55619,58558,54150,55440,120,-0.018587360594795488
2015-11-17,54360,55619,51931,55440,181,0.0
2015-11-18,55409,56009,53610,54390,70,-0.018939393939393923
2015-11-19,54359,54359,51121,53130,72,-0.02316602316602312
2015-11-20,53100,53309,51121,53130,221,0.0
2015-11-23,51930,56248,51211,53130,116,0.0
2015-11-24,53130,59610,53130,58260,145,0.09655561829474868
2015-11-25,58260,59400,56909,59220,145,0.016477857878475888
2015-11-26,59491,63359,59491,62550,428,0.05623100303951367
2015-11-27,63329,65097,60721,62430,356,-0.0019184652278178005
2015-11-30,61169,62519,59280,60780,87,-0.026429601153291737
2015-12-01,60747,62306,54870,55440,169,-0.08785784797630802
2015-12-02,55410,58559,55410,57210,106,0.031926406926406914
2015-12-03,55859,59219,55650,58590,145,0.024121657052962764
2015-12-04,59669,60418,56550,57930,93,-0.01126472094214026
2015-12-07,59850,59850,56490,56490,79,-0.024857586742620397
2015-12-08,55618,56547,52680,52710,112,-0.06691449814126393
2015-12-09,52651,56307,52651,54270,84,0.02959590210586227
2015-12-10,54240,56338,53310,54390,99,0.002211166390270858
2015-12-11,54390,55230,53340,54510,20,0.0022062879205735353
2015-12-14,54359,58317,50162,54180,132,-0.006053935057787507
2015-12-15,54328,54328,52860,53010,66,-0.021594684385382035
2015-12-16,53217,53307,48090,49050,331,-0.0747028862478778
2015-12-17,48900,50159,48090,49680,55,0.012844036697247763
2015-12-18,49649,49649,46291,49260,76,-0.008454106280193274
2015-12-21,47369,49018,46290,47070,156,-0.04445797807551766
2015-12-22,48087,48087,44100,44760,293,-0.04907584448693436
2015-12-23,44190,45779,42661,44970,240,0.004691689008042843
2015-12-24,45751,47939,44493,47250,115,0.05070046697798536
2015-12-28,48539,55650,47250,47490,627,0.005079365079365017
2015-12-29,48269,50788,47460,47700,224,0.004421983575489508
2015-12-30,49140,50159,47221,49890,109,0.04591194968553469
2016-01-04,49923,61430,49923,53010,2374,0.06253758268190013
2016-01-05,52470,57268,51211,53760,516,0.014148273910582931
2016-01-06,53729,55198,52470,52710,140,-0.01953125
2016-01-07,51210,54239,50911,52710,182,0.0
2016-01-08,50940,52290,50610,51150,160,-0.02959590210586227
2016-01-11,51088,52136,48241,49560,166,-0.031085043988269834
2016-01-12,48719,50158,47970,48420,102,-0.02300242130750607
2016-01-13,48390,49859,48390,49260,48,0.017348203221809078
