Date,Open,High,Low,Close,Volume,Change
2000-04-27,1865,1865,1719,1757,0,
2000-04-28,1789,1830,1738,1790,0,0.018782014797951163
2000-05-02,1747,1832,1747,1808,0,0.010055865921787754
2000-05-03,1747,1960,1747,1850,0,0.023230088495575174
2000-05-04,1849,1874,1772,1817,0,-0.017837837837837878
2000-05-08,1831,2029,1772,2031,0,0.11777655476059445
2000-05-09,2012,2269,1935,2269,0,0.11718365337272285
2000-05-10,2353,2431,2021,2107,0,-0.07139709122961657
2000-05-12,2105,2283,2035,2209,0,0.04841006169909834
2000-05-15,2206,2318,1985,2098,0,-0.050248981439565465
2000-05-16,2096,2096,1874,1961,0,-0.06530028598665394
2000-05-17,1873,2044,1738,1790,0,-0.08720040795512496
2000-05-18,1789,1789,1576,1748,0,-0.02346368715083802
2000-05-19,1617,1873,1617,1714,0,-0.0194508009153318
2000-05-22,1627,1789,1619,1688,0,-0.01516919486581092
2000-05-23,1686,1746,1618,1706,0,0.010663507109004655
2000-05-24,1789,1789,1507,1620,0,-0.05041031652989447
2000-05-25,1627,1806,1627,1790,0,0.1049382716049383
2000-05-26,1711,1746,1618,1706,0,-0.04692737430167593
2000-05-29,1661,1764,1636,1697,0,-0.005275498241500531
2000-05-30,1668,1873,1668,1876,0,0.10548025928108418
2000-05-31,1832,2020,1824,1893,0,0.009061833688699394
2000-06-01,1873,1873,1746,1790,0,-0.05441098784997356
2000-06-02,1789,2003,1782,2004,0,0.11955307262569836
2000-06-05,2206,2206,2002,2047,0,0.02145708582834338
2000-06-07,2130,2156,1993,2123,0,0.0371275036638985
2000-06-08,2121,2216,2002,2217,0,0.04427696655675928
2000-06-09,2233,2480,2130,2482,0,0.11953089760938207
2000-06-12,2498,2634,2225,2277,0,-0.08259468170829976
2000-06-13,2344,2549,2216,2550,0,0.11989459815546777
2000-06-14,2813,2846,2249,2252,0,-0.11686274509803918
2000-06-15,2055,2388,1986,2388,0,0.060390763765541644
2000-06-16,2454,2548,2224,2303,0,-0.03559463986599665
2000-06-19,2292,2301,2054,2285,0,-0.007815892314372519
2000-06-20,2530,2530,2147,2303,0,0.007877461706783384
2000-06-21,2174,2421,2174,2226,0,-0.033434650455927084
2000-06-22,2258,2284,2011,2031,0,-0.08760107816711593
2000-06-23,1944,2131,1901,1910,0,-0.05957656326932548
2000-06-26,1874,2036,1874,1961,0,0.026701570680628173
2000-06-27,1935,2072,1918,2064,0,0.0525242223355431
2000-06-28,2063,2148,1960,2031,0,-0.015988372093023284
2000-06-29,2002,2233,1985,2133,0,0.05022156573116687
2000-06-30,2156,2173,2003,2166,0,0.015471167369901506
2000-07-03,2131,2174,2063,2115,0,-0.023545706371191133
2000-07-04,2140,2140,2037,2064,0,-0.024113475177305
2000-07-05,2002,2079,1925,1979,0,-0.04118217054263562
2000-07-06,1933,1984,1839,1919,0,-0.030318342597271397
2000-07-07,1916,2019,1831,1936,0,0.008858780614903639
2000-07-10,1873,1958,1839,1919,0,-0.008780991735537147
2000-07-11,1873,1950,1788,1825,0,-0.0489838457529963
2000-07-12,1754,1873,1754,1825,0,0.0
2000-07-13,1788,1942,1788,1876,0,0.027945205479452007
2000-07-14,1850,1901,1798,1850,0,-0.013859275053304865
2000-07-18,1850,1859,1756,1808,0,-0.022702702702702693
2000-07-19,1704,1755,1704,1748,0,-0.0331858407079646
2000-07-20,1719,1865,1659,1757,0,0.005148741418764313
2000-07-21,1772,1849,1721,1842,0,0.04837791690381321
2000-07-24,1831,2011,1806,1961,0,0.06460369163952229
2000-07-25,1958,1984,1805,1833,0,-0.06527281998980117
2000-07-26,1891,1891,1813,1833,0,0.0
2000-07-27,1831,1985,1831,1936,0,0.056192034915439226
2000-07-28,1916,2002,1873,1928,0,-0.004132231404958664
2000-07-31,1891,1915,1839,1876,0,-0.026970954356846488
2000-08-01,1842,2004,1842,1945,0,0.036780383795309124
2000-08-02,1943,2028,1892,1979,0,0.017480719794344513
2000-08-03,1944,2123,1935,2064,0,0.04295098534613451
2000-08-04,2130,2309,1977,2217,0,0.0741279069767442
2000-08-07,2215,2232,1992,2047,0,-0.07668019846639607
2000-08-08,2002,2087,1874,1961,0,-0.04201270151441139
2000-08-09,2011,2191,2003,2193,0,0.11830698623151448
2000-08-10,2191,2319,2055,2183,0,-0.004559963520291865
2000-08-11,2182,2386,2096,2166,0,-0.00778744846541457
2000-08-14,2130,2216,2114,2166,0,0.0
2000-08-16,2164,2411,2130,2363,0,0.0909510618651892
2000-08-17,2302,2455,2268,2431,0,0.02877697841726623
2000-08-18,2387,2446,2268,2345,0,-0.03537638831756473
