Date,Open,High,Low,Close,Volume,Change
2017-09-27,5880,6020,4120,4170,13005220,
2017-09-28,4160,4510,3969,4210,3495720,0.00959232613908867
2017-09-29,4110,4200,3920,3980,1551545,-0.05463182897862229
2017-10-10,4080,4900,3830,4440,4140875,0.11557788944723613
2017-10-11,4410,4760,4360,4600,1471735,0.03603603603603611
2017-10-12,4620,4640,4350,4420,941405,-0.03913043478260869
2017-10-13,4410,4530,4170,4400,882900,-0.004524886877828038
2017-10-16,4330,4340,4100,4120,565085,-0.0636363636363636
2017-10-17,4100,4240,4060,4060,335260,-0.014563106796116498
2017-10-18,4090,4090,3860,3860,557875,-0.049261083743842415
2017-10-19,3950,4500,3840,4200,1016850,0.08808290155440424
2017-10-20,4260,4260,4000,4090,259115,-0.02619047619047621
2017-10-23,4170,4190,4040,4130,184785,0.009779951100244544
2017-10-24,4230,4350,4100,4100,381145,-0.007263922518159771
2017-10-25,4040,4150,4000,4100,216975,0.0
2017-10-26,4150,4450,4080,4190,690310,0.02195121951219514
2017-10-27,3910,4060,3880,3970,1342515,-0.05250596658711215
2017-10-30,4000,4040,3880,3980,415385,0.0025188916876575096
2017-10-31,3930,3970,3910,3920,248235,-0.015075376884422065
2017-11-01,4000,4230,3949,4110,1102070,0.04846938775510212
2017-11-02,4180,4340,4110,4120,1093465,0.0024330900243310083
2017-11-03,4100,4100,3980,4020,618625,-0.024271844660194164
2017-11-06,4029,4120,4010,4070,341270,0.01243781094527363
2017-11-07,4080,4220,4020,4110,585385,0.00982800982800991
2017-11-08,4150,4350,4110,4240,985675,0.031630170316301776
2017-11-09,4300,4720,4240,4500,2663130,0.061320754716981174
2017-11-10,4500,4600,4330,4450,589780,-0.011111111111111072
2017-11-13,4530,4530,4370,4380,467750,-0.01573033707865168
2017-11-14,4420,4470,4220,4320,449390,-0.013698630136986356
2017-11-15,4350,4350,4160,4160,491680,-0.03703703703703709
2017-11-16,4200,4400,4100,4380,619810,0.05288461538461542
2017-11-17,4390,4600,4350,4560,1077630,0.041095890410958846
2017-11-20,4600,4610,4440,4510,465135,-0.010964912280701733
2017-11-21,4570,4690,4510,4540,857935,0.006651884700665134
2017-11-22,4560,4980,4560,4840,1545270,0.06607929515418509
2017-11-23,4890,4930,4690,4800,671910,-0.008264462809917328
