Date,Open,High,Low,Close,Volume,Change
2011-11-08,5454,6273,4714,4785,9317621,
2011-11-09,4791,4853,4308,4441,1683330,-0.0718913270637409
2011-11-10,4293,4324,3872,3888,978513,-0.12452150416572849
2011-11-11,3995,4104,3816,3821,814906,-0.017232510288065828
2011-11-14,3972,4152,3911,3966,634762,0.037948181104422885
2011-11-15,3988,4027,3770,3818,497452,-0.03731719616742313
2011-11-16,3824,3886,3610,3677,431973,-0.036930330015714996
2011-11-17,3664,3719,3527,3677,317217,0.0
2011-11-18,3611,3654,3521,3561,219309,-0.031547457166168025
2011-11-21,3560,3584,3295,3339,363725,-0.062342038753159246
2011-11-22,3275,3638,3247,3436,350882,0.029050613956274285
2011-11-23,3450,3531,3243,3256,187213,-0.052386495925494714
2011-11-24,3279,3680,3255,3533,622391,0.08507371007371001
2011-11-25,3556,3619,3307,3370,227967,-0.04613642796490236
2011-11-28,3424,3647,3412,3596,248706,0.06706231454005929
2011-11-29,3599,3650,3463,3463,258700,-0.036985539488320396
2011-11-30,3471,3552,3303,3319,242274,-0.041582442968524425
2011-12-01,3419,3482,3299,3300,256134,-0.0057246158481469855
2011-12-02,3322,3396,3299,3319,115845,0.00575757575757585
2011-12-05,3365,3528,3326,3393,289853,0.02229587225067786
2011-12-06,3435,3518,3331,3331,253398,-0.018272914824638997
2011-12-07,3389,3420,3319,3343,140901,0.0036025217652355668
2011-12-08,3354,3544,3342,3471,294927,0.03828896201017051
2011-12-09,3455,3658,3427,3518,481185,0.013540766349755096
2011-12-12,3599,3603,3459,3459,236239,-0.01677089255258668
2011-12-13,3435,3486,3279,3292,239145,-0.04827984966753396
2011-12-14,3311,3400,3287,3366,153466,0.022478736330498128
2011-12-15,3330,3419,3271,3311,97804,-0.016339869281045805
2011-12-16,3318,3408,3303,3311,82672,0.0
2011-12-19,3327,3342,2817,2926,238958,-0.11627906976744184
2011-12-20,2932,3073,2932,2980,151376,0.018455228981544725
2011-12-21,3092,3185,3052,3100,244149,0.04026845637583887
2011-12-22,3193,3270,3103,3163,162059,0.020322580645161237
2011-12-23,3171,3226,3143,3195,79181,0.010116977552956152
2011-12-26,3255,3255,3134,3155,52081,-0.012519561815336422
2011-12-27,3177,3232,3045,3155,102772,0.0
2011-12-28,3159,3186,3062,3062,57262,-0.029477020602218684
2011-12-29,3077,3097,2963,3066,101287,0.001306335728282093
2012-01-02,3064,3106,3052,3100,52990,0.01108936725375087
2012-01-03,3162,3162,3076,3124,43624,0.007741935483871032
2012-01-04,3162,3357,3081,3249,161135,0.04001280409731112
2012-01-05,3260,3732,3256,3351,620613,0.0313942751615881
2012-01-06,3358,3466,3202,3210,185126,-0.042076991942703645
2012-01-09,3210,3388,3186,3382,246236,0.05358255451713401
2012-01-10,3411,3497,3357,3428,189103,0.013601419278533422
2012-01-11,3501,3501,3341,3428,103053,0.0
2012-01-12,3426,3446,3357,3416,74300,-0.003500583430571802
2012-01-13,3427,3544,3365,3444,81583,0.008196721311475308
2012-01-16,3374,3467,3335,3339,68560,-0.030487804878048808
2012-01-17,3338,3384,3240,3300,123948,-0.011680143755615435
2012-01-18,3294,3333,3263,3280,57279,-0.0060606060606061
2012-01-19,3311,3354,3271,3319,47572,0.01189024390243909
2012-01-20,3349,3349,3243,3280,63944,-0.011750527267249122
2012-01-25,3267,3314,3247,3280,28344,0.0
2012-01-26,3279,3334,3256,3327,51832,0.014329268292682995
2012-01-27,3382,3382,3296,3355,79189,0.008415990381725358
2012-01-30,3607,3611,3366,3366,252381,0.003278688524590123
2012-01-31,3366,3440,3351,3355,83307,-0.0032679738562091387
2012-02-01,3381,3427,3346,3358,72590,0.0008941877794337305
2012-02-02,3366,3416,3334,3366,75629,0.002382370458606342
2012-02-03,3377,3462,3345,3440,72807,0.021984551396316165
2012-02-06,3471,3486,3342,3382,57693,-0.016860465116279033
2012-02-07,3389,3452,3331,3351,46317,-0.00916617386162033
2012-02-08,3326,3349,3283,3296,97691,-0.016413011041480186
2012-02-09,3287,3311,3248,3311,67627,0.004550970873786309
2012-02-10,3334,3334,3271,3323,48830,0.0036242826940502404
2012-02-13,3346,3388,3311,3374,69538,0.015347577490219644
2012-02-14,3373,3470,3334,3448,89409,0.0219324244220509
2012-02-15,3482,3521,3419,3444,66366,-0.001160092807424573
2012-02-16,3442,3598,3399,3529,197076,0.024680603948896707
2012-02-17,3536,3563,3494,3545,104586,0.004533862283933043
2012-02-20,3545,3553,3463,3503,98931,-0.011847672778561358
2012-02-21,3505,3505,3392,3448,136550,-0.01570082786183269
2012-02-22,3442,3539,3438,3533,72556,0.024651972157772706
2012-02-23,3564,3575,3490,3522,63708,-0.0031135012737050216
2012-02-24,3540,3591,3490,3592,169656,0.01987507098239627
2012-02-27,3692,3715,3521,3592,291016,0.0
2012-02-28,3584,3584,3370,3382,176145,-0.05846325167037858
2012-02-29,3395,3415,3239,3272,197698,-0.03252513305736249
2012-03-02,3268,3350,3252,3343,66595,0.02169926650366749
2012-03-05,3342,3494,3334,3448,111018,0.03140891414896796
2012-03-06,3427,3501,3373,3444,70400,-0.001160092807424573
2012-03-07,3396,3454,3381,3448,54721,0.0011614401858304202
2012-03-08,3483,3568,3444,3499,115238,0.014791183294663668
2012-03-09,3552,3552,3467,3499,63262,0.0
2012-03-12,3498,3556,3435,3471,80916,-0.008002286367533529
2012-03-13,3485,3582,3426,3564,126820,0.026793431287813307
2012-03-14,3582,3672,3551,3576,277957,0.0033670033670034627
2012-03-15,3580,3607,3436,3503,65438,-0.020413870246084986
2012-03-16,3517,3591,3427,3467,72933,-0.010276905509563283
2012-03-19,3490,3506,3396,3467,62541,0.0
2012-03-20,3474,3926,3466,3677,1154255,0.060571098932795
2012-03-21,3727,3758,3587,3701,353221,0.006527060103345139
2012-03-22,3723,4237,3723,3974,1581523,0.07376384760875432
2012-03-23,4003,4096,3894,3981,510976,0.001761449421238126
2012-03-26,4075,4284,3942,3974,753160,-0.0017583521728209428
2012-03-27,4011,4050,3664,3665,480337,-0.07775541016607956
2012-03-28,3677,3857,3669,3756,312414,0.02482946793997276
2012-03-29,3840,3840,3591,3619,189605,-0.03647497337593186
2012-03-30,3653,3735,3630,3689,121675,0.01934235976789167
2012-04-02,3739,3880,3724,3791,195340,0.02764976958525356
2012-04-03,3816,3852,3704,3709,137558,-0.021630176734370843
2012-04-04,3707,3863,3668,3833,161238,0.03343219196548941
2012-04-05,3833,4207,3817,4044,870328,0.0550482650665276
2012-04-06,4090,4137,3919,3943,305914,-0.02497527200791294
