Date,Open,High,Low,Close,Volume,Change
2013-09-12,5729,6589,5729,6590,342204,
2013-09-13,6819,7335,6762,6854,7768599,0.04006069802731416
2013-09-16,7025,7094,6658,6682,2000463,-0.025094835132769222
2013-09-17,6783,6818,6611,6750,1038898,0.010176593834181347
2013-09-23,6795,6887,6612,6613,854727,-0.020296296296296257
2013-09-24,6612,6612,6131,6223,1253583,-0.05897474671102376
2013-09-25,6234,6441,6108,6258,858767,0.0056242969628796935
2013-09-26,6257,6509,6222,6418,956834,0.025567273889421482
2013-09-27,6418,6624,6326,6430,1062676,0.0018697413524462192
2013-09-30,6417,6417,6222,6223,314833,-0.03219284603421457
2013-10-01,6177,6268,6119,6177,362630,-0.007391933151213226
2013-10-02,6211,6280,6016,6109,458845,-0.011008580216933739
2013-10-04,6073,6244,6073,6085,180531,-0.003928629890325719
2013-10-07,6108,6108,5844,5925,515880,-0.0262941659819228
2013-10-08,5890,6279,5890,6120,430543,0.032911392405063244
2013-10-10,6016,6188,5936,6040,1577215,-0.013071895424836555
2013-10-11,6188,6944,6177,6945,2020999,0.14983443708609268
2013-10-14,6646,6703,6474,6578,2878463,-0.05284377249820016
2013-10-15,6623,6967,6509,6762,1125947,0.027972027972027913
2013-10-16,6772,6910,6555,6590,525031,-0.025436261461106224
2013-10-17,6360,6795,6360,6647,503758,0.008649468892260925
2013-10-18,6623,6749,6531,6750,383369,0.015495712351436763
2013-10-21,6750,6854,6647,6854,370919,0.015407407407407314
2013-10-22,6853,7232,6773,7232,2460775,0.05515027721038801
2013-10-23,7231,7598,7151,7381,906801,0.020602876106194712
2013-10-24,7391,7551,7299,7392,540222,0.0014903129657228842
2013-10-25,7414,7471,7265,7266,431691,-0.017045454545454586
2013-10-28,7266,7461,7140,7450,448771,0.02532342416735478
2013-10-29,7517,7517,6933,7048,954351,-0.05395973154362421
2013-10-30,7048,7174,7002,7106,306212,0.008229284903518819
2013-10-31,7093,7127,6933,7048,403557,-0.008162116521249652
2013-11-01,7013,7471,7013,7472,526135,0.06015891032917131
2013-11-04,7472,7472,7128,7163,1406359,-0.041354389721627416
2013-11-05,7186,7220,7060,7106,452326,-0.007957559681697646
2013-11-06,7104,7196,6990,7197,176517,0.012806079369546808
2013-11-07,7197,7232,7060,7106,212746,-0.012644157287758806
2013-11-08,7047,7150,6749,6750,424315,-0.05009850830284268
2013-11-11,6750,6864,6394,6693,353515,-0.008444444444444477
2013-11-12,6544,6750,6544,6705,123144,0.0017929179740026058
2013-11-13,6703,6806,6531,6578,177010,-0.018941088739746426
2013-11-14,6521,7059,6475,7026,336204,0.06810580723624193
2013-11-15,7025,7162,6922,7163,198833,0.019499003700540918
2013-11-18,7162,7243,7036,7186,229544,0.0032109451347202
2013-11-19,7105,7197,6899,7060,227870,-0.017534094071806283
2013-11-20,7047,7047,6875,6968,138889,-0.013031161473087804
2013-11-21,6967,6967,6807,6968,190461,0.0
2013-11-22,6876,7047,6818,6991,214616,0.0033008036739379243
2013-11-25,6979,7013,6887,6991,87130,0.0
2013-11-26,6933,6990,6853,6957,121765,-0.004863395794593051
2013-11-27,6967,7357,6863,7174,443028,0.031191605577116643
2013-11-28,7277,7277,7105,7232,210445,0.008084750487872938
2013-11-29,7231,7265,7116,7266,190164,0.004701327433628277
2013-12-02,7265,7334,7139,7163,155541,-0.014175612441508445
2013-12-03,7162,7186,7105,7129,80542,-0.004746614546977557
2013-12-04,7128,7174,7048,7129,79905,0.0
2013-12-05,7127,7173,6933,7094,87826,-0.004909524477486271
2013-12-06,7059,7231,7059,7209,146073,0.01621088243586133
2013-12-09,7242,7242,6830,6911,484075,-0.04133721736717988
2013-12-10,6910,6990,6543,6945,316129,0.004919693242656731
2013-12-11,6876,6991,6830,6934,86674,-0.0015838732901367614
2013-12-12,6807,6956,6807,6934,126255,0.0
2013-12-13,6934,7025,6762,6934,137195,0.0
2013-12-16,6933,6933,6818,6819,70136,-0.016584943755408088
2013-12-17,6875,6875,6566,6624,151552,-0.02859656841179059
2013-12-18,6727,6727,6417,6670,153311,0.00694444444444442
2013-12-19,6669,6726,6497,6498,104735,-0.02578710644677662
2013-12-20,6497,6933,6497,6865,162450,0.05647891658971993
2013-12-23,6864,6922,6681,6739,99031,-0.018353969410050963
2013-12-24,6795,6795,6589,6647,117188,-0.013651877133105783
