Date,Open,High,Low,Close,Volume,Change
2000-04-27,1052,1052,1004,1012,290050,
2000-04-28,1020,1050,1020,1020,358750,0.007905138339920903
2000-05-02,1024,1070,1024,1040,567600,0.019607843137254832
2000-05-03,1052,1130,1042,1086,1271450,0.044230769230769296
2000-05-04,1100,1110,1056,1064,610150,-0.02025782688766109
2000-05-08,1064,1118,1064,1080,779200,0.015037593984962516
2000-05-09,1098,1098,1064,1080,406800,0.0
2000-05-10,1080,1086,1054,1080,391500,0.0
2000-05-12,1088,1088,1032,1034,569000,-0.042592592592592626
2000-05-15,982,1010,910,914,396100,-0.11605415860735013
2000-05-16,960,960,840,956,551350,0.045951859956236296
2000-05-17,950,966,870,956,1162050,0.0
2000-05-18,930,930,814,850,326000,-0.11087866108786615
2000-05-19,820,846,806,842,236350,-0.009411764705882342
2000-05-22,884,884,782,784,258300,-0.06888361045130642
2000-05-23,760,824,760,790,234400,0.007653061224489832
2000-05-24,778,836,760,836,238200,0.05822784810126591
2000-05-25,836,910,836,880,627850,0.05263157894736836
2000-05-26,870,878,800,814,1042100,-0.07499999999999996
2000-05-29,772,820,740,790,1405100,-0.029484029484029506
2000-05-30,820,838,802,830,699300,0.05063291139240511
2000-05-31,842,890,836,876,1408850,0.055421686746987886
2000-06-01,827,858,820,820,825200,-0.0639269406392694
2000-06-02,842,852,816,830,1269600,0.012195121951219523
2000-06-05,844,909,842,893,2599900,0.07590361445783134
2000-06-07,902,978,884,960,2153100,0.0750279955207167
2000-06-08,960,960,862,900,1247750,-0.0625
2000-06-09,920,926,869,888,832050,-0.013333333333333308
2000-06-12,902,916,872,909,691450,0.023648648648648685
2000-06-13,920,950,887,892,1626050,-0.018701870187018743
2000-06-14,885,918,862,862,500200,-0.03363228699551568
2000-06-15,864,876,802,802,607750,-0.06960556844547561
2000-06-16,838,838,786,798,662500,-0.004987531172069848
2000-06-19,802,819,790,790,553650,-0.010025062656641603
2000-06-20,804,806,784,796,320150,0.0075949367088608
2000-06-21,806,850,804,808,786200,0.015075376884422065
