Date,Open,High,Low,Close,Volume,Change
2018-12-03,72603,81516,65213,65213,1048152,
2018-12-04,66081,69559,63147,66734,365224,0.02332357045374378
2018-12-05,64777,67495,64343,65104,145979,-0.02442533041627959
2018-12-06,66733,67712,63581,63582,190103,-0.02337797984762846
2018-12-07,64886,65321,58473,59126,154735,-0.07008272781604852
2018-12-10,58147,58147,56082,57278,68536,-0.03125528532286981
2018-12-11,57930,58147,54887,54996,65407,-0.03984077656342755
2018-12-12,54779,58583,54670,56192,66467,0.0217470361480836
2018-12-13,56735,61191,56083,58909,74404,0.04835207858769941
2018-12-14,58909,60648,56517,58257,53131,-0.011067918314688785
2018-12-17,57713,58908,56300,57387,21233,-0.014933827694526003
2018-12-18,55865,56626,54234,54561,36518,-0.049244602436091744
2018-12-19,54343,54560,49995,52061,66509,-0.04582027455508508
2018-12-20,51844,52604,48583,51844,76454,-0.004168187318722261
2018-12-21,50974,54778,50539,51844,67184,0.0
2018-12-24,53039,53365,50214,50214,26496,-0.0314404752719698
2018-12-26,48691,49235,47278,47931,46277,-0.04546540805353094
2018-12-27,47930,50756,47930,48257,36739,0.006801443742045832
2018-12-28,49235,50431,48366,49562,21946,0.027042708829807083
2019-01-02,49561,52930,49452,51735,44457,0.0438440740890198
2019-01-03,50648,55104,49995,52387,62518,0.012602686769111804
2019-01-04,52713,52822,50648,51301,16900,-0.020730333861454175
2019-01-07,51518,51844,48366,48801,36150,-0.048731993528391304
2019-01-08,48909,50648,48692,49127,23418,0.006680190979692968
2019-01-09,49887,51843,49235,50431,34814,0.02654344861277913
2019-01-10,51844,59126,51409,57170,233818,0.13362812555769277
2019-01-11,57060,57821,55430,55539,52328,-0.028528948749344085
2019-01-14,55757,55757,53366,54127,36674,-0.025423576225715228
2019-01-15,54561,59017,53583,56518,76520,0.044173887339036044
2019-01-16,56952,58148,55430,56409,31798,-0.0019285891220496287
2019-01-17,57169,58039,54887,54996,21577,-0.025049194277508957
2019-01-18,55322,55539,53800,54996,17849,0.0
2019-01-21,54996,55648,53148,54779,14834,-0.003945741508473377
2019-01-22,54886,55538,53256,53800,19668,-0.017871812190803027
2019-01-23,54235,54344,52170,54018,16322,0.004052044609665462
2019-01-24,54235,54452,52387,52496,17335,-0.028175793254100467
2019-01-25,52604,54778,52495,52822,32077,0.006209996952148744
2019-01-28,53366,53800,52496,52714,14265,-0.002044602627693015
2019-01-29,52604,53365,50974,52822,24579,0.0020487915923663724
2019-01-30,52930,54561,52387,53909,17592,0.02057854681761384
2019-01-31,54996,55213,52931,53040,18797,-0.01611975736889948
2019-02-01,52822,53257,51844,52605,10801,-0.00820135746606332
2019-02-07,53148,54669,52604,54235,15585,0.030985647752114875
2019-02-08,54234,56517,53908,55539,21603,0.02404351433576113
2019-02-11,55322,55974,54670,54779,13281,-0.013684077855200871
2019-02-12,55213,55865,54452,54779,6118,0.0
2019-02-13,54669,55756,54560,54887,9702,0.0019715584439292666
2019-02-14,54995,55647,54560,55539,8875,0.011878951299943541
2019-02-15,55104,55430,54452,55213,12696,-0.005869749185257178
2019-02-18,55213,55757,54670,55431,9726,0.003948345498342887
2019-02-19,55430,55430,53800,53909,13133,-0.027457559849181856
2019-02-20,53908,54343,52060,52387,22400,-0.02823276261848673
2019-02-21,52605,53474,52170,52714,9962,0.006242006604691985
2019-02-22,52821,52930,51734,52061,13128,-0.012387601016807692
2019-02-25,52605,54779,52496,54453,16997,0.04594610168840396
2019-02-26,55213,61082,54887,60539,162623,0.11176611022349547
2019-02-27,60756,62712,57713,60213,162250,-0.005384958456532196
2019-02-28,60973,64994,60430,61843,152292,0.027070566156810028
2019-03-04,62169,64017,60647,61952,34155,0.0017625276910886445
2019-03-05,62495,62495,58582,59561,43398,-0.03859439566115708
2019-03-06,59560,61299,58039,59126,27443,-0.00730343681267942
2019-03-07,59343,66517,58474,66191,100268,0.11949057944051678
2019-03-08,64994,65212,61517,61517,61613,-0.07061382967472918
2019-03-11,63691,65321,61626,64235,62001,0.04418290878944031
2019-03-12,63582,67821,62278,67169,72076,0.045676033315170894
2019-03-13,66951,70212,64451,66082,76210,-0.01618306063809194
2019-03-14,66407,70972,66407,68473,64535,0.03618231893707824
2019-03-15,68473,73907,68038,71734,176881,0.04762461116060335
2019-03-18,73255,73581,70647,72495,53204,0.010608637466194448
2019-03-19,72821,74342,69995,71517,54100,-0.013490585557624613
2019-03-20,70647,73147,69343,70430,42892,-0.01519918341093729
2019-03-21,70538,71625,65648,65648,66581,-0.06789720289649293
2019-03-22,65647,67169,64125,65430,35768,-0.003320740921277099
2019-03-25,63908,65104,60865,61083,44677,-0.06643741403026138
2019-03-26,61517,62169,60104,61952,32242,0.014226544210336645
2019-03-27,61952,61952,60104,60974,22923,-0.015786415289256173
2019-03-28,60539,62713,58148,62387,37254,0.023173811788631316
2019-03-29,62495,63473,61408,62169,32826,-0.0034943177264493697
2019-04-01,61082,61408,51083,51518,248173,-0.17132332834692532
2019-04-02,52931,53040,50105,51301,150550,-0.004212120035715694
2019-04-03,52279,54887,51735,54127,112363,0.05508664548449338
2019-04-04,54343,54452,52604,53257,42986,-0.016073309069410846
2019-04-05,53256,55213,52713,54887,46055,0.030606305274424095
2019-04-08,54887,57061,54126,56518,61939,0.029715597500318935
2019-04-09,57278,57278,55104,56626,26878,0.0019108956438655955
2019-04-10,56735,56735,54343,54996,39070,-0.028785363613887616
2019-04-11,55321,56517,53582,53909,35496,-0.01976507382355075
2019-04-12,54343,54670,53257,54670,20769,0.014116381309243309
2019-04-15,54778,55104,53147,53800,27861,-0.0159136638009878
2019-04-16,53909,54887,52713,53692,20714,-0.0020074349442379402
2019-04-17,53800,54126,52605,53040,24812,-0.012143336064963095
2019-04-18,52604,53256,52061,52170,21601,-0.01640271493212675
2019-04-19,52278,52930,51083,52822,28676,0.012497603986965755
2019-04-22,52931,52931,50866,51301,27423,-0.028794820340009797
2019-04-23,51735,54344,51300,53692,41203,0.04660727861055336
2019-04-24,53800,55104,52822,53257,34346,-0.008101765626164048
2019-04-25,53909,53909,51627,52714,24286,-0.010195842800007515
2019-04-26,52170,52713,50431,51844,25791,-0.016504154494062284
2019-04-29,51300,51626,49996,50757,22201,-0.020966746393025204
2019-04-30,51191,51191,49778,50757,14787,0.0
2019-05-02,50757,52713,50431,51844,18093,0.021415765313158808
2019-05-03,51844,53800,51844,53040,22078,0.02306920762286868
2019-05-07,52713,53256,51735,51844,17371,-0.022549019607843168
2019-05-08,51518,52170,50648,51192,13207,-0.012576190108787855
2019-05-09,51300,51300,49561,49996,18254,-0.02336302547273006
2019-05-10,49561,51083,49452,50431,9076,0.008700696055684354
2019-05-13,50431,51300,50104,50105,9071,-0.006464277924292605
2019-05-14,49561,50757,48474,50540,13295,0.008681768286598057
2019-05-15,50540,53257,50540,53040,18808,0.04946576968737637
2019-05-16,53039,53039,50431,50866,22218,-0.040987933634992424
2019-05-17,50648,52387,50648,51192,14742,0.006408996186057392
2019-05-20,50648,51191,49670,49779,11368,-0.02760196905766521
2019-05-21,49670,50539,49017,49670,9583,-0.002189678378432647
2019-05-22,49452,51082,48365,48583,14195,-0.021884437286088132
2019-05-23,49561,50756,48583,49344,15858,0.015663915361340486
2019-05-24,49344,49344,47822,48801,7972,-0.011004377431906631
2019-05-27,47822,47822,43148,44127,51184,-0.09577672588676467
2019-05-28,44344,44670,43583,44018,16409,-0.0024701429963513988
2019-05-29,43801,44018,42388,43475,17856,-0.012335862601662972
2019-05-30,43583,45648,43366,44888,18058,0.03250143760782054
2019-05-31,45431,45431,43475,44236,20494,-0.014525040099803932
2019-06-03,43691,44561,43691,44018,7939,-0.004928112849263089
2019-06-04,43801,44887,42931,43801,17121,-0.004929801444863435
2019-06-05,44344,45757,43475,45649,18690,0.04219081756124288
2019-06-07,45648,47278,44561,46518,21862,0.01903656158952005
2019-06-10,46626,49344,46626,48366,26339,0.039726557461627676
2019-06-11,48366,49996,48040,49888,22703,0.031468386883347854
2019-06-12,49779,50757,48692,49562,15375,-0.0065346375881976115
2019-06-13,49996,50322,48909,49344,11950,-0.004398531132722705
2019-06-14,49670,49670,48040,49127,11727,-0.004397697795071376
2019-06-17,49126,50213,49126,49453,10473,0.0066358621531947826
2019-06-18,49670,51626,48583,51192,18579,0.035164701838108936
2019-06-19,51191,51952,50322,50757,12890,-0.008497421472104971
2019-06-20,51192,52605,50540,51301,17239,0.010717733514589156
2019-06-21,52061,52279,50974,51953,8108,0.012709303912204373
2019-06-24,50866,51953,49670,50214,14194,-0.033472561738494444
2019-06-25,50648,50757,49018,49236,7212,-0.019476639980881782
2019-06-26,48801,49670,47822,48475,9121,-0.0154561702819076
2019-06-27,48474,49452,47496,47496,11859,-0.02019597730789069
2019-06-28,48801,48801,46518,47062,7085,-0.009137611588344252
2019-07-01,48039,48256,45974,46518,10945,-0.011559219752666716
2019-07-02,46626,46626,45648,46518,8974,0.0
2019-07-03,46626,46626,45322,45866,7851,-0.01401607979706776
2019-07-04,45866,45866,44562,45649,9115,-0.004731173418218271
2019-07-05,45648,47387,45322,46301,5029,0.014282897763368219
2019-07-08,45866,46735,44888,45323,4977,-0.02112265393835988
2019-07-09,44344,45866,43366,43584,11396,-0.03836904000176511
2019-07-10,44887,44887,42605,44018,12486,0.009957782672540327
2019-07-11,44887,47931,44127,46627,23249,0.05927120723340451
2019-07-12,46409,47279,45648,46953,7609,0.00699165719432937
2019-07-15,47496,47714,45649,45649,8310,-0.027772453304368172
2019-07-16,45431,46518,44996,45649,8464,0.0
2019-07-17,45649,45649,44018,44997,9506,-0.01428289776336833
2019-07-18,44996,44996,43475,44888,4228,-0.0024223837144699
2019-07-19,44127,45323,43801,44671,6056,-0.004834254143646355
2019-07-22,44671,45105,43801,44671,4435,0.0
2019-07-23,44018,44670,43800,44453,7150,-0.004880123570101369
2019-07-24,44344,44344,42822,44018,14631,-0.009785616268868202
