Date,Open,High,Low,Close,Volume,Change
2020-12-02,6030,6630,5609,5780,64803015,
2020-12-03,6010,6920,5830,6290,40858705,0.08823529411764697
2020-12-04,6390,6459,5950,6030,7230320,-0.04133545310015896
2020-12-07,6100,6380,5940,6240,5813010,0.03482587064676612
2020-12-08,6200,6699,6100,6310,8856060,0.011217948717948678
2020-12-09,6380,6960,6080,6760,7384990,0.07131537242472263
2020-12-10,6590,6750,6380,6580,2713560,-0.026627218934911268
2020-12-11,6520,6680,6440,6520,2030175,-0.00911854103343468
2020-12-14,6480,6860,6470,6520,3758375,0.0
2020-12-15,6660,6720,6220,6280,3702005,-0.036809815950920255
2020-12-16,6369,6390,6049,6100,2928435,-0.0286624203821656
2020-12-17,6090,6120,5490,5670,5993385,-0.07049180327868854
2020-12-18,5820,5900,5610,5660,3644815,-0.0017636684303351524
2020-12-21,5630,5650,5379,5410,2924380,-0.044169611307420475
2020-12-22,5410,5440,4960,5020,4446760,-0.07208872458410354
2020-12-23,5120,5470,4960,5170,4688030,0.029880478087649376
2020-12-24,5270,5630,5220,5550,5000095,0.07350096711798848
2020-12-28,5590,5680,5360,5400,2285630,-0.027027027027026973
2020-12-29,5450,5680,5420,5570,1841075,0.031481481481481444
2020-12-30,5570,5650,5450,5560,1885355,-0.0017953321364452268
2021-01-04,5600,5600,5270,5280,2057125,-0.05035971223021585
2021-01-05,5280,5429,5250,5340,1505125,0.011363636363636465
2021-01-06,5450,5760,5390,5440,3775035,0.01872659176029967
2021-01-07,5430,5779,5430,5770,4444315,0.06066176470588225
2021-01-08,5800,5900,5640,5650,2298330,-0.020797227036395194
2021-01-11,5590,5600,5219,5370,1831520,-0.04955752212389386
2021-01-12,5290,5430,5220,5270,811040,-0.01862197392923648
2021-01-13,5350,6060,5270,5890,10957490,0.11764705882352944
2021-01-14,5930,6170,5820,5980,4365740,0.015280135823429575
2021-01-15,6040,6040,5760,5850,1664780,-0.021739130434782594
2021-01-18,5800,6090,5660,6010,2275400,0.027350427350427253
2021-01-19,6180,6360,5969,6020,3914305,0.0016638935108153063
2021-01-20,5990,5990,5850,5920,1352710,-0.01661129568106312
2021-01-21,5920,5990,5800,5990,1050905,0.011824324324324342
2021-01-22,6000,6019,5850,5890,953205,-0.016694490818030094
2021-01-25,5899,5990,5880,5910,713200,0.00339558573853993
2021-01-26,5910,5910,5690,5720,1191150,-0.032148900169204686
2021-01-27,5730,5800,5539,5610,1102730,-0.019230769230769273
2021-01-28,5490,5960,5460,5900,2022700,0.051693404634581164
2021-01-29,5920,5970,5690,5900,2026675,0.0
2021-02-01,5900,6210,5890,6140,3860230,0.04067796610169494
2021-02-02,6170,6250,5830,5890,3636030,-0.04071661237785018
2021-02-03,5950,6020,5750,5840,2684950,-0.008488964346349714
2021-02-04,5850,5850,5699,5730,667155,-0.018835616438356184
2021-02-05,5760,5770,5620,5750,634875,0.003490401396160525
2021-02-08,5710,5720,5590,5610,739655,-0.024347826086956514
2021-02-09,5670,5699,5590,5650,506655,0.007130124777183555
2021-02-10,5650,5690,5590,5670,471385,0.003539823008849474
2021-02-15,5700,5770,5650,5710,662950,0.007054673721340388
2021-02-16,5750,5880,5240,5480,4602830,-0.04028021015761818
2021-02-17,5570,5570,5400,5420,1186905,-0.010948905109489093
2021-02-18,5500,5550,5420,5450,1148305,0.005535055350553542
2021-02-19,5450,5510,5280,5390,847405,-0.011009174311926606
2021-02-22,5450,5500,5400,5400,583795,0.0018552875695732052
2021-02-23,5360,5400,5300,5380,596065,-0.0037037037037036535
2021-02-24,5380,5440,5100,5140,952380,-0.044609665427509326
2021-02-25,5300,5440,5230,5380,1146910,0.04669260700389111
2021-02-26,5200,5339,5200,5270,514975,-0.020446096654275103
2021-03-02,5280,5380,5270,5310,527175,0.007590132827324458
2021-03-03,5350,5430,5310,5380,376680,0.013182674199623268
2021-03-04,5310,5330,5200,5240,466185,-0.026022304832713727
2021-03-05,5160,5400,5140,5340,419780,0.01908396946564883
2021-03-08,5460,5460,5230,5230,334885,-0.02059925093632964
2021-03-09,5230,5260,5090,5210,434425,-0.003824091778202643
2021-03-10,5240,5270,5120,5120,251420,-0.017274472168905985
2021-03-11,5140,5230,5100,5140,287755,0.00390625
2021-03-12,5170,5180,5100,5150,415400,0.0019455252918287869
2021-03-15,5170,5310,5120,5290,614520,0.027184466019417375
2021-03-16,5299,5310,5210,5250,379360,-0.007561436672967825
2021-03-17,5289,5300,5209,5220,273575,-0.005714285714285672
2021-03-18,5290,5300,5240,5280,248590,0.011494252873563315
2021-03-19,5200,5270,5179,5230,234100,-0.009469696969697017
2021-03-22,5280,5460,5259,5430,794510,0.03824091778202687
2021-03-23,5430,5460,5280,5310,423835,-0.02209944751381221
2021-03-24,5310,5390,5240,5370,283140,0.011299435028248483
2021-03-25,5289,5409,5270,5380,282470,0.0018621973929235924
2021-03-26,5380,5419,5320,5390,242510,0.0018587360594795044
2021-03-29,5440,5459,5330,5370,463660,-0.0037105751391465214
2021-03-30,5370,5390,5270,5310,415810,-0.011173184357541888
2021-03-31,5200,5200,4820,5070,2208945,-0.04519774011299438
2021-04-01,5090,5120,4970,4980,590290,-0.017751479289940808
2021-04-02,5000,5060,4910,4990,588370,0.002008032128514081
2021-04-05,4990,4990,4940,4990,317440,0.0
2021-04-06,5020,5030,4940,5010,303800,0.004008016032064132
2021-04-07,4980,5010,4970,5000,201290,-0.001996007984031989
2021-04-08,5010,5040,4960,5000,363275,0.0
2021-04-09,5000,5120,4960,5080,465870,0.016000000000000014
2021-04-12,5140,5160,5040,5090,316585,0.0019685039370078705
2021-04-13,5100,5230,5070,5200,423805,0.0216110019646365
2021-04-14,5200,5259,5120,5190,349810,-0.0019230769230769162
2021-04-15,5170,5240,5140,5210,239115,0.003853564547206201
2021-04-16,5230,5240,5140,5170,380110,-0.007677543186180413
2021-04-19,5270,5270,5100,5190,450590,0.003868471953578423
2021-04-20,5150,5230,5130,5220,410150,0.005780346820809301
2021-04-21,5230,5230,5080,5100,499985,-0.02298850574712641
2021-04-22,5150,5150,5100,5110,178065,0.0019607843137254832
2021-04-23,5160,5440,5130,5310,1613600,0.03913894324853229
2021-04-26,5340,5410,5250,5330,638760,0.0037664783427495685
2021-04-27,5350,5350,5270,5280,361465,-0.009380863039399667
2021-04-28,5430,5440,5200,5220,818580,-0.011363636363636354
2021-04-29,5230,5280,5110,5150,315445,-0.013409961685823757
2021-04-30,5170,5240,5030,5060,420060,-0.01747572815533982
2021-05-03,5040,5250,5040,5130,271820,0.01383399209486158
2021-05-04,5150,5219,5080,5170,225160,0.007797270955165692
2021-05-06,5170,5220,5130,5160,186520,-0.0019342359767892114
2021-05-07,5180,5200,5140,5160,208740,0.0
2021-05-10,5180,5200,5120,5160,358255,0.0
2021-05-11,5130,5160,5060,5110,299935,-0.009689922480620172
2021-05-12,5090,5130,5030,5060,303960,-0.009784735812133127
2021-05-13,4990,5120,4990,5000,298520,-0.011857707509881465
2021-05-14,5050,5100,4990,5080,180920,0.016000000000000014
2021-05-17,5150,5150,4630,4700,1721385,-0.07480314960629919
2021-05-18,4680,4680,4560,4630,618440,-0.014893617021276562
2021-05-20,4630,4670,4560,4600,382055,-0.006479481641468721
2021-05-21,4620,4670,4600,4630,170360,0.006521739130434856
2021-05-24,4640,4670,4580,4670,222570,0.008639308855291628
2021-05-25,4670,4700,4620,4640,150220,-0.0064239828693790635
2021-05-26,4580,4650,4580,4600,170115,-0.008620689655172376
2021-05-27,4630,4630,4550,4580,206605,-0.004347826086956497
2021-05-28,4560,4590,4550,4580,171475,0.0
2021-05-31,4590,4590,4510,4530,363420,-0.01091703056768556
2021-06-01,4510,4520,4370,4400,1020680,-0.028697571743929395
2021-06-02,4420,4550,4390,4490,487740,0.020454545454545503
2021-06-03,4500,4580,4460,4570,335150,0.017817371937639104
2021-06-04,4570,4580,4480,4510,183290,-0.013129102844638973
2021-06-07,4550,4550,4430,4460,187650,-0.011086474501108667
2021-06-08,4440,4490,4410,4460,162970,0.0
2021-06-09,4460,4460,4400,4410,278715,-0.011210762331838597
2021-06-10,4400,4460,4400,4450,206495,0.009070294784580435
2021-06-11,4450,4500,4440,4480,151660,0.006741573033707926
2021-06-14,4480,4520,4470,4520,140320,0.008928571428571397
2021-06-15,4330,4460,4310,4400,867670,-0.026548672566371723
2021-06-16,4410,4430,4370,4390,264070,-0.002272727272727315
2021-06-17,4480,4860,4470,4700,1941200,0.07061503416856496
2021-06-18,4770,4850,4650,4780,682775,0.017021276595744705
2021-06-21,4760,4940,4670,4810,588175,0.006276150627614996
2021-06-22,4840,4900,4770,4840,351695,0.006237006237006293
2021-06-23,4870,4870,4760,4840,455295,0.0
2021-06-24,4890,4960,4690,4880,546250,0.008264462809917328
2021-06-25,4950,5000,4840,4880,429425,0.0
2021-06-28,4880,4910,4790,4820,196530,-0.012295081967213073
2021-06-29,4860,4900,4800,4810,166725,-0.0020746887966804906
2021-06-30,4780,4840,4670,4740,336650,-0.014553014553014498
2021-07-01,4720,4780,4650,4740,231275,0.0
2021-07-02,4770,4780,4710,4740,136950,0.0
2021-07-05,4740,4750,4670,4710,162015,-0.006329113924050667
2021-07-06,4760,4760,4710,4720,151980,0.002123142250530785
2021-07-07,4750,4750,4600,4620,240965,-0.021186440677966156
2021-07-08,4590,4680,4510,4550,262520,-0.015151515151515138
2021-07-09,4470,4540,4400,4520,242205,-0.00659340659340657
2021-07-12,4530,4640,4520,4620,144640,0.022123893805309658
2021-07-13,4580,4680,4570,4660,134630,0.008658008658008587
2021-07-14,4680,4700,4550,4680,183230,0.0042918454935623185
2021-07-15,4640,4710,4610,4650,149310,-0.0064102564102563875
2021-07-16,4690,4690,4560,4560,212950,-0.01935483870967747
2021-07-19,4560,4730,4500,4600,379280,0.00877192982456143
2021-07-20,4520,4590,4490,4520,182605,-0.017391304347826098
2021-07-21,4540,4560,4510,4510,119330,-0.0022123893805309214
2021-07-22,4560,4570,4490,4510,131265,0.0
2021-07-23,4530,4650,4510,4580,125575,0.015521064301552201
2021-07-26,4580,4580,4450,4460,175945,-0.026200873362445365
2021-07-27,4460,4500,4400,4420,239885,-0.008968609865470878
2021-07-28,4390,4460,4390,4430,105835,0.002262443438914019
2021-07-29,4440,4490,4430,4460,79875,0.006772009029345272
2021-07-30,4420,4450,4390,4400,117485,-0.013452914798206317
2021-08-02,4400,4400,4350,4350,105105,-0.011363636363636354
2021-08-03,4350,4400,4330,4380,116440,0.006896551724137945
2021-08-04,4400,4410,4370,4390,102690,0.0022831050228311334
2021-08-05,4390,4570,4390,4540,273215,0.034168564920273425
