Date,Open,High,Low,Close,Volume,Change
2017-03-02,18227,19187,14449,14631,6811726,
2017-03-03,15170,15230,13610,13851,1878473,-0.05331146196432235
2017-03-06,13849,14508,13429,13431,1377728,-0.030322720381199875
2017-03-07,13190,13549,12470,12712,1362585,-0.0535328717146899
2017-03-08,12831,13132,12591,12892,985267,0.014159848961611043
2017-03-09,12832,13132,12112,12173,1052847,-0.0557710207880856
2017-03-10,12470,13191,11991,12592,1682895,0.034420438675757836
2017-03-13,13072,13491,12891,12952,1033002,0.02858958068615003
2017-03-14,12950,13130,12530,12592,597449,-0.0277949351451513
2017-03-15,12652,12772,11957,12053,1011357,-0.04280495552731889
2017-03-16,12173,12411,11944,11993,491588,-0.00497801377250473
2017-03-17,12051,12770,11978,12772,777143,0.06495455682481444
2017-03-20,12950,12950,12230,12291,469162,-0.037660507359849715
2017-03-21,12291,12411,12052,12113,345167,-0.014482141404279503
2017-03-22,12113,12411,11992,12113,341028,0.0
2017-03-23,12233,12591,12052,12233,469302,0.009906711797242673
2017-03-24,12350,12830,12290,12352,678755,0.009727785498242492
2017-03-27,12471,12531,12052,12113,281382,-0.019349093264248718
2017-03-28,12233,12291,11980,12053,349612,-0.004953355898621337
2017-03-29,12173,12173,11992,12053,196745,0.0
2017-03-30,12172,12291,11992,12233,226715,0.014934041317514302
2017-03-31,12233,12411,12112,12173,219330,-0.004904765797433153
2017-04-03,12290,12590,12231,12592,414933,0.034420438675757836
2017-04-04,12590,13070,12350,12592,541952,0.0
2017-04-05,12771,13192,12711,12832,646384,0.019059720457433205
2017-04-06,12830,12950,12410,12532,337296,-0.023379052369077336
2017-04-07,12590,12770,12410,12532,312399,0.0
2017-04-10,12471,12471,12053,12053,386257,-0.03822215129269069
2017-04-11,12113,12351,11884,12053,289057,0.0
2017-04-12,12113,12173,11884,12113,196176,0.004978013772504841
2017-04-13,11992,12233,11992,12173,172302,0.004953355898621226
2017-04-14,12113,12173,11968,11993,193332,-0.014786823297461615
2017-04-17,12051,12590,11991,12592,531575,0.0499458017176686
2017-04-18,12590,12650,12350,12472,247023,-0.009529860228716602
2017-04-19,12410,12590,12231,12352,233708,-0.009621552277100709
2017-04-20,12350,12710,12171,12592,363472,0.01943005181347157
2017-04-21,12710,12770,12350,12412,250835,-0.014294790343075015
2017-04-24,12351,12411,11992,12113,254504,-0.02408959071865935
2017-04-25,12173,12233,12052,12113,185810,0.0
2017-04-26,12173,12173,11993,11993,218671,-0.009906711797242673
2017-04-27,12053,12053,11932,11993,212372,0.0
2017-04-28,12053,12113,11932,12053,172967,0.005002918369048537
2017-05-02,12051,12111,11942,11944,139809,-0.009043391686716973
2017-05-04,11980,12173,11968,12113,97593,0.014149363697253836
2017-05-08,12112,12233,11992,12233,183525,0.009906711797242673
2017-05-10,12351,12411,12052,12113,158466,-0.009809531594866305
2017-05-11,12112,12233,12052,12233,91310,0.009906711797242673
2017-05-12,12291,12291,12052,12113,148236,-0.009809531594866305
2017-05-15,12173,12291,12052,12173,149873,0.004953355898621226
2017-05-16,12112,12172,11957,11957,187312,-0.017744187956953872
2017-05-17,11990,12349,11977,12291,273011,0.027933428117420833
2017-05-18,12231,15949,12231,14751,8962168,0.2001464486209421
2017-05-19,14869,16607,14569,15590,4430455,0.05687749983051993
2017-05-22,15948,16908,15468,15590,1865221,0.0
2017-05-23,15469,18229,15231,17330,5516420,0.11161000641436813
2017-05-24,17209,17568,16370,17390,1442207,0.0034622042700518385
2017-05-25,17569,17749,16669,16910,943605,-0.027602070155261615
2017-05-26,16250,16789,15709,16010,1125431,-0.05322294500295688
2017-05-29,16008,16248,15289,15770,901164,-0.01499063085571517
2017-05-30,15709,16070,15409,15950,766522,0.011414077362079889
2017-05-31,15770,16371,15470,16371,811850,0.026394984326018722
2017-06-01,16128,16188,15768,15770,536275,-0.0367112577118075
2017-06-02,15830,15950,15230,15291,474542,-0.03037412809131257
2017-06-05,15171,15469,14930,15171,486794,-0.007847753580537575
2017-06-07,15348,19485,15109,18708,6419609,0.23314217915760338
2017-06-08,18706,18887,17507,17689,1968988,-0.054468676502031244
2017-06-09,17987,18586,17447,17869,1690824,0.010175815478546069
2017-06-12,17808,18467,17508,18169,812932,0.016788852202137772
2017-06-13,18409,20088,17029,17210,3371402,-0.05278221145907869
2017-06-14,17568,17568,16969,17330,535100,0.006972690296339401
2017-06-15,17208,18707,17148,17509,1251081,0.010328909405654896
2017-06-16,17448,17869,17089,17270,464138,-0.013650122793991692
2017-06-19,17568,18349,17448,18049,795202,0.04510712217718593
2017-06-20,18289,18648,16549,17150,726564,-0.04980885367610399
2017-06-21,17209,17688,16549,17330,346788,0.010495626822157433
2017-06-22,17689,17749,16910,16910,276906,-0.024235429890363536
2017-06-23,16669,17390,16070,16191,555019,-0.042519219396806585
2017-06-26,16428,16488,15829,16070,275631,-0.007473287628929626
2017-06-27,16070,16489,15710,16311,390489,0.014996888612321069
2017-06-28,16188,16308,15768,15770,218742,-0.033167800870578135
2017-06-29,15828,16129,15289,15410,296540,-0.022828154724159777
2017-06-30,15229,15588,15109,15410,211865,0.0
2017-07-03,15528,15948,15289,15530,241138,0.0077871512005192045
2017-07-04,15588,16189,15468,15470,296867,-0.003863490019317406
2017-07-05,15470,17210,15350,16251,1123502,0.05048480930833876
2017-07-06,16190,16370,15709,16010,269072,-0.014829856624207771
2017-07-07,16008,16248,15648,15710,301249,-0.01873828856964399
2017-07-10,15890,16070,15170,15231,506280,-0.03049013367281983
2017-07-11,15409,15529,15170,15231,268741,0.0
2017-07-12,15350,15350,14091,14152,543732,-0.07084236097432872
2017-07-13,14092,14390,13911,14092,240849,-0.00423968343697001
2017-07-14,14211,14271,13730,13851,215156,-0.017101901788248663
2017-07-17,13911,14151,13790,13911,168923,0.004331817197314347
2017-07-18,13911,14330,13911,14212,235328,0.02163755301559922
2017-07-19,14269,14508,14089,14450,151707,0.01674641148325362
2017-07-20,14448,14448,13669,13671,261709,-0.05391003460207611
2017-07-21,13609,13909,13489,13611,186942,-0.004388852315119651
2017-07-24,13670,13791,13252,13252,176085,-0.026375725516126658
2017-07-25,13191,13550,13191,13252,195174,0.0
2017-07-26,13429,14448,13369,13611,913221,0.027090250528222226
2017-07-27,13731,14092,13431,14092,307764,0.0353390639923592
2017-07-28,13970,13970,13309,13311,189548,-0.05542151575361909
2017-07-31,13191,13309,12410,12472,348326,-0.0630305762151604
2017-08-01,12350,12830,12350,12592,131569,0.009621552277100598
2017-08-02,12530,12770,12470,12772,99383,0.014294790343075015
2017-08-03,12710,12770,12290,12412,151456,-0.028186658315064173
2017-08-04,12350,12770,12350,12652,170152,0.01933612632935877
2017-08-07,12530,12770,12530,12712,76757,0.004742333227948148
2017-08-08,12710,12770,12470,12592,92098,-0.009439899307740696
2017-08-09,12530,12590,12290,12592,123648,0.0
2017-08-10,12471,13012,12471,12892,216816,0.023824650571791617
2017-08-11,12650,12830,12350,12532,114072,-0.027924294135898253
2017-08-14,12530,12650,12231,12352,98799,-0.014363230130864935
2017-08-16,12350,12710,12111,12532,149020,0.014572538860103679
2017-08-17,12650,12770,12410,12532,84720,0.0
2017-08-18,12410,12710,12350,12592,49802,0.004787743376954978
2017-08-21,12710,13729,12590,13491,707024,0.07139453621346892
2017-08-22,13429,13609,13190,13551,262308,0.0044474093840338735
2017-08-23,13549,13549,12650,12772,332059,-0.05748653235923551
2017-08-24,12771,13132,12771,13012,159553,0.01879110554337604
2017-08-25,12950,14150,12710,13491,591473,0.03681217337841991
2017-08-28,13489,13849,13250,13491,166217,0.0
2017-08-29,13430,13490,13071,13252,138769,-0.01771551404640126
2017-08-30,13371,13371,12771,12832,222781,-0.03169332930878355
2017-08-31,12831,13012,12771,12892,91652,0.004675810473815378
2017-09-01,12951,13072,12711,13012,127896,0.009308098045299307
2017-09-04,12531,12772,12052,12173,423175,-0.06447894251460196
2017-09-05,12291,12411,12112,12233,112047,0.004928941099153761
2017-09-06,12173,12471,12112,12173,115655,-0.004904765797433153
2017-09-07,12173,12351,12173,12173,74576,0.0
2017-09-08,12173,12291,11692,11717,306850,-0.03745995235356936
2017-09-11,11727,11800,11032,11093,357029,-0.053255952888964786
2017-09-12,11102,11342,11102,11140,185958,0.00423690615703598
2017-09-13,11200,11356,10948,10973,136204,-0.014991023339317788
2017-09-14,11018,11198,10982,11080,50252,0.009751207509341109
2017-09-15,11068,11068,10744,10757,156689,-0.029151624548736432
2017-09-18,10696,10816,10384,10529,164653,-0.021195500604257678
2017-09-19,10492,10708,10468,10481,91476,-0.004558837496438373
2017-09-20,10541,11967,10505,11153,1360058,0.06411601946379153
2017-09-21,11055,11128,10781,10937,176629,-0.019366986461041846
2017-09-22,10840,10898,10431,10457,111108,-0.043887720581512246
2017-09-25,10431,10466,9712,9725,210338,-0.07000095629721714
2017-09-26,9629,10049,9629,9762,58223,0.003804627249357262
2017-09-27,9796,10035,9796,9881,56814,0.012190124974390537
2017-09-28,9918,10457,9918,10290,115242,0.041392571602064665
2017-09-29,10301,11093,10301,10722,250106,0.04198250728862973
2017-10-10,10996,11018,10587,10673,81273,-0.004570042902443561
2017-10-11,10744,10757,10541,10662,53556,-0.0010306380586526664
2017-10-12,10682,10682,10455,10517,68526,-0.013599699868692583
2017-10-13,10445,10997,10312,10913,174474,0.0376533231910241
2017-10-16,11018,11870,10731,11572,610025,0.060386694767708304
2017-10-17,11620,11680,11153,11345,174653,-0.019616315243691673
2017-10-18,11344,11572,11188,11369,93785,0.002115469369766476
2017-10-19,11570,11942,11499,11692,257904,0.02841059020142489
2017-10-20,11810,11942,11510,11512,91936,-0.015395141977420423
2017-10-23,11511,11871,11403,11704,60114,0.01667824878387769
2017-10-24,11595,11846,11559,11704,74049,0.0
2017-10-25,12171,13849,12111,12772,1751473,0.09125085440874914
2017-10-26,12770,13609,12470,13551,702264,0.060992796742874944
2017-10-27,14388,14448,13489,13551,594973,0.0
2017-10-30,14090,16068,13850,15590,1325399,0.1504686001033133
2017-10-31,16069,16189,15229,15470,537052,-0.007697241821680523
2017-11-01,15709,16189,14509,14511,560407,-0.061990950226244346
2017-11-02,14569,14929,14210,14751,344082,0.01653917717593556
2017-11-03,14750,14871,14091,14272,223542,-0.03247237475425391
2017-11-06,14569,15468,14449,15470,355412,0.08394058295964135
2017-11-07,15648,15948,15169,15710,379085,0.015513897866838988
2017-11-08,16069,17627,16009,16730,1189372,0.06492679821769576
2017-11-09,16729,17210,16070,17210,422469,0.02869097429766887
2017-11-10,17210,17390,16609,16970,288575,-0.013945380592678691
2017-11-13,17508,17629,16909,17030,363310,0.003535651149086716
2017-11-14,17330,17390,16250,16371,380561,-0.0386964180857311
2017-11-15,16608,16908,16309,16790,250800,0.025594038238348382
2017-11-16,16729,17448,16310,17030,406882,0.01429422275163783
2017-11-17,17268,17627,16728,16790,240129,-0.014092777451556127
2017-11-20,16968,17329,16668,16670,177131,-0.007147111375818915
2017-11-21,17209,18229,16909,17390,702518,0.043191361727654476
2017-11-22,17629,17809,16849,17090,230378,-0.017251293847038496
2017-11-23,17328,17987,17148,17749,388620,0.03856056173200706
2017-11-24,17628,17869,17150,17150,220421,-0.03374838019043325
2017-11-27,17209,17269,15949,16070,369630,-0.0629737609329446
2017-11-28,16309,16908,15589,16670,347517,0.03733665214685744
2017-11-29,16548,17089,16009,16130,278581,-0.0323935212957408
2017-11-30,16249,16487,15468,15470,170111,-0.04091754494730315
2017-12-01,15648,16008,14869,15830,195665,0.023270846800258482
2017-12-04,15828,16128,15528,15770,150213,-0.0037902716361338795
2017-12-05,15890,15950,14991,14991,197815,-0.04939759036144575
2017-12-06,15049,15290,14329,14631,285547,-0.024014408645187113
2017-12-07,14750,15111,14390,14991,187817,0.024605290137379443
2017-12-08,15109,15109,14569,14631,206398,-0.024014408645187113
2017-12-11,14989,15468,14749,15410,136327,0.05324311393616288
2017-12-12,15408,15528,14689,14811,168422,-0.03887086307592469
2017-12-13,14810,15051,14570,15051,114656,0.01620417257443796
2017-12-14,15049,15588,14989,15470,169695,0.027838681815161692
2017-12-15,15708,15828,15229,15650,146519,0.011635423400129241
2017-12-18,15948,16907,15948,16489,413400,0.053610223642172494
2017-12-19,16609,16609,15829,15890,135442,-0.03632724846867608
2017-12-20,15828,16787,15408,16609,284423,0.04524858401510379
2017-12-21,16428,16548,16130,16130,176553,-0.02883978565837797
2017-12-22,16070,16311,15410,16311,191848,0.011221326720396885
2017-12-26,16250,17330,15710,17030,507131,0.04408068174851332
2017-12-27,16669,17390,16370,17210,234464,0.010569583088666956
2017-12-28,17088,18167,16968,17629,331761,0.02434631028471812
2018-01-02,17927,17987,17208,17629,189753,0.0
2018-01-03,17809,18768,17629,18350,344156,0.04089851948493961
2018-01-04,18289,18468,17209,17390,251057,-0.052316076294277924
2018-01-05,17568,17628,16849,17330,239305,-0.0034502587694077436
2018-01-08,17208,17208,16488,16850,205419,-0.027697634160415485
2018-01-09,17270,19309,17090,19009,1411825,0.12813056379821952
2018-01-10,19068,20328,18768,20268,1044445,0.06623178494397397
2018-01-11,20266,20745,19307,20507,721970,0.011791987369252022
2018-01-12,20505,20505,19427,19848,464172,-0.03213536841078657
2018-01-15,20026,20505,19127,19848,451679,0.0
2018-01-16,19367,21226,19247,20507,544409,0.03320233776702941
2018-01-17,20805,21286,19906,20567,579360,0.0029258302043204676
2018-01-18,21047,23326,20927,22307,1514636,0.08460154616618865
2018-01-19,22365,23623,22005,22906,660046,0.02685255749316351
2018-01-22,22966,25964,21827,23447,1582454,0.023618265956517837
2018-01-23,23864,24164,22005,22606,648778,-0.035868128118735854
2018-01-24,22664,22964,21885,22786,404918,0.007962487835088128
2018-01-25,22966,23447,22187,23267,310540,0.021109453173000947
2018-01-26,23086,25425,23086,25185,647808,0.08243434907809344
2018-01-29,25604,25844,24285,24346,460929,-0.033313480246178306
2018-01-30,24285,26683,23506,25185,928674,0.034461513184917525
2018-01-31,25123,27042,24044,24585,697592,-0.023823704586063088
2018-02-01,24466,26623,24105,26385,572445,0.07321537522879806
2018-02-02,26383,27583,26143,26924,530213,0.020428273640325845
2018-02-05,26324,27344,23745,24466,651651,-0.09129401277670479
2018-02-06,23024,26022,21585,25724,904140,0.051418294776424345
2018-02-07,26924,26984,22966,23147,622790,-0.10017882133416267
2018-02-08,23387,24286,23086,23387,374615,0.010368514278308094
2018-02-09,22305,23144,21705,22606,454455,-0.03339462094325907
2018-02-12,22785,23266,22186,22487,156573,-0.005264089179863762
2018-02-13,22724,23684,21406,21947,256073,-0.024013874683150305
2018-02-14,22126,22545,21706,22367,128751,0.019137011892286004
2018-02-19,22785,24526,22785,24526,368592,0.09652613224840167
2018-02-20,24524,24524,22844,22966,328995,-0.06360596917556882
2018-02-21,22966,23266,21886,22187,270744,-0.03391970739353822
2018-02-22,22367,22785,21886,22307,163046,0.00540857258755123
2018-02-23,22125,22125,20506,21587,571515,-0.032276863764737485
2018-02-26,22066,22545,21526,22307,172800,0.03335340714318802
2018-02-27,22487,22726,21886,22067,105044,-0.010758954588245828
2018-02-28,22666,23146,21886,22127,289369,0.0027189921602392975
2018-03-02,21767,22187,20987,21048,214384,-0.04876395354092289
2018-03-05,21167,21227,19188,19309,345277,-0.08262067654884075
2018-03-06,19907,20448,19787,20088,188560,0.040343881091718936
2018-03-07,19906,20026,18706,18708,458220,-0.06869772998805257
2018-03-08,19007,20026,19007,19848,275605,0.06093649775497112
2018-03-09,20328,21767,20028,21228,566547,0.06952841596130588
2018-03-12,22186,22545,21646,22247,274837,0.04800263802524962
2018-03-13,22247,22726,21706,22007,204448,-0.010787971411875708
2018-03-14,21947,21947,21047,21168,193502,-0.03812423319852776
2018-03-15,21106,21945,20686,21947,190466,0.03680083144368851
2018-03-16,22425,22485,21825,21947,171991,0.0
2018-03-19,21887,21947,21287,21348,111519,-0.02729302410352208
2018-03-20,20807,21766,20747,21468,97432,0.005621135469364713
2018-03-21,21647,21647,20807,20988,128504,-0.02235885969815543
2018-03-22,21045,21466,20685,20747,122070,-0.01148275204878979
2018-03-23,20028,20268,18888,19189,229446,-0.07509519448594981
2018-03-26,18888,20088,18468,20028,174048,0.04372296628276606
2018-03-27,20747,22007,20747,21468,326796,0.07189934092270822
2018-03-28,21346,22486,21286,21887,366843,0.019517421278181457
2018-03-29,22305,22305,21525,21947,166353,0.0027413533147531144
2018-03-30,22065,22366,21346,21707,231812,-0.010935435367020574
2018-04-02,22544,23803,22185,22786,825213,0.049707467637167824
2018-04-03,22365,23205,22125,22546,298262,-0.010532783287983905
2018-04-04,22844,22965,21645,21827,258940,-0.03189035749135105
2018-04-05,22247,22546,21108,21108,292468,-0.032940853071883436
2018-04-06,21165,21644,20625,20807,136780,-0.014259996209967762
2018-04-09,20806,22544,20806,22546,236895,0.08357764213966457
2018-04-10,22486,23086,21826,23086,221701,0.0239510334427393
2018-04-11,23506,23565,22126,22367,262681,-0.031144416529498398
2018-04-12,22367,22666,21586,22067,140462,-0.013412616801537935
2018-04-13,22247,23207,21707,23207,318418,0.05166085104454621
2018-04-16,23564,24464,23505,23926,769620,0.03098203128366439
2018-04-17,23625,23865,23206,23507,266144,-0.01751232968318983
2018-04-18,23685,24046,22726,23267,276440,-0.010209724762836547
2018-04-19,23146,23266,22126,22487,264793,-0.0335238750161172
2018-04-20,22427,23387,21827,23267,136046,0.034686707875661416
2018-04-23,23445,23445,22365,22546,167809,-0.0309880947264366
2018-04-24,22846,23806,22726,23267,383341,0.03197906502262038
2018-04-25,22904,23505,22544,22666,195966,-0.02583057549318779
2018-04-26,22844,23445,22604,22786,180857,0.005294273360981094
2018-04-27,22966,23086,22126,22367,192857,-0.0183884841569385
2018-04-30,22185,22306,20926,21647,346455,-0.0321902803236912
2018-05-02,20806,21347,20027,20388,343719,-0.058160484131750345
2018-05-03,20448,20867,20087,20268,196319,-0.005885815185403209
2018-05-04,21047,21347,20147,20448,302943,0.008880994671403242
2018-05-08,20925,21106,19846,19848,190161,-0.02934272300469487
2018-05-09,19666,20985,19127,20867,188535,0.05134018540910934
2018-05-10,20806,21167,20087,20328,124973,-0.02583025830258301
2018-05-11,20327,20806,20147,20328,122848,0.0
2018-05-14,20565,20565,19726,19908,129807,-0.02066115702479343
2018-05-15,19848,19848,18289,18410,453272,-0.07524613220815757
2018-05-16,18169,18828,18048,18109,171163,-0.0163498098859316
2018-05-17,18287,18706,17987,18708,167861,0.033077475288530556
2018-05-18,18648,19369,18648,19309,166735,0.032125293991875026
2018-05-21,19308,19667,18948,19429,103859,0.006214718525040075
2018-05-23,19309,19429,18948,19309,72596,-0.006176334345565859
2018-05-24,19427,19726,19247,19488,103350,0.009270288466518117
2018-05-25,19486,20446,19187,19908,191222,0.02155172413793105
2018-05-28,19307,19966,19067,19548,157191,-0.018083182640144635
2018-05-29,19906,20865,19846,20627,309500,0.0551974626560261
2018-05-30,20925,21045,20326,20507,177108,-0.005817617685557774
2018-05-31,20985,21105,20446,20867,144943,0.017554981225922806
2018-06-01,20745,20985,20446,20687,91738,-0.008626060286576864
2018-06-04,20745,20865,19666,19788,156428,-0.04345724367960557
2018-06-05,19786,20267,19486,19668,111887,-0.006064281382656134
2018-06-07,19786,20206,19546,19908,76975,0.01220256253813301
2018-06-08,19966,20086,19606,19728,70093,-0.009041591320072317
2018-06-11,19727,19908,19188,19309,78712,-0.02123884833738854
2018-06-12,19189,19429,18888,19069,92684,-0.012429437050080261
2018-06-14,19006,19066,18227,18648,404622,-0.022077717761812332
2018-06-15,18586,18946,17807,17809,207704,-0.04499141999141998
2018-06-18,17808,17928,16129,16670,278212,-0.06395642652591382
2018-06-19,16608,16968,15109,15410,270514,-0.07558488302339528
2018-06-20,15289,15888,15289,15650,207107,0.015574302401038187
2018-06-21,15649,15830,15170,15291,137239,-0.022939297124600633
2018-06-22,15231,15649,14750,15171,238313,-0.007847753580537575
2018-06-25,15289,15948,15109,15710,101979,0.03552831059257788
2018-06-26,15409,16070,15230,15890,96689,0.01145767027371103
2018-06-27,15950,16729,15830,16371,171842,0.030270610446822
2018-06-28,16190,16970,16010,16371,210621,0.0
2018-06-29,16489,16609,15650,16191,114300,-0.010995052226498103
2018-07-02,16190,16250,14690,14871,136614,-0.08152677413377807
2018-07-03,15049,15229,14389,14811,125632,-0.004034698406294113
2018-07-04,14870,15349,14630,15111,69543,0.020255215718047337
2018-07-05,15229,15229,14449,14751,83370,-0.023823704586063088
2018-07-06,14810,15111,14450,15051,98457,0.020337604230221684
2018-07-09,14990,15171,14690,15051,63192,0.0
2018-07-10,15348,15468,15049,15350,67486,0.019865789648528365
2018-07-11,15049,15229,14629,14751,76408,-0.039022801302931565
2018-07-12,14750,14991,14630,14871,67553,0.008135041692088674
2018-07-13,14929,15049,14689,14811,44685,-0.004034698406294113
2018-07-16,14869,14989,14689,14691,72586,-0.00810208628721898
2018-07-17,14690,15111,14690,14931,64469,0.016336532570961904
