Date,Open,High,Low,Close,Volume,Change
2010-12-01,20416,23510,20137,23610,639674,
2010-12-02,23367,23367,20181,21645,1236183,-0.08322744599745868
2010-12-03,21677,21677,18315,18405,481095,-0.1496881496881497
2010-12-06,18491,18760,16756,17215,273172,-0.06465634338494974
2010-12-07,17350,17990,16800,17080,194337,-0.007841998257333671
2010-12-08,16945,17573,16755,17035,170162,-0.002634660421545698
2010-12-09,16990,17716,16900,17080,200206,0.002641620193718719
2010-12-10,17211,17300,15755,15845,150959,-0.0723067915690867
2010-12-13,16383,16383,15466,15935,101990,0.005680025244556575
2010-12-14,15844,16023,15565,15665,60693,-0.016943834326953233
2010-12-15,15610,16160,15250,15800,108286,0.00861793807851896
2010-12-16,16017,16017,15290,15390,66008,-0.025949367088607622
2010-12-17,15430,15430,14980,14980,48717,-0.026640675763482835
2010-12-20,14732,14732,13742,14020,59011,-0.06408544726301735
2010-12-21,14010,14648,13920,14200,69582,0.012838801711840153
2010-12-22,14289,14645,13922,14200,39563,0.0
2010-12-23,14330,14430,13790,13880,42767,-0.022535211267605604
2010-12-24,13605,13784,11609,12970,45804,-0.06556195965417866
2010-12-27,12924,13191,12558,13380,30277,0.0316114109483423
2010-12-28,13325,13414,13056,13335,27962,-0.0033632286995515237
2010-12-29,13505,15245,13505,15345,185322,0.15073115860517428
2010-12-30,16054,16779,14783,15250,447558,-0.0061909416748126
2011-01-03,15154,16058,14608,15890,273306,0.041967213114754154
2011-01-04,15884,16064,15155,15345,114188,-0.03429830081812457
2011-01-05,15023,16020,15023,16030,126017,0.044639947865754426
2011-01-06,16526,18345,16158,16715,854620,0.04273237679351216
2011-01-07,16705,16705,16158,16715,92301,0.0
2011-01-10,16273,19000,16273,19180,275165,0.14747233024229733
2011-01-11,19169,19527,16622,17170,540269,-0.10479666319082381
2011-01-12,17206,17386,16020,16210,128074,-0.05591147350029124
2011-01-13,16203,16572,15565,15665,77401,-0.033621221468229434
2011-01-14,15649,16017,15290,15390,48824,-0.01755505904883503
2011-01-17,15200,15649,15021,15390,37510,0.0
2011-01-18,15380,15928,15200,15390,43016,0.0
2011-01-19,15469,15649,15200,15390,27971,0.0
2011-01-20,15377,15467,14560,14750,31030,-0.04158544509421702
2011-01-21,14744,15023,14285,14475,34759,-0.01864406779661021
2011-01-24,14560,15019,14381,14840,19936,0.025215889464594188
2011-01-25,15013,15013,14465,14565,22086,-0.018530997304582186
2011-01-26,14515,14605,14237,14615,19801,0.00343288705801581
2011-01-27,14523,15160,14523,15160,22151,0.03729045501197392
2011-01-28,15250,15340,14980,15160,11818,0.0
2011-01-31,15064,15064,14325,14795,15706,-0.024076517150395826
2011-02-01,14564,14833,14285,14475,10976,-0.021628928692125737
2011-02-07,14385,14474,14105,14385,9658,-0.006217616580310836
2011-02-08,14429,14429,14151,14340,9028,-0.0031282586027111536
2011-02-09,14278,14278,13651,13930,17612,-0.028591352859135277
2011-02-10,13970,14060,13700,13880,11566,-0.003589375448671883
2011-02-11,13831,14100,13831,14200,13339,0.023054755043227626
2011-02-14,14384,14474,14015,14295,12105,0.006690140845070358
2011-02-15,14234,14234,13875,14155,9841,-0.009793634137810425
2011-02-16,13876,14144,13786,14065,7277,-0.00635817732250088
2011-02-17,13878,14057,13153,13610,13831,-0.03234980447920366
2011-02-18,13649,13649,13460,13560,4735,-0.0036737692872887973
2011-02-21,13565,13834,13375,13655,6072,0.00700589970501464
2011-02-22,13513,13513,13056,13335,7120,-0.023434639326254114
2011-02-23,13230,13230,12962,13240,7658,-0.007124109486314256
2011-02-24,13235,14049,13056,13335,7361,0.007175226586102701
2011-02-25,13374,13374,13105,13195,7415,-0.01049868766404205
2011-02-28,13240,13240,12960,13060,3346,-0.010231148162182624
2011-03-02,12825,13105,12736,13105,2741,0.0034456355283307705
2011-03-03,12962,13230,12962,13240,5652,0.010301411674933147
2011-03-04,13235,13603,13056,13335,9764,0.007175226586102701
2011-03-07,13235,13604,13235,13515,4851,0.013498312710911176
2011-03-08,13378,14475,13378,14475,21966,0.07103218645948939
2011-03-09,14234,14604,13875,14155,8788,-0.022107081174438714
2011-03-10,13965,14143,13696,13975,5389,-0.01271635464500176
2011-03-11,13790,13880,13610,13880,3869,-0.006797853309481239
2011-03-14,13785,13785,12781,13060,6655,-0.05907780979827093
2011-03-15,12912,13102,11547,12285,14533,-0.059341500765696775
2011-03-16,11997,12634,11997,12555,16576,0.0219780219780219
2011-03-17,12148,12505,12049,12605,11414,0.0039824771007566095
2011-03-18,12507,12864,12417,12785,14564,0.014280047600158774
2011-03-21,12600,13235,12600,13335,7198,0.04301916308173648
2011-03-22,13510,13880,13240,13880,11249,0.040869891263592084
2011-03-23,13831,14100,13562,14200,8536,0.023054755043227626
2011-03-24,14100,14100,13831,14200,8977,0.0
2011-03-25,14011,14011,13833,14200,5776,0.0
2011-03-28,14385,14385,14016,14385,12189,0.013028169014084545
2011-03-29,14289,14289,13744,14200,13315,-0.012860618700034743
2011-03-30,14285,14384,14015,14295,6963,0.006690140845070358
2011-03-31,14289,14289,14011,14200,7697,-0.006645680307799884
2011-04-01,14100,14279,13920,14200,7831,0.0
2011-04-04,13920,14100,13831,14200,6730,0.0
2011-04-05,14286,16110,14106,16300,93154,0.147887323943662
2011-04-06,16706,17342,15890,16895,186031,0.03650306748466248
2011-04-07,16987,19165,16350,16530,188055,-0.02160402485942592
2011-04-08,16619,17077,16072,16530,61251,0.0
2011-04-11,16530,16800,15610,15800,42172,-0.04416212946158504
2011-04-12,15789,15968,14785,14885,29599,-0.05791139240506327
2011-04-13,14880,15520,14790,15160,22155,0.01847497480685245
2011-04-14,15116,17300,15116,17400,87948,0.14775725593667555
2011-04-15,18116,18205,16201,16850,99600,-0.031609195402298895
2011-04-18,17304,18491,16756,17215,199000,0.021661721068249262
2011-04-19,16943,17941,16485,16575,76433,-0.03717688062735991
2011-04-20,16481,17119,16201,16850,40626,0.016591251885369473
2011-04-21,17033,17671,16305,16485,41449,-0.021661721068249262
2011-04-22,16350,16987,16260,16440,18470,-0.0027297543221109777
2011-04-25,16490,17035,16222,17125,18672,0.04166666666666674
2011-04-26,17170,17350,16620,16990,16164,-0.007883211678832103
2011-04-27,17303,17303,16395,16575,20387,-0.024426133019423202
2011-04-28,16346,16983,15611,15800,20467,-0.04675716440422317
2011-04-29,15708,16155,14982,16255,31373,0.02879746835443031
2011-05-02,16160,16160,15610,15800,7811,-0.027991387265456802
