Date,Open,High,Low,Close,Volume,Change
2016-10-17,12324,12639,10491,11093,3978331,
2016-10-18,11248,11281,10048,10239,1146953,-0.07698548634273872
2016-10-19,10171,10457,9476,9669,927514,-0.055669498974509235
2016-10-20,9731,10142,9604,9860,1038301,0.019753852518357595
2016-10-21,10046,12794,9635,12798,5415561,0.29797160243407705
2016-10-24,12606,14913,11975,13336,4258947,0.04203781840912635
2016-10-25,13397,14028,12196,12261,1994838,-0.08060887822435514
2016-10-26,12070,12387,10016,10493,1276622,-0.14419704754913953
2016-10-27,10458,11152,9983,10049,794449,-0.04231392356809305
2016-10-28,10045,10393,9445,9669,618415,-0.03781470793113739
2016-10-31,9696,10044,9569,9606,317810,-0.0065156686317096035
2016-11-01,9761,9856,8592,8626,499643,-0.10201957110139492
2016-11-02,8719,8750,7897,7962,318781,-0.07697658242522609
2016-11-03,7802,8277,7802,7868,228832,-0.011806078874654569
2016-11-04,7772,7992,7582,7679,217350,-0.024021352313167266
2016-11-07,7834,8055,7738,7962,123382,0.036853756999609244
2016-11-08,8182,10235,8150,9322,2260886,0.17081135393117308
2016-11-09,9193,9223,7581,8058,831856,-0.13559322033898302
2016-11-10,8368,8936,8209,8530,517920,0.058575328865723586
2016-11-11,8497,8655,8309,8374,143663,-0.018288393903868716
2016-11-14,8400,8811,8400,8530,228542,0.01862909004060187
2016-11-15,8685,8874,8338,8436,177969,-0.011019929660023409
2016-11-16,8561,8781,8433,8595,197218,0.01884779516358459
2016-11-17,8593,9004,8498,8564,276723,-0.003606748109365898
2016-11-18,8656,8656,8184,8185,159038,-0.04425502101821577
2016-11-21,8182,8244,7866,7868,75224,-0.038729383017715335
2016-11-22,7989,8116,7704,7804,83954,-0.00813421453990848
2016-11-23,7832,7927,7517,7583,73551,-0.028318810866222455
2016-11-24,7705,7770,7454,7457,70352,-0.01661611499406568
2016-11-25,7453,7611,7264,7425,68021,-0.004291269947700127
2016-11-28,7549,7738,7392,7646,62713,0.02976430976430966
2016-11-29,7676,7738,7265,7457,88132,-0.02471880721946118
2016-11-30,7517,7801,7328,7457,45739,0.0
2016-12-01,7484,7643,7327,7362,62667,-0.012739707657234867
2016-12-02,7359,7359,7011,7046,74859,-0.042923118717739794
2016-12-05,6949,7138,6697,6699,82376,-0.049247800170309386
2016-12-06,6852,7010,6790,6888,65670,0.028213166144200663
2016-12-07,7011,7075,6664,6699,63498,-0.027439024390243927
2016-12-08,6790,7106,6728,7014,73560,0.047021943573667624
2016-12-09,6980,7295,6885,7046,50465,0.004562303963501657
2016-12-12,7201,7327,7106,7204,46464,0.02242407039455019
2016-12-13,7200,7579,7074,7583,83499,0.05260966129927813
2016-12-14,7613,8118,7581,7868,228547,0.03758406962943428
2016-12-15,7770,7991,7705,7931,39181,0.008007117437722311
2016-12-16,7959,8023,7676,7899,37045,-0.004034800151304974
2016-12-19,7929,7992,7645,7773,71780,-0.015951386251424227
2016-12-20,7770,7833,7643,7836,30550,0.008104978772674576
2016-12-21,7896,7896,7644,7646,37814,-0.024247064828994414
